gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ADIPOQ	4.191035780242187e-11	6.579840775491528	1	0.64	1.3840895664249821e-6
CIDEA	3.0946726997831265e-12	6.495237503538299	1	0.64	1.0220156591033776e-7
PLIN1	8.022797857989041e-14	6.2599106910446665	1	0.733	2.649528992600881e-9
SAA1	8.823299513956139e-13	6.21147863529692	1	0.547	2.913894664484015e-8
LVRN	1.8703276104949602e-11	6.158858302983534	1	0.68	6.176756933659606e-7
SLC19A3	9.37769890014134e-8	6.148085636967357	1	0.68	0.0030969850617716776
AQP7	8.458739813847507e-11	6.05079416997928	1	0.72	2.7934988235231395e-6
GYG2	1.2263355839164516e-13	5.644195986027352	1	0.707	4.049973265884082e-9
AL356479.1	1.4005871505509288e-8	5.5737248574043345	1	0.76	4.625439064694442e-4
CIDEC	1.7464840587464276e-8	5.445727152435233	1	0.64	5.767763604010077e-4
ACVR1C	2.198917444017853e-10	5.414539083931757	1	0.733	7.261924858868959e-6
PFKFB1	2.8554644715060874e-12	5.413853059718931	1	0.667	9.430171417148853e-8
ADIPOQ-AS1	4.1552929875478514e-7	5.3768973495229115	1	0.52	0.013722855091376778
GPD1	1.729634747072022e-12	5.287649772428207	1	0.693	5.7121187522053526e-8
AZGP1	7.736297681303275e-7	5.160659646860539	1	0.453	0.025549123092504067
LPL	4.3161158375120325e-7	5.061394135806799	1	0.76	0.014253972553383487
TRARG1	4.836548238501504e-7	4.930255957836585	1	0.68	0.015972700557651216
AC022414.1	1.2886642607479077e-15	4.924249659369593	1	0.787	4.2558137211199654e-11
MARC1	8.591896247908611e-28	4.726538281263347	1	0.76	2.837473735871819e-23
PLIN5	2.2580679048353173e-26	4.719330250077492	1	0.733	7.457269255718636e-22
DGAT2	2.671801862965417e-7	4.71391648104829	1	0.627	0.00882362565244329
COX14	8.168789351569501e-41	4.688617361106811	1	0.8	2.6977426833558278e-36
GHR	1.5548260843386174e-19	4.68718703690316	1	0.947	5.134813143528284e-15
CEBPA	2.3167173124768947e-11	4.684259347863709	1	0.587	7.650958924454945e-7
PLIN4	4.21640883744287e-12	4.684111933491851	1	0.76	1.3924690185655078e-7
PTGER3	1.6503044119000346e-11	4.646975143448429	1	0.787	5.450130320299865e-7
ACACB	6.8972120067843045e-34	4.630068506745555	1	0.96	2.2778042652405166e-29
LINC02227	1.1331908709620036e-6	4.573914895500264	0.8	0.707	0.03742362851352017
FASN	4.1674153065127205e-23	4.570428591073851	1	0.76	1.376288904975826e-18
TMEM132C	8.023960718566106e-8	4.494321701230586	1	0.827	0.0026499130273064564
AC016705.2	4.8737557643823434e-8	4.474292077480603	0.8	0.573	0.0016095578411872689
LINC00598	1.7635031456080203e-14	4.442283270765394	1	0.84	5.823969138370487e-10
GPAT3	7.486821028360412e-9	4.376940566787915	1	0.733	2.472522644616026e-4
