gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CD22	8.533856945766743e-8	5.104849257026757	1	0.777	0.0028312777188970323
LINC00926	4.330009748582675e-10	5.094099069451399	1	0.755	1.4365673342872742e-5
BANK1	1.6557493303912287e-8	4.432550003548125	1	0.883	5.493279553438979e-4
NR2F1-AS1	1.1519132412017921e-8	-3.6564281667495084	0.5	0.915	3.821702560335186e-4
RALGPS2	9.423389827075171e-10	3.5193419637517844	1	0.915	3.12639804292873e-5
AFF3	4.865483611757911e-7	3.5069674858556006	1	0.926	0.01614221497872922
CD37	1.2945995126031266e-6	3.467510354317171	1	0.84	0.042950928029633934
TFEB	1.983963198594309e-7	3.2138735726832413	1	0.872	0.0065821947039763394
TIMP3	7.307943578383972e-8	-3.117402988716299	0.75	0.936	0.00242455644100045
MIR99AHG	3.344798980543038e-8	-3.007191324780071	0.625	0.947	0.0011097039577747637
TNS2	1.2964036036265464e-8	-2.941803475909091	0.625	0.904	4.301078235751793e-4
NR2F2-AS1	1.3242075924867396e-6	-2.9391771240151883	0.75	0.915	0.04393323529593256
NFIB	8.84611854220411e-8	-2.8904168920883486	0.75	0.957	0.0029348767487470573
RBMS3-AS3	1.4046205083012972e-7	-2.8879864029807254	0.5	0.809	0.004660109460391214
MAGI1	1.0452246105502261e-6	-2.7414177300755345	0.75	0.957	0.03467741690422485
PARD3B	6.049647006663736e-7	-2.69156417901116	0.625	0.947	0.020070913874008278
MPDZ	7.266881634702861e-8	-2.6862754869716197	0.625	0.915	0.0024109333199453685
NHS	4.230228752493073e-8	-2.6675426009312506	0.625	0.904	0.0014034629932146267
AC007319.1	5.843618197933105e-7	-2.652041511973775	0.75	0.936	0.01938737209528266
ADAMTS9-AS2	6.137108478823199e-8	-2.6361590439599683	0.75	0.904	0.0020361084800191724
NFIA	8.864851032953927e-10	-2.3813097882626804	0.875	0.957	2.9410916272031245e-5
PLSCR4	2.0640703509123132e-7	-2.373161358329522	0.75	0.915	0.006847966203221782
AC098650.1	9.223733915298496e-7	-2.3117176543624787	1	0.936	0.03060158201078582
SPARC	1.048671264582096e-6	-2.299186336768229	0.625	0.926	0.0347917665450402
PBX1	2.5039501467492076e-7	-2.292491985507656	0.875	0.968	0.008307355401869845
PLEKHA5	5.03693342834179e-9	-2.2874778363142454	0.875	0.915	1.671103403520956e-4
ZNF107	5.561905531296752e-7	2.1965769434074263	1	0.862	0.018452733981183234
ITPR1	8.689497154918517e-7	2.0927287178626446	1	0.947	0.028829144710873163
UGGT2	1.8397388329428916e-7	-2.0254706556732165	0.5	0.904	0.006103701526054632
DST	8.761725353881301e-7	-2.0243476027525764	0.875	0.957	0.02906877620657199
AGAP1	6.666997026805579e-7	-1.955873883341301	0.875	0.979	0.02211909603583287
CD151	5.589667758392858e-7	-1.9427259699097854	0.625	0.904	0.018544840722019985
GNG12	2.5483758947127475e-7	-1.9305394414811097	0.5	0.872	0.008454746705888482
DCBLD2	3.614873268576243e-7	-1.7742455790223808	0.5	0.872	0.0119930650431554
ARHGEF11	2.7573692298477497e-7	-1.75085865335017	0.5	0.862	0.00914812389386588
TNS1	3.184256323510134e-7	-1.6836942007059021	0.875	0.904	0.01056440720450957
PHC2	8.536310330817225e-7	-1.5505194836587144	0.75	0.915	0.028320916784552307
FNDC3B	2.5635914313808343e-7	-1.4634537628740028	1	0.957	0.008505227291892193
CAMSAP2	5.580484831650861e-7	-1.3183818012441255	0.75	0.936	0.01851437452596806
NEAT1	1.317355608794891e-7	-1.2816801308389247	1	0.989	0.00437059070329881
MAP4K3	1.9156950140516053e-7	-1.2338969671197209	0.875	0.926	0.006355701348119011
