gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CHGA	2.7790412905529946e-7	5.265205860712782	0.875	0.402	0.00922002528966767
HAND2	4.6517285868761807e-10	4.913563519995295	1	0.333	1.5433039932679104e-5
NRXN1	2.600516836707606e-25	4.883368061946523	1	0.793	8.627734709144824e-21
CDH19	7.539414625788883e-9	4.738064575328569	1	0.529	2.501351590397978e-4
XKR4	1.1066383537167823e-31	4.627310701305156	1	0.782	3.671494066126169e-27
PTPRZ1	2.3380726075659e-21	4.479344205280821	1	0.609	7.757023490121386e-17
AC008056.1	3.767197296237851e-22	4.302548784117307	1	0.621	1.2498430469728317e-17
PRIMA1	6.375164155961412e-22	4.275803583400952	1	0.609	2.1150882120233178e-17
SLC18A1	3.075866471378167e-11	4.266582327007608	1	0.414	1.0204802192091345e-6
AC022679.2	2.6118052345229036e-10	4.212519556138433	1	0.356	8.665186226576637e-6
L1CAM	4.3400756928057076e-8	4.2030701401436295	1	0.391	0.0014399069126021496
CHGB	1.3730097219701274e-7	4.151388360304495	1	0.54	0.004555234354580291
SHISA9	7.240850366889514e-21	4.146099079288861	1	0.759	2.4022969262229342e-16
RBPJL	5.449623948005485e-21	4.143782762814186	1	0.529	1.8080217372297797e-16
SLC24A2	1.0239821420715035e-15	4.0795100378728435	1	0.655	3.3972655527506274e-11
LINC00635	1.388867381815717e-15	4.07554860577649	1	0.448	4.607845312650004e-11
PLP1	8.120362978339891e-10	4.075331316599181	0.875	0.345	2.6940928253238255e-5
SLCO6A1	4.214770464072805e-15	4.0732742914210975	1	0.54	1.3983343968654344e-10
FOXA3	5.631618134239703e-21	4.067240905687227	1	0.54	1.8684019483967064e-16
EPHA5	3.7954468692850237e-16	4.058261132124638	1	0.575	1.2592154078226923e-11
LINC01663	1.7270384892521368e-7	4.04968890214036	0.875	0.46	0.0057297955957918145
TFAP2B	5.478410732088696e-7	4.044686755068538	1	0.264	0.018175723285850667
LINGO2	3.4076221842321326e-21	4.042781812964723	1	0.747	1.1305468120626947e-16
AP003900.1	8.709158012579924e-15	4.030521928699369	0.875	0.506	2.889437353833641e-10
AC099567.1	3.744646599837998e-11	4.0174211070065216	1	0.437	1.2423614024282526e-6
ERBB3	1.231544035208518e-28	4.0119149022858105	1	0.632	4.0858936456113e-24
AC095350.1	1.9801231063519018e-13	4.009363385732295	1	0.414	6.569454429943704e-9
TMCO5A	3.8873655692159275e-11	4.003490608460906	1	0.402	1.2897112748987684e-6
LINC00348	4.4155449400439966e-11	3.999726810862888	1	0.54	1.4649453447583968e-6
AC068672.2	2.38917021473571e-10	3.991295334329333	1	0.471	7.926550021428664e-6
AC099791.3	5.548278710570376e-15	3.9874533642601513	1	0.46	1.8407524278059337e-10
AC012413.1	3.5257952927006725e-10	3.987118791834474	1	0.437	1.169753104259302e-5
CR382287.2	7.85333087385775e-16	3.98532178037045	1	0.644	2.6054995840197858e-11
AL390964.1	1.5730225337038785e-9	3.9844978548694794	1	0.379	5.2188168600693576e-5
AC111198.1	3.1111927768230364e-12	3.9810601487708865	1	0.483	1.0322004275665788e-7
IGSF1	1.0380859245764289e-17	3.980495785528345	1	0.586	3.444057671967218e-13
G6PC	8.867973345514358e-14	3.978816355610424	1	0.46	2.9421275168412985e-9
LINC01856	2.8005905615358667e-11	3.9725474358893953	1	0.506	9.291519306007545e-7
RFX6	8.72161685564135e-19	3.9713742021908334	1	0.483	2.893570824196131e-14
HAND2-AS1	2.667657157912316e-22	3.965792658853921	1	0.69	8.85048615280569e-18
C4orf17	1.2807345621011507e-7	3.9625457211206774	0.75	0.379	0.004249093056682988
PCSK2	1.4598487495634635e-18	3.962494623537716	1	0.713	4.843340196426703e-14
SLC13A1	4.217765706986338e-16	3.959112055157134	1	0.494	1.3993281286068573e-11
CADM2	8.915586862431598e-28	3.9556464327200063	1	0.816	2.9579242533489313e-23
KCNU1	1.4908853699592548e-15	3.953347935354427	1	0.667	4.9463103919138195e-11
AP001993.1	6.348960546916726e-16	3.9509875790211617	1	0.552	2.106394640650562e-11
AP003481.1	6.8593051799587545e-12	3.947916187475122	1	0.494	2.275711679554916e-7
FUT9	3.898045430779764e-19	3.9460199335571957	1	0.609	1.2932545325698024e-14
LINC00558	1.8969901749736956e-7	3.9367000161603642	1	0.299	0.00629364430351023
AC069285.1	4.8502702019758e-8	3.9265389955735635	0.875	0.379	0.0016091741449095111
AC133634.1	7.480677131904403e-12	3.925101168694573	0.875	0.483	2.4818642520519236e-7
AC003666.1	1.0020818859860526e-16	3.9227127947021634	1	0.54	3.324607073135927e-12
FAM163A	4.577888766487634e-18	3.9213641298923614	1	0.632	1.5188061560576023e-13
AL157378.1	2.2630437541620693e-12	3.918962612705341	1	0.356	7.508100263183498e-8
GABRG2	1.3134838712086572e-12	3.916471310949946	1	0.506	4.3577454395089624e-8
LRRTM3	9.544021079305282e-24	3.9148855723639366	1	0.678	3.166419873481113e-19
AC000061.1	4.9818004035288514e-11	3.9070856342197047	1	0.425	1.652811919878767e-6
AC073521.1	7.016812255102551e-8	3.9056337157833303	1	0.333	0.002327967801875373
STOML3	3.44285971496993e-10	3.905124912668994	1	0.402	1.1422375676355736e-5
AL138812.1	3.026331883375442e-7	3.904306758135052	1	0.345	0.010040461289474703
AC090679.1	3.063111108771065e-11	3.9014157469897843	1	0.483	1.0162483725569763e-6
KLRF2	1.1605603267623466e-9	3.900835961824529	1	0.322	3.850390996099437e-5
LINC01677	9.68259866191015e-13	3.894234812684603	1	0.529	3.212395758061931e-8
DEPDC1-AS1	1.7479116901859211e-9	3.894156732956012	1	0.391	5.7990466145298304e-5
LINC02211	3.440709419576649e-17	3.8938484930577513	1	0.529	1.1415241641329447e-12
AC087457.1	6.330345139352609e-9	3.893604460604986	0.875	0.402	2.1002186068830151e-4
LINC00383	3.960723958356026e-8	3.8930997509073633	0.875	0.414	0.0013140493876637788
AC010511.1	7.918095285077194e-14	3.8913600230178744	1	0.529	2.6269864727300604e-9
FAM167A-AS1	1.5171031167463168e-12	3.8906025817456795	1	0.54	5.033293010429255e-8
AL445433.2	1.1355521538480562e-14	3.8888597983525868	1	0.621	3.767421380821696e-10
SI	1.2815860078224297e-8	3.8872078089143733	1	0.368	4.251917898152475e-4
LINC01492	3.96259325332953e-14	3.884053249227239	1	0.575	1.3146695636571382e-9
AC023824.3	4.761141790928873e-11	3.8840069269109883	1	0.483	1.5796040119764722e-6
