gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ADGRL4	1.1468399075161897e-23	5.574072824247967	1	0.734	3.8048707611664627e-19
BTNL9	3.396145032117501e-28	5.287969834310179	1	0.819	1.1267390373056234e-23
KCNIP4	2.845701321205112e-17	4.875743131577011	1	0.894	9.4411832733622e-13
ARHGEF15	2.4547802265300623e-13	4.863079304598977	1	0.713	8.144224357558788e-9
RAMP3	4.480020360787355e-12	4.70911468159205	1	0.723	1.4863363550984208e-7
CLEC14A	8.027242442921872e-15	4.650560778858653	1	0.596	2.66319822528819e-10
FLT1	5.044734645756712e-11	4.617013728572655	1	0.787	1.6736916134227043e-6
AC010976.2	6.535400541783259e-12	4.5246271309799	1	0.415	2.168249837747432e-7
AC110296.1	5.308767044865049e-9	4.523328614575146	1	0.521	1.7612896424748771e-4
AL596442.2	3.307252404271707e-9	4.426042923838612	1	0.266	1.0972471301652243e-4
AC104211.1	5.1394894425998234e-23	4.41896437108969	1	0.383	1.7051284123713433e-18
SEMA3F	3.8087184643540956e-11	4.4022789457003855	1	0.691	1.2636185249187583e-6
VSIG2	9.240590035124542e-11	4.359555286357267	1	0.426	3.0657505559532693e-6
CCL14	7.629936693992934e-13	4.305072665635844	1	0.809	2.5313840969660358e-8
FAM167B	4.645269837731795e-7	4.292653587299087	0.875	0.585	0.015411611740642777
NOTCH4	6.768757923057547e-16	4.279627361908053	1	0.809	2.2456708161328022e-11
AL138689.2	1.3077515638740833e-9	4.273410515727012	1	0.638	4.3387273634650464e-5
DLL4	2.3769754648564675e-8	4.213776344290118	1	0.596	7.886091499754302e-4
EFNB2	1.055756211013232e-16	4.179162102102666	1	0.723	3.5026823812785997e-12
SLCO2A1	3.3411131779021647e-12	4.169680515080248	1	0.798	1.1084811190326011e-7
DNASE1L3	7.987205062696107e-13	4.158012584308831	1	0.809	2.6499150236506875e-8
EGFL7	1.3621323289618666e-9	4.145527102279258	1	0.755	4.5191464277967845e-5
ANO2	5.5467459785739625e-8	4.140031739761895	1	0.83	0.0018402439133114836
PTPRB	2.0931269975369696e-14	4.09662879634182	1	0.798	6.944367439728404e-10
VWF	1.739220079870435e-11	4.041313266694448	1	0.851	5.770210458986142e-7
EDN1	3.2333565801941104e-10	4.008023791941169	1	0.532	1.072730712611e-5
VWA1	6.882173505163981e-10	3.9721326973849034	1	0.564	2.283298703808254e-5
CRHBP	1.8625355059740722e-9	3.9470952619952704	1	0.755	6.179334048170179e-5
PLVAP	4.906348108776973e-10	3.9213913587106703	1	0.809	1.6277791120489363e-5
PODXL	1.0135995819423818e-10	3.9081936835085775	1	0.809	3.36281933301024e-6
TCF15	1.7180277629256335e-7	3.893505989252826	1	0.404	0.0056999007090583744
AC244100.2	3.581961680608413e-12	3.8922922398406268	1	0.638	1.1883874267754532e-7
GPR17	6.117077620934179e-10	3.822922085958665	1	0.596	2.0294628422973326e-5
PCDH17	1.5620166108582458e-7	3.764828549595581	1	0.691	0.005182302509844402
ESAM	3.6326446874770795e-13	3.76346273984491	1	0.787	1.2052025279642707e-8
NOVA2	4.458276837650222e-7	3.76022038694083	1	0.723	0.014791225064272141
CAVIN2	1.2808496606525668e-8	3.7466911813333557	1	0.723	4.249474919147021e-4
EMCN	1.8933669016762976e-7	3.7323494889592457	1	0.83	0.006281623369691453
FAM69B	7.503174214139894e-10	3.7274635960328664	1	0.628	2.4893281090251925e-5
PLAT	1.9415103006350742e-10	3.720168156609675	1	0.84	6.441348724416986e-6
CLDN5	1.491519033171264e-8	3.7031555249935493	1	0.681	4.948412696352303e-4
ROBO2	8.100836013815961e-7	3.6998414399026993	1	0.819	0.026876143643037212
PLK2	1.1814580376459102e-6	3.698258622594848	1	0.532	0.03919723331497836
RAMP2	8.824458935794335e-7	3.6944321232220547	1	0.691	0.029276907411284865
TEK	5.845642385471565e-10	3.676987918760937	1	0.777	1.939408774227901e-5
LDB2	6.791406342902384e-13	3.595302712031616	1	0.904	2.2531848823847238e-8
EXOC3L1	2.296559813377135e-7	3.5866643393084985	1	0.543	0.007619296492841321
