gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SPTA1	2.8908289349955878e-11	7.883100053507652	0.833	0.583	9.590903157634862e-7
CA1	2.1817214749119198e-16	7.756555969326483	0.833	0.76	7.238297337315277e-12
GYPA	3.187540433155847e-14	7.359085371759957	0.833	0.531	1.0575302895081154e-9
FAM25A	3.527009570025892e-7	7.282577965191386	0.167	0.5	0.011701559650474902
KEL	1.7529932763624322e-14	7.222058374197951	0.833	0.562	5.815905792987641e-10
DPYSL4	2.992118334325522e-14	7.009461315504573	0.167	0.448	9.926950997791783e-10
NDNF	3.4382601616473167e-23	7.008676833775709	0.167	0.51	1.1407115738297302e-18
AC100835.2	6.170687141867765e-16	6.934738706492164	0.667	0.5	2.0472488730574686e-11
LRIT1	6.446443665712217e-8	6.822465854465576	0.333	0.333	0.0021387366149733422
AL583836.1	5.112364261713879e-16	6.776920970017018	0.167	0.562	1.6961290911088137e-11
ALAS2	5.821484946327578e-13	6.679692543656467	0.667	0.583	1.9313940606431003e-8
HBM	3.6182420329869207e-8	6.570116896634749	0.667	0.604	0.0012004241592840706
CYP2C18	8.161330245304618e-9	6.520197213504689	0.333	0.5	2.707684535484713e-4
LGI2	8.811206606175662e-15	6.4890485368328665	0.167	0.604	2.9232940157308993e-10
GYPB	6.689728662988125e-15	6.469270069222199	0.667	0.667	2.2194512785195703e-10
AC124798.1	5.7618822121018e-12	6.448424908128427	0.167	0.51	1.9116196615090142e-7
AL357078.1	2.303124829762974e-9	6.3800893791864315	0.333	0.51	7.641077247704618e-5
SPTB	3.053563796820006e-15	6.358154247944361	0.833	0.792	1.0130808608709733e-10
TRIM60	3.8915697806937805e-7	6.353467642708505	0.833	0.677	0.012911061061407755
SLC4A1	4.988140297746667e-10	6.333611615268169	0.833	0.708	1.6549153065834117e-5
KLF1	1.5631321462365914e-8	6.323518590965515	0.667	0.396	5.186003521569139e-4
MKI67	9.769512080768153e-12	6.31703255149506	0.833	0.604	3.24123102303645e-7
AL138762.1	1.3905132672722204e-12	6.273650142394898	0.5	0.479	4.613305866829046e-8
FHDC1	4.4991715291249024e-14	6.231923392249739	0.833	0.719	1.4926901382177688e-9
CRTAC1	4.1115528037700843e-22	6.204161337787326	0.667	0.771	1.3640898737068009e-17
CA2	1.2935316843083086e-16	6.198955634379608	0.667	0.667	4.2915500690296756e-12
STRIP2	4.4772129805128834e-10	6.154313621012122	0.833	0.708	1.4854049505447593e-5
TUBB8	1.4877205253216967e-8	6.141223780316637	0.167	0.552	4.935810386859793e-4
MYL4	1.9629976929984625e-9	6.109437933290329	0.833	0.615	6.512637446061e-5
E2F2	1.2429075331820275e-9	6.108757411647703	0.833	0.635	4.123594322838013e-5
ANK1	7.710223227108296e-13	6.031175544130026	0.667	0.812	2.558020760057719e-8
TRIM10	4.98448119325601e-7	5.9774267653310424	0.667	0.333	0.016537013254865462
EPB42	2.483314741208458e-11	5.96801997578549	0.667	0.635	8.238893316907301e-7
AC005288.1	8.503278050370558e-7	5.946020293981279	0.333	0.604	0.0282113255877144
RHAG	1.463506277508291e-11	5.919530770715245	0.667	0.656	4.855474776889257e-7
NFE2	2.6679499577733324e-7	5.81497552011588	0.667	0.406	0.008851457574904584
SLC16A12-AS1	3.0060586192586123e-7	5.807668122256072	0.167	0.469	0.009973200681114298
SLC22A16	1.1394692509495156e-11	5.781711974375034	0.667	0.635	3.780417133875208e-7
HEMGN	4.2357649474493694e-8	5.762980044227862	0.667	0.521	0.0014052997366152773
SPATA18	3.940081607177926e-32	5.75573320390645	0.333	0.719	1.3072008748134206e-27
ANLN	1.5647067574797318e-8	5.723699384596772	0.833	0.656	5.191227609290507e-4
CR1L	2.1730717749393943e-15	5.697060106557135	0.833	0.729	7.209600227716428e-11
DLGAP5	4.317567791187547e-8	5.65786804124517	0.833	0.646	0.0014324394660822925
ZNF239	1.1997985612310513e-8	5.620868835010266	0.333	0.688	3.980571686596259e-4
SNCA	6.692833662325985e-15	5.6172388999575045	0.833	0.771	2.2204814241498922e-10
AL031777.3	1.569457094365664e-8	5.6089777366671	0.667	0.625	5.206987801976964e-4
SLC25A21	3.855830629264337e-16	5.577435059079056	0.667	0.823	1.279248927871029e-11
DMTN	6.872770090745474e-16	5.532511229031867	0.833	0.771	2.2801789330066258e-11
TOP2A	3.0852435947472306e-10	5.517171088791502	0.833	0.719	1.0235912674292888e-5
HIST1H2AJ	1.0619946559796645e-9	5.494684398639372	0.667	0.208	3.5233796701437325e-5
CTSE	2.9946114729556995e-9	5.490003673860519	0.667	0.323	9.935222483825124e-5
AL158163.1	5.963860030873646e-8	5.461195068588674	0.333	0.469	0.0019786298424429496
FAM218A	5.4511618828383673e-8	5.443284286440975	0.167	0.49	0.001808531977869285
NCR3LG1	5.0973449885362786e-8	5.424673498054197	0.333	0.688	0.0016911461468466812
KIF18B	4.8225406558346663e-11	5.364756757230043	0.833	0.708	1.5999743133862672e-6
CCDC158	7.941852568111526e-7	5.333855944571848	0.333	0.667	0.026348684265223608
GLOD5	4.882094462476172e-9	5.323146392066817	0.667	0.604	1.6197324798157198e-4
E2F8	4.221353970295742e-12	5.266039985004024	0.667	0.469	1.4005186067250185e-7
TFRC	5.735079410131561e-14	5.233109239483729	0.833	0.896	1.902727295899348e-9
PLPP4	3.4484888854181506e-7	5.230082705360694	0.833	0.646	0.011441051575151798
C17orf99	2.4449694402545806e-9	5.193020404976153	0.667	0.719	8.111675111932622e-5
SSX2IP	1.1081182767105569e-20	5.175618860180103	0.833	0.771	3.676404006642615e-16
TFR2	9.458185686612765e-15	5.172605758728398	0.667	0.792	3.137942265247517e-10
GYPE	3.066658174870687e-17	5.116847481525376	0.667	0.688	1.0174251826768479e-12
ESPL1	2.589974890116351e-7	5.090745872572812	0.833	0.729	0.008592759692939017
SLC16A12	5.764772640116462e-20	5.025262546883459	0.667	0.75	1.9125786188114385e-15
ASPM	7.954706587371638e-10	4.983502755765774	0.667	0.625	2.6391330044922885e-5
CENPF	7.283736897966304e-12	4.938667176929333	0.667	0.708	2.4165253906382806e-7
DTL	5.293590579042606e-9	4.895616672856514	0.667	0.688	1.7562545464089654e-4
AC130456.3	1.848770821874173e-8	4.889594362265434	0.667	0.51	6.133666955731944e-4
HIST1H1B	1.1642934313799578e-6	4.8106637509976355	0.5	0.323	0.03862776317289286
ANKLE1	9.396186833599032e-12	4.79459729414183	0.667	0.531	3.1173729057831505e-7
PKMYT1	1.5992435773688522e-21	4.7940449729477415	0.667	0.49	5.305810416636641e-17
CENPN	7.197549811289955e-7	4.778511838402116	0.833	0.729	0.023879311008916684
PRC1	2.1647576962934918e-15	4.771315528672734	0.667	0.75	7.182016608992917e-11
FAT1	2.194893762554982e-18	4.754125334773647	0.333	0.75	7.281999036028664e-14
YPEL4	1.7571572800562157e-17	4.735410627935034	0.667	0.51	5.829720708042507e-13
E2F1	3.2661104720874607e-20	4.73438081962686	0.667	0.646	1.0835974713244568e-15
SLC6A8	9.117388065355694e-8	4.723715081839199	0.833	0.729	0.0030248758384430587
MBOAT2	1.2975914622979318e-14	4.714693322233791	0.667	0.812	4.305019194465848e-10
GATA1	4.0505580889634576e-11	4.68006962996534	0.667	0.667	1.3438536571754064e-6
HMBS	4.857440843282517e-26	4.670519234139155	0.667	0.74	1.6115531485758407e-21
HIST1H2AM	3.8908390323838953e-16	4.657459260784014	0.667	0.375	1.2908636657740049e-11
AC087632.1	2.1258116313330256e-11	4.657029793510835	0.667	0.75	7.052805249273578e-7
BMPR1B	2.843086600690166e-19	4.647698548350711	0.5	0.792	9.432508415109763e-15
RRM2	3.48546422506295e-8	4.575272270079541	0.667	0.562	0.0011563724659491349
KCNH2	1.250496771858082e-10	4.545747800517635	0.667	0.635	4.148773139993559e-6
FAM83D	2.7732159551839567e-8	4.5380710683547605	0.667	0.677	9.200698574513813e-4
AURKB	3.07104609913728e-9	4.516752242445267	0.667	0.552	1.0188809643107754e-4
HELLS	1.3997022169238436e-16	4.488108172275845	0.833	0.823	4.643792045088236e-12
RAD51AP1	4.504396124077527e-9	4.47298813197602	0.667	0.552	1.494423502085201e-4
BEST3	4.895581541012961e-9	4.4442914131531905	0.667	0.688	1.62420708786187e-4
BUB1B	1.5060951448215615e-7	4.436762642728447	0.667	0.656	0.004996771861974495
FGF2	2.902760901446429e-20	4.406480414221068	0.333	0.792	9.630489842728818e-16
HJURP	2.770880845550349e-7	4.405519120543858	0.667	0.51	0.009192951381282392
NCAPG	4.577243660739252e-9	4.402851944260145	0.667	0.583	1.5185921293234616e-4
PIGQ	9.050879601649616e-27	4.4007882764781305	0.833	0.854	3.002810325439293e-22
TROAP	2.1712210961999987e-9	4.4003227262467925	0.667	0.583	7.203460230862735e-5
ZWINT	8.49862412637809e-10	4.399740647674042	0.667	0.375	2.819588526408459e-5
KIFC1	3.521319262917674e-8	4.387262253760547	0.667	0.594	0.0011682680918581967
CENPU	3.3278792803811655e-12	4.370321893856817	0.667	0.698	1.1040905088520593e-7
C21orf58	3.6303101902427e-22	4.363117603307434	0.667	0.844	1.2044280118168206e-17
STEAP3	9.57727889168596e-16	4.348793815574132	0.667	0.656	3.1774538178946515e-11
RBM20	7.438164878485337e-17	4.348203705793598	0.667	0.781	2.46775996173508e-12
CPE	2.9254679810610075e-18	4.338124245508703	0.667	0.823	9.705825120766104e-14
WEE1	9.221364600143206e-12	4.322613550185089	0.833	0.781	3.0593721333895114e-7
POLQ	2.9342679843405754e-8	4.318084094702549	0.667	0.771	9.735020891646727e-4
SEC14L4	6.593380714362676e-8	4.303558736882412	0.667	0.698	0.002187485919604105
AL135925.1	5.214566579159217e-7	4.301993920469516	0.5	0.781	0.017300367539676537
HSPA4L	2.3048788323432838e-24	4.297753494260906	0.667	0.833	7.646896502065313e-20
XK	2.8162026090573105e-10	4.290466325827839	0.5	0.302	9.343315396069438e-6
AC113133.1	2.2933294336790848e-7	4.282309948342352	0.5	0.479	0.0076085790621170995
SLC38A5	6.364636832935246e-10	4.281429767453632	0.667	0.646	2.1115955620629266e-5
TRIM58	4.5012193124527705e-7	4.27855182599547	0.667	0.594	0.014933695312924556
FUT1	2.0130626754179763e-8	4.275160321970393	0.667	0.438	6.67873803823422e-4
ARHGAP11B	1.9750448509750733e-14	4.27475418942714	0.667	0.646	6.55260630208e-10
RHCE	8.876858698223326e-11	4.269780863192329	0.667	0.812	2.9450754103095528e-6
