gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FHL5	7.886902147991423e-11	4.662175116126806	1	0.608	2.6046494343741675e-6
FAM163B	2.0443984623775337e-9	4.3251988318048085	0.667	0.392	6.751625922001805e-5
GUCY1B1	1.8059858176009792e-8	4.292333627137772	1	0.608	5.964268162627234e-4
RCAN2	5.65755488633129e-9	4.048527545224074	1	0.784	1.8684075012109086e-4
AC024901.1	8.263068786216292e-7	3.8845897830684812	1	0.73	0.027288784666479306
MYO1B	2.624788914785535e-10	3.8583082519684204	1	0.811	8.66836539107923e-6
PGF	5.4636044028164766e-8	3.5044852462766967	1	0.716	0.0018043553540301415
PRR16	2.504934382911716e-9	3.485640753490153	1	0.784	8.272545799565941e-5
ADRA1B	3.508297972859605e-8	3.4227531268075526	1	0.743	0.0011586154055368844
SERPINE1	1.5689915423357464e-7	3.2137820383863835	1	0.878	0.005181594568563802
ARHGEF17	6.432597561386098e-8	3.125172510740346	1	0.824	0.0021243653446477587
PTGIR	1.0682244905897517e-6	3.0695551101895093	1	0.622	0.035278113801726546
PDE3A	7.335716493057842e-7	3.0437439548840635	1	0.824	0.024226203718323524
CCDC102B	1.0561678639210289e-13	2.9919840653844254	1	0.878	3.487994370599198e-9
MRVI1	2.19099074590476e-7	2.9485295159069733	1	0.797	0.007235746938350471
TGFB3	4.2136455663039967e-10	2.7481406881435375	1	0.77	1.391556448271895e-5
IFT43	9.297772900418699e-10	1.9749798344545328	1	0.892	3.0705895003632755e-5
NBEAL1	8.072056289274219e-7	1.5615960169337553	1	0.946	0.02665796589532811
LPP	4.55442551680513e-8	1.3518280494784807	1	0.986	0.0015040990269248942
CBR4	6.0034353378952e-8	1.1730994814448144	1	0.946	0.0019826345203398897
PPP3CA	9.882315414397123e-7	-0.948759785934022	1	0.959	0.0326363466560465
ZMAT1	8.818368032222049e-7	-0.3007618253941746	0.667	0.824	0.029122660426413316
