gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LINC02360	1.1816582649282844e-10	6.962437676336905	0.4	0.577	3.92038762555257e-6
CCL21	2.355541656885815e-8	6.832155046727851	0.8	0.495	7.814980555050069e-4
AL357507.1	2.5625604281305942e-8	6.131340656851839	0.8	0.784	8.501806732408873e-4
MMRN1	7.851312214883331e-7	6.1051189196333215	0.8	0.701	0.026048298535318426
TBX1	9.673716818504306e-12	5.853026859422162	0.6	0.68	3.2094490288751737e-7
AC005162.3	8.452428190112279e-8	5.5180520644101865	0.8	0.639	0.0028042621006335506
PKHD1L1	7.333395297276063e-7	5.485242229792472	0.8	0.773	0.024330005577772797
IGHA1	2.0108042951984447e-7	-4.775142097965642	0.2	0.773	0.00667124541017988
SLC27A3	1.3188539230189304e-7	4.695769985303162	1	0.763	0.004375561660399905
FAM189A2	4.5282780775285527e-7	4.633397823269457	0.8	0.753	0.015023468177816478
TFPI	4.555907304443614e-7	4.610659055320226	1	0.856	0.015115133663952578
PPFIBP1	4.3001593035609595e-9	4.059674238615451	1	0.918	1.4266638521424197e-4
CYB5RL	1.95426732498185e-10	4.0340204757434135	0.6	0.732	6.483672704092284e-6
PLSCR4	1.2776949453698885e-6	3.186510844434837	0.8	0.907	0.042390085202536794
C1QTNF3-AMACR	1.8100200156786097e-7	3.1621104394276744	1	0.897	0.0060051034060169236
