gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AL807752.7	1.4478988001126904e-6	5.509202901543081	1	0.471	0.04803693849133873
ASCL1	3.414519714806665e-7	5.020375268390982	1	0.412	0.011328352057814073
AC109466.1	1.8144425298417807e-8	4.592997037893138	1	0.804	6.019775981256076e-4
KIAA1210	8.378047275967512e-8	4.521978228982106	1	0.686	0.0027795847447477416
KLF5	8.007404797796604e-10	4.494540493349602	1	0.706	2.6566166897649793e-5
PAK3	1.2295306105400965e-6	4.4030384691661775	1	0.784	0.04079213706588878
PDZRN4	2.97817594674363e-7	4.281239336938393	1	0.843	0.009880694338511341
WSCD2	1.3360339377323715e-8	4.23161671556129	1	0.647	4.4325597952146886e-4
HS6ST2	1.9428479654733117e-7	4.117294581945137	1	0.745	0.006445786695050806
SBSPON	1.233266676770482e-10	4.0886797143579825	1	0.745	4.091608853521428e-6
ACADL	1.4017263736657644e-8	4.0772445673420465	1	0.647	4.650507589910907e-4
AKR1B10	1.7603705102967754e-9	4.0110236876731165	1	0.431	5.840381242011612e-5
FRAS1	2.9065761346534665e-8	3.946875028785992	1	0.765	9.643147641939806e-4
TENM2	3.1760070804049783e-11	3.8252992938814994	1	0.843	1.0537038690659596e-6
EMILIN3	1.0627402335286226e-6	3.7656923743114725	1	0.588	0.03525853272777911
ADAMTS3	5.164037356868612e-9	3.7552971275079496	1	0.765	1.7132726738882994e-4
AC008415.1	3.737039997269365e-7	3.7330537796628622	1	0.804	0.012398377598940573
KLRG2	3.74087376515283e-7	3.6616526365164845	1	0.667	0.012411096890647545
RRAD	3.9116702445919744e-13	3.634275259965836	1	0.686	1.2977748370482794e-8
COL4A5	4.3816100860552595e-14	3.6084864521127358	1	0.804	1.4536867782505534e-9
USP53	3.378609262144949e-7	3.5262539276896683	1	0.922	0.011209211949018298
AC027288.3	2.653846623189349e-8	3.3074296016835847	1	0.824	8.804666941755303e-4
NEXMIF	4.7267438026287404e-09	3.037208874768297	1	0.784	1.5681917913981373e-4
AVPI1	9.457472491323791e-7	2.9393543417350734	1	0.843	0.03137705648446494
CDH23	2.2667544823783775e-9	2.9241372864591906	1	0.882	7.520411346186743e-5
PDE5A	5.585157467022856e-9	2.8852614083073886	1	0.882	1.852987692834173e-4
SMO	5.013038299755498e-7	2.851479369717818	1	0.804	0.016631757167098814
KIAA1217	6.201913477428068e-7	2.815511832612298	1	0.98	0.0205760883440631
AC011287.1	1.9738523292003662e-8	2.6400971035364154	1	0.863	6.548649872588055e-4
NSMF	1.6086856194941102e-7	2.2526529555489567	1	0.843	0.0053371362797956096
SLF2	7.48294683550766e-11	2.153641380108265	1	0.961	2.4826172716163764e-6
AL358113.1	5.2496836134979786e-8	2.1291759715424945	1	0.922	0.0017416875324502243
RHOBTB2	1.8412516392622732e-10	2.118657576905463	1	0.804	6.1087205635804435e-6
TTN	7.079334159240346e-8	2.082630415004674	1	0.941	0.0023487106940111697
LEPR	1.5696491765252743e-9	1.8098777251663725	1	0.902	5.207625072957903e-5
ABTB1	2.1820626187197497e-10	1.6352611163864406	1	0.843	7.2394291501265134e-6
COQ8B	2.6403720616665383e-8	1.5044032224793626	1	0.863	8.759962388991074e-4
IRAK1BP1	1.4953907115702325e-6	1.4035544178951638	1	0.882	0.0496125776377656
PTPN9	1.209821439131743e-6	1.3677522179118655	1	0.922	0.04013824588607384
USP54	1.728193191866185e-7	1.345533930312497	1	0.922	0.0057336265526544425
FBXO42	7.073983531904807e-8	1.143929114412562	1	0.961	0.0023469355163800577
KIAA0232	7.411067593776559e-9	0.9599287940514085	1	0.941	2.458769895587249e-4
