gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A14	2.7150795234380773e-12	4.736278828737744	1	0.553	9.007819334910509e-8
VENTX	2.1261366627388663e-14	4.686879227022379	1	0.447	7.053883605968737e-10
AC079015.1	3.920364035394542e-8	4.683925300529767	1	0.553	0.0013006591760228471
VSIG4	5.500304942285621e-16	4.6767494139374834	1	0.734	1.8248361707021005e-11
CD163L1	1.311541281154972e-12	4.636096294134165	1	0.798	4.3513005084878504e-8
TLR2	3.000580956471969e-15	4.592168006245581	1	0.755	9.955027439287052e-11
CD163	3.403655372192952e-17	4.544430129696562	1	0.862	1.1292307428324556e-12
MS4A4E	4.0010700504881536e-16	4.509127268648371	1	0.787	1.3274350106504546e-11
MS4A6E	2.577060328715689e-14	4.44981411914022	1	0.84	8.549913052580041e-10
F13A1	9.699624313376238e-11	4.402578042990017	1	0.777	3.2180443584488344e-6
MS4A6A	4.2046505589382857e-16	4.384290957328277	1	0.83	1.394976915938955e-11
HMOX1	1.6990289665089256e-9	4.274795708140389	1	0.809	5.636868402186663e-5
SLC1A3	7.35479286544625e-19	4.255129690817784	1	0.862	2.4400996289691023e-14
SIGLEC1	2.4654166793794257e-12	4.237971954976924	1	0.787	8.17951291717712e-8
KCNE1	1.114605890935003e-9	4.161544098511273	1	0.734	3.69792796435506e-5
FPR3	8.920031942200078e-12	4.127244631398408	1	0.691	2.95939899746372e-7
CLEC7A	1.2898642990609203e-9	4.036666441204886	1	0.734	4.2793827849944156e-5
CCL3L1	2.136733578942792e-10	4.036456100254141	1	0.649	7.0890409948585006e-6
CLEC4E	1.3408108308046922e-7	3.995418230494043	1	0.606	0.004448408093360727
CD86	9.247228639988818e-9	3.9545295659280204	1	0.766	3.06795304588909e-4
LILRB5	8.786501131251865e-16	3.950163302299699	1	0.734	2.9150974803154316e-11
FMN1	1.2343561441099482e-10	3.9501586405471683	1	0.883	4.095223379313575e-6
ALOX15B	9.357906677959118e-7	3.940274776590875	1	0.66	0.031046726985464967
NLRP3	9.963088073547748e-7	3.9120902236141997	1	0.702	0.033054537301609364
CCL3	1.6888831923299858e-7	3.88982400886158	1	0.649	0.005603207767193194
IGSF21	2.221597230210846e-7	3.8519586885569215	1	0.777	0.007370593130670524
FCGR2A	3.900269000934974e-11	3.8401360004799083	1	0.809	1.2939922464401963e-6
CARD9	7.463831974689867e-8	3.819755169699888	1	0.532	0.0024762755342428574
AC020922.2	1.1808473619565746e-8	3.7928973486523994	1	0.415	3.9176972927633277e-4
AC100849.1	6.87726434702932e-7	3.7748446330124104	1	0.798	0.022816699924139174
C5AR1	2.2581370801793435e-8	3.748867023936933	1	0.787	7.491821390911008e-4
C3AR1	8.036269518566806e-8	3.7440975610740366	1	0.681	0.002666193138174909
CD33	1.295347348901155e-7	3.743715824933643	1	0.564	0.004297573899449362
RASL10A	9.707427764158326e-8	3.7292924324133043	1	0.511	0.003220633309314808
FOLR2	4.379087213294449e-9	3.7090002935015107	1	0.691	1.4528497647546993e-4
ZMYND15	2.33026100541164e-9	3.6902961722011467	1	0.596	7.731106937654198e-5
CCL4L2	3.5474229257401524e-7	3.681560527561632	1	0.67	0.011769285040728104
MPPED2	5.972397860805615e-11	3.6570672257656636	1	0.809	1.981462438279479e-6
SLAMF8	3.5976910201282337e-10	3.654789802261381	1	0.479	1.1936059497479442e-5
P2RY13	5.432523931772067e-8	3.6520796969108753	1	0.479	0.0018023484648440186
AC008957.2	1.2177872359718464e-13	3.649997093756635	1	0.83	4.040252712783795e-9
MS4A7	3.220961632575464e-18	3.63618850158674	1	0.84	1.0686184408395618e-13
HSPA6	7.554651146732039e-8	3.6333490313698604	1	0.564	0.0025064066109512888
ADAP2	2.0778135397863562e-11	3.5405816539998622	1	0.872	6.893561980949194e-7
NCF4	4.96871146770116e-7	3.5041514238341582	1	0.777	0.01648469403639214
MSR1	1.2074442443367958e-6	3.503467380906745	1	0.83	0.040059377694361874
MS4A4A	2.2318802985336286e-11	3.501366816081778	1	0.83	7.404709266445019e-7
CSF1R	7.800228983231898e-9	3.481885088804953	1	0.787	2.5878819697668467e-4
GPR34	2.2547491834049763e-8	3.4693557386053233	1	0.691	7.48058136578269e-4
MRC1	4.612471031512173e-9	3.4160160737960297	1	0.894	1.5302795141247937e-4
TBXAS1	6.6318391580133935e-9	3.3998848416432357	1	0.872	2.2002452774541037e-4
TRPM2	1.5838181088007768e-9	3.392833758459349	1	0.83	5.254633339568337e-5
LGMN	3.0928532090616805e-10	3.3906304959406652	1	0.883	1.0261159091703938e-5
RNF144B	8.474893660087789e-8	3.385866231344445	1	0.83	0.0028117154696073255
HCK	1.4690640211664516e-6	3.315600154365195	1	0.798	0.04873913703023936
SLCO2B1	1.0183511745991067e-12	3.305140088564383	1	0.926	3.378583691967456e-8
IL18	3.000629355523754e-14	3.3026494521648226	1	0.787	9.955188012821158e-10
AC004593.1	5.080132393852894e-7	3.198519012938455	1	0.511	0.016854355243085744
STAB1	2.703435313748265e-9	3.1957440958491548	1	0.862	8.969187340422619e-5
CMKLR1	1.0304763237274131e-7	3.152009173255713	1	0.777	0.0034188112992304385
SLC16A10	1.0100786074164779e-9	3.1263010995354	1	0.872	3.351137795825649e-5
