gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AC095350.1	3.4028381727660916e-8	4.026516013458302	1	0.355	0.0011289596205786062
AC010511.1	2.440559242977569e-10	3.9746451257537627	1	0.473	8.09704340042668e-6
LINC00529	6.461781719155313e-7	3.9380127137160326	0.875	0.366	0.021438253209641583
AC022201.1	2.3745799274501724e-8	3.9341264773366524	1	0.419	7.878143825301437e-4
AC000061.1	2.5067502871881845e-7	3.9281708298564935	1	0.387	0.00831664542780424
AC099567.1	1.2487207536335648e-7	3.9109895264551104	1	0.419	0.004142880844330078
AC080068.1	7.971306270388197e-7	3.9047783760818704	1	0.387	0.026446402813266923
G6PC	1.3627687267806634e-8	3.9006856764882283	1	0.43	4.5212578048402073e-4
LINC00939	1.2496521863278145e-7	3.9005508446460238	1	0.409	0.00414597105857979
KLRF2	6.612338804176881e-7	3.899767849018207	1	0.323	0.02193775645061764
AC012413.1	1.0783790964771715e-7	3.897132837092801	1	0.43	0.003577738328382312
SLC18A1	7.961044912149202e-7	3.8807950104953663	1	0.441	0.026412358705037407
PSKH2	8.897872696569418e-8	3.8711234471304943	1	0.43	0.0029520472245408358
AC069285.1	1.0433149769497356e-6	3.8690750087485695	1	0.409	0.03461406099026138
SLCO6A1	2.729429551558832e-11	3.8666635490722765	1	0.538	9.055428423206737e-7
CDHR4	5.841751440146674e-10	3.8661170179021003	1	0.473	1.938117875297462e-5
AC068672.2	8.19721596083552e-9	3.8615158091058785	1	0.484	2.7195903393264007e-4
LINC00635	1.880518939788784e-9	3.8601210318065973	1	0.43	6.238997686537248e-5
AL390964.1	5.909041191592019e-7	3.858609402638833	1	0.376	0.019604425961344842
AP003900.1	2.720614169756902e-10	3.847521560077265	1	0.505	9.026181631002474e-6
CR382287.2	3.6031304676332996e-12	3.8341712624546442	1	0.624	1.1954105952466997e-7
AC023824.3	9.090426973174063e-8	3.8312011049824735	1	0.452	0.003015930956889959
POM121L2	3.2343101143906143e-7	3.829654665443966	1	0.366	0.01073047066651374
MIR548XHG	3.853143668191445e-11	3.828035553823896	1	0.559	1.2783574747958758e-6
LINC01889	3.715403869314677e-7	3.8279506273551855	1	0.43	0.012326595417225304
