gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FHL5	4.4234873426578794e-18	5.7384386141637345	1	0.632	1.4675803956736045e-13
STEAP4	3.895089718012059e-15	4.683846359528561	1	0.839	1.2922739157448606e-10
PTH1R	1.7507425494516372e-9	4.519691639828498	0.875	0.782	5.808438556315697e-5
TBX2	1.1937752573593832e-8	4.305503734392663	1	0.632	3.9605881713412254e-4
FAM163B	1.1797550362104344e-6	4.254350340456055	0.5	0.333	0.03914073283635358
RCAN2	1.1491887269468539e-7	4.06338184713927	1	0.805	0.003812663439391577
PRR16	3.2622654835243774e-9	4.030983676045371	1	0.782	1.0823218194688826e-4
PDGFRB	3.818202088130784e-8	3.797406200889295	1	0.816	0.0012667649067791503
ADAMTSL2	2.7876695954679824e-7	3.7824867379547835	0.625	0.782	0.009248651416884125
SERPINE1	5.176023069612071e-8	3.7665909110844096	1	0.839	0.0017172491738051967
CNR1	2.1639002835718453e-8	3.7427199178500663	1	0.759	7.179171970806311e-4
NFASC	1.8952812774535377e-7	3.587405591973087	1	0.828	0.006287974694207602
PARM1	6.170578174909753e-7	3.5321277577437957	1	0.828	0.020472127210898087
CCDC102B	2.019062552048666e-9	3.4311823767559897	1	0.862	6.698643828931859e-5
PRPS2	5.936747419762888e-8	3.3835745575020777	0.75	0.828	0.0019696346914547334
CARMN	2.4776762157131234e-7	3.367670124785658	1	0.828	0.008220186380871429
RAB40A	2.3827508578825804e-7	3.3169777774781486	1	0.701	0.007905252521197037
MZB1	1.4316894059055589e-6	-3.2762720027094407	0.625	0.782	0.04749915941972873
ARHGEF17	1.056726985236607e-6	3.2755432255343195	1	0.828	0.03505903118919491
ACTA2	3.4716662444855783e-10	3.2572294324209	0.875	0.839	1.1517947099329803e-5
CALD1	5.829128354222046e-7	2.948683620835879	1	0.931	0.01933929914080248
TPM1	5.823791329606286e-10	2.946194788016284	1	0.897	1.9321592494234773e-5
SNCA	1.3695645119458803e-6	-2.6764071347664524	0.5	0.793	0.04543804181282847
TOX	4.887908791544672e-7	-2.6250534586407137	0.75	0.897	0.016216614997707757
PPP1R16B	9.968989747796926e-8	-2.566447835722356	0.875	0.931	0.003307411728626586
TAGLN	2.7056651128384536e-7	2.561616705897413	1	0.908	0.008976585144864137
BMP6	1.379397196712982e-6	-2.487151738711114	0.625	0.851	0.0457642607953466
ITGA6	9.86841226920433e-7	-2.471271414859425	0.75	0.874	0.032740431385539205
BCL11A	2.576979488713069e-7	-2.4398528431707556	0.625	0.874	0.00854964484970335
ST6GAL1	6.545112619220871e-7	-2.3172144053945014	0.75	0.931	0.021714720136789083
POU2AF1	1.3659694514786632e-6	-2.311279195337308	0.5	0.839	0.04531876849170761
LAPTM5	5.7775358286527914e-8	-2.300814188285622	0.75	0.92	0.0019168130618721366
TGFB3	3.950976767304699e-8	2.212053028067027	0.75	0.805	0.00131081556208868
IFT43	1.3886516887080645e-9	2.2024946778102903	1	0.885	4.6071297076267455e-5
NEDD4L	2.5013753659312254e-7	-2.0952783228122844	0.625	0.977	0.008298813051550027
AC004687.1	1.0580030835402733e-6	-1.916536160423862	0.5	0.782	0.03510136830261565
EPB41	1.5518063333316708e-7	-1.8826310580379286	1	0.954	0.005148427872094484
LCP1	1.0039893365198549e-7	-1.8695361389439498	0.75	0.885	0.0033309354217719227
MGAT4A	1.3056396452207298e-6	-1.8039961441660677	0.75	0.897	0.04331720650948815
LIPE-AS1	1.6346735111576044e-7	-1.8027875482212652	0.875	0.897	0.005423356307967584
CCDC88C	1.1757887743671966e-6	-1.7861857892156883	0.875	0.92	0.03900914416718048
ATP8A1	2.8063309232304864e-8	-1.7013915302945166	0.625	0.908	9.310564104001785e-4
ABCA7	3.398207679439214e-7	-1.695924253659589	0.75	0.908	0.011274233618075481
FCMR	8.638049389374128e-7	-1.6910798274569585	0.5	0.805	0.02865845645912654
