gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGHG1	4.1184125010281904e-15	7.619279954721796	1	0.797	1.3601057284645599e-10
IGLC3	3.4023051155870994e-27	7.487488155313843	1	0.716	1.1236112644226395e-22
IGLC2	2.123196728022504e-16	7.116811612992309	1	0.824	7.011857194294319e-12
IGHG3	4.1757574743216803e-13	7.092414528567407	1	0.797	1.379043905894735e-8
IGHGP	4.87648383168648e-12	6.980494999167991	1	0.649	1.6104587854144602e-7
MZB1	3.742388584305222e-16	6.815318642626416	1	0.73	1.2359238299667995e-11
IGKC	9.33735341519184e-13	6.7116810514762815	1	0.865	3.0836609653671046e-8
IGKV3-20	3.2857461407558647e-9	6.527347756818583	0.667	0.284	1.0851176629846243e-4
IGHG4	3.4273316908659736e-8	6.427693047275126	1	0.676	0.0011318762909084878
IGLL5	1.2367857478275747e-10	6.39455741744917	1	0.716	4.084484932200565e-6
IGLV3-19	5.298383524098024e-10	6.032390320458607	0.667	0.284	1.7497911588333724e-5
DERL3	2.6941451552286948e-14	5.993242998141921	1	0.73	8.897414375142764e-10
JCHAIN	1.4624154724898259e-15	5.866963026263526	1	0.73	4.82962709789765e-11
PIM2	1.8225353239598234e-35	5.722194382622492	1	0.676	6.018922907377317e-31
IGHA1	7.218839075914962e-7	5.579152768424702	1	0.743	0.023840216048209163
MEI1	1.4108658884418738e-18	5.453935459302288	1	0.77	4.6593845965792885e-14
AMPD1	1.0196437782551709e-14	5.317305178807177	1	0.554	3.367373577687702e-10
TENT5C	1.7981909960257196e-9	5.203517889712382	1	0.689	5.938525764374939e-5
TXNDC5	1.5663743605283845e-44	5.159829857015732	1	0.865	5.17295132564499e-40
POU2AF1	5.095933619120616e-9	4.964738585224704	1	0.743	1.6829320777145835e-4
SLC17A9	7.755690509862434e-19	4.91306556027315	1	0.622	2.5613167908820688e-14
ENAM	1.8249312206755925e-11	4.855996403830171	1	0.716	6.026835356281145e-7
SPAG4	6.628815453430255e-29	4.786537966575753	1	0.568	2.1891663034953416e-24
AC012236.1	5.508518663587447e-9	4.744760010339555	0.833	0.568	1.8191882886497542e-4
ZNF215	6.43500338897222e-23	4.684392269821441	1	0.703	2.125159869208076e-18
TMC3-AS1	7.789830819222818e-17	4.680534023871958	1	0.824	2.5725916280483356e-12
TAS1R3	1.1305264975479296e-7	4.675274730427914	1	0.365	0.0037335637581520378
IL26	5.3809337036903605e-8	4.640523447206198	1	0.622	0.0017770533556437415
AC078883.1	5.698783713652451e-30	4.609596453335283	1	0.757	1.8820233214337218e-25
TNFRSF17	2.3957752434297175e-16	4.5808678924879365	0.5	0.446	7.912047741426642e-12
IRF4	1.0968084649049155e-7	4.530034051290284	1	0.716	0.0036222099553484834
LINC02362	9.71193983740325e-47	4.518328954097887	0.833	0.635	3.207368131302423e-42
IFNG-AS1	4.21577472643403e-7	4.416971542263283	1	0.797	0.013922596034048383
BMF	3.735236824294088e-14	4.395079665646954	1	0.743	1.2335619612231227e-9
HSH2D	1.0650590267754954e-9	4.382343227717289	1	0.811	3.517357435926073e-5
AC022173.1	5.3955067826465065e-12	4.351262154954212	1	0.486	1.7818661149690086e-7
LINC01484	8.901183034046878e-13	4.307286074008757	1	0.595	2.9396156969939814e-8
SDC1	3.695554320880305e-26	4.294565354346238	0.833	0.649	1.2204568144707207e-21
AC092546.1	1.2300182804222997e-9	4.258023230593894	1	0.622	4.062135371094645e-5
CD38	6.259491092583623e-15	4.217776694181006	1	0.797	2.0671969333257415e-10
ETV2	5.70112984168674e-8	4.207018109932942	0.833	0.419	0.001882798130217046
PDK1	5.742421407812739e-28	4.177494016099784	1	0.797	1.896434669930157e-23
XBP1	2.529477977909521e-60	4.148592082897187	1	0.824	8.353601022046194e-56
NUGGC	1.0026700511221473e-9	4.088042833638238	1	0.757	3.3113178438308915e-5
AC007569.1	8.555076170867563e-9	4.0869343427909985	1	0.662	2.825313905429013e-4
PRDM1	5.6298613206550704e-8	4.02037556771155	1	0.784	0.001859261701146337
AL591518.1	1.2627193402537373e-6	3.9367595348794135	1	0.676	0.041701306211879674
TP53INP1	2.9962194408241776e-37	3.922182776760089	1	0.838	9.895014703321847e-33
XKRX	1.5456021212790316e-10	3.9066218482567914	0.667	0.743	5.104351005524002e-6
KLHL6-AS1	1.1862217353358194e-7	3.901185243603628	1	0.635	0.003917497280946544
PAIP2B	1.0047085391397755e-16	3.883586483033087	1	0.716	3.3180499505091086e-12
STARD5	9.501225797180336e-12	3.812343776676198	1	0.689	3.137779819518806e-7
AP000646.1	3.1050089236238475e-16	3.773386448106148	0.833	0.595	1.0254291970267757e-11
H1FX	5.378724270872716e-16	3.7425928438640095	1	0.824	1.7763236904557144e-11
ANKRD37	2.0423080773044714e-9	3.720293885832051	0.833	0.635	6.744722425298017e-5
DGKI	4.560091415749582e-16	3.6752707713737243	1	0.824	1.5059701900512994e-11
TBCEL	1.6135658430884934e-62	3.664379435550799	1	0.905	5.3288011967997494e-58
SLCO5A1	1.1380011558656226e-7	3.659954272704032	0.833	0.757	0.0037582488172462187
CREB3L2	2.3683629969643348e-61	3.650569849261964	1	0.973	7.821518797474716e-57
GLCCI1	3.115694753186355e-16	3.601094852454469	1	0.892	1.0289581922397938e-11
AC087280.2	3.0993102057858093e-14	3.5518018758366745	1	0.77	1.0235471954607634e-9
DPEP1	9.908363100873453e-10	3.5269144755808517	1	0.716	3.272236914063458e-5
AP000676.5	2.05302609781759e-9	3.5256790628275088	1	0.784	6.780118688042591e-5
ALDH1L2	3.819108794885897e-15	3.520124281945974	1	0.811	1.2612606795110674e-10
CSF2RB	1.1321928629276882e-7	3.487241599900006	0.833	0.662	0.0037390669298186904
LYPD6B	3.6758531544514543e-7	3.4849215679289562	1	0.743	0.012139505042575927
C16orf74	4.3762536818777944e-7	3.4562379407011545	1	0.77	0.014452577784401417
P2RX1	3.0774795867714613e-7	3.391309537123006	1	0.77	0.010163376335312752
LRRN1	9.76548554640293e-12	3.3817543674364297	0.833	0.676	3.2250516016995675e-7
TPTE2	1.6475507735804916e-10	3.3368109799165016	1	0.743	5.441036429749573e-6
LRRK1	7.778902343624621e-13	3.3337521261632244	1	0.905	2.568982498982031e-8
AP001363.1	2.0937072007331646e-9	3.27283530303837	1	0.743	6.914468030421276e-5
GMPPA	5.503287587927914e-27	3.2501486155273622	1	0.716	1.8174607259131937e-22
SDF2L1	2.0920712026407145e-20	3.2272054287257244	1	0.716	6.90906514672096e-16
WNT5B	3.723042079814954e-22	3.213751247064303	1	0.892	1.2295346468588886e-17
CASP10	1.2283038328601314e-12	3.2049696810044717	1	0.838	4.056473408020584e-8
FKBP11	5.2237679051301837e-39	3.180295452917112	1	0.811	1.7251493506692431e-34
AC060809.1	3.8514376119387405e-13	3.1538107411969647	1	0.757	1.271937271342769e-8
DUSP5	1.0464934351923356e-6	3.1477707565808966	0.833	0.784	0.03456044569722688
LINC00571	5.157109010099284e-13	3.1331491569578245	1	0.703	1.7031352505852885e-8
HERPUD1	4.0111893772546584e-22	3.1154598478877724	1	0.905	1.324695291838351e-17
SLC15A2	7.00672076345185e-7	3.092182866626626	1	0.73	0.023139695321299735
KLHL6	4.910227682183894e-7	3.062512076496361	1	0.892	0.01621602692041231
ZC3H12A	1.7406093780247006e-11	3.05503718604458	0.833	0.757	5.748362470926573e-7
SEC11C	1.1979347763117386e-22	3.0509320886307933	1	0.784	3.956179598769517e-18
ITGA6	6.10831860848599e-8	3.0304026090506246	1	0.865	0.002017272220452498
MAP3K19	1.1150902359947463e-9	3.0296440732257794	1	0.757	3.6825855043726496e-5
GABRR2	8.275103013189251e-7	3.010903397860566	0.667	0.676	0.027328527701057502
