gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
GZMH	5.229382967430404e-16	5.6726259900548115	1	0.529	1.734952387104385e-11
GNLY	1.93004267548904e-9	4.988619719382555	1	0.632	6.403302584469988e-5
CTSW	1.0781573581173529e-10	4.9291543494273835	1	0.586	3.5770026670259415e-6
TRGC2	3.812138639279894e-7	4.879842718374894	1	0.517	0.012647532363538903
GZMA	3.102625666531372e-11	4.799923511301268	1	0.621	1.0293581173851133e-6
CD2	4.2915174691638136e-8	4.636494768839978	1	0.701	0.0014237967507444785
PTGDR	5.327379669158755e-10	4.535217647786975	1	0.678	1.7674647528368003e-5
KLRC4-KLRK1	6.216124333275416e-10	4.5046140584076815	1	0.793	2.0623235700507847e-5
GZMK	7.799889750260768e-9	4.487412088543237	1	0.575	2.587769422444015e-4
PYHIN1	2.8108784838186407e-7	4.4334585004822555	1	0.701	0.009325651545765104
AC246785.3	1.2973203713470177e-8	4.411265901498376	1	0.425	4.304119796018e-4
NKG7	9.727901510220484e-9	4.4080434995809075	1	0.644	3.2274258840458503e-4
PRF1	1.417632278808671e-6	4.293375044215243	1	0.586	0.04703278611403528
THEMIS	1.078129725772644e-7	4.265254688674739	1	0.793	0.003576910991195901
GPR171	2.6718589843028e-8	3.968404577857708	1	0.598	8.8644265522214e-4
LINC01934	1.139446056502649e-6	3.9374272587412382	1	0.816	0.03780340181658839
RUNX3	1.0519989838511825e-7	3.873415994737786	1	0.851	0.003490217028723068
AL158071.2	3.119467744708724e-7	3.821117310610143	1	0.402	0.010349458136620134
SLFN12L	3.740806637079524e-9	3.6974861662374012	1	0.851	1.2410874179838736e-4
BCL11B	6.672594633559157e-7	3.657434779336519	1	0.828	0.022137667215759216
CXCR6	1.919999735836376e-12	3.6560209882322883	1	0.575	6.369983123584345e-8
TC2N	5.122155277162241e-9	3.596627172418221	1	0.851	1.6993774563041166e-4
LINC002481	1.3878042498722217e-6	3.59532940873988	1	0.563	0.0460431815980107
AL158071.3	1.3594532702405484e-13	3.5448828219939807	1	0.782	4.5102581146770675e-9
THRA1/BTR	4.109167920506115e-9	3.4957265383785145	0.875	0.598	1.3632986409863135e-4
AC243829.2	6.991283509536155e-7	3.432426427651639	1	0.759	0.0231949812995881
PLEKHF1	2.2807708977239723e-8	3.428235067262453	1	0.621	7.566913607378823e-4
ITGB7	2.2565791865382027e-7	3.37966627640708	1	0.782	0.007486652767177795
