gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGHA1	1.4576004079416442e-8	-4.596741477578019	0.75	0.769	4.835880873427993e-4
PPARG	1.1936254537212735e-9	-3.9569882442708586	1	0.89	3.960091167811069e-5
EBF1	2.3089211712298547e-8	-3.8817308981790446	1	0.912	7.660307769789289e-4
BCL2	1.071815132337501e-11	-3.5808342107005435	1	0.945	3.555961064556127e-7
CELF2	2.2798630890675205e-10	-3.543502000743966	1	0.967	7.563901770599313e-6
AC129102.1	8.41293565652737e-8	3.518243919532617	0	0.462	0.0027911596627660856
ARHGAP15	5.265336051116959e-9	-3.5154200491640166	1	0.956	1.7468805416790735e-4
FKBP5	6.507610801990637e-13	-3.413830183982447	1	0.978	2.1590300357764336e-8
AC005414.1	8.654886930281263e-7	3.3929940877950346	0.75	0.505	0.028714318368594147
AC068987.4	1.095899222653413e-6	3.381311404506212	1	0.527	0.03635864850997228
PRKCB	4.476173973526129e-9	-3.365713621658938	1	0.934	1.4850602391967637e-4
PDE3B	6.656624349199002e-8	-3.1910999156206414	1	0.857	0.0022084682603337527
RCSD1	9.766799202865945e-10	-3.1637021551526257	1	0.945	3.2403309715348347e-5
IKZF1	2.3345702212645967e-8	-3.1592327339485093	1	0.923	7.745403623089553e-4
TNFAIP8	7.794114737433807e-10	-3.1463870021919322	1	0.901	2.585853446438414e-5
CD36	3.031303178796257e-7	-3.0869306034618136	1	0.879	0.010056954556292342
PTPRC	2.807655389924813e-7	-2.920403075813721	1	0.901	0.009314958287153553
LAG3	6.60853527715604e-7	2.8880345233161155	0.75	0.516	0.021925137489020596
ELMO1	1.0285682543178532e-8	-2.8422956350576496	1	0.989	3.412480897350341e-4
NAV2	1.181139925946462e-6	-2.815908645313037	1	0.934	0.03918667932312577
PDE4D	1.4207634180618328e-9	-2.7484326265705166	1	0.901	4.7136667921037425e-5
FYN	1.2921432319741785e-8	-2.7439053637653745	1	0.901	4.286943600720732e-4
INPP5D	9.285019276785924e-8	-2.7321602703467978	1	0.945	0.003080490845459266
AC107464.3	8.582060148201084e-7	2.685722414604961	0.75	0.582	0.028472700953686737
IRGM	1.3827706806157945e-6	2.6252408311834596	1	0.637	0.04587618287079021
IFNG-AS1	1.1229445903239776e-7	-2.6236395398697168	1	0.857	0.0037255932673178607
ADRB2	8.750072299055914e-7	2.616415973549593	1	0.648	0.029030114866577805
RGS6	8.201142885083966e-7	-2.5977058264234394	1	0.912	0.027208931749843075
DUSP8	6.359517586611453e-7	2.540758965110255	1	0.615	0.021098971497100816
LRFN1	1.1080207293575868e-6	2.526453842982251	1	0.681	0.036760803737896655
APBB1IP	2.3982335714778103e-7	-2.5228308207641517	1	0.934	0.007956619520091931
TSPAN5	2.2462572289845818e-7	-2.5023693080426668	1	0.901	0.007452407608602147
VAV3	8.787967551242779e-9	-2.4842200975820377	1	0.934	2.9155839944758165e-4
FLI1	1.7311166762596815e-10	-2.4827021771090356	1	0.945	5.743325796826745e-6
RHOH	1.1653931165413174e-7	-2.4662087532677526	1	0.868	0.003866424742749129
MELTF-AS1	1.3640362420497997e-8	2.454662148587274	0.75	0.659	4.5254630402486205e-4
LPL	1.3787812016075728e-8	-2.423477984944202	1	0.813	4.574382392573444e-4
ARHGAP26	4.2935107771178796e-8	-2.4165396358239715	1	0.923	0.001424458070524399
SEL1L3	2.8966270305996556e-7	-2.405976477867397	1	0.89	0.009610139499420477
TPD52	6.252995364440279e-7	-2.3866452199273107	1	0.901	0.020745562720603513
C22orf34	4.4495326147099845e-8	-2.380409253453519	1	0.923	0.0014762214355823315
ETS1	5.428354165236473e-7	-2.3627400583785634	1	0.912	0.018009650614005047
TMC8	1.5276510640517204e-7	-2.3566532986689954	1	0.901	0.0050682879352043925
LAMA4	1.0258756927861644e-7	-2.344413836538816	1	0.857	0.0034035477859566577
TMEM131L	8.017273958334027e-8	-2.3258092789518474	1	0.923	0.00265989098115648
C13orf46	1.2787718630094866e-6	2.2947256196334402	1	0.659	0.042425814099065734
SETBP1	1.7616939791128633e-7	-2.292801815631607	1	0.912	0.0058447721145027465
NEDD9	7.910792872612561e-7	-2.2723114448953186	1	0.934	0.02624563751346669
PLXNA4	6.037722367573376e-7	-2.2642244281408734	1	0.879	0.02003135149889819
DOCK11	2.5925335297085815e-9	-2.26086205338816	1	0.934	8.601248491514161e-5
FCRL1	9.58785863892895e-9	-2.254937091936162	1	0.714	3.180963860637458e-4
STK17B	5.499359672016041e-9	-2.2502806374904303	1	0.934	1.824522558384762e-4
HDAC9	2.0342092683638056e-7	-2.2154920835197953	1	0.923	0.006748896089650598
LINC02352	5.383504110675236e-8	2.2090823409259053	1	0.626	0.001786085158798723
EBF3	4.4647145532987855e-7	-2.205788187888428	1	0.813	0.014812583473479381
IKZF3	5.609773789679666e-8	-2.1909644800359755	1	0.89	0.0018611546502020227
KCNQ5	2.988783433234173e-8	-2.1659342734988036	1	0.901	9.915886796441017e-4
