gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGHA1	9.459054997007247e-8	-4.582170095633915	0.75	0.769	0.0031382306763570946
DACH1	1.0820974799622346e-6	4.375408643612196	1	0.868	0.035900748092707054
PPARG	4.548587967108288e-9	-3.9224989915059023	1	0.89	1.5090850298475167e-4
BCL2	3.0409352826967286e-11	-3.5766542508468193	1	0.945	1.0088910987402936e-6
ARHGAP15	5.400748776793769e-9	-3.559282712262206	1	0.956	1.7918064216768687e-4
PRKCB	4.757248620643758e-9	-3.390043149932848	1	0.934	1.5783123748709795e-4
PDE3B	1.1406682530593476e-7	-3.19496373634224	1	0.857	0.0037843950631749976
RCSD1	1.5631291094873657e-9	-3.173408607985163	1	0.945	5.185993446546233e-5
IKZF1	6.958316218450899e-8	-3.138057983058243	1	0.923	0.0023085605717954546
TNFAIP8	2.6819384292520817e-8	-3.0215241963295405	1	0.901	8.897867126729631e-4
PTPRC	1.1931030202082455e-7	-2.986675229276849	1	0.901	0.003958357890144896
LINC00528	1.2103276437720308e-6	2.8836294675743774	0.25	0.615	0.040155040237424666
ELMO1	2.5773231581964005e-8	-2.8255462432507317	1	0.989	8.550785041948198e-4
INPP5D	1.0357634611263612e-7	-2.7647881609998404	1	0.945	0.0034363524349789285
FYN	2.32162484224025e-8	-2.743597166436657	1	0.901	7.702454739100477e-4
PDE4D	5.962478142613304e-9	-2.709356964661796	1	0.901	1.978171373374816e-4
ZSCAN1	1.4600957978082404e-6	2.6577954026805144	0.5	0.593	0.048441598283883995
IFNG-AS1	6.662196952383182e-8	-2.644352604077894	1	0.857	0.0022103170828921682
CARD11	3.859857340432027e-7	-2.630247076326545	1	0.912	0.012805848698351337
SMAP2	1.26404982852425e-6	-2.5228450559564095	1	0.934	0.04193738116094904
APBB1IP	4.2797867583790464e-7	-2.5222333644256816	1	0.934	0.014199048528274163
RHOH	6.761379721629386e-8	-2.4982505985426857	1	0.868	0.0022432229502449817
VAV3	3.969343939041329e-8	-2.454008211259425	1	0.934	0.0013169092386557417
FLI1	1.6925200360199883e-9	-2.4272442745900893	1	0.945	5.615273723503515e-5
TMC8	3.108569726246289e-8	-2.4253804360472317	1	0.901	0.0010313301780767313
ETS1	7.387182393368011e-7	-2.373729536955492	1	0.912	0.024508455026477048
TPD52	1.2339787538736798e-6	-2.3639615918983443	1	0.901	0.040939713117267074
UGCG	2.1561971945606817e-7	2.3581078598176877	1	0.923	0.007153615432393973
NEDD9	4.328839406991702e-7	-2.3553369142068004	1	0.934	0.01436179050057637
C22orf34	1.4354017675328e-7	-2.35428965736592	1	0.923	0.004762232444143571
FKBP5	1.492473520896644e-6	-2.3522874463489645	1	0.978	0.04951579400278796
ARHGAP26	3.0332014546081545e-7	-2.31851274396943	1	0.923	0.010063252465953474
PLXNA4	1.1204078080259646e-6	-2.2636227041060906	1	0.879	0.03717176984687743
DOCK11	5.481269353231709e-9	-2.2631881934478306	1	0.934	1.8185207333216841e-4
FCRL1	2.208302998210199e-8	-2.2553766537952464	0.5	0.736	7.326486857161978e-4
PIP4K2A	8.562949105035194e-7	-2.236943382633485	1	0.956	0.028409296245775262
EBF3	1.462953136553091e-6	-2.1960669953380365	1	0.813	0.048536396211421896
KCNQ5	2.065447796559254e-8	-2.19507742659262	1	0.901	6.852536154644637e-4
SETBP1	1.3459716906628134e-6	-2.192589666138204	1	0.912	0.044655302781120156
IKZF3	1.0092701873216823e-7	-2.1916483663367248	1	0.89	0.0033484557004771452
MAML2	2.2819738276076538e-10	-2.165741003238915	1	0.978	7.5709045678539125e-6
CHSY3	5.108410625968407e-7	-2.148455230493118	1	0.846	0.016948173933775384
