gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
AL136454.1	5.701036824595379e-19	5.559961356255471	1	0.656	1.891432987296009e-14
PTRHD1	8.44622512284333e-8	5.029931056557723	1	0.625	0.0028022041090057315
HIST1H4E	1.2719358650945849e-8	4.87837355522266	0.833	0.594	4.219901619624304e-4
RPL30	3.0965480695653804e-15	4.645895455610015	1	0.927	1.0273417530397063e-10
RPS19	2.403539932901978e-15	4.50308947522492	1	0.927	7.974224435388892e-11
S100A4	1.4034135848252719e-11	4.501618422593092	1	0.802	4.6561052503748046e-7
SH3BGRL3	1.779205225195231e-11	4.4954373676468276	1	0.792	5.902869175630218e-7
RPL32	5.461310514437378e-15	4.483915586923288	1	0.938	1.811898989374889e-10
AC011468.3	6.515218670327252e-8	4.420443726248081	0.5	0.448	0.0021615540982544723
RPS23	6.194227854036037e-13	4.419209244646841	1	0.896	2.055058975133536e-8
RPS3	4.580938883147976e-19	4.372258476762701	1	0.906	1.5198180932620042e-14
PSME1	1.0704530942101158e-11	4.362729526820511	1	0.781	3.551442230660901e-7
RPS29	2.0440802088449663e-13	4.334356109379346	1	0.938	6.781644908884945e-9
RPS27A	8.02956757096722e-14	4.320128882592217	1	0.875	2.663969633019795e-9
RPS27	1.0773822670375693e-13	4.2979663629330735	1	0.927	3.5744311473505438e-9
RPS11	3.5195532741245454e-15	4.274170104812769	1	0.927	1.1676821897563003e-10
RPL23A	4.9998517933125065e-15	4.262306001660169	1	0.896	1.6588008294672903e-10
OOEP	6.477805253347348e-13	4.261177985769049	1	0.854	2.1491414489030495e-8
RPS10-NUDT3	6.310476066149872e-15	4.248314136287296	1	0.885	2.093626644466543e-10
RPS15A	1.2300690017856163e-13	4.247410961972226	1	0.917	4.08099992722414e-9
RPS25	3.5907049478096803e-12	4.234982340653167	1	0.896	1.1912881805348176e-7
RPL36A	5.475357655424229e-17	4.221802392067413	1	0.906	1.8165594093400965e-12
RPL19	4.596342058175832e-12	4.215543946599925	1	0.896	1.5249284046409959e-7
RPL18A	3.840837935595022e-12	4.210328011050979	1	0.854	1.2742748018923604e-7
RPL27	1.50929486602604e-8	4.180960420279728	1	0.885	5.007387577014593e-4
RPS13	3.7274698793776586e-11	4.141499715999549	1	0.896	1.2366626818811258e-6
RPL18	9.40722521031757e-13	4.135115912953419	1	0.906	3.12103510802706e-8
RPS12	3.205796826706848e-11	4.132059017307112	1	0.927	1.063587213196531e-6
RPL4	1.7921981330729058e-10	4.132049779170429	1	0.896	5.94597574609598e-6
RPL9	5.158265707165345e-13	4.130413708882667	1	0.906	1.7113578136662468e-8
RPL26	9.895155884061709e-12	4.128438581479363	1	0.865	3.282915867655153e-7
RPS10	4.4916207350213516e-13	4.120294623547375	1	0.906	1.490185011258034e-8
RPL17	1.8357955230042165e-8	4.105484617381242	1	0.854	6.090618806671089e-4
RPS14	5.077570430050548e-13	4.080444446388818	1	0.927	1.6845855415778703e-8
RAMAC	1.8177532554617204e-12	4.05361016221934	0.667	0.5	6.03075997564535e-8
RPL35A	3.308403108108007e-12	4.0512660130247315	1	0.896	1.0976288991769935e-7
RPL31	1.957081846401626e-15	4.050021498116297	1	0.875	6.493010441806675e-11
IER3IP1	3.682183552181646e-12	4.045027089516001	1	0.74	1.2216380371073048e-7
RPL10	8.787735020217379e-14	4.029311885082659	1	0.948	2.91550684765752e-9
RPS16	4.728034937802697e-15	4.02636477162411	1	0.917	1.5686201513148007e-10
FAU	4.486277179014858e-11	4.015850866697933	1	0.896	1.4884121796817595e-6
RPL27A	8.586735392515103e-13	4.015754152679716	1	0.948	2.8488212011747356e-8
RPS20	1.3753213956948376e-12	4.0058976701154645	1	0.927	4.5629037944967624e-8
RPL39	3.6920033063115344e-10	3.9940973916873004	1	0.875	1.2248959369349777e-5
PDCD5	7.416627363161908e-11	3.985101775783442	1	0.771	2.460614460276226e-6
RPS21	1.5298657357821568e-11	3.964186593102324	1	0.896	5.075635551604462e-7
ASNSD1	1.8422569519030384e-8	3.96288180911539	1	0.771	6.112055889328711e-4
RPS3A	1.66010470981284e-14	3.960053054239996	1	0.896	5.5077293957460595e-10
AC016708.1	3.85709081159417e-8	3.944246099816768	1	0.781	0.0012796670185625978
TXN2	1.2027852207977448e-13	3.909744408108456	1	0.833	3.990480527040678e-9
RPS18	2.3203196895611275e-11	3.9082243733002024	1	0.927	7.698124634056952e-7
RPL13A	2.140560026765043e-9	3.9014679073871	1	0.917	7.101736000798382e-5
RPL21	5.189873346821097e-14	3.8978593842615434	1	0.906	1.7218442802748355e-9
ARL6IP1	6.4557686587005326e-12	3.8885532177764066	1	0.844	2.1418303678970756e-7
RPL38	2.551989977310594e-9	3.875123502784825	1	0.938	8.466737147723358e-5
RPL34	1.749205962255232e-13	3.8695209704897433	1	0.917	5.803340620974184e-9
RPL24	9.14491767173796e-13	3.8693500206730076	1	0.875	3.0340093359525026e-8
RPL41	2.388802169036393e-10	3.8618997720018085	1	0.958	7.925328956212042e-6
RPLP2	3.841956593291663e-10	3.8528635379234544	1	0.938	1.2746459389563751e-5
NDUFAF4	2.5268073331326293e-7	3.813649369720481	0.833	0.719	0.008383188689134125
TWISTNB	2.1875257856527302e-9	3.811925823345235	1	0.729	7.257554299060063e-5
RPS5	5.326255898612506e-13	3.7970717991926923	1	0.906	1.767091919482671e-8
RPS15	1.4131766136520256e-8	3.783843178433447	1	0.896	4.6884960511133254e-4
EEF1A1	4.3065369350970797e-13	3.7789006087430286	1	0.948	1.4287797589571582e-8
RPS7	1.5368547509875146e-7	3.7747678061414094	1	0.906	0.005098823007351277
RPS2	2.0846509264536296e-13	3.7672972754432026	1	0.906	6.916246378695207e-9
FAM50B	4.925236419776037e-10	3.7621805994059163	0.833	0.5	1.6340456869890958e-5
RPL37	7.558852852677428e-11	3.7614356901833848	1	0.917	2.50780061093279e-6
TPT1	1.0412562253848411e-11	3.7605457338143022	1	0.948	3.4545757789592874e-7
RPL23	5.697673989937835e-13	3.741727931522214	1	0.938	1.8903172996416756e-8
RPL28	2.0492179556202832e-11	3.7301513451936468	1	0.917	6.798690411361414e-7
RPS4X	1.5339133114776461e-12	3.7266586639662114	1	0.885	5.0890641934893865e-8
RPL14	5.65532900114359e-14	3.7259115592123133	1	0.896	1.8762685027094087e-9
COX4I1	1.1837581767709812e-11	3.724379706918123	1	0.823	3.9273545030730844e-7
APOO	9.160493941680089e-11	3.7139694170545114	1	0.865	3.039177075031203e-6
RPL29	7.828854978441313e-11	3.7126342924334477	1	0.927	2.5973792161974746e-6
TMEM199	1.063590967296363e-6	3.697656206683908	0.833	0.74	0.03528675752199144
RPS17	2.855133636801329e-10	3.6907873217262015	1	0.875	9.47247686681577e-6
UQCRB	1.2087454501400758e-10	3.687564589371944	1	0.844	4.0102547799297295e-6
RPL17-C18orf32	3.291683316718038e-10	3.6817748867062843	1	0.927	1.0920817739875435e-5
UBA52	4.777633795667804e-10	3.6763362961979076	1	0.917	1.585075564388707e-5
RPL11	1.4642008905150171e-9	3.6612320559764138	1	0.927	4.8577792944616726e-5
RPL36	1.1367706105418036e-10	3.659960385966172	1	0.938	3.771463854594542e-6
PMVK	5.054153584182859e-11	3.6556470540142794	0.833	0.844	1.676816534624347e-6
RPS6	7.333904612587504e-10	3.6504203911886086	1	0.875	2.433169533318156e-5
RPL7A	7.40161997847158e-12	3.6430062388985007	1	0.917	2.4556354602575164e-7
RPS26	1.5739133155449537e-8	3.642627000490574	1	0.927	5.221772206983493e-4
TMA7	4.761837096152557e-11	3.633342833176398	1	0.896	1.579834693390534e-6
ATP5MF-PTCD1	6.771636980453514e-7	3.632828335813766	0.833	0.521	0.022466260010050622
SEC61G	1.0125886607604246e-8	3.6166142317105043	1	0.76	3.3594653998048605e-4
LDHB	6.6816268143906544e-12	3.614923206010372	1	0.844	2.2167633282103874e-7
RPL35	8.780843327140821e-11	3.61289033750118	1	0.917	2.9132203906455102e-6
RPL22	5.140567565237529e-14	3.5870235811395332	1	0.865	1.7054861011188551e-9
NACA	1.4779249197144232e-12	3.5780312559358203	1	0.885	4.903311506136542e-8
PARL	1.5722307718703183e-8	3.575682655843491	1	0.781	5.216190031834155e-4
MRPL34	1.074555275683591e-11	3.5667866796724375	1	0.771	3.5650520381354494e-7
TSR3	6.434389511785961e-10	3.5270346027884423	1	0.771	2.134737408325228e-5
RPS8	3.7993539823918757e-10	3.513133637929931	1	0.958	1.2605116707381527e-5
FBL	1.1821589220898856e-12	3.4970635631334135	1	0.833	3.9220486558176136e-8
CTDNEP1	2.5126267347956488e-8	3.4935878780683893	1	0.844	8.336141718031524e-4
EEF1G	2.4531657289293124e-12	3.490680778624645	1	0.917	8.138867938868779e-8
RPL15	2.117438788854034e-11	3.4829814554058203	1	0.906	7.025026669781028e-7
RTL6	3.215104427884881e-12	3.4787873619061496	0.833	0.583	1.0666751960393669e-7
AC004448.2	2.3026389472659117e-8	3.4702311382657687	1	0.875	7.639465235344115e-4
PSMD10	1.0039050709398998e-12	3.469988683619995	0.833	0.635	3.3306558538573055e-8
