gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SFRP2	4.993946831951041e-9	5.8829271572412125	0.625	0.436	1.656841740436397e-4
APOD	1.434009526080169e-13	4.72940165176113	0.75	0.713	4.757613404676177e-9
PRG4	9.078939011189555e-7	4.643140895164785	0.5	0.521	0.030121195957423588
CXCL14	5.902902161655598e-8	4.180924921028231	0.625	0.447	0.001958405850172478
MMP23B	7.196284668104689e-7	4.148107565545899	0.75	0.404	0.023875113643370926
PDZRN4	1.0499508403160923e-9	4.137937152463423	1	0.851	3.4834219029166995e-5
GAS1	1.180145281969394e-8	4.105290274061313	1	0.511	3.915368001989858e-4
LUM	1.8690903966436564e-7	4.101545668470911	1	0.734	0.006201081208944659
TMEM119	4.947615760415992e-9	4.029939194601223	0.875	0.617	1.6414704808332138e-4
CXCL12	3.7870340244853536e-10	4.029869995099275	1	0.862	1.2564242783035058e-5
NECAB1	4.588773972802915e-7	4.000789055376911	1	0.766	0.015224175409568231
IGFBP3	2.643899339536602e-10	3.9928427212330737	1	0.702	8.771664838780584e-6
THBS2	1.5608612912567031e-9	3.9781508009465836	1	0.713	5.178469506002364e-5
BX322234.1	8.674619883789609e-11	3.925915056893955	1	0.734	2.8779786388448785e-6
TNC	4.4216034993318036e-7	3.873445193391433	0.875	0.766	0.014669553929733124
FGF7	2.2050429169067416e-8	3.8336861070807062	0.875	0.702	7.315670885421497e-4
PAPPA	1.4732912462674254e-9	3.7837768705339396	1	0.84	4.8879383677414374e-5
CP	2.5186925450391153e-10	3.74088064649228	1	0.819	8.356266256676272e-6
COL1A1	1.010578759118091e-9	3.72019097949444	1	0.819	3.3527971491260904e-5
IGFBP2	2.4457951870544643e-13	3.6708604829546663	1	0.809	8.114414692090596e-9
CFD	4.784134285841146e-15	3.5821276441249	1	0.851	1.5872322320135169e-10
ABCA10	1.6077521669566637e-15	3.5693346839828304	1	0.851	5.334039364312123e-11
CEMIP	1.4091475318912766e-11	3.56405992567613	0.875	0.872	4.675128766555688e-7
ISLR	7.019188281397e-8	3.548325512388381	1	0.649	0.0023287560961190827
EFEMP1	3.042444841106473e-10	3.5017308517117125	1	0.809	1.0093919249338946e-5
C1R	4.85323688504588e-13	3.485050612495325	1	0.872	1.6101584013516717e-8
PCDH18	4.0232395196271076e-7	3.4780406329136544	1	0.628	0.013347901754266854
PCOLCE	1.207884130702911e-11	3.4599946779028277	1	0.734	4.007397180433048e-7
IGF2	1.3994424471557197e-8	3.420220612723022	1	0.83	4.6429302069285315e-4
HGF	5.99450463204548e-8	3.392397042906727	1	0.755	0.001988796801773729
PRELP	1.1449444246016494e-9	3.368044862155952	1	0.713	3.798582117500892e-5
COL1A2	5.648976778578357e-10	3.348807927756368	1	0.84	1.8741610258289413e-5
COL3A1	3.449039273251585e-10	3.323696605885177	1	0.862	1.1442877596866785e-5
NGFR	6.327346548520475e-8	3.2881502434780803	1	0.723	0.002099223764402638
SEPT5-GP1BB	1.2997436047689128e-6	3.282181995934554	0.875	0.596	0.04312159357541822
AEBP1	4.0645341841580076e-10	3.2767022288318453	1	0.819	1.3484905062781022e-5
CCDC80	2.6741764891527545e-11	3.2749334223684325	1	0.809	8.872115338062093e-7
WDR86	9.523906750006473e-10	3.254559297646802	1	0.809	3.159746542449648e-5
C7	5.08316343347971e-9	3.247163422206511	1	0.894	1.6864411323255633e-4
CCDC71L	4.686642006083414e-8	3.2358170018884715	1	0.66	0.0015548872183582941
LEPR	5.514217753255355e-9	3.2060723930820707	1	0.926	1.8294520239975291e-4
COL6A1	7.87452656966313e-12	3.132762737987848	1	0.819	2.6125316800171364e-7
PDGFRA	8.181962274844784e-7	3.1054673696246136	1	0.681	0.02714529623925254
COL6A3	2.3928343055403177e-7	3.0879961886187455	1	0.83	0.007938706375491112
SERPINF1	8.099983685681057e-13	3.064394043454836	1	0.83	2.6873315873984043e-8
CTGF	2.8194635209667616e-9	3.0586154249944104	1	0.883	9.354134123511425e-5
EMILIN1	3.6141518654935004e-9	3.0467354185270112	1	0.691	1.1990671644147787e-4
GGT5	5.045343746620161e-8	3.033345341886628	1	0.819	0.0016738936948161708
COL6A2	6.004341862412639e-11	2.9817093231337823	1	0.84	1.992060499692641e-6
ANGPTL2	3.5093316788165623e-08	2.961104116756838	1	0.702	0.001164290971080971
GPX3	6.814047604643014e-9	2.9344671407283283	1	0.84	2.2606965737924126e-4
SERPING1	3.077177889295688e-11	2.9177049262008548	1	0.83	1.0209153083316302e-6
SLC5A3	5.732339922202415e-16	2.886687775956898	1	0.809	1.9018184159890954e-11
IER5L	1.4934613253715008e-6	2.879357855629138	1	0.617	0.049548566391850284
ABCA6	1.804686475959679e-7	2.8468377104297535	1	0.819	0.005987408321291427
FBLN5	3.842831881538401e-7	2.835693454724602	1	0.798	0.012749363333379954
C1S	8.50868454468112e-14	2.7967901559173347	1	0.894	2.822926271388855e-9
MRC2	4.563749207562566e-7	2.766004937013567	1	0.83	0.015141150745930325
SFRP4	7.055038398373536e-7	2.7210490270602614	1	0.766	0.02340650089428388
ABCA9	4.921020409113143e-7	2.7087072820877496	1	0.83	0.016326469411314673
MID1	4.6108043808269487e-7	2.684682137783083	1	0.883	0.015297265694269568
CYP1B1	5.513476884316815e-9	2.6055771876276173	1	0.819	1.8292062259097898e-4
CTSK	2.716499728494728e-7	2.5522901589159623	1	0.734	0.00901253114922696
FSTL1	1.9335631909769685e-11	2.5210323035859865	1	0.947	6.414982598704288e-7
MXRA8	1.041310132284787e-6	2.501620784563537	1	0.755	0.03454754625881238
RARRES1	2.1278522874906857e-8	2.4904399779795443	1	0.84	7.059575534207848e-4
ABCA8	1.0899572581133828e-8	2.4896757615703455	1	0.862	3.61615119524277e-4
MFGE8	1.3278502441131412e-8	2.47340572591772	1	0.83	4.4054087548941686e-4
LOXL1	1.3251917458677876e-6	2.4432613016086844	1	0.734	0.04396588655265559
EFEMP2	1.2665712704080647e-9	2.4281196879610416	1	0.798	4.202103503832836e-5
VCAN	9.506833845820706e-7	2.372423942060373	1	0.894	0.031540822650279354
F2R	4.0958217424594437e-7	2.3612971453968017	1	0.798	0.013588707794957697
VASN	1.255873672687273e-6	2.349465939664659	1	0.809	0.04166612083874565
FMO2	5.261562153187442e-7	2.297091150136355	1	0.851	0.017456284755629978
CSF1	6.850778433229031e-8	2.137566985822164	1	0.809	0.0022728827607923956
CYGB	1.3163099470790565e-6	2.127049951756691	1	0.787	0.04367121511424186
TRAM1	3.127560405546544e-8	2.0468191166298615	1	0.883	0.0010376307157481768
MRPS6	6.888078653197619e-11	2.044492601896256	1	0.926	2.285257854771374e-6
PCYOX1	2.8055333148824707e-8	2.032681736226035	1	0.862	9.307917878785572e-4
FLNA	1.6861355501231697e-7	1.9056179821282133	1	0.872	0.00559409191464364
VIM	3.239551820701019e-7	1.7875273814283152	1	0.872	0.010747861075539772
DTWD1	1.0321732567148847e-8	1.5940051232628658	1	0.862	3.4244412138029727e-4
CD302	1.1740672614086066e-6	1.3870443287422587	1	0.883	0.03895202953175334
