gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SLC19A3	2.475371188206465e-20	8.376275721965015	1	0.733	8.212538991112589e-16
ADIPOQ	4.216017792448313e-18	8.040352216921251	1	0.578	1.398748223000577e-13
PLIN1	9.84027816603557e-35	7.684638412619744	1	0.756	3.264709087145621e-30
CIDEA	8.103326536338255e-10	7.387001196790894	1	0.711	2.6884406449609428e-5
SAA1	1.078828913302811e-17	7.334561693290768	1	0.6	3.579230685664736e-13
LPL	6.928729687334381e-9	7.0158753429518	1	0.8	2.2987446483669277e-4
PTX3	3.098499119903034e-9	6.770702622248455	1	0.756	1.0279890530102296e-4
ADIPOQ-AS1	9.059078034198942e-13	6.660297383769997	1	0.4	3.005530319406183e-8
LVRN	6.888693695442693e-26	6.5174793889949925	1	0.689	2.285461907337022e-21
GYG2	4.912555515310969e-16	6.451414973328113	1	0.733	1.62983854331472e-11
CIDEC	1.66500305695429e-10	6.144766190911374	1	0.622	5.523980642057248e-6
ATP1A2	8.224150693132621e-7	5.963826652194671	1	0.711	0.027285264754606096
AC016705.2	3.9430136204815996e-20	5.9286610477954085	0.5	0.622	1.3081736288671804e-15
PLIN4	5.4826556915961554e-11	5.873571098347089	1	0.8	1.8189806788008564e-6
PFKFB1	3.790636330416265e-17	5.865234620103584	1	0.711	1.2576194153422042e-12
AZGP1	8.209368132755488e-9	5.832897362943204	1	0.467	2.723622065404288e-4
ACVR1C	5.777400586540134e-7	5.775585920567639	1	0.844	0.019167681925964204
GPD1	1.1645569989202637e-11	5.523685699212219	1	0.733	3.863650755317759e-7
KCNIP2-AS1	2.036317834932307e-35	5.301510755559475	1	0.889	6.755891680954915e-31
TRARG1	1.9448513841184565e-9	5.2209686235380754	1	0.756	6.452433437089803e-5
LINC00598	1.19954570036008e-15	5.194878359863784	1	0.956	3.9797327700846373e-11
AC002546.1	1.521559239911982e-8	5.128081808180305	1	0.778	5.048077090255983e-4
GHR	2.1267723455270612e-14	5.110483836686305	1	0.956	7.055992610755131e-10
ACACB	3.2115834758682494e-27	5.044260553049684	1	0.956	1.065507049788809e-22
MME	2.517617245746231e-8	4.984346440356534	1	0.889	8.35269873621227e-4
RDH10	8.63808010371782e-9	4.8033622490700285	1	0.889	2.865855836010461e-4
RDH10-AS1	6.564577551869365e-10	4.768369721393258	1	0.867	2.177929894383699e-5
KCNIP2	2.7918325154189994e-30	4.761110092174052	1	0.911	9.262462736405614e-26
SPATA9	4.8895533494559566e-11	4.741831911093345	1	0.889	1.6222071147490027e-6
LRIG1	7.916297009859582e-8	4.627610483292301	1	0.956	0.0026263898589611134
ZBED3-AS1	6.874826698781765e-13	4.61705898055434	0.5	0.8	2.280861253854826e-8
PLIN5	3.3086448559045064e-11	4.549232386619591	1	0.889	1.0977091038434381e-6
HILPDA	3.0627523768328864e-11	4.54017783185469	1	0.822	1.0161293560618468e-6
APCDD1	2.2961326173342365e-8	4.474248380497726	1	0.889	7.617879184529797e-4
ABCD2	2.0009884274104854e-7	4.3722680447994415	1	0.889	0.006638679305619767
MAOA	8.540569294901863e-10	4.363625532977967	1	0.911	2.833504674969591e-5
AC007285.2	9.675024382580986e-7	4.352374455134922	1	0.733	0.03209882839408894
FASN	2.719884773443875e-8	4.31447289083911	1	0.933	9.023761712854744e-4
ABHD5	1.0425241720739755e-14	4.300865013096706	1	0.889	3.4587824456898285e-10
STOX1	6.305548602393361e-11	4.293703444921083	1	0.889	2.0919918598160454e-6
CIART	2.138393685649683e-7	4.185494789276318	1	0.8	0.007094548730879953
PNPLA2	6.107712663847211e-26	4.141655752277648	1	0.978	2.026355830484589e-21
AC107021.1	1.7138807971745234e-11	4.129581074707312	1	0.867	5.686142320785916e-7
PEX11A	4.2543216082751816e-10	4.11968900477227	1	0.867	1.411456279977457e-5
RAI2	6.26902183623373e-7	4.076412870985833	1	0.822	0.020798733746072648
RDH5	4.8820123657335424e-14	4.004805495185944	1	0.933	1.6197052425794174e-9
PTPRF	1.3323887457668582e-8	3.937216742097957	1	0.978	4.4204661418307053e-4
RBPMS-AS1	1.2334942888869303e-6	3.9195369232731054	1	0.867	0.04092364002240169
AOC3	5.464569853570238e-7	3.9104822967916624	1	0.933	0.018129803403189978
GPT2	5.527528818183635e-8	3.8972119377934815	1	0.867	0.0018338682360087846
HEBP2	8.368724377912649e-12	3.8776700826304733	1	0.933	2.7764916868600796e-7
SLC29A2	9.827550628632887e-10	3.809032688884397	1	0.889	3.260486472061533e-5
FAM78B	1.4058392862472594e-12	3.8002625538947523	1	0.911	4.6641529999825323e-8
PECR	7.61853135630661e-12	3.7958063536981195	1	0.911	2.527600148081844e-7
PFKFB3	2.192649779662572e-14	3.782028809889075	1	0.956	7.274554173986516e-10
ECHDC3	3.914071529241434e-9	3.7697739692824226	1	0.889	1.2985715112564307e-4
OPLAH	8.46471731357033e-7	3.7649526582113504	1	0.844	0.028083392631232284
SLC19A1	2.7939406735858198e-11	3.724140149553781	1	0.911	9.269456972755675e-7
ORMDL3	5.845383744736895e-7	3.7191064186833986	1	0.867	0.019393229649913597
AP002360.1	1.551834897806806e-7	3.714826244880738	1	0.844	0.00514852264045364
PLOD2	6.023566002332732e-12	3.6763680270998265	1	0.933	1.9984384925939305e-7
GPR180	1.6813397637451838e-14	3.5622445924842157	1	0.911	5.578180934177396e-10
AGPAT2	2.5623084138490566e-8	3.531595625030711	1	0.911	8.500970624627015e-4
MOCS1	9.229033854264406e-10	3.5264801392424285	1	0.911	3.061916561829302e-5
ACER2	1.1268869515554417e-7	3.4916721020438466	1	0.911	0.003738672839175489
ZFAND5	3.126825166282022e-8	3.471901408635634	1	0.978	0.0010373867854173865
COX14	2.119598926150365e-9	3.4437494887349986	1	0.956	7.032193357289066e-5
LPIN1	1.272230813014204e-6	3.441143134388203	1	0.933	0.042208801683372245
SLC7A6	1.251118672535417e-16	3.2937775974991967	1	0.956	4.150836419870753e-12
ACSS3	3.3723726888039314e-7	3.2746017281541175	1	0.956	0.011188520869644803
BPHL	3.742913874778854e-7	3.2484373796039483	1	0.889	0.012417865362353803
RETSAT	2.558900892035753e-10	3.2291022796358737	1	0.911	8.489665489507017e-6
TMEM164	6.828643785753418e-15	3.2181590633881827	1	0.978	2.2655391487994115e-10
BLOC1S1-RDH5	9.321016511164941e-7	3.1546182415959403	1	0.911	0.030924336479091926
LIPE	8.789092305206664e-8	3.1306478242425406	1	0.956	0.002915957154098415
PLA2G16	9.925340251778079e-11	3.127675476746866	1	0.933	3.2929301353324134e-6
