gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CHGA	3.032847703546315e-7	8.515032905266526	1	0.511	0.01006207882605561
SNAP91	2.530051377716595e-7	7.293315580901194	1	0.844	0.008393951455850347
ABCC8	1.9829782296523947e-7	7.170695907462478	1	0.778	0.0065789268725177505
RFX6	1.5748275985233154e-8	6.6872835573461575	1	0.622	5.224805523620803e-4
MGAT4C	5.073459998945852e-8	6.652448692057977	1	0.911	0.0016832218238502653
RET	5.24699704118548e-15	6.601246416658682	1	0.778	1.7407962083541067e-10
AC093523.1	3.0385338702218e-8	6.47861551403283	1	0.844	0.0010080943821234867
TH	5.163994553824296e-7	6.4231895862142245	0.5	0.356	0.017132584731222866
MIR137HG	1.2727132683036764e-8	6.390358566251187	0.5	0.4	4.2224808102511073e-4
CHGB	1.8203053161502455e-22	6.3746210229006355	0.5	0.844	6.039226947391669e-18
TMEM130	8.136458168746468e-7	6.282350233461516	1	0.778	0.026994327266450156
LINC00632	6.433696113367037e-7	6.226542643534844	1	0.822	0.02134507359531782
LRRTM3	1.490935275920828e-8	6.187388177263609	1	0.8	4.946475964922531e-4
KCNMB2-AS1	3.1533470837289355e-8	5.7687938657616655	1	0.889	0.0010461859619687488
PSD	6.77390335651083e-8	5.490639100270198	1	0.778	0.002247377916589598
KCNMB2	4.522839778481536e-8	5.46817187964551	1	0.911	0.001500542553306819
UNC79	1.0815590770950503e-6	5.4570794813344605	1	0.889	0.03588288550078248
GRIK1	5.946567854986327e-13	5.33475052193668	1	0.956	1.972892817248814e-8
SYP	1.6061091505958114e-12	5.19842198971577	1	0.911	5.3285883289317236e-8
AMPD2	1.021084046917957e-7	5.114891587370938	1	0.956	0.003387650542459706
AP3B2	1.117041099546715e-6	5.008836518313574	1	0.889	0.037060072559661365
NEBL	1.6504040001500361e-10	4.980216473026749	1	0.956	5.475545351297775e-6
AL512622.1	2.894313483897404e-8	4.8266218102482865	0.5	0.4	9.602463845526418e-4
UNC80	3.953186927786066e-7	4.8159173271669236	1	0.956	0.01311548827031583
EML5	8.505750457984124e-10	4.696772316968122	1	0.956	2.821952829445393e-5
MAB21L1	2.25034531714477e-7	4.53313052414192	0.5	0.556	0.007465970658691204
RSPH1	3.49839391557259e-7	4.410603485682128	0.5	0.622	0.011606621493695181
B3GNT4	1.0250085276621587e-6	4.39173350938805	0.5	0.667	0.03400670792224744
PCLO	1.2812139062386098e-6	4.354542866358079	1	0.956	0.04250683376727835
KIFAP3	3.5706869999466653e-12	3.965964641838417	1	0.956	1.1846468259723051e-7
BCAN	5.534805663829424e-11	3.962354466809314	0.5	0.756	1.836282475088688e-6
RGS5	7.606736595525171e-7	3.784817770964208	1	0.978	0.02523687000297386
TRIM32	1.6768399582221376e-7	3.658773285405456	0.5	0.822	0.0055632519293935855
CYB561	4.9092700815445886e-12	3.5255191750076365	0.5	0.911	1.6287485349540483e-7
AKAP6	8.364422048999948e-8	3.5237426619184795	1	0.956	0.002775064303196713
ASTN2	1.4234495003194227e-8	3.440153953979983	1	1	4.7225784072097484e-4
ROBO1	9.981323846640835e-7	3.1588247059716066	1	1	0.0331150381260003
DIABLO	7.456114692645318e-7	2.1640013362146022	0.5	0.978	0.02473715171578937
SLC26A3	4.3204935507245513e-13	-2.0646157999349835	0	0.844	1.4334101453238843e-8
