gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MMRN1	2.4517434835576974e-12	6.863986958512652	1	0.657	8.096882854449296e-8
TBX1	2.02927810286828e-41	6.179514362942999	1	0.743	6.701690934722495e-37
CCL21	4.918529251355259e-31	6.133464420982966	1	0.771	1.624344285260074e-26
SEMA3A	2.4987654111952184e-17	5.499680790013979	1	0.714	8.252172770472209e-13
AC007998.3	7.787316759148543e-16	5.1409281347608875	1	0.571	2.5717613597088064e-11
LINC02197	5.387495231694675e-12	4.986479636077928	1	0.6	1.7792203002671664e-7
GNAT3	1.547281685332572e-14	4.737652469765239	1	0.629	5.109897765810819e-10
REEP1	1.4217558026992729e-12	4.610054141194791	1	0.657	4.6953485384143486e-08
HP	1.1326389670442092e-6	4.368920340115461	1	0.429	0.037405401886635006
STAB2	9.07192195271176e-15	4.217764879611149	1	0.686	2.996002224883059e-10
AC004862.1	6.133049609281953e-8	4.148259817414739	1	0.543	0.002025439633465365
AC139099.2	7.194775220617517e-11	4.091753362845527	1	0.543	2.376074516608935e-6
CYB5RL	2.2034944988127997e-21	4.031966664315832	1	0.686	7.277040582329271e-17
UNC5B	1.0900207869734543e-6	4.0045075594371795	1	0.829	0.03599793648979833
ADGRG3	6.333951468088599e-10	3.97824111189669	1	0.543	2.09178747233626e-5
AC091544.5	1.3026304414951384e-8	3.977452558587266	1	0.743	4.3019370330376944e-4
PARD6G	1.2087195673158972e-9	3.9612644372496852	1	0.629	3.991796371060751e-5
SMAD1	2.6647829629184363e-10	3.9301433723371195	1	0.714	8.800445735038135e-6
CYP8B1	4.309843260329951e-9	3.9006736903959234	1	0.714	1.4233257367239665e-4
EFNA5	1.0655224254656694e-6	3.8654960502391655	1	0.857	0.03518887810100373
AC245595.1	4.989837313478385e-9	3.8478749804425427	1	0.571	1.6478937727762368e-4
PDPN	7.755983400214095e-7	3.8193186225043814	1	0.771	0.02561413517920705
MPP7	1.3205360460391043e-12	3.7860893363453716	1	0.857	4.361070292044142e-8
AC008703.1	1.0717047253974555e-6	3.785755022895697	1	0.543	0.03539304855625097
STOX2	4.4130157197670876e-7	3.691798791962262	1	0.914	0.014573984414530807
AC093909.4	3.5999312891593925e-8	3.6060841862716724	0.667	0.429	0.0011888773082448893
SLC27A3	2.865833777903143e-12	3.5553517650890636	1	0.714	9.464416051525129e-8
CFAP54	3.976907844352323e-7	3.546188278308648	1	0.714	0.013133738155973547
AL357673.1	5.283792603740129e-18	3.5278380539688428	1	0.714	1.7449725073851776e-13
AC012613.1	3.523985400653349e-7	3.515865662651707	1	0.657	0.011637961785657685
AL035401.1	2.3518939129444045e-7	3.485939145217923	1	0.771	0.007767129647498896
KRTAP10-4	1.1110832490308872e-7	3.4780820671959267	0.667	0.6	0.0036693524299245047
PROX1	2.0691607367114584e-11	3.3325747724279653	1	0.857	6.833403332989592e-7
KIAA1324L	1.3948808555562733e-6	3.3299217181003864	1	0.629	0.046065940254745925
HS3ST1	1.5061014870093377e-7	3.2944072938841784	1	0.743	0.004973900160848338
ACKR2	4.823437961873577e-7	3.2583047436373014	1	0.771	0.015929403869087488
LRRC1	8.034477128664675e-10	3.1596295022577205	1	0.829	2.653386071741509e-5
IL7	1.90743680298746e-24	3.0646080410240515	1	0.886	6.299310041866087e-20
TSTA3	4.877535284855682e-15	2.9722294837397607	1	0.657	1.610806027823589e-10
SHC1	1.82786583814096e-8	2.9697966885535543	1	0.857	6.036526930460521e-4
WFS1	7.290595869288902e-9	2.9280624597347047	1	0.743	2.40771928583266e-4
FAM189A2	4.507673185783643e-7	2.9060280062780217	1	0.8	0.014886590696050481
RALGAPA2	1.8080114323464496e-8	2.8628880873093365	1	0.914	5.970957755324149e-4
ART4	8.774338866612604e-7	2.8620413765788486	1	0.8	0.028977254106988124
KALRN	1.7010413428466e-7	2.8503154434755307	1	0.971	0.005617689034750896
PCSK6	2.0442887456073287e-8	2.810381906178513	1	0.886	6.751263582368203e-4
PPFIBP1	1.1170243506107197e-7	2.789025340641592	1	0.971	0.003688972917891902
SPATA6L	4.085677180606611e-10	2.7292906785328173	1	0.771	1.3492948888953332e-5
PARD6G-AS1	2.8850332231311374e-8	2.6779820408099275	1	0.714	9.527822219390582e-4
RAB11FIP5	2.0122638132248076e-8	2.610239141952942	1	0.743	6.645501243174927e-4
SLC22A23	2.444031542110473e-9	2.592762751237351	1	0.857	8.071414167819836e-5
ABHD17B	2.8806284257296517e-13	2.5876679538393836	1	0.886	9.513275375972174e-9
NRP2	1.2418648705813987e-6	2.5614793806315337	1	0.943	0.041012587350950695
TXNL4B	2.563217578280474e-10	2.5517307827715054	1	0.771	8.465026052271266e-6
DHODH	5.6142638270456625e-11	2.4261919890361763	1	0.743	1.85411062888183e-6
RPS6KA2	4.962308985187464e-7	2.413363734856826	1	0.943	0.0163880254235816
PPP1R2	7.552140920801375e-9	2.3965769364316065	1	0.886	2.494094539094654e-4
PSMG4	2.182578820138427e-12	2.295764047587397	1	0.914	7.207966553507154e-8
RAB11FIP1	1.6425795638134377e-10	2.173586968506005	1	0.857	5.424619009493878e-6
C1QTNF3-AMACR	5.0307592316201084e-8	2.1725772301831228	1	0.943	0.0016614082362425408
SMYD2	2.4118987433354992e-11	1.9948856873905954	1	0.886	7.965295599865486e-7
MAP4K2	1.2938508004831554e-7	1.9379660659552953	1	0.886	0.004272942268595621
PEPD	3.497016117809676e-11	1.8524341453681727	1	0.914	1.1548895729066455e-6
BCL7C	1.2571674702109355e-7	1.4525199490914824	1	0.971	0.004151795570371614
NARF	5.306863749926783e-8	1.4061840396014973	1	0.943	0.0017525917534133202
TRIOBP	8.663611718795137e-8	1.2850226622450158	1	0.943	0.002861157770132094
