gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
SLC19A3	9.360890262982864e-57	8.19670672861166	1	0.694	3.0914340093500908e-52
ADIPOQ	4.416992278638264e-38	7.655219270864914	1	0.611	1.4587117000202868e-33
CIDEA	2.160235346210255e-12	7.19665864749641	1	0.667	7.134177230859366e-8
SAA1	1.3207835990357933e-27	7.112491211621164	1	0.639	4.3618878358157076e-23
PLIN1	2.8961708390134966e-64	6.99649398880224	1	0.75	9.564604195842072e-60
AL356479.1	7.776385071606831e-14	6.5887126169618835	1	0.778	2.568151169898156e-9
LPL	2.1656531823724292e-9	6.512616417442256	1	0.75	7.152069634784948e-5
PTX3	1.0464755379873162e-8	6.427223218003897	1	0.694	3.4559854642031115e-4
ADIPOQ-AS1	4.450643071036045e-15	6.1556253209812954	1	0.5	1.4698248742096538e-10
GYG2	1.6400886369436172e-20	6.06816281150823	1	0.722	5.416392723506296e-16
CIDEC	3.589792056780861e-37	5.940217984787765	1	0.611	1.1855288267518793e-32
LVRN	7.717107830740102e-26	5.930923957237584	1	0.694	2.5485748611019185e-21
PLIN4	1.090964724166038e-14	5.663909555408001	1	0.778	3.6029110015583405e-10
ACVR1C	4.383670062643592e-8	5.56175666217932	1	0.75	0.0014477070381880464
PFKFB1	8.72269113387699e-51	5.4427720627251075	1	0.694	2.880668746962876e-46
TRARG1	1.8762801304813994e-22	5.42522973946782	1	0.694	6.1964151309148214e-18
AC016705.2	4.1264930673410185e-22	5.395335251323121	0.5	0.667	1.3627743354893714e-17
AZGP1	2.245261513441269e-11	5.276603630753268	1	0.472	7.41497614813979e-7
AC022414.1	3.833501158772139e-9	5.050330113308931	1	0.806	1.266013757684499e-4
KCNIP2-AS1	7.078934440273066e-41	4.998458186999949	1	0.861	2.3378180989001802e-36
RDH10	3.7345282472644526e-22	4.902274063771634	1	0.778	1.2333279536590854e-17
LINC00598	2.929085810573655e-13	4.88211224667155	1	0.889	9.673305889419496e-9
SAA2-SAA4	1.216564401293367e-6	4.871573790096594	1	0.417	0.040177039352713446
GPD1	3.514114324880169e-8	4.858188626658696	1	0.75	0.0011605362557916758
SCGN	1.336761355837655e-7	4.857275471254761	0.5	0.75	0.004414654377653856
GHR	6.214407290684587e-20	4.840479965063196	1	0.972	2.052308007748585e-15
ACACB	1.5851567619771366e-25	4.765467077315684	1	1	5.234980206429494e-21
MME	7.088586960138464e-9	4.694457239466981	1	0.778	2.3410058435857276e-4
SAA4	9.031346071790448e-8	4.6809542690559685	0.5	0.583	0.0029826020402087955
AC002546.1	5.505419394875493e-10	4.64424266707829	1	0.75	1.8181647551576316e-5
MARC1	2.5918112450705928e-12	4.58016011729906	1	0.861	8.559456636845632e-8
AC016924.1	4.5633482283310164e-8	4.52780720163941	1	0.667	0.0015070457524063183
SPATA9	7.837504256592988e-13	4.480908078307968	1	0.778	2.5883357807398342e-8
PRRT4	3.672873741224518e-8	4.4660449125442305	1	0.583	0.001212966553039397
AC007923.4	6.930572574731335e-8	4.458739013293677	1	0.778	0.0022888215928050233
PLIN5	3.764878166309108e-18	4.457796808775363	1	0.778	1.243351014423583e-13
RASL10B	3.156458485410498e-8	4.448928289070236	1	0.583	0.001042420414806817
DGAT2	1.5062228896316261e-9	4.442754772144065	1	0.694	4.9743010930084455e-5
SLC27A2	7.671801737725839e-9	4.431363837792026	1	0.75	2.5336125238839584e-4
FASN	1.3498806967989837e-17	4.37720500531934	1	0.889	4.4579810011786434e-13
KCNIP2	2.8779214083974377e-19	4.3546481377598845	1	0.861	9.504335451232538e-15
RASSF4	8.289309062477883e-8	4.30077897757406	1	0.917	0.002737544317883321
LRIG1	5.098750114851888e-9	4.274133362383594	1	0.917	1.683862225429836e-4
ZBED3-AS1	1.8048115286352595e-10	4.268134759483532	0.5	0.778	5.9603900733179444e-6
