gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LINC02397	1.741527088133331e-8	5.136260868008954	0.833	0.625	5.751393208560325e-4	0.20799999999999996
AP002075.1	3.361820559942498e-10	4.85872673580319	1	0.719	1.1102412399210101e-5	0.281
CD79B	4.255545977439818e-8	4.781196270944664	1	0.719	0.0014053940590495	0.281
AC020909.1	3.8866698641971935e-7	4.647948616818928	0.833	0.672	0.012835727226511232	0.16099999999999992
BANK1	3.825462628558168e-16	4.625278015355632	1	0.922	1.263359033081335e-11	0.07799999999999996
FAM129C	1.882118409184249e-9	4.521107852790541	1	0.844	6.215696046330982e-5	0.15600000000000003
PAX5	1.7350966734331784e-7	4.519785039762256	1	0.844	0.005730156764013072	0.15600000000000003
CLEC17A	6.226520466199165e-7	4.370330892608742	1	0.734	0.020563083839622742	0.266
CD22	3.676406642334585e-12	4.316230462737121	1	0.797	1.2141332936309966e-7	0.20299999999999996
IRF8	1.0005324482625085e-7	4.075725184193303	1	0.875	0.003304258410386934	0.125
LINC00926	1.0733051872297348e-14	3.9605328955728165	1	0.828	3.544590380826199e-10	0.17200000000000004
AC119396.2	1.1936145499368906e-7	3.8332905272151128	1	0.781	0.003941912051166581	0.21899999999999997
BCL11A	4.492489045595038e-8	3.7322789518097688	1	0.906	0.0014836445073077614	0.09399999999999997
BACH2	7.050922236828904e-9	3.6811368107966027	1	0.953	2.3285670687127455e-4	0.04700000000000004
AFF3	5.795188527963636e-11	3.621936409106443	1	0.969	1.913861011359991e-6	0.031000000000000028
WDFY4	7.122339341289201e-7	3.518369412799816	1	0.875	0.023521525674607587	0.125
RALGPS2	7.824093084451988e-14	3.416510170132542	1	0.984	2.583906741140269e-9	0.016000000000000014
CD37	1.5802785864297594e-11	3.3920167898043445	1	0.875	5.218870031684281e-7	0.125
AC092384.2	1.062692373319464e-6	3.330853130983854	0.5	0.453	0.0350954156288753	0.046999999999999986
TFEB	3.6943129980193363e-13	3.2439331849095163	1	0.953	1.2200468675958858e-8	0.04700000000000004
NR2F1-AS1	4.8079750490624946e-8	-3.1735461402835456	0.5	0.969	0.001587833759952889	-0.469
SERPINB9P1	4.917414636956092e-8	3.151517445900159	1	0.875	0.0016239761838547494	0.125
LYN	7.245609378696094e-8	3.062334144016381	1	0.953	0.002392862497314385	0.04700000000000004
AC119396.1	3.5239061588685686e-8	3.029435385758343	1	0.969	0.0011637700089663448	0.031000000000000028
MARCH1	1.8022587919269724e-7	2.926312149480882	1	0.969	0.005951959660338827	0.031000000000000028
ZNF318	2.892214653948207e-12	2.8804234603636742	1	0.906	9.551538894663955e-8	0.09399999999999997
LARGE2	1.8059444808909563e-7	2.871566768250575	0.667	0.719	0.005964131648142383	-0.051999999999999935
SLC9A7	3.437783680451268e-11	2.852135564957365	1	0.938	1.1353280604690313e-6	0.062000000000000055
