gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CCDC80	1.2898368884822405e-22	6.325724566595927	1	0.857	4.2596863242125996e-18
IGFBP6	6.375322059061491e-10	5.799172287037964	1	0.829	2.1054501100050575e-5
CFD	2.0312179531848853e-28	5.726588074279796	1	0.886	6.708097290393084e-24
MFAP5	3.954171808775582e-7	5.4445580752067	0.333	0.771	0.01305865239848136
ISLR	7.155495274898217e-11	5.3336362340012435	1	0.714	2.363102314535136e-6
LUM	3.071125285217948e-16	5.320528389754195	1	0.8	1.0142391254432272e-11
CD248	2.1349577758291803e-10	5.109365144330102	1	0.657	7.050698054675868e-6
COL1A1	9.208451088816396e-11	5.072727510041775	1	0.8	3.041090972081615e-6
EFEMP1	2.9891033058024314e-10	4.920096722032431	1	0.857	9.871513667412529e-6
THBS2	6.158911930370946e-8	4.911128464783065	1	0.686	0.002033980665005005
COL1A2	3.91360834843986e-8	4.824791432528164	1	0.857	0.0012924691570722637
SERPINF1	8.808961644825588e-15	4.669043708665885	1	0.857	2.9091595832036506e-10
C1R	1.0062509990532026e-11	4.661766606719103	1	0.914	3.323143924373202e-7
MFAP4	1.2989106547815078e-13	4.61486781940186	0.667	0.743	4.289652437415929e-9
SOD3	1.1162780120347e-9	4.609172299359184	0.667	0.686	3.6865081347445964e-5
HSPA2	1.0580795332463687e-8	4.585103609876555	0.667	0.686	3.4943076585461325e-4
AEBP1	6.945861783072837e-8	4.582253487385499	1	0.829	0.0022938708538598044
PTGDS	2.2031815222253474e-9	4.573758102358931	1	0.914	7.276006977149209e-5
COL3A1	1.2434509766293232e-7	4.509404344812663	1	0.914	0.00410649685031834
DCN	3.8612845625189974e-14	4.507625062070835	1	0.943	1.2751892267718988e-9
FZD1	2.680659215088884e-8	4.46424731190254	1	0.743	8.85287705783104e-4
EMILIN1	1.0703385925352973e-7	4.414756720792612	1	0.829	0.0035347932018478193
AC005076.1	4.56083246072663e-7	4.4121684611576235	0.333	0.486	0.015062149201549696
AF129408.1	7.585753043075497e-8	4.403902596575279	0.333	0.571	0.002505194942475683
AL645922.1	3.946870321300757e-8	4.403667080931562	1	0.629	0.001303453923609575
COL6A2	5.1588217014327954e-9	4.3781915541651735	1	0.829	1.7037008668981807e-4
HHIP	2.0195604130344216e-8	4.374634642783668	1	0.886	6.669598264046178e-4
FRZB	2.9648516859603433e-8	4.364462057196477	1	0.657	9.791422692884033e-4
FBLN2	2.0756300401753774e-7	4.336958885659618	1	0.829	0.0068547682076791835
COL6A3	4.497073862637397e-7	4.304800459160342	1	0.829	0.014851586431360003
MGP	2.149126891833636e-16	4.303599986526777	1	1	7.097491560280583e-12
TAGLN	3.9796747310351925e-9	4.299522857799634	1	0.943	1.3142875799243724e-4
PCOLCE	1.9886457195498984e-16	4.257789838324878	1	0.857	6.56750248881354e-12
GAS1	9.310707927734307e-8	4.2380699050263715	1	0.743	0.0030748612931342546
GDF10	1.6447701052741094e-11	4.198858116415552	0.667	0.571	5.431853272667746e-7
SCARA5	2.2945148958475137e-7	4.185339597347297	0.333	0.771	0.007577635443536414
MAP1A	1.9869666420298422e-9	4.185190366337954	1	0.686	6.561957335303554e-5
IGF2	2.140840826751204e-8	4.159744871436576	1	0.829	7.070126830345851e-4
PRELP	1.641999855762262e-8	4.157881819040557	1	0.857	5.42270452365487e-4
C2orf40	1.2904412058010812e-9	4.139297185951415	1	0.771	4.261682082158071e-5
BGN	7.91410970120645e-9	4.132963102072797	1	0.829	2.61363472882343e-4
FBN1	4.7311932821951845e-9	4.110454128264751	1	0.857	1.5624765814449597e-4
COL6A1	2.5873528416284512e-11	4.084819060446611	1	0.886	8.544732759477961e-7
AP001107.3	5.0606051997113014e-8	4.079194849881538	0.333	0.571	0.0016712648672046573
ANGPTL2	1.450337686910814e-9	4.07362989897794	1	0.8	4.7897402110229634e-5
RNF26	1.5182382750599202e-7	4.052998796117042	1	0.714	0.005013981903385386
CRYAB	1.0752316178904026e-6	3.966258063224544	1	0.771	0.035509524180830546
OGN	1.576531141832625e-13	3.95530826419835	1	0.857	5.206494095902244e-9
SERPING1	5.872495734018516e-12	3.9504858374006067	1	0.886	1.939391716159615e-7
CTGF	9.595215576631802e-8	3.9431118293916887	1	0.971	0.0031688199441826524
NTRK2	3.9736169775665466e-7	3.941951264072425	1	0.857	0.01312287006841352
SFRP1	5.3077734621709436e-11	3.9314538794011753	1	0.8	1.7528921858819541e-6
MMP2	2.144375808186973e-9	3.9300618776092957	1	0.914	7.081801106537478e-5
TMEM176A	1.5777695453706302e-8	3.909022443682585	1	0.771	5.210583923586506e-4
C1QTNF3	4.61033794553103e-19	3.9058899068258097	0.333	0.743	1.5225641065116228e-14
C7	4.653471952576556e-8	3.9027729992281106	1	1	0.0015368091123384075
GPNMB	8.023005478814187e-7	3.893360916123272	1	0.857	0.026495975593783853
AADACL2	8.981594916455372e-9	3.8864963947737863	0.333	0.457	2.966171721159387e-4
TIMP1	2.7840073691029227e-21	3.8830124155637664	1	0.943	9.194184336462403e-17
PLAC9	2.0337032612293205e-7	3.857490028604871	1	0.8	0.006716305020209831
C1S	5.2656469079626725e-15	3.8527371952060543	1	0.943	1.7389798913546725e-10
DKK3	9.100685005582748e-8	3.8398144115745447	1	0.8	0.0030055012230937026
MARCKSL1	7.291236183051151e-7	3.828466655034001	1	0.829	0.024079307494526424
