gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
FAM163B	1.5187777283762118e-12	3.977626015517693	1	0.486	5.0157634479624393e-8
NAA11	8.231600305369185e-9	3.8826721520968275	1	0.771	2.7184860008481733e-4
LINC00924	4.401922434351044e-13	3.8755020239961144	1	0.8	1.4537348839444323e-8
AC096773.1	1.390339184499295e-17	3.808861297313573	1	0.6	4.591595156808921e-13
SLC26A10	3.341203983907307e-7	3.7900094086970704	1	0.543	0.011034326156853881
AC090337.1	3.2650955850602013e-15	3.744093512492632	1	0.429	1.0782978169661315e-10
PLCXD3	2.7430553143853226e-8	3.703694355751886	1	0.914	9.058940175757528e-4
PCDH9-AS4	1.064872769789574e-15	3.6962405805057252	1	0.629	3.5167423222300685e-11
PTGS2	8.906602718632319e-7	3.684596060072452	1	0.657	0.029414055478283234
KCNT2	5.779483544090729e-8	3.6792540748959146	1	0.771	0.0019086744404359633
TBX2-AS1	6.455811023646647e-8	3.67681699580475	1	0.686	0.002132031590559305
SULT1E1	1.1234129966691552e-7	3.6561525100281633	1	0.714	0.003710071421499885
AC110760.1	8.886264874401302e-16	3.6547373584443568	1	0.686	2.93468897477103e-11
RXFP1	4.7630149370877217e-11	3.643557038545952	1	0.886	1.57298568297322e-6
SLC22A31	1.50278336850042e-8	3.6349575930752493	1	0.457	4.962942074472637e-4
DBH-AS1	2.08547213815756e-9	3.617227326901391	1	0.543	6.887271736265342e-5
LINC01088	1.0349494337336957e-8	3.6149978868794923	1	0.857	3.41792050490553e-4
AC093772.1	1.7538613382538877e-8	3.6086049244928975	1	0.743	5.792127069583464e-4
FMO3	8.702150504285766e-14	3.598268650873907	1	0.714	2.873885204040374e-9
AC120049.1	5.1737404089691033e-8	3.5682689199550985	1	0.457	0.0017086277700620464
AC009154.1	1.3624399872460255e-11	3.5488191143818657	1	0.6	4.4994580578799994e-7
TRPA1	4.7305164295214715e-15	3.5481648916915476	1	0.629	1.562253050849466e-10
CYP4X1	1.5522786159358697e-7	3.5418082634158257	1	0.686	0.00512640012912821
AP002761.3	1.2571951349782725e-7	3.5361561815986886	1	0.543	0.004151886933265745
ANO3	5.143693476179075e-8	3.5297448646620877	1	0.857	0.0016987047705081396
NKD2	8.025904850904382e-7	3.5213379673201173	1	0.571	0.02650555077011172
AC092807.3	1.1897798616378322e-15	3.518977944043793	1	0.457	3.929247993058941e-11
AC010907.2	1.6590316651952122e-7	3.516126009000587	1	0.657	0.0054789520743071885
LINC01474	1.8236912764573633e-7	3.515543868259355	1	0.543	0.006022740440500442
REM1	2.542595463836658e-13	3.497844814847274	1	0.571	8.396921519320562e-9
LZTS1	3.0371951662825284e-10	3.490946039925284	1	0.714	1.003033703664805e-5
AC139491.7	1.0890635351617946e-18	3.484245363791355	1	0.829	3.5966323248718266e-14
ADRA1B	1.393565498271968e-10	3.480097684742033	1	0.8	4.602250058043175e-6
SLC14A2-AS1	7.082997689672692e-9	3.458918058736468	1	0.743	2.3391599870144065e-4
DEFB124	4.1685726478375163e-10	3.4513800093721345	1	0.543	1.3766711169483398e-5
KAZN-AS1	1.2677951370603728e-12	3.449840407207086	1	0.686	4.1868934401418815e-8
RIPOR3	2.789256636169585e-23	3.4341506019712797	1	0.971	9.211520040950054e-19
SULT1A2	1.0009858549630651e-8	3.379205545674819	1	0.571	3.3057557860155225e-4
NTF3	7.885716506274957e-8	3.358114970221557	1	0.714	0.0026042578761973044
TRNP1	6.197166802220387e-29	3.350919587388454	1	0.657	2.046614336433283e-24
ALLC	8.495442557300634e-8	3.343371204581269	1	0.629	0.0028056199045485342
GUCY1A2	3.6156671542877244e-7	3.3119266801735923	1	0.857	0.01194074077703521
DACT1	5.8702672589200716e-12	3.2801282688170925	1	0.714	1.9386557622583536e-7
ADAMTSL2	3.494481658031621e-9	3.2734801985916833	1	0.943	1.1540525675649428e-4
GAS1RR	1.6143769757848568e-8	3.267065351527499	1	0.629	5.331479962529489e-4
NFASC	2.623143277884806e-8	3.2542118758683154	1	0.914	8.662930675214571e-4
AC019127.1	2.1822164240202845e-8	3.2504061034979737	1	0.657	7.20676974032699e-4
LINC00989	3.049565402592641e-8	3.2409157343073933	1	0.771	0.0010071189742062196
AC007495.1	2.0452612676851088e-8	3.2225028668903786	1	0.657	6.754475336530071e-4
ELOVL2	6.647524809267571e-9	3.21305908602853	1	0.686	2.1953450682606155e-4
AC008250.1	5.231757474102774e-19	3.196122486474427	1	0.714	1.7277879058224413e-14
PRR16	1.2139470398472005e-7	3.154742350184427	1	0.886	0.0040090600990953795
CCDC102B	8.103350617721514e-10	3.1247171332704817	1	0.914	2.67613154150253e-5
SARDH	1.122305555132988e-6	3.0283243676938327	1	0.714	0.037064140958266927
ARHGEF17	1.0199330023835812e-10	2.9893834729227526	1	0.886	3.368328740371777e-6
NID2	2.019115788944463e-10	2.97991183688789	1	0.829	6.668129892989089e-6
RBMS3-AS1	2.924417402836346e-12	2.96912110138178	1	0.657	9.657888472867033e-8
PCOLCE-AS1	1.7587595005469504e-10	2.9559595168012702	1	0.686	5.808303250556304e-6
AC027288.1	1.6679837911194643e-8	2.9492151130455517	1	0.686	5.50851647017203e-4
AC012531.2	4.488898370161935e-7	2.9447212268462533	1	0.743	0.01482458686745979
AL353653.1	4.097379098901078e-8	2.92335655101942	1	0.829	0.0013531594474120812
WFDC1	8.689025166840232e-7	2.9102947260457914	1	0.8	0.028695505613489866
PTGIR	3.86893406882455e-7	2.904776493608275	1	0.771	0.012777154762293075
PROSER2	4.4487634078543096e-9	2.903602855656123	1	0.771	1.4692041154438858e-4
PCDH9-AS2	1.494358362537729e-6	2.8948053432529512	1	0.857	0.049351184922808496
WISP1	7.309740989623434e-8	2.8672182884022703	1	0.8	0.002414041961823139
MPP3	5.151744221472613e-9	2.857716689029499	1	0.829	1.7013635291413304e-4
SCARF2	1.674192559543203e-9	2.8533369381250226	1	0.714	5.529020927891428e-5
MAMDC2	1.1347458332334817e-7	2.8263565904700947	1	0.914	0.0037474981142535733
AC139491.4	3.226351010162741e-8	2.817145379096277	1	0.743	0.0010655024211062452
AC138819.1	2.198251473461667e-8	2.807315232643476	1	0.714	7.259725491107155e-4
PLA2R1	3.852269766558478e-9	2.774985127607129	1	0.857	1.2722120904059373e-4
WDR66	3.784775838558345e-9	2.74845884981212	1	0.914	1.2499222206838935e-4
COL27A1	3.000522674517595e-7	2.734164089677951	1	0.829	0.009909226132594358
TGFB3	8.121375018329126e-11	2.723920218307572	1	0.771	2.6820840998031936e-6
PGF	2.739041551565168e-7	2.6829290405712696	1	0.8	0.009045684724043967
ARHGEF5	2.694147845907883e-10	2.621265151554141	1	0.743	8.897423261110783e-6
FAM153C	6.789490668763791e-7	2.6084568636409124	1	0.829	0.022422292933592422
ARVCF	1.351125931643455e-13	2.601729027924936	1	0.771	4.46209338925251e-9
RBPMS2	2.245747679150701e-8	2.57768119445812	1	0.8	7.41658171039519e-4
FAM153A	3.667564916743781e-12	2.5514624950122657	1	0.829	1.2112133137546337e-7
DGKG	8.760717983021134e-7	2.4780704192629828	1	0.943	0.028932271138927296
PIWIL4	4.1592972536155416e-7	2.4748146066566727	1	0.771	0.013736079180065325
RAB40A	8.277797906850893e-8	2.4555601080277394	1	0.8	0.0027337427587375072
TEAD3	5.62370563024936e-8	2.445800772680009	1	0.914	0.001857228784389851
BX322234.1	6.439896691377248e-8	2.375440092309427	1	0.829	0.002126775882327336
KAZN	5.759935044606573e-9	2.33510296400189	1	0.971	1.9022185484813208e-4
CLEC11A	1.1897094520876211e-6	2.3264944214959784	1	0.771	0.039290154655193685
LINC00894	3.0364900758002973e-32	2.3003752580674637	1	0.971	1.0028008475330482e-27
PLEKHH2	3.01489649646819e-7	2.2920311530768416	1	0.914	0.009956695679586198
ARHGAP10	2.599846184017818e-12	2.2559036615047914	1	1	8.585992022718844e-8
TPM1	8.153542027969407e-8	2.24774358349981	1	0.943	0.002692707254736897
MYLK-AS1	6.306275741835629e-10	2.2442500995735974	1	0.829	2.0826475637412164e-5
AC003991.1	9.048417094220078e-8	2.2197197794750143	1	0.886	0.002988239745366181
SLC6A16	1.1699050151161097e-12	2.2055897280543566	1	0.8	3.863611312420952e-8
INMT-MINDY4	2.5536617457460485e-8	2.191054274833725	1	0.857	8.433467915326325e-4
CTPS1	4.6409378164294274e-9	2.1904775645597563	1	0.771	1.5326697138758183e-4
FLVCR2	3.665509237051151e-12	2.189497296420253	1	0.971	1.2105344255361426e-7
AC073569.2	2.505001455791168e-9	2.1702809902926354	1	0.8	8.272767307750333e-5
AC074386.1	1.1189065444391023e-6	2.129514640950093	1	0.914	0.036951888630101355
ARHGAP42	1.5186433115079462e-10	2.1245085355497726	1	1	5.015319536254992e-6
CTBP1-DT	9.242783567576437e-7	2.103685515203046	1	0.743	0.03052429273192118
MRVI1	9.546242691909843e-7	2.085374635592266	1	0.886	0.031526466490032254
COL4A5	1.0599900674863143e-6	2.0739310943321954	1	0.829	0.03500617197873553
KLHL25	1.860327762958855e-8	2.0163333043822376	1	0.8	6.143732437171618e-4
PAWR	5.554035200675219e-8	2.000818776799768	1	0.971	0.001834220125022991
COL4A4	8.185527228145665e-7	1.9832747724991888	1	0.971	0.02703270367095106
TRERF1	2.309339731616426e-9	1.9259697464402827	1	0.971	7.626594463663247e-5
SPDYA	7.018313124371809e-18	1.8903149585591628	1	0.914	2.31779790932379e-13
SMC5-AS1	4.506292824486314e-7	1.8756168514155351	1	0.886	0.014882032052866053
NEO1	5.436015176062018e-18	1.8266398213549433	1	0.943	1.7952440118944815e-13
NMD3	1.5981305833952292e-12	1.7978808408318216	1	0.886	5.2778262516627446e-8
AC006059.2	2.0971522531216998e-19	1.7587751193568137	1	0.829	6.925845315934413e-15
IFT43	1.8509896736677183e-7	1.726509381860834	1	0.971	0.00611289339728764
STXBP4	1.819667107736435e-12	1.7258291068020508	1	0.943	6.009450623299577e-8
KLHL23	3.69209319175439e-9	1.6844468644138866	1	0.886	1.2193137765768873e-4
PPP2CB	1.6085862301456797e-19	1.6616761584841753	1	0.971	5.312356025056107e-15
PPP1CB	2.086250421185843e-10	1.6442754425000858	1	1	6.889842015966247e-6
ZNF439	2.709348437207989e-10	1.6392573476794485	1	0.857	8.947623213879384e-6
ATP10D	1.7521498422085637e-14	1.5262594829652094	1	0.943	5.786474853893781e-10
DAPK3	5.379191083415653e-9	1.489969477696499	1	0.857	1.7764778552980192e-4
ERCC6	6.525662267615163e-10	1.4661965150625558	1	0.943	2.1550999638799074e-5
EXOSC10	1.0902334879311267e-10	1.4567026469354742	1	0.914	3.600496093892546e-6
NBEAL1	7.41928825935254e-7	1.3515448406428012	1	0.971	0.024502199476511763
ZNF783	8.048430079334728e-8	1.2444834481633478	1	0.943	0.002657994033700294
DTWD1	1.8484959589018102e-7	1.2201202326906841	1	0.886	0.006104657904273229
CBR4	1.597650545830544e-16	1.1805822156491463	1	1	5.276240927605372e-12
TTC33	1.2847919286357888e-6	1.175546740673857	1	0.943	0.042430253443196925
GABPB2	7.584025371981553e-7	1.1742723227047802	1	0.943	0.025046243790969078
PTPN9	1.2887075160700875e-6	1.1322645431107299	1	0.943	0.04255956571821464
SPECC1L	6.627609222714992e-10	0.96005094959642	1	0.971	2.188767945801626e-5
ERCC6L2	1.1234212052032014e-7	0.947887025434977	1	0.943	0.0037100985301835726
KLHDC1	6.492458165871092e-8	0.8972673258900971	1	0.971	0.0021441343092789282
MKLN1	2.9130737541759443e-7	0.8409677916714933	1	0.971	0.009620426073166056
SMG6	1.1398413553108018e-8	0.5904436440084975	1	1	3.764326075913923e-4
UBR2	3.979989130905806e-13	0.5433821210277936	1	0.971	1.3143914104816424e-8
