gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
MS4A6A	4.960612703963522e-31	4.59370328261106	1	0.875	1.6382423454839534e-26	0.125
CD163	1.2655156692990271e-23	4.548324689066181	1	0.938	4.179365497860037e-19	0.062000000000000055
VENTX	4.976687683223053e-48	4.47981182007271	1	0.484	1.6435511073844132e-43	0.516
CD163L1	5.5864140676579065e-18	4.477643372635457	1	0.828	1.8449132458440236e-13	0.17200000000000004
AC079015.1	4.9726463546122145e-21	4.466975755065706	1	0.594	1.6422164586106838e-16	0.406
TLR2	8.42998852235502e-26	4.431492964359962	1	0.797	2.7840037095077454e-21	0.20299999999999996
F13A1	3.0345414979326344e-14	4.415163540709951	1	0.812	1.0021573296922525e-9	0.18799999999999994
NLRP3	6.754465839729892e-8	4.349267292166384	1	0.766	0.002230662343570797	0.23399999999999999
VSIG4	5.720588369251701e-35	4.330271272220632	1	0.766	1.8892243089453743e-30	0.23399999999999999
MS4A14	1.0773499817040775e-13	4.328547275379352	1	0.594	3.5579483145777158e-9	0.406
MS4A7	5.3390055363560116e-39	4.324748158545171	1	0.891	1.763206578381573e-34	0.10899999999999999
LILRB5	2.410038311229593e-30	4.1036567105693695	1	0.75	7.959151522835731e-26	0.25
ADORA3	4.0745881654463204e-7	4.075054105184934	1	0.438	0.013456327416386473	0.562
CLEC4E	3.197252755815449e-14	4.0630656502623665	1	0.641	1.055892722608052e-9	0.359
MS4A4E	1.6548691670580836e-30	4.06125648286573	1	0.859	5.465205424209321e-26	0.14100000000000001
HMOX1	1.387031345831747e-8	4.057016943924964	1	0.875	4.580671019609345e-4	0.125
SLC1A3	7.525817916723787e-15	4.0035243200325645	1	0.922	2.485401366998031e-10	0.07799999999999996
CCL3L1	2.97463752012751e-13	3.9895472844308664	1	0.703	9.823740410221101e-9	0.29700000000000004
SIGLEC1	1.6401844858396318e-17	3.9552794910788296	1	0.859	5.416709264485384e-13	0.14100000000000001
MS4A6E	7.633675662636248e-19	3.9446094955783795	1	0.922	2.5210213875856208e-14	0.07799999999999996
CSF3R	2.856215638191135e-19	3.9179101704120525	1	0.797	9.432652145126223e-15	0.20299999999999996
PLA2G7	2.339850797317965e-7	3.9078811415010364	1	0.688	0.00772735725814258	0.31200000000000006
AL034397.3	6.281000134580578e-10	3.8283917616054204	1	0.641	2.0743002944452358e-5	0.359
CCL3	1.7205497136336372e-8	3.825283802396424	1	0.703	5.682115429275087e-4	0.29700000000000004
LILRB2	2.7987540874845196e-11	3.7961068817761343	1	0.656	9.242885373917626e-7	0.344
FPR3	3.519102102581384e-23	3.769561026577051	1	0.75	1.162183469377502e-18	0.25
AC008759.3	2.659815471504701e-9	3.7539425761373364	1	0.406	8.784040594644275e-5	0.594
FMN1	1.4791806381319328e-16	3.7368838984211363	1	0.953	4.884994057430708e-12	0.04700000000000004
CCL4L2	4.878009191967907e-8	3.7308532356251467	1	0.703	0.0016109625356474013	0.29700000000000004
AC020922.2	1.1298390632493942e-14	3.726303740599925	1	0.484	3.7312935063811244e-10	0.516
ALOX15B	3.179320801606047e-11	3.709691083163196	1	0.703	1.049970694730397e-6	0.29700000000000004
AC008972.2	6.785188540707796e-7	3.7018157458246868	1	0.359	0.022408085155687495	0.641
AC110995.1	5.6536875499144844e-8	3.6767965580152193	1	0.625	0.0018671303133592585	0.375
CLEC7A	3.6780815814519355e-16	3.662790501614835	1	0.828	1.2146864422745017e-11	0.17200000000000004
P2RY13	1.2800828782932397e-19	3.6568259898920736	1	0.578	4.227473705563424e-15	0.42200000000000004
CD86	1.230157657545091e-10	3.652028511204741	1	0.828	4.062595664042664e-6	0.17200000000000004
DLEU7-AS1	1.5910016017183802e-10	3.643772561444556	1	0.719	5.2542827896749505e-6	0.281
PRSS36	3.7301878741656544e-20	3.634082657522961	1	0.594	1.2318945454432075e-15	0.406
CARD9	9.932339860503819e-23	3.6270438145078634	1	0.562	3.2801552389313863e-18	0.43799999999999994
LINC02207	8.684129901286657e-9	3.6149837646378202	1	0.547	2.8679338998999183e-4	0.45299999999999996
LILRA2	6.123891119405775e-14	3.6082534983515435	1	0.609	2.022415042183757e-9	0.391
FCGR2A	5.168301911084043e-16	3.6069195576136597	1	0.859	1.7068317061355052e-11	0.14100000000000001
IGSF21	7.739964340094256e-12	3.591701811707626	1	0.859	2.556123223316128e-7	0.14100000000000001
MRC1	6.364492701499639e-11	3.5873101578992475	1	0.906	2.1018737146702558e-6	0.09399999999999997
C3AR1	2.45034945973768e-15	3.5853011490397235	1	0.719	8.092279090783687e-11	0.281
LST1	8.0603516885726345e-16	3.5630201385054403	1	0.672	2.6619311451511126e-11	0.32799999999999996
SLC11A1	4.385754507387666e-20	3.5581305664431397	1	0.828	1.4483954260647767e-15	0.17200000000000004
CSF1R	6.047239137965998e-17	3.5435487002751964	1	0.875	1.997100725313271e-12	0.125
ADAP2	5.822103366598821e-23	3.5411959289814456	1	0.922	1.9227496368192607e-18	0.07799999999999996
TREM2	1.0318837907623935e-7	3.534675829772791	1	0.453	0.0034077962189928046	0.5469999999999999
TRPM2	3.77550178787731e-21	3.5046424593036782	1	0.891	1.2468594654464815e-16	0.10899999999999999
CD33	1.149728876265056e-15	3.502405291893666	1	0.625	3.796979613865348e-11	0.375
STAB1	7.407027284407351e-11	3.493788140774692	1	0.906	2.4461707606755276e-6	0.09399999999999997
ZMYND15	1.846200273979269e-14	3.487585079433849	1	0.609	6.097076404816536e-10	0.391
KCNE1	3.261852813742595e-10	3.4826546931120794	1	0.797	1.0772268917384921e-5	0.20299999999999996
VMO1	5.3464932483810655e-8	3.4785614946995467	1	0.453	0.001765679395277847	0.5469999999999999
RGS18	3.3504839373990213e-13	3.4522017882555662	1	0.594	1.1064973203260268e-8	0.406
AC008957.2	1.7994137137967404e-11	3.4469759389209935	1	0.875	5.942563789813736e-7	0.125
LYZ	6.930077169101364e-8	3.439891303459735	1	0.656	0.0022886579850957254	0.344
FOLR2	7.630466546504495e-19	3.4381758867785823	1	0.734	2.5199615769831096e-14	0.266
C5AR1	4.706576563498201e-10	3.4378090787525695	1	0.828	1.554346910095281e-5	0.17200000000000004
HSPA6	1.4177282334209881e-6	3.4191782818534353	1	0.562	0.046820474908728135	0.43799999999999994
RASL10A	4.0666701749703364e-14	3.4144743395657313	1	0.562	1.3430178252839536e-9	0.43799999999999994
AC005162.1	2.4028721387992636e-8	3.4085748010544927	1	0.516	7.935485238384568e-4	0.484
AL161935.3	1.1693357972838171e-6	3.4028471829645106	1	0.484	0.03861731470529806	0.516
ARHGAP22	1.4100881635906242e-16	3.3961203023926805	1	0.875	4.656816160258037e-12	0.125
AC011337.1	2.0830902003140105e-10	3.3807266271179315	1	0.516	6.879405386537019e-6	0.484
FCGR1A	4.332707148633146e-11	3.3742827866793474	1	0.438	1.4308765358360965e-6	0.562
MSR1	8.862676119386427e-10	3.3571136326337623	1	0.875	2.9268987884273674e-5	0.125
LGMN	9.863381155578427e-14	3.355196103613805	1	0.922	3.2573816266297756e-9	0.07799999999999996
MPPED2	2.234347639307548e-14	3.351752642906356	1	0.891	7.378933078813178e-10	0.10899999999999999
AC100849.1	4.57535399361386e-11	3.349944818797699	1	0.875	1.5110106563909772e-6	0.125
CD209	5.247902076415726e-8	3.3287929841590005	1	0.516	0.0017331196607362936	0.484
SLAMF8	1.008087879052442e-12	3.3253116816018036	1	0.516	3.32921022057069e-8	0.484
GPR34	5.170458150920232e-25	3.3113998554633306	1	0.781	1.7075438043414066e-20	0.21899999999999997
IL10	7.929007784606333e-7	3.3032738427917083	1	0.5	0.026185548208662413	0.5
COLEC12	1.9097026897678603e-8	3.2776047636683785	1	0.891	6.306793132958359e-4	0.10899999999999999
RNF144B	2.362404611131842e-9	3.2745764284471477	1	0.859	7.801841228262908e-5	0.14100000000000001
SIGLEC8	1.5053074474497055e-9	3.2734743659864294	1	0.594	4.971277845202652e-5	0.406
NPL	4.730667294142321e-11	3.262538476401232	1	0.891	1.5623028738905016e-6	0.10899999999999999
LINC01375	3.050466282545574e-7	3.2623532576225953	1	0.578	0.010074164898106757	0.42200000000000004
AC007336.1	2.918449879969334e-11	3.2597567364663687	1	0.438	9.638180728598724e-7	0.562
TBXAS1	3.1903035527267083e-12	3.258419208468558	1	0.922	1.0535977482879954e-7	0.07799999999999996
SLCO2B1	7.235755617912574e-14	3.255676102648013	1	0.969	2.3896082928156277e-9	0.031000000000000028
AC244021.1	2.4238896944869564e-10	3.255337782863006	1	0.75	8.004895716043173e-6	0.25
VNN1	4.4057436785363186e-7	3.2534372240220106	1	0.641	0.014549968498366192	0.359
IL18	1.75958539800015e-34	3.23413371305957	1	0.828	5.811030776895496e-30	0.17200000000000004
LILRA6	4.627454977780823e-7	3.2292493276084833	1	0.594	0.015282170064121168	0.406
AC069023.1	6.032547638482265e-16	3.2168280744168998	1	0.578	1.992248857608768e-11	0.42200000000000004
MS4A4A	1.7765249599669848e-22	3.202534970662052	1	0.906	5.866973680290967e-18	0.09399999999999997
TYROBP	1.2603368917527493e-12	3.2024705560671305	1	0.797	4.162262585013454e-8	0.20299999999999996
SCN1B	4.763015702208615e-10	3.1920729913345944	1	0.672	1.572985935654395e-5	0.32799999999999996
RGL1	2.593535369643175e-15	3.1871923638157975	1	0.891	8.565150558246585e-11	0.10899999999999999
CMKLR1	1.1163770097985786e-7	3.1804929185996125	1	0.781	0.0036868350748598057	0.21899999999999997
AC025040.1	1.0128490074747324e-6	3.1772720167095274	1	0.531	0.03344933847185304	0.469
CLDN7	2.8611267225767633e-7	3.163609684189624	1	0.531	0.00944887100130976	0.469
AL163541.1	3.76754928322529e-12	3.1623443956374864	1	0.875	1.244233150785152e-7	0.125
EMILIN2	1.928578072502317e-7	3.1546646074047713	1	0.797	0.0063691290844389015	0.20299999999999996
AL139125.1	6.26167461243106e-8	3.1383530027188686	1	0.703	0.0020679180407553576	0.29700000000000004
MARCO	8.198689024072533e-10	3.1321651516419853	1	0.703	2.707617050199954e-5	0.29700000000000004
C1orf162	3.3679414542663406e-17	3.131927929017104	1	0.719	1.112262665271459e-12	0.281
DLEU7	1.1274720429309333e-6	3.1037971248211553	1	0.719	0.03723476421779407	0.281
CLEC10A	2.15189140557308e-7	3.092360468145414	1	0.672	0.007106621366905096	0.32799999999999996
PDGFB	1.2526664892552865e-7	3.084702136734378	1	0.734	0.004136931080765583	0.266
SAP30	2.7590316017546895e-11	3.081454342276869	1	0.703	9.111701864794862e-7	0.29700000000000004
MAFB	1.3660825660671742e-7	3.068169764983021	1	0.734	0.004511487674436843	0.266
OTULINL	3.245597746582012e-10	3.0621934890987563	1	0.828	1.0718586558087094e-5	0.17200000000000004
LILRB4	5.816640421799502e-12	3.0612439188515363	1	0.719	1.9209454992992855e-7	0.281
GPR141	2.929783941977532e-7	3.054761686083184	1	0.828	0.0096756114683808	0.17200000000000004
CYBB	9.803131396277135e-8	3.0520227279274295	1	0.781	0.003237484143620524	0.21899999999999997
HK3	1.410415341887315e-7	3.0461747116900386	1	0.703	0.004657896666582857	0.29700000000000004
HCK	7.30802596325948e-11	3.029198496657447	1	0.859	2.413475574366443e-6	0.14100000000000001
GABRB2	3.4783980972408444e-7	3.009840500769024	1	0.797	0.011487409716137889	0.20299999999999996
IER3	1.479773654174513e-11	3.005819122635028	1	0.734	4.886952492911328e-7	0.266
EBI3	3.4008450604497937e-9	2.993504145742965	1	0.672	1.1231290812135443e-4	0.32799999999999996
GAS2L3	3.5420542770768274e-8	2.991859893581662	1	0.844	0.0011697634250046223	0.15600000000000003
FGL2	5.683678043515456e-9	2.986433286469194	1	0.781	1.8770346738709794e-4	0.21899999999999997
AC004593.1	1.0910429567255796e-7	2.985139632974621	1	0.625	0.0036031693645862265	0.375
FCGR3A	7.864388541446128e-11	2.9841561239874936	1	0.75	2.5972143158125835e-6	0.25
TMIGD3	6.273615076633065e-9	2.9793527023599102	1	0.797	2.07186137905807e-4	0.20299999999999996
SAT1	1.2361543767893518e-17	2.958514559207396	1	0.984	4.082399829346834e-13	0.016000000000000014
AL162414.1	6.420199347808097e-7	2.9558384455092694	1	0.766	0.021202708346136242	0.23399999999999999
RCN3	5.299852946726517e-8	2.94684018879885	1	0.828	0.0017502764356564322	0.17200000000000004
P2RY6	3.028102350270626e-7	2.94231252588875	1	0.75	0.010000308011768742	0.25
MCTP1	1.4792046966952144e-6	2.9351623831842857	1	0.891	0.04885073510835945	0.10899999999999999
HCLS1	3.7759767843069886e-9	2.910952591628075	1	0.906	1.247016333017383e-4	0.09399999999999997
CTSB	1.5374688737044947e-16	2.910804853943406	1	0.922	5.077490955409093e-12	0.07799999999999996
ATP8B4	2.2507543614356158e-11	2.9096046746603768	1	0.938	7.433116278641121e-7	0.062000000000000055
KCNMA1	6.154318186373266e-9	2.899968361361978	1	0.953	2.0324635810497712e-4	0.04700000000000004
CFP	2.4994570533220094e-7	2.8951141574493278	1	0.625	0.008254456918595936	0.375
SLC8A1	8.773581382705366e-9	2.8850948883110434	1	0.953	2.8974752516384473e-4	0.04700000000000004
AIF1	2.6808930834969395e-12	2.8664395437677532	1	0.609	8.853649408248642e-8	0.391
FRMD4B	2.2984301713460816e-7	2.8647114591955023	1	0.938	0.0075905656408704345	0.062000000000000055
PSTPIP2	1.503000107469602e-11	2.859362272249723	1	0.891	4.963657854918361e-7	0.10899999999999999
CPVL	8.064930423738204e-10	2.8512180996507257	1	0.906	2.663443272439542e-5	0.09399999999999997
FAM20A	3.0409643076587358e-9	2.8434286154609008	1	0.859	1.0042784626042975e-4	0.14100000000000001
SIGLEC9	6.107443747920654e-9	2.841964931625359	1	0.75	2.0169832977507958e-4	0.25
