gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGLC3	3.1455462725317875e-28	7.882560047276488	1	0.797	1.0388166565036229e-23	0.20299999999999996
IGHGP	2.0743956205891142e-11	7.47195272604556	1	0.672	6.850691536995549e-7	0.32799999999999996
IGHG1	5.877827178015854e-15	7.414919104019262	1	0.875	1.941152425539736e-10	0.125
IGLC2	4.2554910544602e-17	7.238628175774463	1	0.875	1.4053759207354811e-12	0.125
IGHG3	2.824791431918241e-12	7.01461564962273	1	0.859	9.328873703909991e-8	0.14100000000000001
IGKC	2.644851281937203e-13	6.667936999903916	1	0.922	8.734621358597612e-9	0.07799999999999996
MZB1	2.0440880758563797e-16	6.6202866226675825	1	0.812	6.7506008705156936e-12	0.18799999999999994
IGKV3-20	2.25668959883023e-11	6.319242655868432	0.667	0.328	7.452717400136835e-7	0.339
IGHG2	1.4097282836117918e-6	6.267737312291073	1	0.578	0.04655627656627943	0.42200000000000004
IGHG4	2.692371056102164e-8	6.22819429349879	1	0.766	8.891555412777396e-4	0.23399999999999999
IGLL5	1.1997755600577707e-10	6.208276868133497	1	0.797	3.962258787090788e-6	0.20299999999999996
DERL3	3.3247965750765323e-15	5.913405806839689	1	0.812	1.0980140689190248e-10	0.18799999999999994
IGLV3-19	1.673636345296868e-12	5.8233357464921545	0.667	0.328	5.527184030342907e-8	0.339
PIM2	1.488641718672814e-39	5.7188813631714375	1	0.719	4.916239275916969e-35	0.281
IGHA1	2.1545788090226443e-7	5.687737838661944	1	0.828	0.007115496516797283	0.17200000000000004
JCHAIN	1.6030569709997346e-16	5.668352914711948	1	0.812	5.2940956467266235e-12	0.18799999999999994
MEI1	3.5631046193219353e-19	5.304685800256439	1	0.828	1.1767153005310692e-14	0.17200000000000004
TENT5C	2.356815869922623e-11	5.175510011866139	1	0.75	7.783384410419463e-7	0.25
TXNDC5	1.0010580147776313e-50	5.160254357572653	1	0.922	3.3059940938031275e-46	0.07799999999999996
AMPD1	2.558593514436778e-18	5.151411734114076	1	0.656	8.449755081427459e-14	0.344
POU2AF1	1.6944324360397964e-8	5.097934281751215	1	0.797	5.595863120021428e-4	0.20299999999999996
TMC3-AS1	9.988322065603682e-16	4.855175015689943	1	0.859	3.298643362165616e-11	0.14100000000000001
SLC17A9	2.348455353116009e-18	4.745922661570061	1	0.688	7.755773803665619e-14	0.31200000000000006
ZNF215	4.5470339409296844e-26	4.691872667002238	1	0.766	1.5016579589920284e-21	0.23399999999999999
ENAM	1.8641388029682762e-11	4.663627792132507	1	0.781	6.156318396802732e-7	0.21899999999999997
SPAG4	5.463738528937118e-33	4.650917805143001	1	0.609	1.8043996491814833e-28	0.391
AC078883.1	6.217398600301906e-28	4.576304438726007	1	0.797	2.0532958877497044e-23	0.20299999999999996
AC012236.1	2.707293657781848e-9	4.553304584010322	0.833	0.641	8.940837304824553e-5	0.19199999999999995
IL26	2.6240006871155526e-9	4.513112079133465	1	0.688	8.665762269199112e-5	0.31200000000000006
TAS1R3	1.916352506785179e-9	4.478257966974683	1	0.406	6.328754153658053e-5	0.594
SDC1	3.867060060159125e-23	4.442534468641921	0.833	0.672	1.277096584867551e-18	0.16099999999999992
IRF4	1.5089490280170485e-8	4.409129345593866	1	0.781	4.983304165026303e-4	0.21899999999999997
NUGGC	1.2155502545561375e-10	4.38017971919483	1	0.812	4.014354715671644e-6	0.18799999999999994
