gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHM	3.706764815503827e-8	-4.355690462785476	1	0.836	0.0012241590803201388	0.16400000000000003
BCL2	2.374437884292336e-8	-3.4326754139945477	1	0.97	7.84158111287544e-4	0.030000000000000027
ARHGAP15	2.4127668087827446e-7	-3.247762249183624	1	0.985	0.007968162386005014	0.015000000000000013
CELF2	7.321933378246723e-8	-3.170094841374924	1	0.985	0.0024180684981659805	0.015000000000000013
PRKCB	6.32294942994794e-7	-3.157675288822699	1	0.94	0.02088154049240307	0.06000000000000005
FKBP5	3.8941370191982677e-7	-3.0435686756021	1	1	0.01286038750590228	0
TNFAIP8	1.230693576308109e-7	-2.871849179454144	1	0.97	0.00406436553575753	0.030000000000000027
RCSD1	3.4726053275287954e-7	-2.870111122602205	1	1	0.011468279094163846	0
IKZF1	1.1748901012322536e-6	-2.8357753484031054	1	0.97	0.03880074559319518	0.030000000000000027
FYN	1.3500324514120058e-6	-2.393192178855337	1	0.925	0.04458482170788149	0.07499999999999996
FLI1	1.9668360902640032e-7	-2.1395393117469848	1	0.97	0.006495476188096871	0.030000000000000027
GBP5	1.487991104542406e-6	1.8550267861266705	1	0.701	0.04914090622751296	0.29900000000000004
TBC1D1	1.0035324998541256e-7	-1.6970433826703246	1	0.955	0.00331416608076825	0.04500000000000004
LFNG	3.6320380854968883e-7	1.6662856969858364	1	0.761	0.011994805777353474	0.239
TMC6	3.5729865872965097e-7	-1.6241190797037128	1	0.94	0.011799788204546724	0.06000000000000005
FCRL1	6.074863063896686e-7	-1.5881772583783424	1	0.791	0.020062235268518806	0.20899999999999996
STK26	5.765429356824882e-7	1.5429846852696631	1	0.776	0.019040330450914175	0.22399999999999998
RASA3	8.249324933259167e-8	-1.4344349430940386	1	0.955	0.00272433955920884	0.04500000000000004
PGGHG	1.136397208553757e-10	-1.2468488339921644	1	0.91	3.7529517812487823e-6	0.08999999999999997
SENCR	3.3153473588963783e-7	1.210190063358747	1	0.731	0.01094893465275529	0.269
PAG1	9.295004660670346e-7	-1.2086572949041936	1	0.94	0.030696752891863816	0.06000000000000005
KLF13	1.4587274163421503e-6	-1.1405859639032871	1	0.94	0.048174472924699514	0.06000000000000005
PRKX	2.9753524444137135e-7	-0.883034383186062	1	0.94	0.009826101447676289	0.06000000000000005
ARL4C	1.9684492215073253e-7	0.8617476404590443	1	0.806	0.006500803554027942	0.19399999999999995
LINC02391	1.138241091339161e-6	0.7754477358750684	1	0.851	0.03759041204147579	0.14900000000000002
ARHGEF2	3.6179678993907115e-7	-0.7098661197926786	1	0.97	0.011948338987737825	0.030000000000000027
ARRDC2	3.906004514149461e-7	-0.630507147995202	1	0.881	0.012899579907978595	0.119
TNFSF8	6.488704325640787e-7	-0.5455184929464868	1	0.836	0.0214289460354287	0.16400000000000003
CEACAM21	1.0756338304947837e-6	0.5242283846121898	1	0.851	0.035522807252090234	0.14900000000000002
AC096677.1	1.3529112892088487e-6	0.47725979697869114	1	0.851	0.044679895326122224	0.14900000000000002
IDH2	4.52682019237761e-7	-0.41109229488293575	1	0.91	0.014949823685327056	0.08999999999999997
FXYD5	9.551023359234369e-7	0.3846214297329278	1	0.881	0.031542254643871503	0.119
SH3BP2	6.09986066879905e-7	-0.36224580945669105	1	0.91	0.02014478985870886	0.08999999999999997
KIAA0040	5.997169616805207e-7	-0.29355379146629756	1	0.925	0.0198056526594992	0.07499999999999996
SIGIRR	1.0460910556745684e-6	0.2901039816134896	1	0.881	0.034547157113652624	0.119
RELL1	1.1522669450335753e-6	-0.24302471979418572	1	0.896	0.038053615859733825	0.10399999999999998
CDC42EP3	1.1592962153970238e-6	0.15427068514052333	1	0.866	0.03828575751348671	0.134
TRG-AS1	8.726397989763675e-7	0.04914356067037473	1	0.806	0.02881892936119454	0.19399999999999995
FAM102B	1.103565863702035e-6	0.040827193222749525	1	0.866	0.036445262648759705	0.134
