gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
KCNU1	1.021025807071815e-20	4.55503015053007	1	0.698	3.3874573201221605e-16
AC096570.1	2.028591046613083e-23	4.515255167249059	1	0.767	6.730256515348225e-19
AC092957.1	9.30617628537621e-33	4.432680162667196	1	0.767	3.087510106199265e-28
CSMD3	2.250220694754591e-26	4.338197435306077	1	0.86	7.465557198987306e-22
VWA3B	1.4426660871696796e-29	4.311076447212112	1	0.698	4.786333277402846e-25
AC099673.1	1.0558471802302827e-21	4.289809029416775	1	0.767	3.502984189850009e-17
AL954650.1	3.3769661723670162e-15	4.2576688983505075	1	0.512	1.120376067006205e-10
SCHLAP1	2.0741930572101255e-28	4.237660539042695	1	0.744	6.881550305906033e-24
GSG1L	1.1477566735468882e-26	4.201114564987755	1	0.837	3.807912315826511e-22
AC096746.1	7.950500705125052e-23	4.198988835369068	1	0.674	2.6377376189393382e-18
AC090502.1	2.9204763383284404e-27	4.198171276017922	1	0.721	9.689264347672266e-23
AC022639.1	8.339077106973746e-25	4.186241695354369	1	0.744	2.76665561178068e-20
GLYAT	1.2969936025924713e-26	4.1857723193747916	1	0.651	4.3030356753210415e-22
LINC01965	5.896646941976114e-20	4.18488803592467	1	0.744	1.9563305559394153e-15
IL12A-AS1	3.7685802381912225e-30	4.177686807325817	1	0.86	1.2503018656247018e-25
HPSE2	3.019967862376551e-30	4.16413620155339	1	0.814	1.0019347377006683e-25
AC073316.1	6.877046626200483e-19	4.151004627906508	1	0.628	2.2815977591745343e-14
XIRP2	1.8710007539711206e-31	4.147713942638568	1	0.744	6.207419201449987e-27
LINC01411	5.986887955784962e-28	4.145518820911242	1	0.791	1.9862698170907767e-23
LINC00383	1.0667582313636804e-12	4.133517260387837	0.75	0.488	3.539183784195282e-8
LINC00348	1.538993459629717e-15	4.129871689502386	1	0.651	5.105918601013512e-11
LINC01162	3.208337612690994e-28	4.127328132626653	1	0.698	1.0644301697624912e-23
AC010745.2	8.845923217197474e-21	4.124489073313088	1	0.651	2.934811945769606e-16
LINC01924	1.0375681942242819e-24	4.123745416285382	1	0.767	3.4423399979779e-20
AL157886.1	1.1571179267482509e-28	4.121269968725796	1	0.837	3.838970145572672e-24
CARD18	4.8508863250182505e-30	4.12076214387311	1	0.744	1.609378556051305e-25
CR382287.2	1.2477522698198132e-14	4.118582651874521	1	0.721	4.139667705581194e-10
COX7B2	6.20156786001872e-29	4.118031995924911	1	0.698	2.0574941689184108e-24
ROS1	6.563397874145073e-21	4.115815887061753	1	0.628	2.1775385127051108e-16
ABCA13	1.6180278960252795e-16	4.115207695689022	1	0.767	5.3681311506430694e-12
AP003900.1	4.455145617926705e-16	4.114422553582317	1	0.558	1.478083661659543e-11
TMEM40	2.014190812672716e-27	4.108530644370511	1	0.767	6.68248085920427e-23
LINC01641	3.9830001159839596e-23	4.104601082231482	1	0.605	1.3214399484799984e-18
B3GNT6	5.041943124872054e-18	4.103225382050949	1	0.605	1.6727654705388015e-13
OR4N2	8.977399158033535e-15	4.102528313525829	1	0.651	2.978431718660786e-10
CLEC3A	2.3436569747718053e-19	4.102254889964673	1	0.512	7.775550745200418e-15
LINC01956	2.583304308818194e-16	4.100715279803173	1	0.651	8.570628705366123e-12
LINC01630	5.9508806014804835e-28	4.098041555611065	1	0.767	1.97432365715318e-23
AC111198.1	6.388551541041343e-18	4.094714319800627	1	0.558	2.1195297447712862e-13
LINC01378	1.2809407329824082e-26	4.094140000367716	1	0.744	4.249777069815735e-22
AC007402.1	4.217649934804815e-26	4.093980983690844	1	0.837	1.3992897188701934e-21
LINC02438	1.2276179703501849e-21	4.0922603020340595	1	0.744	4.072868140230808e-17
CCDC63	4.652405405077963e-19	4.09183582313844	1	0.744	1.5435285412427158e-14
AC117473.1	1.5335565605791265e-17	4.091370381281409	1	0.744	5.087880601033368e-13
LINC00971	1.0115179948958795e-35	4.091028404829099	1	0.721	3.3559132516660595e-31
DMRT1	6.661486799863718e-22	4.090730929175559	1	0.721	2.2100814755907857e-17
MIR548A1HG	5.212345856434904e-12	4.0897608857673715	1	0.698	1.729299984789408e-7
AC090809.1	8.944571913321946e-17	4.086539015377015	1	0.721	2.967540623682822e-12
TYR	2.4026412355915853e-19	4.076563067071362	1	0.651	7.971242827322202e-15
AC092100.1	2.9656345651057495e-26	4.075983503965224	1	0.791	9.839085796651345e-22
AC068672.2	6.044278365951561e-15	4.075684340021423	1	0.535	2.0053102334717495e-10
LINC01288	3.092217190882957e-16	4.071619263344391	1	0.628	1.0259048974192387e-11
CACNG2	1.6024317616812708e-14	4.067754519055546	1	0.791	5.316387855729953e-10
AL445433.2	4.698564626676881e-20	4.064402736575202	1	0.721	1.5588427861925889e-15
DEPDC1-AS1	1.3788334704448707e-19	4.063015838990972	1	0.465	4.574555804894947e-15
RBPJL	9.984679910853856e-19	4.056764342420624	1	0.651	3.312617254023984e-14
AIPL1	2.7476595469645725e-23	4.055862880485559	1	0.698	9.115910078964362e-19
LINC01192	1.4241949702459694e-28	4.05262199673124	1	0.814	4.7250516527850526e-24
LINC01789	5.4741476711034515e-14	4.050748358088437	1	0.558	1.8161579728419921e-9
TEX101	1.080958902126055e-22	4.048731938174421	1	0.605	3.586297349583612e-18
LINC00393	2.150796175246046e-18	4.045873218509335	1	0.721	7.135696470613808e-14
ATP6V0D2	2.502817831458118e-14	4.045376766941112	1	0.744	8.303598719428599e-10
AC007656.1	4.744243181379476e-16	4.044762387034662	1	0.721	1.573997560286269e-11
ATP6V0A4	2.2408918942906602e-30	4.044673071915032	1	0.837	7.434607037688123e-26
SCN10A	5.426218822300308e-23	4.0440774062974	1	0.674	1.8002566186745733e-18
LINC02377	1.504813181912682e-14	4.0437109507218665	1	0.651	4.992518693631706e-10
LINC00536	7.61639155020781e-27	4.04352820288677	1	0.767	2.526890224612445e-22
