gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A6A	2.814792318813752e-28	5.102764080454527	1	0.907	9.338636476128385e-24
VSIG4	8.221994353830387e-32	5.0374828316419356	1	0.837	2.7278110667703075e-27
AC079015.1	8.554779297568819e-15	4.910679387777023	1	0.721	2.838219127554407e-10
TLR2	2.849542246536695e-15	4.85998794706231	1	0.884	9.453926311334792e-11
MS4A6E	1.7347658896448217e-26	4.815144974726511	1	0.93	5.755432792074625e-22
MS4A14	6.797954848134047e-18	4.778001652438471	1	0.674	2.2553574799654327e-13
CD163L1	5.7865034916161426e-21	4.759043979378463	1	0.884	1.9197882634134877e-16
MS4A4E	1.3559864820584828e-23	4.749791108570635	1	0.837	4.4987563515254285e-19
CSF3R	5.013672752555848e-28	4.722026876770338	1	0.791	1.6633862091154537e-23
MARCO	3.0376943455112637e-20	4.68102547461292	1	0.791	1.007815853010272e-15
F13A1	1.0276830619195427e-14	4.649907706985362	1	0.884	3.409544094530467e-10
FPR3	3.0711564412071137e-25	4.587098620230768	1	0.814	1.0189175724992842e-20
MS4A7	5.7996180317946714e-30	4.564356163529622	1	0.953	1.924139274408518e-25
ALOX15B	1.307063419449569e-21	4.5625736083007755	1	0.721	4.3364443067078355e-17
VENTX	2.9681371701580326e-34	4.547560792715848	1	0.581	9.847388689433305e-30
SLC1A3	1.2269396671182298e-10	4.441210369331384	1	0.953	4.070617733598151e-6
FMN1	3.4554550134827937e-15	4.438374118240995	1	0.93	1.1464163098231865e-10
CYBB	5.876643890542794e-22	4.369452527945568	1	0.837	1.9496941435653827e-17
LILRB2	8.166371491244498e-23	4.341747597173551	1	0.628	2.709357069650187e-18
LILRB5	2.8658764830118097e-33	4.313615339927589	1	0.837	9.508118407688281e-29
SIGLEC1	1.125126292959871e-18	4.294117942911535	1	0.884	3.732831502152964e-14
FCGR2A	3.958973131385174e-15	4.290882818572252	1	0.884	1.3134685157996591e-10
SLC11A1	4.119831504663487e-21	4.277916565408467	1	0.953	1.366836498302205e-16
AC110995.1	3.798742423495478e-10	4.253359624995239	1	0.698	1.2603087738430947e-5
CLEC4E	7.04947846128752e-13	4.2468890315136605	1	0.651	2.3388054691013606e-8
SIRPB2	2.7894407614789427e-15	4.244968587511575	1	0.721	9.254527614358688e-11
TRPM2	3.946499525190778e-15	4.242761847276571	1	0.93	1.3093301474725444e-10
CD86	1.2546165621977266e-11	4.231452330839815	1	0.86	4.1624413684033974e-7
CCL3L1	1.2712626578880883e-10	4.221360808663392	1	0.674	4.21766812007531e-6
AL034397.3	2.452078868737518e-8	4.2032639481394964	1	0.791	8.135262062810464e-4
LST1	8.49942013603906e-18	4.1878913649552745	1	0.767	2.819852618533679e-13
CD163	7.82908364314237e-19	4.1806013278534655	1	0.977	2.597455080285344e-14
FOLR2	6.075426840879867e-17	4.162666659136253	1	0.767	2.0156443629987138e-12
CLEC7A	1.8873085466870842e-12	4.139949967250429	1	0.907	6.261523565343739e-8
LINC02432	9.372019012567718e-9	4.136309535304059	1	0.535	3.109354747799592e-4
