gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HGF	1.6896037219777043e-22	4.916637852409723	1	0.837	5.605598268405429e-18
FHL5	2.2393229564633468e-29	4.796685436469512	1	0.814	7.429401772658446e-25
PTH1R	2.5363849100073265e-12	4.733855370683138	1	0.93	8.414964215931307e-8
LINC00989	3.624014231814287e-11	4.57081705815803	1	0.767	1.202339201689026e-6
FAM163B	2.473983396002966e-16	4.277228243939923	1	0.558	8.20793471291904e-12
SULT1E1	1.1317296165130607e-7	4.265325520973654	1	0.698	0.0037547393487053814
CDH19	3.538548615358853e-11	4.217678849008597	1	0.744	1.1739842741176067e-6
ADAMTSL2	4.174030291255679e-20	4.201146260254465	1	0.953	1.3848180297298966e-15
AC108941.2	1.357779295852365e-6	4.1691167273568075	1	0.651	0.04504704369849391
RIPOR3	4.272928320157756e-21	4.12055775862786	1	0.953	1.4176294287787386e-16
ADRA1B	6.932020812630966e-11	4.056976445241623	1	0.86	2.2998365450065754e-6
CNR1	1.37146994993779e-10	4.030417684984578	1	0.814	4.5501258529086055e-6
STEAP4	2.7285580379371013e-22	4.011283821691281	1	0.93	9.052537002463921e-18
AC110760.1	8.731899892734145e-22	4.000425439800201	1	0.744	2.896982427412407e-17
PRPS2	7.332175077561842e-10	3.9692111802790357	1	0.86	2.4325957254826924e-5
FMO3	3.6904000916140246e-15	3.969161931636233	1	0.791	1.224364038394785e-10
AC093772.1	2.46343076279575e-8	3.9647881726239786	1	0.767	8.172924241727459e-4
C7	3.4205700122592358e-12	3.9139024762933126	1	0.953	1.1348425129672466e-7
PDGFRB	3.368655618103322e-7	3.8780239200328737	1	0.93	0.01117618874418139
TBX2	1.0091787526001533e-06	3.869551131097829	1	0.791	0.03348152347501529
CHL1	1.0060742981999418e-9	3.865321422999573	1	0.837	3.337852699137947e-5
CH25H	5.242375762397253e-12	3.849258893194701	1	0.628	1.7392630066905366e-7
PDE1C	2.2472404686556915e-8	3.848671975096245	1	0.86	7.455669702858987e-4
NKD2	4.5561828521255257e-7	3.8337118094819855	1	0.605	0.015116047848496857
RXFP1	3.143736670640125e-7	3.8303282716436566	1	0.907	0.010429975152182743
AC096773.1	7.185953973579446e-10	3.81413803514972	1	0.605	2.3840839498144525e-5
SLC14A2-AS1	4.169881899243982e-7	3.80773527437833	1	0.744	0.01383441717712176
FBLN5	7.255813401617685e-11	3.7948044051614804	1	0.884	2.407261212254699e-6
PLCXD3	8.40506662505492e-12	3.719378814085987	1	0.93	2.7885489541944707e-7
PRR16	7.672200686402794e-14	3.7165852035294487	1	0.907	2.5454060217278552e-9
GUCY1A2	3.5204102080258756e-8	3.7151324206031378	1	0.884	0.0011679664947167447
CCL2	1.4856921386263236e-6	3.6864430106734085	1	0.744	0.04929080808320554
CRISPLD2	8.590480060027288e-8	3.684117487964863	1	0.907	0.0028500635695152534
KITLG	1.3940980081475561e-9	3.6781009354633105	1	0.86	4.6251989616311466e-5
AC010907.2	1.1134269028794394e-10	3.673004258732146	1	0.628	3.694016435683116e-6
LZTS1	5.261938583250111e-9	3.668507110066945	1	0.837	1.7457533637648892e-4
PARM1	1.3636703583589935e-9	3.6524535751683684	1	0.93	4.524249147927633e-5
NFASC	3.737438850680864e-10	3.6502369378715405	1	0.953	1.2399700874903903e-5
ANGPT1	3.5652500162912554e-13	3.634486851002289	1	0.86	1.1828429979049499e-8
AARD	3.177110924513296e-8	3.633046054584023	1	0.605	0.0010540700914257763
SCN4B	1.2723231554159874e-9	3.6324702554907535	1	0.698	4.2211865327236216e-5
CXCL12	4.6890390626830854e-8	3.6302720377066797	1	0.837	0.0015556824898263673
PTGIR	1.1435085000071526e-11	3.6175094275201043	1	0.837	3.7938181504737304e-7
CCDC102B	3.6059938805406087e-12	3.6077859011394455	1	0.953	1.1963605897469577e-7
COLEC11	4.262501490299523e-18	3.6064034123097786	1	0.884	1.4141701194366728e-13
LZTS1-AS1	6.172213755449571e-9	3.593413490889953	1	0.651	2.0477553576455043e-4
