gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGLC2	4.120486008672443e-45	11.072138963209522	1	0.75	1.3670536430972564e-40
IGHG1	1.8285242117602355e-65	9.965619205672908	1	0.75	6.066494777356933e-61
IGLC3	4.426053738321189e-26	9.859714438564316	1	0.591	1.4684318487628208e-21
IGKC	3.225889563416598e-39	9.7099032191898509	1	0.818	1.0702533804547246e-34
IGHGP	5.6840012530705165e-21	9.591416217642067	1	0.614	1.8857810957312051e-16
IGHA1	2.32367320763727e-15	9.02126734006059	1	0.614	7.709250600978171e-11
IGHG4	1.0032886220802692e-24	8.790812606421884	1	0.614	3.328610661475709e-20
MZB1	1.9261702782126494e-26	8.236732394649135	1	0.75	6.390455132026107e-22
IGHM	1.985711752832916e-8	7.889318029275753	1	0.705	6.587995882373765e-4
IGLL5	4.192627462604917e-31	7.8278857241924715	1	0.636	1.3909880132684333e-26
DERL3	3.246426158147945e-21	7.508384372326606	1	0.773	1.0770668064887438e-16
FCRL5	2.3019121626687784e-24	7.088541937795229	1	0.682	7.637053982086207e-20
JCHAIN	7.200734280472363e-27	6.802239085689678	0.667	0.795	2.388987612232316e-22
POU2AF1	1.3455988367332845e-11	6.609152991826127	1	0.795	4.464293260630018e-7
TNFRSF13B	3.604225528723174e-9	6.150892063412672	1	0.75	1.1957739036644874e-4
PIM2	8.651612802449154e-23	6.141170825054128	1	0.773	2.870345579468556e-18
IGLV1-47	7.990334426869992e-10	6.0990840586779775	0.667	0.159	2.6509532528026575e-5
ENAM	2.316625726372939e-9	5.984342133594798	1	0.705	7.6858691723875e-5
TENT5C	9.42603654252848e-9	5.904683369692227	1	0.773	3.127276143714674e-4
MEI1	1.4929096847167018e-16	5.858944428754671	1	0.909	4.953026460984602e-12
HSH2D	1.279297372479763e-9	5.620259977496952	1	0.886	4.2443248926761094e-5
TMC3-AS1	1.0322750792542417e-11	5.531709116972026	1	0.932	3.4247790304417975e-7
BIRC3	1.5663600858846414e-9	5.498060594820909	0.667	0.909	5.196712856939475e-5
TXNDC5	6.880943110440057e-34	5.493485986919405	1	0.932	2.2828904957506976e-29
IGHV3-33	4.977021380186877e-7	5.3746268193259095	0.667	0.136	0.016512263833046003
AC092546.1	3.05343597854186e-8	5.270187656211304	1	0.659	0.0010130384546008328
AMPD1	1.9473586700241886e-8	5.212172912640993	1	0.682	6.460751859539251e-4
AC060809.1	9.908499655259393e-10	5.090245885105752	1	0.841	3.287342930625409e-5
SLC17A9	8.921090017172297e-9	5.022875058176146	1	0.727	2.9597500349972533e-4
XKRX	2.0151087450238317e-11	4.891823760546544	0.667	0.75	6.685526283365566e-7
WNT10A	3.623791086772701e-9	4.85028129341352	0.667	0.432	1.2022651688585791e-4
AC012236.1	4.708864426928155e-7	4.8174559552027025	1	0.614	0.01562259950921954
NUGGC	1.1782163511414553e-6	4.705526633343937	1	0.864	0.03908968388182006
AC021678.2	9.717733747858161e-8	4.676587784819076	1	0.841	0.003224052525526902
HCP5B	1.0477077707313623e-7	4.66760059764666	0.333	0.477	0.003475980070955441
JSRP1	4.377465878642828e-18	4.568513320874632	1	0.864	1.452311854557331e-13
LINC02362	3.4725905563834695e-26	4.557760186161584	0.667	0.841	1.1521013688913437e-21
AL359513.1	1.0721422883204147e-7	4.544346132033473	0.667	0.568	0.0035570464699606398
ZNF215	2.3221630375653315e-12	4.520609349016046	1	0.818	7.7042403097305e-8
AC007569.1	2.086839134954125e-7	4.447946988193629	1	0.818	0.0069235061980373
AC078883.1	2.0726750091132507e-12	4.444692477592035	1	0.909	6.876513877735032e-8
AC022173.1	9.768904597398743e-13	4.411949946938127	1	0.705	3.241029478278981e-8
TNFRSF13C	2.737590993505931e-9	4.361955668151657	0.667	0.591	9.082505639154627e-5
AC022182.2	1.4896491008382476e-7	4.336097411070716	0.667	0.614	0.004942208821851054
PAIP2B	6.921589838764946e-16	4.2652286550644165	1	0.886	2.296375860807046e-11
TP53INP1	1.4930719748314865e-43	4.254614440585881	1	0.932	4.953564890898423e-39
COLCA1	1.2812888521950672e-6	4.102781011066332	0.333	0.545	0.04250932024927574
H1FX	2.313346368223112e-7	4.0159547154286646	1	0.909	0.007674989245853819
MAP3K19	7.615536756752402e-9	3.9932180079623416	1	0.841	2.5266066297877446e-4
AL671710.1	4.1461399828897e-7	3.9780733005461415	0.667	0.659	0.013755648621233157
TBCEL	5.574930865496459e-45	3.954208213232218	1	0.932	1.84959481324576e-40
SPAG4	1.3986911549285935e-8	3.9282770196537635	0.667	0.75	4.640437644706595e-4
SDC1	5.3047013556108814e-8	3.7997982895822533	1	0.841	0.001759940768751022
GLCCI1	5.07003303390726e-13	3.7476540232350675	1	0.977	1.6820848596594114e-8
AC022182.1	4.1009410573091003e-7	3.716671644665598	1	0.864	0.013605692145834403
ALDH1L2	1.7324068447451185e-8	3.7154770159982684	1	0.886	5.74760618881088e-4
PDK1	7.881257240214855e-14	3.6962010500859863	1	0.955	2.6147647145860823e-9
LRRN1	5.1415382769141965e-8	3.6096037255957034	1	0.864	0.001705808154131823
WNT5B	1.30094508745394e-9	3.547398364434409	1	0.955	4.316145516645936e-5
TPTE2	5.273598363439927e-7	3.540622082066241	1	0.841	0.017496217290384645
PUS3	1.13814870180271e-9	3.3608007924584733	1	0.909	3.7760359479708504e-5
CREB3L2	4.6202938207712554e-30	3.3600975806866464	1	0.955	1.5328748809172794e-25
C12orf45	2.789514025268957e-12	3.328163214607315	1	0.909	9.25477068163482e-8
STRBP	2.032801566032815e-15	3.1191701659653956	1	0.955	6.74422575562707e-11
BCL2L11	4.84924240329555e-8	3.111169799954734	1	0.909	0.0016088331521413647
XBP1	3.644876164302567e-19	3.0901036453034694	1	0.977	1.2092605650306625e-14
NDUFAF6	3.8644514606285656e-29	2.933427389237178	1	0.955	1.2821090610927392e-24
AC008014.1	3.2097906457735532e-21	2.9163696338368457	1	0.977	1.0649122425482918e-16
GNG7	1.4801891607379491e-8	2.824005693568446	1	0.955	4.910823578580293e-4
PLPP5	2.6289788612920835e-9	2.7955121918604804	1	0.909	8.722163168108745e-5
GORAB	1.4420615611783146e-6	2.790031442459968	1	0.886	0.047843276415212944
LRRC4	4.800881892542912e-7	2.747089965714801	1	0.909	0.015927885854889617
PYGB	7.118630266394489e-13	2.73195687344981	1	0.909	2.3617479634816998e-8
FKBP11	8.046335737199441e-9	2.7166900179278466	1	0.909	2.669532807530659e-4
RAB30	4.553241845761656e-9	2.684240044207282	1	0.955	1.5106290471683447e-4
SLC26A3	1.3296801458372784e-17	-2.6819997783485174	0	0.864	4.4114798198443383e-13
GMPPB	6.522323344832349e-8	2.648540803002059	1	0.932	0.0021639112161150283
CRELD2	1.0305991488738058e-6	2.6084674553585803	1	0.932	0.03419218796218625
NFKB2	2.1337798594582067e-7	2.5711790173410267	1	0.955	0.007079241439724492
C11orf80	8.05586848724814e-11	2.5484779954324734	1	0.955	2.6726954880143153e-6
FBXO46	3.753279523166166e-8	2.548243436689035	1	0.909	0.0012452255474008388
