gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
THEMIS	9.419986696113699e-24	6.5168811045933115	1	0.837	3.125268986169642e-19
KLRC4-KLRK1	5.76387101577944e-52	6.031028770169412	1	0.791	1.9122794869051447e-47
GZMH	4.083038965449987e-34	5.993272218382983	1	0.581	1.3546298375673422e-29
CD2	1.1155484359326645e-32	5.9458393660573385	1	0.698	3.701055045893801e-28
IL7R	2.9926070354507627e-31	5.92305771577923	1	0.837	9.928572361514996e-27
LINC00861	4.500472280503307e-28	5.900973795277811	1	0.605	1.493121688502582e-23
GNLY	1.6692924358923092e-18	5.823155834347116	1	0.698	5.538211514559914e-14
PYHIN1	2.0621312215652416e-23	5.795282637042959	1	0.721	6.841532753787002e-19
CD3E	1.0165380918746036e-35	5.771519786900821	1	0.581	3.3725684274123725e-31
SLFN12L	2.946228805643807e-23	5.711011223434338	1	0.907	9.7747033084844585e-19
CD69	1.1231938285417776e-13	5.702853464895616	1	0.628	3.726420164953055e-9
CD247	2.920524373198068e-29	5.658012877892654	1	0.86	9.689423712959231e-25
CTSW	1.6927915243092053e-33	5.647301975121069	1	0.512	5.616174440200651e-29
GRAP2	3.327273838231155e-24	5.6357078233471585	1	0.837	1.1038896413099505e-19
ITK	4.930639011842403e-13	5.533851311057256	1	0.767	1.635838104958954e-8
GZMA	1.9609155789935365e-28	5.489126742359954	1	0.674	6.505729616426856e-24
TRBC2	1.6084121764771227e-38	5.470025776348878	1	0.581	5.33622907789815e-34
UBASH3A	3.780544238110779e-61	5.447612092096942	1	0.674	1.254271161878013e-56
CD52	6.815051860848213e-19	5.414833555739525	1	0.698	2.2610297558736116e-14
TRAC	1.2376188025157019e-25	5.316905137861783	1	0.558	4.106047901106344e-21
DTHD1	3.7871142456715467e-16	5.292779661930041	1	0.674	1.256450893286449e-11
LCK	3.906306975872405e-11	5.249062133002966	1	0.791	1.2959954653851877e-6
RUNX3	2.964712238505732e-9	5.229948987524769	1	0.884	9.836025793690466e-5
AC243829.2	5.315132498662309e-13	5.218830192570196	1	0.744	1.7634015090811943e-8
GPR174	4.6643997509717404e-17	5.2002664231653	1	0.628	1.5475079053798944e-12
SCML4	2.4495873621055717e-13	5.17881339508036	1	0.86	8.126995991257655e-9
BCL11B	1.8013498267722817e-18	5.1137551589714985	1	0.837	5.9763383202824e-14
PTGDR	8.696349006892203e-12	5.108955713526331	1	0.698	2.8851877100166265e-7
CCL5	3.3310209169513484e-34	5.105516895199038	1	0.884	1.1051328096169488e-29
SLAMF6	9.449920340363444e-15	5.084651314588555	1	0.814	3.13520007132238e-10
MYO1G	3.2807218487520843e-13	5.084315029652553	1	0.698	1.088445087760479e-8
CD3D	1.1915029948303138e-21	5.079539446682191	1	0.558	3.9530494859485324e-17
CD6	1.1505228370912963e-16	5.063275462686713	1	0.814	3.817089616617794e-12
PRF1	3.61368353747522e-21	5.0592353305933	1	0.535	1.1989117872281538e-16
CD3G	7.611953416855175e-15	5.052237912372873	1	0.698	2.5254177851100413e-10
LINC01871	9.123303981733203e-37	5.017859055545209	1	0.605	3.026838562019625e-32
TBC1D10C	1.5351228790466288e-10	5.013206622571133	1	0.721	5.093077175813e-6
LINC00426	7.496949523860091e-19	4.993740472108117	1	0.767	2.4872629435310622e-14
STAT4	1.3009331215632323e-15	4.978110343549307	1	0.953	4.316105817410336e-11
TRBC1	1.5208893807948177e-20	4.958086975384353	1	0.535	5.045854698662967e-16
TRGC2	1.0565319768491262e-22	4.903581823916126	1	0.558	3.505256139592346e-18
CD8A	4.732494484692264e-12	4.873640030614013	1	0.744	1.5700996951863525e-7
EOMES	3.8904727645797444e-15	4.858709432853112	1	0.442	1.2907421491046218e-10
FCRL6	1.5640713695946077e-9	4.858606183000911	1	0.581	5.18911958290403e-5
GZMK	1.3767337111562882e-21	4.852393651681082	1	0.605	4.5675894335032174e-17
LTB	2.5488962296340157e-12	4.839518414328734	1	0.698	8.456473021056774e-8
CD96	3.227676230470388e-14	4.806051635867261	1	0.884	1.0708461429831605e-9
TRGC1	7.264899839714037e-10	4.781453087958864	1	0.279	2.410275819821926e-5
KLRC3	4.640193735460317e-22	4.774181374164562	1	0.302	1.5394770756136693e-17
TMC8	8.744014706854161e-7	4.746580860866638	1	0.93	0.029010017592930048
MYBL1	1.8516225703016104e-28	4.742384952314034	1	0.791	6.1431282014896526e-24
IKZF3	5.671061365836352e-11	4.7054448012900805	1	0.86	1.8814880293435265e-6
ZAP70	1.7397431651580703e-16	4.70145345736207	1	0.767	5.77194589904493e-12
ZNF831	9.572228888653053e-14	4.680687624915303	1	0.837	3.1757783783884232e-9
LINC01934	3.792954077577656e-9	4.6702067948450345	1	0.86	1.258388374317939e-4
AC068775.1	1.0246808270350675e-11	4.654797455390662	1	0.558	3.399583579854243e-7
TBX21	2.4845151520607696e-14	4.599457068259618	1	0.628	8.242875919992015e-10
HCST	3.035558860105588e-8	4.586147640536797	1	0.698	0.001007107363017231
AC010609.1	8.605413916291676e-17	4.540023790349551	1	0.721	2.8550181750080895e-12
DUSP2	2.309219009266844e-9	4.521061634027219	1	0.628	7.661295907044608e-5
IL32	1.057232944386346e-9	4.52036731459665	1	0.791	3.50758173959058e-5
TOX	9.760483012703209e-7	4.503429752031623	1	0.884	0.032382354491245435
TRAT1	3.4523013021766123e-15	4.501003815672604	1	0.674	1.1453700030231346e-10
FCMR	4.339432103849183e-9	4.492552746048737	1	0.721	1.4396933890940434e-4
KLRC1	8.418046510217412e-10	4.4823941972911	1	0.349	2.7928552906948308e-5
CST7	1.7322636920155505e-16	4.47855862481102	1	0.721	5.747131250999991e-12
PBX4	9.518721690699881e-10	4.476076761181506	1	0.86	3.1580262953235e-5
PZP	9.077692884687136e-28	4.465004720389814	1	0.791	3.011706168352651e-23
C19orf84	1.4978822482419973e-8	4.455414817925852	1	0.581	4.969523934992474e-4
CD244	2.812031252094742e-8	4.452509797594038	1	0.698	9.329476085074725e-4
CCR5	2.645795347198051e-7	4.443394715226794	1	0.395	0.008777955223398973
ITGB7	8.784336702290324e-22	4.422894594264492	1	0.791	2.914379387718861e-17
SIRPG	2.3994223383746062e-18	4.401943651787921	1	0.674	7.960563492025431e-14
SOCS1	7.602240773374034e-13	4.37982464879002	1	0.721	2.5221954213823033e-8
GZMB	4.845230686074768e-12	4.376746842160485	1	0.349	1.6075021847190257e-7
IL2RB	3.48904404467806e-18	4.357390417576932	1	0.767	1.15756014270284e-13
TRAF3IP3	1.0549009765176148e-8	4.330707826424088	1	0.814	3.4998449697924906e-4
KLRF1	6.895804112283908e-8	4.312681468051801	1	0.349	0.002287820930332432
TESPA1	7.09433466243517e-10	4.300421447286359	1	0.651	2.3536874109561164e-5
CD7	1.1483368978903708e-16	4.293137245201228	1	0.372	3.8098373261308834e-12
XCL2	2.3180562553887196e-12	4.290881831645106	1	0.279	7.690615238503155e-8
AC022075.1	7.258029551802422e-19	4.288317974518991	1	0.814	2.4079964644014895e-14
SIT1	4.680600740711649e-9	4.2801142665836	1	0.233	1.552882907745904e-4
SYTL3	3.527237008439178e-13	4.2734805704688235	1	0.953	1.1702314222898661e-8
GPR171	7.930341524930715e-12	4.2614828054879395	1	0.605	2.6310494077262634e-7
GZMM	6.42974975048656e-15	4.260194962277616	1	0.674	2.133198074718926e-10
AC093010.2	3.235289660781381e-14	4.245019178439247	1	0.581	1.0733720507574388e-9
