gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MCOLN3	2.4709905151362598e-8	2.861269042964157	1	0.953	8.198005232067569e-4
PHYHIPL	3.595248726277175e-8	2.770990224061129	1	0.86	0.0011927956699169784
VCAN	8.521508881108016e-7	2.6896983483684895	1	0.953	0.028271810014852062
KIAA1024	4.900502371515154e-9	2.683688142436372	1	0.93	1.6258396717975826e-4
ELMO1	1.0746718880435883e-6	-2.6741492801946407	1	0.977	0.03565438922962213
C19orf48	1.2031239045832665e-7	2.2507467692495893	1	0.837	0.003991604178235904
FLI1	4.36472986685468e-7	-2.158574016185635	1	0.977	0.014480864279263771
ITGA2	5.637934112192521e-10	2.04881444637447	1	0.93	1.8704974004021126e-5
UGCG	1.6046876298089614e-7	1.897904776872585	1	0.953	0.005323872149417192
CAB39L	8.04859442736575e-10	1.885319844894528	1	0.953	2.6702821731671348e-5
SLC12A2	1.0797450577404538e-6	1.7769816814579547	1	0.977	0.03582270178065504
PAG1	2.863516023931298e-7	-1.6224682548539784	1	0.977	0.009500287112596867
PBX3	1.2756118472238473e-6	1.5809308717483739	1	0.977	0.04232097425534558
KLHL7	5.31991718124922e-9	1.5800004542978574	1	0.953	1.7649889232230538e-4
HES4	8.253791646854599e-7	1.49228642940176	0.75	0.744	0.027383604546769504
SERINC5	6.971828635860296e-9	1.4310829915117456	1	1	2.3130435865193703e-4
TMEM173	4.3463966872748716e-7	-1.047215270056421	1	0.907	0.014420040289371841
PLXNA2	1.1228500925682681e-6	-1.0025405487300556	1	0.953	0.03725279752113743
MTMR3	6.897149166206697e-7	0.9857239576628226	1	0.953	0.022882671788723958
PGGHG	2.2236018152972068e-7	-0.8918746098903878	1	0.907	0.007377243742611543
GRK5	1.0484670413032845e-9	-0.8825628547379091	1	0.977	3.478499102931907e-5
A1BG-AS1	1.2182830421107946e-6	0.8587472669889755	1	0.884	0.04041897648810983
RASA3	1.1291960994437818e-6	-0.7203904612245458	1	0.93	0.03746333899124635
SENCR	4.9509493293407e-7	0.5699665965452321	1	0.86	0.01642576458995364
PLAG1	8.371199934304284e-7	0.13034992322442385	1	0.953	0.02777313002204132
JHY	7.372950453806006e-7	0.04666465769284023	1	0.93	0.024461237720592187
