gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
BCL2	1.4567940698840285e-6	-2.8364796470168123	1	0.953	0.04833205685654241
ELMO1	1.2328902290418533e-6	-2.6357212236229106	1	0.977	0.04090359912892157
VAV3	1.2572325666533849e-6	-2.1809267741314544	1	0.977	0.041711204863859354
FLI1	3.101961790398971e-7	-2.1560773783300284	1	0.977	0.010291378632006666
PDE4D	8.49917899654767e-7	-2.142991363221481	1	0.953	0.028197726156846206
ARHGAP26	5.554089639125976e-7	-2.119059031340385	1	0.953	0.018426803195728248
PAG1	4.550335214394209e-7	-1.5934351449143687	1	0.977	0.015096647140795668
TBC1D1	1.1211236016701362e-6	-1.4144699656808246	1	0.93	0.03719551773261011
FMNL3	9.708100038339794e-7	-1.2186818131553623	1	0.953	0.03220856349719994
DTX4	2.2369899703904326e-7	1.1635287433162091	1	0.814	0.007421661624764338
TMEM173	1.8828513964350458e-7	-1.0541392909094736	1	0.907	0.006246736077952552
PLXNA2	8.037083663676469e-7	-0.9978084985754299	1	0.953	0.026664632470979423
PGGHG	1.1176774892421976e-8	-0.9186562024393944	1	0.907	3.708118606058839e-4
GDPD5	1.2688204358304088e-6	-0.8107446373047666	1	0.93	0.04209565559954547
SH3BP2	6.933843177525068e-7	-0.7984891788620521	1	0.93	0.02300441151007492
KLF13	1.428738522976856e-6	-0.7772350009202125	1	0.907	0.04740125797680315
RASA3	5.518552785708395e-7	-0.7241788088044994	1	0.93	0.01830890257714474
SENCR	2.209606184274366e-8	0.559812557434967	1	0.86	7.330810437567064e-4
PLAG1	5.384179897039372e-7	0.1349959154686542	1	0.953	0.017863093644407527
ARRDC2	8.78105504793283e-7	-0.11019984486805234	1	0.93	0.02913290633252675
SLFN11	5.933607632025609e-7	-0.09151946407370426	1	0.86	0.019685930040771363
JHY	7.631892086440125e-7	0.05855092869643408	1	0.93	0.025320328375182402
FAM43A	1.1121961376036761e-6	-0.048930997248896047	1	0.814	0.036899331257277165
