gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CIDEA	1.9156101679477032e-35	5.4535504846184875	1	0.844	6.355419854200095e-31
G0S2	2.230835652542842e-16	5.447237114063814	1	0.719	7.401243444441387e-12
ADIPOQ	4.1460572416922385e-49	5.446765709506421	1	0.906	1.3755374110762339e-44
LVRN	6.482389123355656e-45	5.394693158446197	1	0.938	2.1506622394557058e-40
PLIN1	4.486218211502432e-41	5.38641724223484	1	0.969	1.488392616030162e-36
SLC19A3	1.1935652127397636e-18	5.12262537499178	1	0.906	3.959891306306714e-14
ADH1B	1.2821447787765017e-14	5.1069853465707515	1	0.875	4.2537717325468e-10
COX14	9.701433592890119e-59	5.0956348399440206	1	0.969	3.218644623113155e-54
MARC1	2.8464374857981535e-37	4.97374039213618	1	0.875	9.443625646632535e-33
AQP7	1.0970010744467336e-34	4.94277706570675	1	0.969	3.639520464691928e-30
MLXIPL	4.1100089079527353e-25	4.893893117418116	1	0.969	1.363577655391479e-20
GPD1	1.6813988456239087e-52	4.863420470473194	1	0.906	5.578376950126442e-48
PLIN4	1.357838061561235e-24	4.804536404551106	1	0.938	4.504899336841709e-20
GYG2	3.479995441247947e-29	4.785652567175536	1	0.969	1.1545580875428314e-24
HSPB7	5.99688070496741e-18	4.764591618286634	1	0.688	1.9895851114870375e-13
PFKFB1	1.1509022119792366e-38	4.760309449118562	1	0.812	3.8183482686835133e-34
PLIN5	3.8183699389317133e-36	4.691196250519351	1	0.969	1.2668205946393745e-31
PTGER3	1.481114567999409e-16	4.681621749364556	1	0.875	4.913893802251639e-12
AL356479.1	8.784607589988898e-16	4.667651743579853	1	0.938	2.914469260130617e-11
ACVR1C	3.9364157379302405e-28	4.656574948919971	1	0.969	1.3059846493731159e-23
ACACB	4.7298132905964646e-24	4.640099627254907	1	1	1.569210155421189e-19
GHR	1.0463711142147318e-12	4.63809626158796	1	1	3.471545445630216e-8
GPAM	7.984669230049434e-37	4.615791310138463	1	0.906	2.649073710453501e-32
MAOB	2.769752998219238e-22	4.521453031289951	1	0.938	9.189209522191966e-18
PCK1	9.449373525717269e-17	4.496925955131626	1	0.375	3.135018654627218e-12
CIDEC	4.4637816370554385e-22	4.49057173814985	1	0.906	1.480948833725883e-17
PNPLA2	1.211529235949416e-44	4.487410898137089	1	1	4.0194905461093775e-40
C14orf180	9.46825235173363e-22	4.460308201266806	1	0.562	3.141282082734667e-17
LPL	7.123494096589345e-13	4.4524105325306556	1	1	2.363361636425447e-8
ITGA7	1.1720585142612717e-17	4.428687624008653	1	0.875	3.888538532764621e-13
PTX3	3.918757496632082e-9	4.42322195878258	1	0.938	1.300126174657626e-4
AC022414.1	5.549340817396928e-22	4.415613194336956	1	1	1.8411048029877786e-17
SPON1	2.3482374637660254e-28	4.404675664214443	1	1	7.790747433536543e-24
FASN	1.6473805135194848e-18	4.204470901652009	1	0.906	5.4655143297035945e-14
ATP1A2	1.3909866943529536e-10	4.200973690968365	1	0.906	4.6148765558547946e-6
DGAT2	3.978590485868144e-12	4.1880979078328435	1	0.781	1.319976965496474e-7
SLC7A10	4.164182291006846e-22	4.181837649905293	1	0.875	1.3815507586873414e-17
LINC02227	5.4183830615222765e-15	4.179052524695405	1	0.875	1.7976569483212457e-10
PEX11A	6.363755316375459e-19	4.170433773435384	1	0.781	2.111303101313886e-14
AGPAT2	1.5589903798226456e-37	4.079132948007834	1	0.938	5.172262383137591e-33
PCOLCE2	7.056897304400225e-16	4.075363521729326	1	0.844	2.3412668186808626e-11
ADCY5	1.3644441884809525e-18	4.023059965779387	1	0.969	4.526816484123256e-14
GLDN	2.932569237506728e-9	4.01597778016388	1	0.969	9.729384959276072e-5
PDE8B	2.5540545232696627e-9	3.991095720637342	1	0.406	8.47358669185176e-5
GABRE	2.688887717119889e-7	3.981202579595833	1	0.875	0.008920922779088656
RBP4	4.0159212074567146e-24	3.9584989734028238	1	0.562	1.3323621789979142e-19
AP002989.1	1.5355355826653232e-12	3.944779540407449	1	0.906	5.094446402608743e-8
KCTD8	7.90613041159163e-9	3.9441715342473858	1	0.844	2.623016886653755e-4
LIPE	1.4510749412794634e-44	3.9422145330450364	1	1	4.814231332682876e-40
RETSAT	3.627586238488267e-38	3.9411687960666817	1	0.938	1.2035242863432523e-33
ALDH1L1	8.63388897287312e-22	3.9362225495141825	1	0.938	2.8644653445301146e-17
CACNA2D1	1.939211032085192e-9	3.928839219259658	1	1	6.433720441149041e-5
ACSS3	1.3075595194325091e-9	3.896246741892633	1	0.969	4.338090217621235e-5
TMEM132C	6.431808774283545e-8	3.8945543696355385	1	0.969	0.0021338811970440514
BCL6	6.214359110134017e-11	3.864962821934358	1	1	2.061737921969163e-6
VEGFA	6.637350057619824e-7	3.8454261375568928	1	0.906	0.02202073628616529
AP001528.2	1.1919799795219013e-8	3.815884976472637	1	0.938	3.954631978059812e-4
PHLDA3	1.212159951242076e-10	3.8156364085960988	1	0.75	4.0215830702358355e-6
LEP	5.451925434325118e-13	3.8013351862002898	1	0.812	1.808785301346044e-8
MGST1	1.6947330550876165e-12	3.800163633565884	1	1	5.622615856864185e-8
ALPK3	2.9318992651527344e-11	3.7729207647429908	1	0.906	9.727162191997226e-7
CEBPA	8.667401696709824e-17	3.721728323694112	1	0.719	2.8755838609174185e-12
AZGP1	2.2145008639099226e-10	3.705933100726285	1	0.5	7.34704951619395e-6
LINC00598	9.589648071254454e-19	3.7034030733968315	1	1	3.18155754060009e-14
TRARG1	9.255288587718919e-12	3.6939184488099817	1	0.875	3.0706270947475056e-7
SORBS1	2.20821587034783e-12	3.692049725641125	1	1	7.326197793052996e-8
AC022007.1	2.1401486583178936e-28	3.6881371386574635	1	0.5	7.100371203701276e-24
ECHDC3	8.02195396068408e-26	3.6836025049572036	1	0.906	2.6614436655361574e-21
LINC02082	1.3267366347494835e-8	3.6681356345881597	1	0.594	4.4017141331083613e-4
AC011498.4	1.4607109481190356e-15	3.663487552666295	1	0.719	4.8462007125745245e-11
RDH5	1.5734296150543334e-12	3.6430686121557065	1	0.781	5.220167433865762e-8
PRODH	9.389914938335126e-21	3.6402746029936672	1	0.75	3.115292079091445e-16
CKB	7.328091371264571e-10	3.630167174102706	1	0.531	2.431240874244447e-5
GPAT3	1.6761944407240555e-10	3.6186986811974564	1	0.969	5.561110295990199e-6
EFNA5	1.055013912356858e-11	3.614649688199295	1	0.969	3.500219657026348e-7
ADIPOQ-AS1	8.273495365304605e-15	3.611304571786652	1	0.719	2.7448975573471086e-10
TMEM100	2.1916097916094792e-7	3.57197254082629	1	0.406	0.007271103805622769
SLC2A4	2.4266821345877916e-16	3.56207742913966	1	0.5	8.051003317921916e-12
AC072022.2	4.142515745192339e-12	3.5473908123263507	1	0.844	1.3743624487824622e-7
PRXL2A	6.137773003290069e-12	3.5419834230977845	1	0.938	2.0363289493015461e-7
GPT	7.251031947685686e-14	3.5403882203071717	1	0.531	2.4056748692836802e-9
SLC7A6	7.880117290735746e-38	3.5235481691493074	1	1	2.6143865135473984e-33
CDO1	6.330759849167467e-14	3.513884769107096	1	0.688	2.1003561951582906e-9
RSPO3	9.651588877835658e-12	3.509060915845318	1	0.719	3.202107641999536e-7
KLB	1.4824904168712338e-12	3.4869493613192883	1	0.875	4.9184584560536924e-8
HILPDA	1.3079580648395011e-14	3.4836519321853423	1	0.844	4.339412471718013e-10
AL136131.3	6.699516118555687e-9	3.4768535316003693	1	0.281	2.2226984626532202e-4
LGALS12	1.5668804738180235e-21	3.473392677145083	1	0.688	5.198439347986057e-17
KLF15	4.27303075033626e-11	3.4680291793346054	1	0.781	1.417663412039061e-6
PTPRF	6.251403210068923e-13	3.4469870027634966	1	0.938	2.0740280430045667e-8
PPP1R1A	6.816082619855937e-30	3.4450282640448946	1	0.688	2.261371730789604e-25
ABCD2	1.4998821122402876e-11	3.4431332219100517	1	0.875	4.976158883779602e-7
SLC7A6OS	1.1922958411955862e-26	3.442487736245353	1	1	3.9556799123345966e-22
HK2	2.565578325774768e-22	3.426644652351329	1	0.938	8.511819211422948e-18
PLOD2	8.972696377114507e-7	3.4263598789680145	1	0.906	0.029768714770352797
ARHGEF16	3.3250024858406115e-18	3.4149438795794893	1	0.688	1.1031360747273397e-13
MME	7.058531770486737e-13	3.392918777401311	1	0.938	2.341809085494385e-8
TWIST1	4.23959214141253e-8	3.3892743562564713	1	0.781	0.0014065694847564352
AC087482.1	3.329571941476571e-11	3.377650920424896	1	0.875	1.1046520830236821e-6
AOC3	2.3337316527159304e-13	3.3733949843848787	1	0.844	7.742621504215642e-9
MRAS	1.863306160203326e-17	3.363805469401231	1	0.875	6.181890847706575e-13
APOL4	2.6920222646398903e-8	3.3620187786656524	1	0.594	8.931322267395764e-4
SMIM3	6.232453037841566e-13	3.359316502753829	1	0.812	2.0677409443646964e-8
AC131025.2	7.482835448386227e-7	3.354994817208582	1	0.844	0.024825803167110985
ITGA8	4.2381430991002366e-7	3.3544690142354634	1	0.969	0.014060887359884856
AC010457.1	4.684482211063693e-9	3.335582762338549	1	0.438	1.5541706631646014e-4
BLOC1S1-RDH5	2.5943902378060424e-21	3.3217625351254236	1	0.844	8.607408491969107e-17
PRKAR2B	3.934127325068649e-8	3.3146953062380744	1	0.969	0.0013052254226380256
NIPSNAP3B	4.018306503751317e-11	3.3146174801939323	1	0.844	1.3331535487495745e-6
SOX5	1.0566097849401885e-7	3.3129145308546377	1	1	0.0035055142834960634
GSN	2.785975500268475e-10	3.3095473097807186	1	1	9.24303091724072e-6
GPT2	4.542962538687904e-26	3.2940369239312943	1	0.969	1.507218681460486e-21
HEBP2	1.2342444629787353e-50	3.280586345741167	1	0.969	4.09485285482455e-46
AASS	1.2531434273827765e-6	3.275991083928239	1	0.875	0.041575539490278375
TRHDE	2.348725787346036e-9	3.274971659329683	1	0.906	7.792367544677945e-5
ADIRF	3.653560042865678e-10	3.2745217722877715	1	0.938	1.212141615421546e-5
PRRT4	1.4199438559921527e-6	3.272330554169037	1	0.469	0.04710947731025165
CRYAB	1.4897655556747782e-6	3.266192061775717	1	0.594	0.049425951840622116
CSPG4	1.8627693428111994e-10	3.263562390569279	1	0.781	6.180109848644716e-6
PECR	7.598054279163472e-21	3.261825352006051	1	0.969	2.5208064681980654e-16
AC008840.1	1.1237158280585903e-7	3.259240267484075	1	0.656	0.0037281520027499853
PRICKLE2	9.088514165363507e-7	3.2471967862530438	1	0.969	0.030152963446426508
PLA2G16	2.0289507906686648e-15	3.2419296110990903	1	0.938	6.731450038201429e-11
LGR4	2.437489567383933e-15	3.2414709635325285	1	1	8.086859137709675e-11
AC003101.1	6.498690394753775e-8	3.2398691283568866	1	0.562	0.00215607051226746
SPATA9	2.5615065458132348e-9	3.237183772641839	1	0.875	8.49831026704457e-5
DUSP4	5.0222251736107705e-9	3.2268803819686904	1	0.781	1.6662236458488453e-4
LIPE-AS1	6.3507691211754815e-31	3.1963144874039173	1	1	2.1069946713323896e-26
AC002066.1	8.954033378506421e-10	3.185089065692905	1	0.938	2.9706796539870754e-5
AC007923.4	6.274631475988807e-13	3.184396395494992	1	0.938	2.0817344847888064e-8
CSAD	5.878250106118605e-17	3.1837625514591523	1	1	1.95022703770697e-12
FOXN4	2.4399380310137304e-7	3.1570952677516146	1	0.688	0.008094982405494253
AC007938.3	6.597803748193387e-7	3.137039192519761	1	0.281	0.021889533495381197
TSPAN15	3.7110523404668974e-10	3.130885653801032	1	0.906	1.2312158349967026e-5
RASL10B	1.4075978739513493e-7	3.1279785865977123	1	0.469	0.0046699874664083915
AP006621.1	4.517644936773554e-16	3.1190312517282184	1	0.875	1.4988190606733622e-11
CACHD1	1.6240637327246756e-7	3.1050803012884627	1	0.969	0.005388156246060656
TYRO3	2.718506782662876e-8	3.105026827921323	1	0.844	9.019189952840623e-4
