gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A1	1.4949069177316342e-15	4.182644772939195	1	0.969	4.959652680958243e-11
LINC00926	1.789529810714892e-24	4.108764269686841	1	0.969	5.937123053008797e-20
FCRL1	8.099642727362876e-16	4.072659572212136	1	1	2.6872184676571813e-11
LINC02397	7.923198307235051e-14	4.053692364131848	1	0.719	2.628679502391373e-9
CD22	1.2135241500170251e-17	4.05115652960822	1	0.969	4.026109072511484e-13
BLK	1.1882328713573133e-17	4.002893288703897	1	1	3.9422001973021586e-13
AL161781.2	1.7116189299528764e-11	3.9399380549365732	1	0.688	5.678638123904658e-7
BANK1	1.440178274229543e-18	3.888433117041722	1	1	4.778079460411355e-14
TCL1A	3.242782785807629e-22	3.8359887551081404	1	0.562	1.0758580448473971e-17
PAX5	2.1166901527304865e-16	3.8037697997119464	1	1	7.022542919713935e-12
CD79B	1.4923533066662046e-10	3.7294883419730893	1	0.844	4.951180565526467e-6
LINC02422	1.5385517013571007e-18	3.7241255000525157	1	0.812	5.104452979592453e-14
GAPT	6.898912582425015e-7	3.71686729106869	1	0.469	0.022888522274711474
SPIB	7.858986378088686e-12	3.7035380213869518	1	0.719	2.6073759106584833e-7
FAM129C	2.2685852585219975e-16	3.667508408939938	1	1	7.526485312198432e-12
AC103831.1	7.107350051430513e-19	3.648312331401418	1	0.438	2.3580055265631014e-14
CD19	3.6525230805248334e-8	3.4951290872021246	1	0.906	0.0012117975824257239
AC063949.2	1.0040618509068859e-8	3.4867029907236127	1	0.844	3.3311760027537754e-4
FAM177B	1.8323912016598082e-13	3.465807689111218	1	0.812	6.079324289746746e-9
AFF3	1.0514099932955535e-14	3.464413063213491	1	1	3.488262934756658e-10
FCRL2	2.5392536515782845e-11	3.39958619912594	1	0.969	8.424481839841274e-7
FCRLA	6.621126106388414e-11	3.3904122813604385	1	0.688	2.1966910083164838e-6
ZNF860	4.88516865931638e-7	3.3764543260908177	1	0.688	0.016207524061013955
KHDRBS2	6.411014047749606e-11	3.318000898147103	1	1	2.126982130621887e-6
CNR2	3.4774694566410423e-10	3.276376369686812	1	0.938	1.1537200416297986e-5
LARGE2	2.2032074197648692e-10	3.2717571232923084	1	0.625	7.309581256553906e-6
CLEC17A	1.5848179463020874e-7	3.1913894924249404	1	0.906	0.005257950500446435
FCER2	1.6427037439874186e-8	3.182059588333506	1	0.875	5.449998211427059e-4
TNFRSF13C	4.604763021329923e-8	3.1692675911923027	1	0.969	0.0015277222275866286
NETO1	1.6760191548151469e-9	3.1463776958665957	1	0.875	5.560528749930213e-5
BACH2	4.090084417361865e-10	3.1273962306521135	1	1	1.3569673071481459e-5
AC020909.1	1.80478485932154e-11	3.1115693220909755	1	0.812	5.987734727771073e-7
BTLA	1.291520868737367e-12	3.099907951600482	1	0.969	4.284878786209962e-8
HLA-DOA	8.956583536409406e-10	3.028962331987234	1	0.812	2.9715257198745485e-5
TLR10	2.0932745789948083e-7	3.0215018949882015	1	0.844	0.006944857070731075
CD37	2.006216510208369e-10	3.000619113934538	1	0.969	6.656024515918305e-6
ADAM28	1.6953698763891748e-9	2.9527635805216215	1	1	5.6247286388963656e-5
UGT8	1.3097400117180162e-6	2.943206008635727	1	0.812	0.04345324436876862
RALGPS2	3.999178266763722e-8	2.9182011631032587	1	1	0.0013268073735642001
MARCH1	1.430633786456977e-6	2.9053766227675215	1	1	0.04746413713328313
HVCN1	2.555352424839531e-11	2.8683484568213418	1	1	8.477892739890112e-7
CNR1	1.2432340439011209e-8	2.854513573803632	1	0.781	4.124677587450749e-4
E2F5	6.421526822589218e-10	2.8205077705928687	1	0.969	2.130469953930425e-5
UBR5-AS1	1.136948162324349e-9	2.8064672810786204	1	0.875	3.772052918143492e-5
ABCB4	3.543109851634591e-7	2.7914381376415935	1	0.938	0.011754975554768083
LIX1-AS1	8.689314607308589e-14	2.7319062381013737	1	0.969	2.8828539072667708e-9
CXCR5	1.5144380495638307e-11	2.7073348354259728	1	0.938	5.024451117037921e-7
RUBCNL	1.6235803830884156e-7	2.6833086779391278	1	0.969	0.005386552636972437
SLC9A7	1.5299812786581208e-11	2.6761421522268436	1	1	5.076018888204048e-7
ADAM19	5.319128983620038e-7	2.647802026582376	1	1	0.0176472742289562
CD40	7.06497918988641e-7	2.612525249789472	1	0.906	0.023439481458286143
TFEB	1.2458862645367565e-11	2.596294381051997	1	1	4.1334768598535967e-7
TSPAN33	2.8346587958848453e-8	2.5889294878557703	1	0.938	9.404547487107151e-4
POU2F2	9.975309756613273e-7	2.520252914545183	1	1	0.03309508517951586
ZNF318	1.441206586495577e-23	2.439671493937902	1	1	4.781491092016376e-19
IFT57	1.9006844519541763e-8	2.42956351242283	1	0.969	6.305900806248371e-4
SP110	4.620807729202742e-9	2.4185424202620416	1	1	1.5330453803175936e-4
JADE3	3.731475138893469e-9	2.3598721269945933	1	0.969	1.237991506830686e-4
AC008878.3	1.1626252491388195e-8	2.337544961584645	1	1	3.8572417890678614e-4
TRAF5	1.208254016726535e-9	2.3198240362524243	1	1	4.008624351293625e-5
PARP15	7.081627791890132e-7	2.3022270389458503	1	1	0.02349471652515389
RABEP2	3.985559911401149e-8	2.270036010179287	1	1	0.0013222892118055593
AC119396.1	1.3285953479642406e-8	2.24721805439251	1	1	4.407880785940961e-4
SCIMP	2.3380717734571865e-7	2.211896495425654	1	0.969	0.007757020722798907
PLEKHF2	4.852853888588334e-9	2.1987540167235555	1	1	1.6100313346169515e-4
ITPR1	2.0005479777208307e-11	2.195530405366485	1	1	6.6372180256844e-7
AC005258.1	5.5910219982268047e-8	2.1895287228515405	1	1	0.001854933368351707
ZNF107	1.775531178015779e-17	2.1416100474028372	1	0.969	5.89067978930295e-13
SEMA4B	3.5779273050984607e-9	2.117823604773416	1	1	1.1870489420125163e-4
CERS4	5.6227808276095e-8	1.9936889463670842	1	1	0.0018654699951760037
CYB561A3	2.730037848758075e-8	1.9858589315838566	1	1	9.057446570824666e-4
ZNF439	3.2190531285520175e-8	1.9409687333148684	1	1	0.001067985256459703
SLC39A10	3.6495523319052326e-9	1.9194369929237634	1	1	1.210811977156199e-4
AC027097.1	4.502121483688401e-12	1.9027717727676308	1	1	1.493668844643301e-7
AIDA	1.9414772231366238e-14	1.89579387664662	1	1	6.441238983200377e-10
PRDM4	9.105824295532231e-9	1.868919609474256	1	1	3.0210393265287286e-4
DGKD	1.1742441962205748e-7	1.8453188693066829	1	1	0.003895789969801001
LMBRD1	1.512357061217455e-11	1.8361128671813438	1	1	5.01754702200115e-7
SIPA1L3	1.37325416770054e-6	1.7904278251224466	1	1	0.04556045352180082
AC027097.2	5.842901288571121e-9	1.7802546859117667	1	1	1.9384993605092406e-4
TAPT1	1.2305718241047866e-11	1.777553837359954	1	1	4.0826681408324505e-7
ZBED5	4.2168671562688555e-7	1.7457446829475085	1	1	0.013990300164353181
QRSL1	2.895287976498456e-10	1.7180636526198712	1	1	9.605696919628927e-6
FDFT1	1.086311275719799e-7	1.6880176992607785	1	1	0.003604054919455577
TMED8	1.3386016074033818e-8	1.6631629401020616	1	1	4.4410785528822e-4
SP100	8.440184125345316e-9	1.6599104109205862	1	1	2.8001998872658157e-4
GGA2	4.741472271753565e-10	1.5973739998963636	1	1	1.5730782555996803e-5
ZCCHC7	3.210912174846845e-9	1.526198195687504	1	1	1.0652843322489378e-4
INPP5A	1.0803138970703831e-6	1.455095540860258	1	1	0.0358415741631041
ZCCHC10	3.10884008695258e-7	1.4453128350482858	1	1	0.010314198756482575
PXK	6.243008706216468e-7	1.4013951905286797	1	1	0.020712429984614374
NUP88	1.8386337254488965e-11	1.360491668366524	1	1	6.100035110921804e-7
PRDM2	1.6669121042245722e-7	1.3579941706831926	1	1	0.005530314288185863
ATF7IP	7.879947910921979e-9	1.3579565763527595	1	1	2.6143303184065846e-4
ERGIC1	4.478567684839022e-7	1.170613987772682	1	1	0.014858544007990424
PPCDC	6.610828599440482e-7	-0.7134024491331505	1	1	0.021932746044363686
