gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CPA3	1.068139617532545e-17	4.103386362995891	1	0.719	3.5437668090877245e-13
IL1RL1	7.390187862999431e-13	4.081425715707128	1	0.656	2.4518426273073213e-8
TPSB2	4.215175838837839e-7	3.808239418892851	1	0.375	0.013984688880512299
CDK15	4.430355743263509e-11	3.503462731608275	1	0.781	1.4698591249425343e-6
SLCO6A1	2.2171267862766872e-8	3.4410128805519897	1	0.625	7.355761538830165e-4
AC114498.1	4.785769068565487e-10	3.426524315353705	1	0.469	1.5877746038779714e-5
AL049649.1	8.699475931408754e-11	3.419304147021548	1	0.562	2.886225129763482e-6
AC022201.1	1.502857042752456e-11	3.4104571764704366	1	0.5	4.986028810739823e-7
RBPJL	1.4390084469433798e-10	3.3946150192341444	1	0.625	4.774198324424051e-6
AC000061.1	2.3788831561587734e-7	3.394073039948532	1	0.406	0.007892420647187962
LGI3	1.9963241696780785e-7	3.3940631984924954	1	0.469	0.006623204697740961
OR4N2	2.701051233665115e-13	3.390153471082294	1	0.594	8.961277677930753e-9
FOXA3	6.7215238242011e-15	3.3890240705224177	1	0.625	2.229999959155199e-10
LINC01720	4.737645133523898e-9	3.387304628801868	1	0.438	1.5718085259492238e-4
LINC00320	2.9282546126858267e-7	3.3764047126151944	1	0.375	0.009715070328507767
AL353784.1	6.409543466810909e-9	3.3676307831271015	1	0.625	2.1264942359838554e-4
AC022140.1	6.511835977792063e-10	3.36399093775854	1	0.5	2.1604318223520728e-5
LINC00939	2.8231722717910713e-7	3.35084599718419	1	0.438	0.009366438646121238
CR382287.2	3.66163104428396e-9	3.3498730730957633	1	0.719	1.2148193315620895e-4
AP003481.1	1.5145415133336236e-7	3.3358295254982906	1	0.5	0.005024794378786963
SATL1	2.8701110438751183e-16	3.335056315498142	1	0.656	9.52216741026448e-12
AC095350.1	2.092221735763461e-9	3.3334866860856804	1	0.469	6.941364052742433e-5
AC010511.1	2.7180032049366477e-11	3.33144657422192	1	0.625	9.017519233018316e-7
LIPK	1.4262963136435361e-6	3.3271267881331106	1	0.406	0.0473202327977516
AC096719.1	4.0549690427063745e-8	3.326399195132977	1	0.781	0.0013453170792986939
LINC00635	1.0709905696766714e-8	3.324530402375988	1	0.5	3.5532254130162926e-4
AC073521.1	1.4893720562995109e-8	3.32085647995849	1	0.406	4.941289671184887e-4
FUT9	1.2991402803278156e-11	3.319032326240473	1	0.781	4.310157708043594e-7
CDHR4	2.572590585229052e-8	3.317157886221543	1	0.531	8.535083784614426e-4
AC026746.1	4.6877655981761446e-9	3.3122459908043123	1	0.469	1.5552599925068995e-4
LINC02211	2.531313834095766e-8	3.310634511323829	1	0.594	8.398139907379522e-4
AC106744.1	5.7825445083581733e-8	3.306826157242433	1	0.5	0.001918474791537991
LINC02064	1.1054462927808832e-9	3.3009317660624307	1	0.344	3.667539165559136e-5
AL035696.3	5.5009526603369185e-9	3.299606462306903	1	0.5	1.8250510641199794e-4
AC024559.2	6.472208582064732e-7	3.298754919449162	1	0.344	0.02147284641271616
CCER1	8.074007299271575e-10	3.2949061667560127	1	0.469	2.6787134016793305e-5
SLC51B	3.971981240666505e-9	3.2945670100474844	1	0.594	1.3177842162159263e-4
PRNT	5.11579185556982e-8	3.2938778436832745	1	0.375	0.0016972662639223994
AC003666.1	1.1727780521781408e-9	3.2934868488781905	1	0.594	3.890925743711418e-5
LINC01778	1.7965353647578946e-12	3.2930571153207016	1	0.531	5.960365379657267e-8
SLCO1A2	5.198889742443906e-10	3.2906490417553167	1	0.625	1.7248356498506146e-5
BTG4	1.3390874091847184e-6	3.287574459414653	1	0.469	0.044426902974521405
