gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
CA1	1.2524005684816581e-54	8.059803460741119	1	0.833	4.136052877410676e-50
HBB	5.115434321395653e-14	7.356438194137361	1	0.867	1.6893721846409143e-9
SPTA1	6.905714166016996e-29	7.225527383473521	1	0.767	2.280612103327113e-24
CA2	8.103812544217039e-68	7.157763111634647	1	0.7	2.676284092727677e-63
SLC4A1	6.974513468000207e-38	7.054429950042353	1	0.833	2.3033330728070682e-33
AC024267.1	1.368637144708137e-16	6.949533469231176	1	0.3	4.519924170398623e-12
HBA2	4.296364297610472e-22	6.721072695956654	1	0.9	1.418874309285858e-17
HBM	8.982358221690539e-27	6.511975559764315	1	0.767	2.9664238027133007e-22
ALAS2	8.155709996377202e-41	6.497392764145548	1	0.667	2.693423226303571e-36
GYPB	6.09542595645438e-41	6.487878562887216	1	0.733	2.013014422119059e-36
KEL	5.512329633157458e-36	6.48773836794131	1	0.633	1.8204468613502506e-31
AC100835.2	1.276066611029877e-31	6.385755885127164	1	0.633	4.214209982926169e-27
GYPA	2.300311101307046e-27	6.357947586059375	1	0.667	7.596777412066519e-23
HBA1	3.572680660391815e-25	6.253665332934009	1	0.9	1.1798777880943969e-20
ANK1	8.734707140381592e-19	6.125854260682683	1	0.833	2.884637033111021e-14
SPTB	1.2933807602307155e-30	6.102823902294572	1	0.867	4.271389960661938e-26
AHSP	4.802513232580828e-17	6.025994388072212	1	0.367	1.5860299950598183e-12
SLC25A21	1.4668910747467728e-21	6.019547100038084	1	0.8	4.844407774351217e-17
KLF1	2.781743270155962e-23	5.87505931786401	1	0.5	9.186707149690066e-19
EPB42	4.801691694953892e-19	5.821554173565376	1	0.7	1.5857586822585227e-14
SNCA	1.6791840700463096e-14	5.811178134616642	1	0.767	5.545505391327937e-10
RHAG	3.921668248695505e-16	5.80172506067189	1	0.633	1.2951309391316905e-11
HBD	6.581405883433262e-14	5.754074182718378	1	0.5	2.1735092930038347e-9
NFE2	4.3969178726542084e-14	5.725516442047846	1	0.433	1.4520821274440522e-9
HEMGN	1.2076502366514213e-16	5.651449669090865	1	0.633	3.988264906541319e-12
MKI67	1.3730088051135603e-16	5.609005946504862	1	0.633	4.5343615788875326e-12
CR1L	1.4135629212361642e-28	5.568148290815445	1	0.8	4.6682915473824326e-24
TRIM10	9.630391488860952e-16	5.456220556554648	1	0.433	3.1804367891963295e-11
TFR2	8.451274821812774e-15	5.353142870465611	1	0.8	2.791033509903669e-10
CENPF	3.6141588704533155e-20	5.286850587217441	1	0.733	1.1935759669672074e-15
DMTN	9.680931584786736e-22	5.180493324025665	1	0.767	3.1971276558758195e-17
SLC22A16	1.891112870700343e-32	5.168949873893563	1	0.833	6.245400255487882e-28
MBOAT2	3.18994475616792e-19	5.164995220182115	1	0.867	1.0534792557244555e-14
E2F1	1.1972944567670419e-27	5.1060302438524365	1	0.667	3.954064943473156e-23
C17orf99	2.4178547360594786e-13	5.036872979871086	1	0.8	7.984965265836429e-9
ASPM	1.7726041397996476e-13	5.027379469898211	1	0.667	5.854025171688336e-9
GYPE	2.1345181252066665e-12	5.009514517770951	1	0.667	7.049246108495016e-8
E2F2	5.72369536763357e-13	4.975645119722184	1	0.633	1.8902503951609866e-8
KIF18B	7.884145345632202e-15	4.9642733584574605	1	0.767	2.6037390003950346e-10
HMBS	2.4588286439016493e-29	4.962267636715729	1	0.733	8.120281596485197e-25
TFRC	8.363853814187445e-14	4.949554139736187	1	0.933	2.7621627221354036e-9
SLC25A37	1.3538064690494301e-64	4.896609776631147	1	1	4.470945864035743e-60
PIGQ	5.1512809987074005e-36	4.870912803285291	1	0.833	1.701210549823119e-31
E2F8	3.1255481891008156e-20	4.85293675077735	1	0.467	1.0322122894505444e-15
CPB1	5.477831124932809e-10	4.84856173406372	1	0.667	1.8090537290090604e-5
GLOD5	3.6322246651116347e-10	4.829692839685956	1	0.7	1.1995421956531174e-5
GMPR	2.020425651572089e-12	4.829008122237646	1	0.8	6.672455714316824e-8
AC087632.1	3.959904034376169e-13	4.799857325874256	1	0.733	1.3077583073527298e-8
UROD	1.0136187922894274e-22	4.796894780035155	1	0.7	3.347476061535834e-18
HIST1H2AJ	1.8107230165322263e-7	4.771866097436911	1	0.167	0.005979912762097677
CTSE	1.5241196359261522e-7	4.753781507824738	1	0.333	0.005033405097646117
PRC1	4.143768464399197e-25	4.734246884678145	1	0.833	1.3684795353678348e-20
CCNE1	9.982316878457976e-11	4.705494926843897	1	0.667	3.2966601491107465e-6
C21orf58	1.3633964964700032e-46	4.69119214048443	1	0.8	4.5026169295921855e-42
DTL	2.0109411649923682e-10	4.687338357872072	1	0.733	6.6411331973872955e-6
STEAP3	2.8051028233850256e-18	4.6837622400716334	1	0.667	9.263852074229047e-14
LMO2	3.6123230830126614e-13	4.6790812263830635	1	0.833	1.1929696981649313e-8
ALAD	8.556776045054089e-43	4.6609679554640095	1	0.8	2.8258752888791126e-38
MYL4	3.227817366423442e-13	4.659916404829855	1	0.767	1.0659866852613418e-8
AL031123.1	1.2109977185855046e-7	4.646652744588959	1	0.533	0.003999319965628629
RHCE	8.752378360277221e-15	4.642084981908599	1	0.867	2.8904729534815525e-10
TOP2A	2.0777196505357112e-10	4.64089563064524	1	0.7	6.8616691458941865e-6
BEST3	2.4063138396916384e-10	4.622830027348048	1	0.7	7.946851455581635e-6
GATA1	1.4264592923374666e-18	4.585974979354474	1	0.767	4.7108818129444835e-14
PKMYT1	5.927421361678311e-13	4.569818321022511	1	0.533	1.957530904694262e-8
AC007240.1	4.574484597086755e-10	4.569121384671063	1	0.733	1.5107235381879008e-5
ACSBG1	1.0529327142876383e-9	4.567597685258078	1	0.767	3.4773102889349256e-5
TMEM56	9.24017706700817e-9	4.541742905764839	1	0.8	3.051568476379448e-4
MCM4	8.230785380127559e-18	4.5148870713763145	1	0.733	2.7182168717871264e-13
YPEL4	1.1529752203738713e-12	4.487709858805502	1	0.5	3.80770066528471e-8
SLC38A5	3.122533071338349e-7	4.48357693961735	1	0.6	0.010312165468094898
SOX6	2.4116542390727252e-14	4.481819180161843	1	0.9	7.964488124537675e-10
SLC2A1	1.750370569794193e-17	4.475880749790677	1	0.867	5.780598806745323e-13
EZH2	1.0921006750645027e-28	4.459798657714062	1	0.867	3.60666247940052e-24
AC130456.3	1.8350429266284852e-9	4.451027076758108	1	0.5	6.060229265190572e-5
DNAJA4	4.682838815073739e-17	4.447534136785275	1	0.767	1.5465075186781024e-12
NCAPG	7.653359465796237e-8	4.431998398809006	1	0.567	0.0025275219635792073
ANKLE1	8.306604629271935e-14	4.427820373730171	1	0.633	2.7432561788170563e-9
EPOR	4.2509814296405334e-18	4.3928851004586456	1	0.833	1.403886617138786e-13
POLQ	8.502481321062434e-10	4.372442349488502	1	0.8	2.8079444562808688e-05
FHDC1	9.062397134190045e-11	4.358135900547157	1	0.8	2.9928566535662627e-6
NUSAP1	4.860372732981187e-12	4.330455531377429	1	0.433	1.605138095067037e-7
CA3	3.795794610383608e-10	4.320475856970838	1	0.733	1.2535611700791866e-5
UBAC1	4.989196731206626e-38	4.314746367635099	1	0.867	1.6476822204809882e-33
ACHE	6.987799799579318e-8	4.311760246479389	1	0.767	0.0023077208838110696
RRM2	9.525393375971519e-9	4.2980135057409266	1	0.6	3.145761162414594e-4
ZNF367	2.8088272432713887e-14	4.291252105404829	1	0.767	9.276151970903761e-10
AC069410.1	3.909820416166003e-8	4.279903861970227	1	0.767	0.0012912181924388225
CENPU	7.952095604752552e-13	4.257989354627547	1	0.733	2.6261795734695303e-8
SEC14L4	4.8272366082900605e-8	4.254859768629921	1	0.7	0.0015941948898877925
GFI1B	1.6719172604654347e-7	4.249562057020784	1	0.733	0.005521506752687098
GTSE1	2.2690734608544476e-7	4.244154051811434	1	0.7	0.0074936151044718135
ARHGAP11B	1.2369702861154159e-14	4.234078201903469	1	0.667	4.085094369896161e-10
AURKB	2.8826792272464474e-7	4.219849709764724	1	0.533	0.009520048147981392
FECH	1.259329883449688e-35	4.213668444026735	1	0.833	4.158936940092595e-31
HIST1H3J	1.0357760033951817e-9	4.202651965790294	1	0.6	3.4206502512125875e-5
MCM2	2.602751858496782e-10	4.201931025714808	1	0.667	8.595588012685621e-6
SSX2IP	5.670694766403516e-15	4.196631729713761	1	0.8	1.872746946604761e-10
SLC6A8	1.1094394184053302e-6	4.184765191231947	1	0.567	0.03663923679283603
CYTL1	1.9556308992088923e-8	4.172026460303984	1	0.467	6.458471044637367e-4
