gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PDZRN4	8.574532888455236e-12	4.535553932584724	1	0.966	2.8317394864123416e-7
AC103770.1	4.4106454192802306e-11	4.420089368111814	1	0.69	1.4566156497172962e-6
DCN	2.9088252515170997e-12	4.325076419503627	1	0.793	9.606395393135221e-8
RSPO1	1.9148273146792023e-18	4.323832810525713	1	0.793	6.323717206728065e-14
PAPPA	5.316176510480143e-12	4.278040243756387	1	0.931	1.7556672925860673e-7
CXCL12	6.651992099587564e-25	4.209512827852135	1	0.966	2.1968203908887932e-20
TMEM119	1.7671276087921215e-10	4.137524210482535	1	0.621	5.835938928035981e-6
ABCA10	1.7241168039535975e-9	4.1283581529590565	1	0.931	5.6938957450567556e-5
LMO7DN	5.172839657298577e-10	4.112547849349196	1	0.448	1.708330296822855e-5
ABCA9	1.1012797138906492e-7	4.065645066501187	1	0.897	0.003636976255123869
TMEM108	2.183931768553583e-8	4.013835504480046	1	0.897	7.212434665648207e-4
IGFBP2	7.971014166139367e-7	3.9001371825849906	1	0.793	0.02632427428367526
IGFBP3	9.696078814361394e-10	3.8871202238352702	1	0.759	3.2021300284428505e-5
PTGDS	1.198023783985485e-8	3.8698141337851917	1	0.793	3.9564735466120644e-4
CP	1.4721188753351724e-15	3.865206246104818	1	0.897	4.8616725857944066e-11
OLFML2B	1.6752750531061748e-9	3.858395428238884	1	0.897	5.532595862883142e-5
FGF7	7.632586868566023e-7	3.844026354856809	1	0.828	0.02520661813343929
AC090531.1	1.1214348725949168e-6	3.827783577572068	1	0.69	0.03703538666744713
NECAB1	4.1081473838282435e-11	3.756963983313147	1	0.828	1.3567156735092774e-6
LUM	1.935988657751939e-15	3.7523749355486404	1	0.793	6.393602542225778e-11
CFD	3.4814401428449274e-9	3.682655420823771	1	0.931	1.1497456071745372e-4
BICC1	2.3681851688724188e-7	3.663227873758607	1	0.897	0.007820931520201163
TRABD2B	3.167172587314864e-7	3.6585749033017283	1	0.931	0.010459587469607337
TMEM176A	3.233387798743977e-12	3.577827248948373	1	0.552	1.0678263205351984e-7
VCAN	2.9752851745000702e-8	3.5498207688178582	1	0.931	9.825879288786483e-4
FBLN5	7.178735435772083e-7	3.504542131920929	1	0.828	0.023707773776637305
LEPR	5.7007610520022416e-8	3.4900101147349396	1	0.966	0.0018826763374237402
ALDH1A3	5.995680632921321e-10	3.4868910768543726	1	0.862	1.980073529022266e-5
SMOC2	1.1100476108482712e-7	3.4798685400892646	1	0.828	0.0036659322348264155
ABCA8	1.7637947031477004e-9	3.4459837788948353	1	0.931	5.8249320071452805e-5
SAMD11	1.1992029934566939e-8	3.4333449657798534	1	0.517	3.9603678858907317e-4
GDF7	7.240063604852926e-8	3.400039248790426	1	0.828	0.0023910310055026787
PDGFRA	9.146779084139055e-7	3.34389680490679	1	0.517	0.03020723792536923
THBS2	8.754497311229805e-7	3.276270203230391	1	0.759	0.02891172737033643
AL137024.1	9.094638633465119e-8	3.2560545649831085	1	0.759	0.0030035044087018555
MXRA5	8.321678850085266e-7	3.208369873132612	1	0.724	0.02748234440240659
SLC5A3	5.288990377071428e-11	3.1875898356894488	1	0.862	1.7466890720278391e-6
FRMD6	1.2127604337803412e-7	3.098197904595446	1	0.931	0.0040051413325595765
IGF2	7.95860580047284e-7	3.0696551872082143	1	0.931	0.026283295656061554
SLC6A6	1.3460944954738353e-6	2.9318349160126633	1	0.828	0.04445477071302341
NEGR1	7.039354283400539e-7	2.8887822583729443	1	0.931	0.02324746752093028
TMEM64	1.8372056858146795e-7	2.841218069346067	1	0.828	0.006067371777402979
RCN1	1.3310292801373567e-6	2.8225200546367644	1	0.759	0.04395724197653621
TRAM1	7.403741522048202e-10	2.8172211508985323	1	0.931	2.4450856376564187e-5
CCBE1	1.6678895169350887e-7	2.804640983882823	1	0.966	0.005508205129678131
LGALS3BP	3.008419884512262e-8	2.6324021462979084	1	0.793	9.935306668601746e-4
LINC00894	6.881458422569177e-15	2.6002732056648217	1	0.931	2.2726016440534708e-10
C1S	1.6629383911607921e-07	2.5843682263862924	1	0.931	0.005491854036808516
TREX2	3.1141736721290586e-8	2.4060051218157685	1	0.897	0.0010284558552206215
LMO7	4.6807320079201784e-7	2.315089347616632	1	1	0.015458117456156389
FMO4	2.788464173017365e-7	2.1415807619484624	1	0.897	0.009208902931389847
DOCK8	1.2340914503775727e-7	-1.5777040882712399	1	0.966	0.004075587014871934
ICK	2.0181419906429416e-7	1.5654682616226243	1	0.931	0.006664913924098315
SENP6	5.287797354253632e-8	0.9777790224108045	1	0.966	0.001746295076242262
