gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
ADGRL4	4.2264474046498376e-57	5.2744884811658785	1	0.766	1.395784255385609e-52	0.23399999999999999
BTNL9	5.20853637975691e-38	5.014329435364549	1	0.859	1.7201191394147194e-33	0.14100000000000001
KCNIP4	8.202670987461277e-26	4.8160906943102555	1	0.953	2.7089320936090868e-21	0.04700000000000004
VWF	8.742189672230722e-19	4.790024701853719	1	0.875	2.887108139254196e-14	0.125
ARHGEF15	8.352902243634882e-16	4.670470440177743	1	0.719	2.75854596596042e-11	0.281
AC010976.2	7.045826693310983e-17	4.651605557563986	1	0.438	2.326884265465952e-12	0.562
CLEC14A	3.1174382239993087e-27	4.605124859599812	1	0.609	1.0295339734757717e-22	0.391
CCL14	2.704917393292965e-19	4.597635334688382	1	0.859	8.932989691350018e-15	0.14100000000000001
ANO2	7.011314335297525e-11	4.499176778027587	1	0.828	2.3154865592320076e-6	0.17200000000000004
AC110296.1	9.370756011865697e-19	4.4256672998677855	1	0.547	3.0946921729186464e-14	0.45299999999999996
RAMP3	4.2019962148333054e-23	4.407300779949262	1	0.766	1.387709249948699e-18	0.23399999999999999
FLT1	2.028118412028644e-23	4.3892483923147125	1	0.828	6.697861055724597e-19	0.17200000000000004
AC147067.2	3.9019181092584147e-17	4.31946943443498	1	0.406	1.2886084555825915e-12	0.594
ROBO2	1.0385134022552644e-10	4.301936587762757	1	0.891	3.4296905109480108e-6	0.10899999999999999
DNASE1L3	3.531335789958247e-11	4.262648026524276	1	0.875	1.166223644633711e-6	0.125
AL138689.2	1.0741695847808201e-14	4.256725310930322	1	0.656	3.5474450537386585e-10	0.344
FCN2	5.452596858813204e-7	4.25119806369423	0.5	0.469	0.018007201126230606	0.031000000000000028
VSIG2	5.372042336680608e-19	4.240560947103637	1	0.5	1.7741169816887707e-14	0.5
PTPRB	1.2011086173248724e-15	4.218979675174928	1	0.875	3.9666612087153914e-11	0.125
AC104211.1	8.850720387281782e-36	4.194616687265418	1	0.453	2.9229504078998087e-31	0.5469999999999999
SEMA3F	3.5951275463852165e-30	4.1675823500715055	1	0.75	1.1872908721937178e-25	0.25
CCL16	2.167508747230001e-18	4.158072113495422	1	0.484	7.158197637727078e-14	0.516
NOTCH4	7.524440308904671e-47	4.121693454985157	1	0.844	2.4849464120157675e-42	0.15600000000000003
TLL1	1.2749282646722802e-11	4.118184434795161	1	0.797	4.2104505940802053e-7	0.20299999999999996
EMCN	4.810487279233796e-14	4.108000752916707	1	0.844	1.5886634239669613e-9	0.15600000000000003
SLCO2A1	1.9132870069859802e-16	4.081982488593944	1	0.844	6.3186303405712e-12	0.15600000000000003
TEK	2.593905847540039e-15	4.057201382785062	1	0.828	8.566374061500979e-11	0.17200000000000004
EFNB2	9.674654616732683e-20	4.05631917360917	1	0.75	3.1950546871759683e-15	0.25
AL596442.2	4.0536302921880576e-10	4.054578348499713	1	0.281	1.338711403995106e-5	0.719
CD93	3.9505879068297315e-14	3.9851596344273452	1	0.766	1.3046816562305188e-9	0.23399999999999999
SOX18	1.1977828859852113e-10	3.9321533402628273	1	0.562	3.95567798096616e-6	0.43799999999999994
PODXL	6.121419547795405e-13	3.9162132215355765	1	0.844	2.0215988056594324e-8	0.15600000000000003
SHANK3	4.346842702236523e-10	3.909154942502066	1	0.875	1.4355448024136117e-5	0.125
VWA1	6.231819083876521e-14	3.901297619100139	1	0.609	2.058058252450221e-9	0.391
EDN1	4.30657383683221e-12	3.8912185524604332	1	0.594	1.4222460096138374e-7	0.406
LDB2	6.37023254986491e-13	3.890853966840095	1	0.938	2.1037692995928866e-8	0.062000000000000055
AC244100.2	1.044889661091285e-18	3.8788180334332747	1	0.656	3.4507481057539687e-14	0.344
BDKRB2	1.0613880066673822e-13	3.872541473258256	1	0.641	3.5052338920190297e-9	0.359
PCDH17	1.1771723046259131e-12	3.852742875483708	1	0.719	3.887611536027078e-8	0.281
CD300LG	1.955553127042709e-14	3.837534957255525	1	0.594	6.458214202058547e-10	0.406
DLL4	5.5762408123931234e-11	3.8340371219585716	1	0.609	1.841553528292829e-6	0.391
MPZL2	5.611754506060024e-10	3.824404065740633	0.833	0.453	1.8532819256263227e-5	0.37999999999999995
