gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
STEAP4	3.093131269087419e-13	5.376064788458123	1	0.793	1.02150660161612e-8
ACTA2	2.6651043724106556e-10	4.557209117936536	1	0.862	8.80150718988619e-6
GUCY1B1	2.0725503795876299e-7	4.428186799289279	1	0.655	0.006844597628588148
SCN4B	5.838050525019126e-7	4.0245040319312135	1	0.552	0.019280161858875662
MYO1B	7.660137604877756e-8	4.023373433744168	1	0.897	0.0025297604440108787
LDB3	9.451787813651322e-8	3.7423217826016546	1	0.897	0.003121452925458349
GJC1	9.662876543326019e-8	3.7232708213197903	1	0.862	0.003191164978433418
PDE3A	2.5019026726668914e-9	3.6234760517271987	1	0.897	8.26253357648241e-5
MRVI1	1.5231561889915607e-10	3.3804206777090204	1	0.793	5.030223314144629e-6
SYTL2	3.394193205150193e-8	3.3481733699216165	1	0.897	0.0011209323060008512
MYH11	8.669557723181427e-8	2.8219454092416774	1	0.966	0.002863121438080666
INPP4B	1.678725339941611e-7	2.7033216358826775	1	0.966	0.00554399043515717
CCDC102B	1.8353739157684452e-7	2.477399501091634	1	0.966	0.006061322356825291
