gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CA1	1.598943617218574e-33	7.816697753682243	1	0.812	5.280511295864341e-29	0.18799999999999994
HBB	4.0995983587889826e-17	7.210196379772595	1	0.844	1.3538923579900616e-12	0.15600000000000003
SPTA1	2.071764508475128e-15	7.181849710524291	0.833	0.703	6.842002289239109e-11	0.13
SLC4A1	7.878500941693351e-17	7.00857791211574	0.833	0.75	2.6018749359942293e-12	0.08299999999999996
AC024267.1	4.336216051230553e-9	7.000881648204938	0.5	0.281	1.4320353509188902e-4	0.21899999999999997
HBA2	2.1802412051063295e-14	6.620376924943153	0.667	0.828	7.200246579863653e-10	-0.16099999999999992
ALAS2	1.5426388672575208e-18	6.510043073318276	0.667	0.625	5.094564859117962e-14	0.04200000000000004
HBM	6.1023534705962254e-15	6.44909629402752	0.5	0.688	2.0153022336644035e-10	-0.18799999999999994
AC100835.2	3.547130564563504e-21	6.414336775263065	0.667	0.594	1.1714398689470973e-16	0.07300000000000006
GYPB	2.2217007702680237e-21	6.333045602280091	0.667	0.656	7.337166793810149e-17	0.01100000000000001
KEL	1.4665153989219724e-18	6.2858473139157205	0.667	0.656	4.843167104939814e-14	0.01100000000000001
GYPA	5.282359685219892e-19	6.279490449400669	0.667	0.656	1.7444992860438692e-14	0.01100000000000001
HBA1	2.1452419899331564e-15	6.258235215827444	0.833	0.781	7.084661671754249e-11	0.051999999999999935
CA2	8.211498253468095e-15	5.917096537989713	0.833	0.734	2.7118472982078384e-10	0.09899999999999998
KLF1	1.8086623843766918e-10	5.889716876382607	0.5	0.469	5.973107524404025e-6	0.031000000000000028
SPTB	7.892959562699597e-20	5.853733738017485	1	0.812	2.606649895581542e-15	0.18799999999999994
CCL21	3.9244226117628326e-7	5.780801573133315	0.5	0.547	0.012960405675346755	-0.04700000000000004
NFE2	6.7490650751369425e-9	5.777688675422289	0.5	0.406	2.2288787410639752e-4	0.09399999999999997
HBD	7.189941061235864e-8	5.7737915872944	0.5	0.391	0.002374478035473144	0.10899999999999999
ANK1	6.8099894445145805e-18	5.65999936398552	0.833	0.828	2.2489990140509403e-13	0.0050000000000000044
EPB42	1.2889048183317166e-15	5.656090748523922	0.667	0.703	4.256608162540494e-11	-0.03599999999999992
RHAG	1.953073045595143e-14	5.59906517897961	0.833	0.672	6.45002373307796e-10	0.16099999999999992
HEMGN	2.4049239324352166e-10	5.523489831663208	0.667	0.594	7.942261286867303e-6	0.07300000000000006
TRIM10	2.690947211319488e-7	5.470659038266834	0.667	0.344	0.008886853165382609	0.32300000000000006
MKI67	7.195311927718195e-17	5.416185469711896	1	0.641	2.376251764128934e-12	0.359
SLC25A21	1.7212675193304242e-22	5.2873406218734456	1	0.844	5.684485982588726e-18	0.15600000000000003
SNCA	1.6923132430860966e-17	5.24030853186675	1	0.797	5.588864485291834e-13	0.20299999999999996
CR1L	6.001854996182436e-21	5.198489403172088	1	0.75	1.9821126124892495e-16	0.25
SLC22A16	1.5900604756561017e-13	5.133019473987233	0.667	0.734	5.251174720854276e-9	-0.06699999999999995
TBX1	1.6040107477333192e-16	4.944769050818845	0.5	0.797	5.2972454943892865e-12	-0.29700000000000004
CENPF	2.054526451978846e-21	4.891200038996251	1	0.734	6.785073607660138e-17	0.266
E2F8	2.6302273750167533e-14	4.890536373850304	1	0.5	8.686325905992828e-10	0.5
HIST1H2AJ	1.2903823619169088e-6	4.839872481527879	0.667	0.234	0.042614877502305915	0.43300000000000005
C17orf99	1.5797448860547525e-10	4.826006267282025	0.833	0.75	5.21710748619582e-6	0.08299999999999996
ASPM	3.528877425777679e-15	4.797783035848773	1	0.703	1.1654117698630785e-10	0.29700000000000004
CTSE	1.1830178621962842e-7	4.793646272189397	0.5	0.391	0.003906916489903228	0.10899999999999999
E2F2	2.025721644975633e-12	4.789309492134383	0.833	0.688	6.689945732532029e-8	0.14500000000000002
TFR2	3.1796536125594376e-18	4.750150722712274	1	0.797	1.0500806055477543e-13	0.20299999999999996
KIF18B	7.985239759965294e-15	4.674514193435893	1	0.781	2.6371254307285387e-10	0.21899999999999997
GYPE	8.863189120358042e-15	4.645685751803675	1	0.703	2.9270682069982433e-10	0.29700000000000004
GLOD5	8.788626435753121e-10	4.619863676464571	0.833	0.688	2.9024438804074682e-5	0.14500000000000002
MYL4	9.146947563068759e-11	4.606877639617127	0.667	0.703	3.0207794327034578e-6	-0.03599999999999992
TOP2A	8.364016054785649e-13	4.589691528895744	1	0.703	2.7622163020929605e-8	0.29700000000000004
DMTN	9.823244865105876e-25	4.52299318885002	1	0.734	3.2441266167012156e-20	0.266
PKMYT1	4.279732181623234e-16	4.504490482851355	1	0.578	1.4133815529810731e-11	0.42200000000000004
MBOAT2	3.6231899529873297e-13	4.4964568543332195	1	0.812	1.1965584819740656e-8	0.18799999999999994
DTL	2.779883149180167e-11	4.463052524217595	1	0.719	9.180564100167501e-7	0.281
AC130456.3	2.508673539360091e-7	4.448945942268167	0.5	0.547	0.008284894363736701	-0.04700000000000004
E2F1	1.7211998945700284e-17	4.444955350212391	1	0.703	5.684262651817519e-13	0.29700000000000004
TFRC	6.226853465954709e-16	4.4186395165400665	1	0.953	2.0564183571315428e-11	0.04700000000000004
PRC1	3.2648013012521834e-25	4.417144122608215	1	0.797	1.0782006297385336e-20	0.20299999999999996
HMBS	6.881967513405482e-22	4.3965423991396975	1	0.75	2.2727697713021605e-17	0.25
AC087632.1	1.0255342281040122e-14	4.396314282198855	1	0.766	3.3868267883135004e-10	0.23399999999999999
RRM2	1.1524047221803356e-10	4.34471763402839	1	0.656	3.8058165950005584e-6	0.344
YPEL4	2.972111879935257e-11	4.3433653068702665	0.667	0.531	9.815399483486188e-7	0.136
ANKLE1	4.5065391032081407e-13	4.285243521185942	0.667	0.625	1.4882845388344885e-8	0.04200000000000004
BUB1B	3.3907843118939863e-10	4.281234042716042	1	0.656	1.119806519002989e-5	0.344
GATA1	3.965384304065992e-14	4.265516157975197	0.833	0.734	1.3095681664177938e-9	0.09899999999999998
BEST3	2.296890674305759e-11	4.237884896977846	0.833	0.719	7.585481451894769e-7	0.11399999999999999
AC007240.1	1.947256156271535e-11	4.231862428706197	1	0.75	6.430813456086745e-7	0.25
NCAPG	1.2118702177660414e-11	4.223781706135695	1	0.641	4.0022013941723514e-7	0.359
HIST1H2AM	5.649108999701627e-11	4.189474150349441	1	0.453	1.8656182471514622e-6	0.5469999999999999
AC139099.2	1.478797678113966e-8	4.1528749246254435	1	0.578	4.883729331971373e-4	0.42200000000000004
LINC02197	2.7513922660643234e-11	4.148910369917029	0.833	0.672	9.086472958677428e-7	0.16099999999999992
CENPU	5.293921870427134e-14	4.129764517137704	1	0.703	1.748317697708561e-9	0.29700000000000004
HJURP	2.4998855700840448e-8	4.122555451979977	1	0.609	8.255872095202558e-4	0.391
POLQ	1.0537022746577264e-11	4.121933529930346	1	0.766	3.4798517620571413e-7	0.23399999999999999
C21orf58	2.1281129551738332e-32	4.088051454885662	1	0.828	7.028093034461584e-28	0.17200000000000004
GFI1B	5.296037259245718e-7	4.067781519752615	0.667	0.719	0.017490163048658983	-0.051999999999999935
HIST1H3J	2.0457878955041621e-10	4.057521067245649	0.667	0.656	6.756214524902495e-6	0.01100000000000001
FHDC1	7.007993393614688e-10	4.049128097166976	1	0.766	2.3143898182412508e-5	0.23399999999999999
KIFC1	6.039700283027391e-10	4.045318301667908	1	0.641	1.994611018469796e-5	0.359
MCM2	5.49852583935127e-11	4.04178467917366	0.833	0.672	1.8158881584457569e-6	0.16099999999999992
ARHGAP11B	1.2411320911506988e-13	4.037296242764297	1	0.703	4.098838731025182e-9	0.29700000000000004
RAD51AP1	1.733535194686399e-8	4.020124084552422	0.833	0.594	5.724999980451834e-4	0.239
TROAP	8.519115401389068e-9	3.996702366456156	1	0.625	0.00028134378613087397	0.375
AURKB	3.2747135946745335e-9	3.9621085791326416	0.833	0.609	1.0814741646412647e-4	0.22399999999999998
ANLN	1.3268167771934522e-9	3.9566383942392087	1	0.703	4.381812406681376e-5	0.29700000000000004
