gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGHM	2.573933678122119e-7	-4.349236913364335	1	0.836	0.008500415971998297	0.16400000000000003
AP003025.1	8.095804974451598e-7	3.558387843271954	1	0.687	0.026736395928126402	0.31299999999999994
BCL2	1.7364005306243672e-7	-3.3638328112275504	1	0.97	0.005734462752386973	0.030000000000000027
RCSD1	6.348821472119115e-7	-2.8669633364616374	1	1	0.020966982911673378	0
ARG2	8.137729217914138e-8	2.8447382167819337	1	0.806	0.002687485074216144	0.19399999999999995
UGCG	3.8744143495619405e-7	2.2673076909099192	1	0.955	0.012795253389428309	0.04500000000000004
FLI1	6.723806176811639e-7	-2.1163305404987174	1	0.97	0.022205369898920437	0.030000000000000027
AL450384.2	1.1297233638609477e-6	1.9562587860033833	1	0.925	0.0373091140915078	0.07499999999999996
IPPK	9.464996566520856e-8	1.6166926925296505	1	0.881	0.0031258151160935125	0.119
PRMT9	6.97330279551439e-7	1.4790920786243762	1	0.955	0.023029332482186273	0.04500000000000004
RASA3	2.2500770577271426e-7	-1.4295581797095958	1	0.955	0.007430879483143888	0.04500000000000004
KYAT3	5.8378163422663965e-9	1.2228336076070354	1	0.97	1.9279388470334774e-4	0.030000000000000027
PGGHG	1.7536790434908873e-7	-1.1871940573006454	1	0.91	0.005791525041128656	0.08999999999999997
MIA2	4.228832486642612e-7	1.0381915018965242	1	0.955	0.013965719287137227	0.04500000000000004
MTMR3	2.744983094116301e-7	0.8210267202049404	1	1	0.009065306668319085	0
FCMR	2.5484307247274883e-7	-0.36683145375379067	1	0.821	0.00841619246841253	0.17900000000000005
