gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
FLJ33534	6.265854405361709e-8	7.226144957151837	0.8	0.554	0.002069298417370704	0.246
IGLC2	2.9864952511622665e-7	-5.615127604462161	0.6	0.908	0.009862900566963385	-0.30800000000000005
BCL2	8.076765769397707e-9	-4.188127328165235	0.6	1	2.667351895343593e-4	-0.4
PRKCB	2.64709321988236e-7	-3.953214038036099	0.6	0.969	0.008742025358661493	-0.369
LINC02233	1.2808870193627977e-6	3.7460286976342605	0.8	0.785	0.042301293814456395	0.015000000000000013
TNFAIP8	7.247932495111198e-8	-3.668089229345348	0.6	1	0.0023936297065104734	-0.4
ELMO1	4.513298436821878e-7	-3.196815265008217	0.6	0.985	0.014905168087604252	-0.385
LSS	2.339621262393143e-7	3.1872640591826955	0.8	0.985	0.007726599219053355	-0.18499999999999994
FLI1	1.998998527875348e-7	-2.8970592313438708	0.6	1	0.006601692638308336	-0.4
NFATC2	4.255010769348033e-7	-2.4278825288021153	0.6	1	0.01405217306577188	-0.4
TBC1D1	4.679594646144653e-7	-2.4125382255220025	0.6	0.985	0.015454361318892718	-0.385
FKBP5	2.595851194017038e-7	-2.1835798199851704	1	1	0.00857279856824127	0
PGGHG	4.288276828709241e-8	-2.0155995374908153	0.6	0.938	0.0014162034226812268	-0.33799999999999997
PRKX	1.239077018587173e-6	-1.6745041599222112	0.6	0.969	0.040920518538841384	-0.369
MVD	1.240376592929535e-7	1.6129917510471168	0.6	0.923	0.0040963436981497885	-0.32300000000000006
ARHGEF2	4.6479824001187355e-7	-1.5202459866506037	0.6	1	0.015349961876392124	-0.4
CELF2	1.1537902865402393e-6	-1.2798994855437955	0.8	1	0.0381039242129914	-0.19999999999999996
