gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
HBB	7.607346499530871e-14	7.495225667725543	1	1	2.5238893481493574e-9
CA1	4.538751737591064e-40	7.410460933685206	1	1	1.5058216639805873e-35
HBA1	1.3418251448747021e-14	6.945672308514637	1	1	4.4517732831507994e-10
HBA2	8.984630232492557e-15	6.785141288116501	1	1	2.9808307722340557e-10
AC024267.1	6.163839169944011e-20	6.573138821386337	1	0.531	2.0449769214123246e-15
SPTA1	7.338015870446961e-24	6.523527700295693	1	0.875	2.4345335253381884e-19
CA2	3.0021653098967176e-50	6.450373211433125	1	0.906	9.96028384864434e-46
SLC4A1	6.65863738211602e-30	6.270999297220666	1	1	2.209136124264632e-25
HBM	2.9541092032956125e-20	6.263171750587597	1	0.875	9.800848103773854e-16
HBD	2.861035319065232e-11	6.197591103442556	1	0.656	9.49205687806272e-7
KEL	9.674445488139718e-48	6.136697274645249	1	0.844	3.209690779600114e-43
AC100835.2	7.601019921466535e-29	6.055023679003725	1	0.781	2.5217903793449526e-24
ALAS2	1.022349175122981e-25	6.047586569495283	1	0.812	3.391847858305514e-21
GYPB	3.854905261649942e-35	5.989354444656893	1	0.844	1.2789419186576012e-30
GYPA	6.338998657181512e-35	5.962568763342388	1	0.781	2.1030895844931103e-30
SPTB	2.2570692855993983e-32	5.827210727067575	1	0.969	7.488278768833124e-28
ANK1	7.991118211579081e-30	5.756354886789828	1	1	2.651213289055592e-25
AHSP	2.1038343180956324e-7	5.733442800418906	1	0.625	0.00697989111714588
KLF1	2.472466434155366e-41	5.60215564019965	1	0.688	8.202901888597256e-37
SLC25A21	7.820419763886624e-31	5.572172343825453	1	0.969	2.594580665064665e-26
EPB42	1.393846733077959e-23	5.376094723902939	1	0.781	4.6243653063327445e-19
RHAG	9.408585772174597e-29	5.37436561435324	1	0.812	3.121486501634366e-24
SLC25A37	7.42662044381449e-57	5.363683935182583	1	1	2.4639298646443333e-52
CR1L	1.9412266030843895e-32	5.267609272572216	1	0.938	6.440407501053079e-28
SNCA	5.078058164961321e-18	5.240559236620918	1	0.969	1.6847473573892174e-13
NFE2	1.3136664798891497e-12	5.197673581091568	1	0.594	4.3583512803282324e-8
SLC22A16	3.1763596456908935e-43	5.116317775828158	1	0.906	1.0538208396508677e-38
MKI67	2.7532784309656936e-19	5.083580721407114	1	0.844	9.134551850414881e-15
TFR2	1.4715025466299214e-25	5.04014474299924	1	0.969	4.88200399895409e-21
MBOAT2	2.7629524634025215e-24	5.0233426239139565	1	0.969	9.166647387830545e-20
HEMGN	5.673102768731498e-13	4.920372296609251	1	0.781	1.882165305582049e-8
HMBS	2.394350749024039e-63	4.909667497657719	1	0.875	7.943737480037055e-59
TRIM10	5.2992359500073905e-15	4.896516159657185	1	0.531	1.758127511133952e-10
C17orf99	5.8332797241456684e-18	4.869532066333804	1	0.938	1.9353072140798084e-13
E2F1	6.904230133258623e-37	4.855908346875766	1	0.781	2.2906164313112133e-32
DMTN	9.555271162081272e-23	4.788610308172984	1	0.906	3.170152313443704e-18
ASPM	2.778304437240258e-14	4.773842710605777	1	0.781	9.217580631432004e-10
CENPF	5.96509040700927e-15	4.743702837440173	1	0.812	1.9790380443334654e-10
LMO2	2.0810569478996916e-20	4.733736469471529	1	0.969	6.904322636046807e-16
UROD	2.15547751155465e-50	4.652223159107679	1	0.875	7.151227740084862e-46
TFRC	1.3635341730923566e-10	4.643341505903046	1	1	4.523797326068511e-6
GYPE	5.106384415542949e-20	4.629482044365369	1	0.875	1.6941451575446842e-15
GMPR	2.562218187899403e-17	4.6260143425028435	1	1	8.50067128199385e-13
CTSE	2.1115925714939313e-18	4.608417197801025	1	0.344	7.005630674445416e-14
PRC1	3.312567821277594e-30	4.5944715466812776	1	0.969	1.0990106260652675e-25
HIST1H2AJ	6.148888079438184e-23	4.563551055298824	1	0.188	2.0400165981152064e-18
E2F2	1.7679483381111479e-15	4.561408583494928	1	0.781	5.865522201351355e-11
E2F8	5.92118330554407e-29	4.5570234004863845	1	0.625	1.964470985280356e-24
RHCE	1.0472824639009173e-18	4.554297022494651	1	1	3.4745690304840734e-14
PIGQ	5.688883347704169e-34	4.543611229710814	1	0.969	1.887400828267812e-29
DTL	3.9818666756549005e-15	4.5347318325024375	1	0.906	1.3210639069820262e-10
GLOD5	1.6727031028035996e-13	4.524170032100642	1	0.781	5.549527084171503e-9
PRDX2	1.653159086552661e-27	4.517037496147873	1	0.938	5.484685901455764e-23
C21orf58	2.508776897317928e-64	4.47331033575352	1	1	8.323369112231689e-60
SOX6	4.487781441645399e-14	4.470966863500489	1	1	1.488911248894694e-9
KIF18B	1.3543291873685269e-17	4.469228624365173	1	0.906	4.4932579449325617e-13
MYL4	2.4960183505937393e-16	4.455789916357512	1	0.812	8.281040081764849e-12
CPB1	3.3984076156197765e-11	4.443526786958532	1	0.781	1.1274896946341732e-6
CCNE1	1.8410055664416673e-15	4.43384456593869	1	0.812	6.10790416778352e-11
AC087632.1	1.7527245027972868e-19	4.431484959332902	1	0.906	5.815014082930558e-15
SLC38A5	2.305015216841511e-12	4.428826641775342	1	0.781	7.647348984915081e-8
SLC2A1	5.0788731412906973e-23	4.428714135038906	1	0.969	1.6850177420860146e-18
ACSBG1	2.3951102363144563e-12	4.381762221061308	1	0.906	7.946257231020472e-8
ALAD	5.344524482012626e-97	4.359645367778994	1	0.969	1.773152887397329e-92
AC069410.1	5.1408243782117905e-14	4.358666743281566	1	0.938	1.7055713039593258e-9
TOP2A	4.42888639795159e-14	4.326279971916595	1	0.875	1.469371640248399e-9
AL031123.1	1.1465363514376817e-11	4.319894945576141	1	0.688	3.8038636531647965e-7
STEAP3	9.87176393219357e-27	4.313625146154624	1	0.875	3.2751551197838604e-22
H1F0	3.1232346689605086e-21	4.303926137786332	1	0.719	1.036195566121028e-16
FHDC1	5.509144050821881e-13	4.2911211562070415	1	0.875	1.8277687217411754e-8
TMEM56	9.657642931708841e-12	4.276049810204376	1	0.969	3.2041161954530424e-7
PKMYT1	8.731658792069418e-17	4.214985653535874	1	0.594	2.8969024374448706e-12
BUB1B	8.887712868995866e-10	4.198544913023369	1	0.781	2.9486764985467586e-5
NUSAP1	5.273047259155052e-17	4.167529917097623	1	0.406	1.7494388891698717e-12
PNMT	1.4401372068521279e-12	4.164088287796045	1	0.625	4.777943211173305e-8
AURKB	2.375037418912798e-11	4.156580013750199	1	0.594	7.87966164472699e-7
SSX2IP	2.0399346476196345e-22	4.144652064822512	1	0.969	6.767891180407661e-18
KCNH2	1.4588702015298856e-16	4.141563113550984	1	0.781	4.840093667615702e-12
TROAP	5.306255558743965e-10	4.119695648973253	1	0.594	1.7604564067244854e-5
GATA1	9.865899348276594e-22	4.116382483127715	1	0.875	3.273209426777726e-17
POLQ	4.204069168852807e-13	4.0984852690629605	1	0.969	1.3947840281502958e-8
RHD	2.9666262606858157e-24	4.097641048019875	1	1	9.842375945077331e-20
CYTL1	3.620093716187857e-11	4.094766276385408	1	0.406	1.2010384922196453e-6
HBQ1	1.0719966204167514e-7	4.083573998060988	1	0.125	0.0035565631875566564
EZH2	6.114527071990214e-43	4.080858691287819	1	1	2.0286166466741933e-38
ANKLE1	3.316916320554172e-20	4.079536888410046	1	0.75	1.1004533276702578e-15
AC130456.3	4.1790496879370296e-17	4.079364138478917	1	0.656	1.3864833149668683e-12
UBAC1	8.812072934698834e-69	4.072255728038123	1	1	2.9235814375450323e-64
BEST3	4.913483102174108e-12	4.0692075468008255	1	0.844	1.6301462888083036e-7
HJURP	2.8012475656953185e-11	4.042507165184126	1	0.562	9.293699048707358e-7
RRM2	1.2035112355251178e-13	4.032278495865884	1	0.688	3.992889226101683e-9
AC007240.1	1.308021960277796e-12	4.030308718375014	1	0.938	4.3396244576136444e-8
YPEL4	6.322595432949465e-14	4.029909450661339	1	0.656	2.097647486789644e-9
