gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
PDZRN4	9.72836307574847e-35	5.62498022894698	1	1	3.22757901764107e-30
ITGBL1	1.2024339921985916e-17	5.113908704635039	1	0.969	3.9893152559172673e-13
EBF3	1.921513903278807e-15	4.894511262237547	1	0.969	6.375006676908097e-11
COL1A2	5.645223071255209e-26	4.842584583191273	1	0.969	1.8729156583503406e-21
C1R	4.8283045249474475e-27	4.610442886745357	1	0.938	1.6018865922418146e-22
TRABD2B	1.3946946427404512e-20	4.60489804968702	1	0.969	4.627178416219995e-16
GGT5	8.499963293880877e-14	4.588496146807742	1	0.906	2.8200328220108583e-9
PAPPA	4.041902662240553e-17	4.579245305827944	1	0.969	1.3409820462515482e-12
RSPO1	5.390089046689136e-16	4.566446000867351	1	0.781	1.7882698430200546e-11
CXCL12	3.076312454100307e-30	4.561863036236186	1	0.969	1.020628182896859e-25
FGF7	5.6970563553200265e-12	4.539161765121553	1	0.844	1.8901123870045253e-7
COL3A1	7.498256100614154e-14	4.529117330063018	1	0.969	2.487696426500758e-9
DCLK1	2.0239613110757193e-23	4.4972918990626525	1	0.969	6.714896441755914e-19
CDH11	2.1390127742686437e-12	4.483736046065303	1	0.844	7.09660268119108e-8
TMEM108	4.290670125735274e-15	4.465978162853885	1	1	1.4235156276151919e-10
DCN	6.252957341316268e-13	4.431709582680074	1	0.75	2.0745436571284983e-8
OLFML2B	4.532028663881602e-24	4.422837896348067	1	1	1.503591149815999e-19
HGF	5.568866143164579e-8	4.3832000807689795	1	0.719	0.0018475827203177123
ABCA8	3.019877103341495e-11	4.380053872572031	1	0.938	1.0019046265756077e-6
OSR2	9.871661092152941e-9	4.340091088073912	1	0.656	3.2751210005435815e-4
PTGDS	4.709328462308815e-21	4.307931141791094	1	0.812	1.5624139039401955e-16
IGFBP2	8.122898775980049e-14	4.2872728704553555	1	0.844	2.6949341269069007e-9
TMEM119	8.301132043378446e-12	4.265223218515228	1	0.625	2.754066578031667e-7
AC103770.1	5.062163028845331e-13	4.243582311226328	1	0.656	1.6794738280800155e-8
COL11A1	1.1838613676171522e-10	4.236610558650712	1	0.875	3.9276968593434255e-6
CLSTN2	9.983787502719185e-16	4.229304942362539	1	1	3.312321179777144e-11
COL6A3	8.386844481015202e-33	4.194862236366699	1	0.906	2.7825033934664137e-28
SLC7A2	2.5398188535942187e-14	4.186250829985985	1	0.906	8.426357010569539e-10
LEPR	6.26241883006071e-17	4.181957181833744	1	1	2.0776826952492417e-12
COL16A1	9.087326795052586e-16	4.158948520208339	1	0.781	3.0149024107945964e-11
CP	8.510368432783171e-22	4.129065049006325	1	0.906	2.823484934944473e-17
