gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
MS4A6A	3.049675968322956e-22	4.903915350768866	1	0.844	1.0117909960105072e-17
MS4A7	4.2129189203671886e-55	4.789012059872037	1	0.938	1.397720110210222e-50
CD163	3.6351553003896536e-27	4.788399402516507	1	0.969	1.2060354740102754e-22
VSIG4	9.788325839845233e-39	4.640343183687531	1	0.781	3.2474728638854528e-34
CD163L1	2.4226617058771015e-21	4.524594558508693	1	0.906	8.03766474158846e-17
NLRP3	7.292149146740365e-11	4.392888239674321	1	0.875	2.419316322414051e-6
LILRB5	8.897820899563468e-31	4.373793829848707	1	0.781	2.9520300398481714e-26
F13A1	5.640558810926983e-12	4.343992323287112	1	0.938	1.871368196701245e-7
MS4A6E	1.2150961245587791e-19	4.328815357323601	1	0.969	4.0313244124486615e-15
HMOX1	1.0279735927508111e-14	4.221542377162948	1	1	3.410507988669366e-10
MPPED2	8.732813195695893e-21	4.199327269074763	1	0.969	2.8972854339360264e-16
TLR2	3.0631433513160868e-33	4.181288692743264	1	0.875	1.016259069666138e-28
SIGLEC1	1.9201534960676166e-18	4.041692546908179	1	0.906	6.370493253903531e-14
MS4A14	1.5659387973829883e-16	4.03763057439214	1	0.562	5.195315148077541e-12
HSPA6	7.803984653983322e-20	4.03446620411517	1	0.406	2.589127988652047e-15
SLCO2B1	5.2265403078237594e-21	4.033775189958437	1	1	1.7340092779266887e-16
SLC1A3	1.6796744547677043e-12	4.026778747407642	1	1	5.572655938582812e-8
MS4A4E	2.358003286254546e-19	4.019724415230695	1	0.938	7.823147502806709e-15
TNFAIP2	3.1845749395718164e-14	3.993087321086489	1	0.938	1.0565464277017416e-9
SLC16A10	2.311173389389832e-16	3.9865060576326643	1	1	7.667779953978646e-12
KCNE1	8.678118684891553e-16	3.964619748736805	1	0.875	2.8791394360864704e-11
CLEC4E	1.463893525134084e-12	3.9511057373765226	1	0.656	4.85675954833735e-8
PDGFC	3.1013753415390555e-11	3.8843457949928935	1	0.969	1.0289432970624124e-6
CLEC7A	1.8135036294534795e-10	3.883285033452518	1	0.781	6.016660991437809e-6
FGL2	1.469499602926609e-30	3.880379788863525	1	0.875	4.875358832629611e-26
CCL4L2	2.8813927519794573e-13	3.8720091963596976	1	0.688	9.559596733242246e-9
CCL3	2.9004719409233726e-26	3.846595651608201	1	0.812	9.622895758401473e-22
LYVE1	2.3311854996469516e-15	3.8400931173860293	1	0.969	7.734174132178691e-11
VENTX	2.0324315575652892e-16	3.8028311115548403	1	0.438	6.74299817853436e-12
PLA2G7	3.7849301077064217e-13	3.7738085238389445	1	0.812	1.2557262618337595e-8
FPR3	1.071216457072164e-21	3.7580669111960003	1	0.875	3.5539748396283185e-17
AC100849.1	2.0761160240256505e-10	3.7421733875331307	1	0.938	6.887930132909901e-6
AP000812.1	1.0113210340535221e-11	3.7310781025213755	1	0.875	3.3552597946793706e-7
FOLR2	1.2436969100310093e-16	3.727541770337886	1	0.656	4.126213238409879e-12
CD14	5.399269220153761e-10	3.7212148587013756	1	0.594	1.7913155491704134e-5
LILRB2	1.4434306952850088e-12	3.7045109564509935	1	0.75	4.788870017747074e-8
IL10	3.7337096471518676e-13	3.685177612862355	1	0.562	1.238732849635575e-8
C5AR1	4.299838139765233e-15	3.683394336775868	1	0.875	1.4265572996299114e-10
IGSF21	1.0548695499798509e-9	3.6581335480533905	1	0.875	3.499740705968151e-5
CMKLR1	2.01572327216695e-9	3.6562142934751174	1	0.875	6.687565100068291e-5
CCL3L1	1.973170034033336e-24	3.6543306661505324	1	0.75	6.546386221912398e-20
RAB20	3.204254888899263e-16	3.640155483953812	1	0.969	1.0630756444901084e-11
MRC1	4.09045131421648e-7	3.628160703503114	1	1	0.013570890325176017
FMN1	1.862339198150872e-15	3.602916158663284	1	1	6.178682757705148e-11
P2RY13	4.2997225928065244e-12	3.600870852878342	1	0.5	1.4265189646154205e-7
PDK4	6.549668749802401e-12	3.6004525429440455	1	1	2.1729836011219425e-7
C3AR1	5.4249648519193305e-11	3.5929901077678883	1	0.781	1.7998405889212762e-6
AC079015.1	1.3876902295421016e-10	3.582956791822977	1	0.594	4.603939874551831e-6
SLC11A1	7.236870110500774e-16	3.5803427936244123	1	0.969	2.4009763965608417e-11
DAB2	5.117633364173754e-10	3.5787942599344853	1	0.875	1.6978772212319265e-5
AC020922.2	5.561970413608461e-17	3.571087420379082	1	0.375	1.845294924122879e-12
CD86	6.412830719780715e-13	3.565296369932797	1	0.906	2.1275848479016477e-8
MS4A4A	8.324871647473131e-11	3.563352741083971	1	0.938	2.761942666482161e-6
CCL18	1.5478171433407827e-11	3.562996971705132	1	0.625	5.135192936461715e-7
COLEC12	6.831764679133293e-11	3.5567352062775264	1	0.969	2.2665745675960526e-6
FCGR2A	2.5365961527182394e-14	3.534660804628375	1	0.938	8.415665055873302e-10
RAB31	1.452183589243032e-11	3.510876841037823	1	0.969	4.817909494031608e-7
MCOLN1	1.2247440996417108e-41	3.5079057197682815	1	0.875	4.063333499381304e-37
LGMN	7.619438698993973e-21	3.501336176617328	1	1	2.5279011771652303e-16
TIMD4	4.732205495435519e-12	3.500301556334012	1	0.844	1.5700038172206422e-7
IL18	1.1478472978802486e-23	3.49689454770363	1	0.906	3.8082129801773008e-19
RGL1	1.1297582836156373e-11	3.487647528128827	1	0.969	3.7481990575516e-7
AC008957.2	3.784629343855869e-11	3.4860354495579173	1	0.969	1.2556264774110616e-6
AC139749.1	1.485014209005523e-11	3.460128059156931	1	0.469	4.926831641217624e-7
ATP1B1	1.9624694724669e-14	3.4491542435000593	1	0.875	6.510884968803433e-10
DLEU7-AS1	2.1922687491385012e-09	3.4408602449363506	1	0.75	7.273290029016805e-5
SAT1	6.249967377014359e-10	3.4392172600603796	1	1	2.0735516766720538e-5
ADAP2	1.0434673541660948e-13	3.4207671629148346	1	0.938	3.4619116409168527e-9
ITGAD	5.273723375571718e-12	3.4168575159514076	1	0.906	1.749663204313429e-7
ALOX15B	1.0548629268586224e-7	3.4097719716726567	1	0.719	0.0034997187324388515
AC008759.3	1.5442364187382056e-11	3.4032025950195375	1	0.406	5.123313166447744e-7
CSF1R	1.5411211330612979e-9	3.3937706752721173	1	0.938	5.112977583157468e-5
ZMYND15	9.219942201250201e-11	3.3885320689899756	1	0.75	3.0589002241087794e-6
PLAUR	1.1253522699290493e-7	3.360995704958383	1	0.938	0.003733581225943607
CXCL8	1.242550501447602e-6	3.3600610001444897	0.75	0.5	0.04122409798652709
ITGAX	5.3418894172814234e-11	3.3587917630853745	1	0.906	1.7722786519714578e-6
AC126177.4	3.569294173305502e-7	3.354686227442921	1	0.625	0.011841847278775665
C9	1.031883138459772e-10	3.346363911476052	1	0.906	3.423478688467986e-6
ADORA3	1.9660214845500053e-8	3.34288227932594	1	0.469	6.522669479291553e-4
RASL10A	1.5771053205415412e-7	3.3415539620071755	1	0.5	0.005232362321960672
CTSB	2.528469671873853e-23	3.334912798974285	1	1	8.3887038303758815e-19
ATP1B3	2.870726705896989e-8	3.332485308532212	1	1	9.52420999215444e-4
AC008972.2	2.855782137373835e-7	3.313834930179043	1	0.25	0.009474628397165173
CD33	3.145686918217825e-13	3.313750179104854	1	0.625	1.0436445488571279e-8
FAM20A	1.3941070139349185e-11	3.309193975571901	1	0.906	4.625228840131879e-7
SLC7A8	5.817600646748042e-13	3.3011555094121783	1	0.906	1.9301053665715978e-8
EDA	6.983294819402589e-17	3.2948344000324337	1	1	2.316847722233197e-12
MFSD1	6.112501421342657e-45	3.2829333094519004	1	0.969	2.0279445965588534e-40
RBM47	1.5289257334228874e-10	3.276122090257483	1	1	5.072516905777114e-6
SLC37A2	3.6116815467756e-9	3.2747205216742	1	0.688	1.1982475867737408e-4
IL1B	9.859559085803947e-7	3.272120114643217	1	0.438	0.032711059178971755
FCER1G	6.042941675082177e-20	3.272041432180301	1	0.781	2.0048667595420138e-15
CSF3R	1.273952509406069e-9	3.2639513320459974	1	0.906	4.226592240456515e-5
KMO	4.481950879450105e-7	3.261377864381582	1	0.875	0.014869768432751613
GPR34	9.942244489191297e-8	3.2606042847150887	1	0.719	0.0032985384541789967
FRMD4B	9.79939760788614e-9	3.251637506252548	1	1	3.251146144368385e-4
SLAMF8	2.4223068478693132e-11	3.2231064123665982	1	0.531	8.03648742917602e-7
TBXAS1	8.265028610160108e-12	3.2220030490709264	1	1	2.742088541992819e-7
