gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGLC2	1.4993395076994434e-66	7.866940823996371	1	1	4.974358684694443e-62
IGHG1	5.192644643958817e-30	7.216516521528184	1	1	1.7227637135262166e-25
IGLC3	2.2313508681445384e-39	6.980885908186734	1	0.969	7.402952775243135e-35
IGHG2	4.805647339622063e-44	6.744641456045631	1	0.969	1.594369617866412e-39
IGLL5	6.438310523153281e-36	6.740645532855831	1	0.969	2.136038282266564e-31
IGHGP	2.174911041225909e-14	6.679354509051679	1	0.938	7.215702361475198e-10
IGKC	1.7780785598364505e-31	6.623701076420917	1	1	5.8991312379693916e-27
IGHM	9.323416099596722e-16	6.299828236086909	1	1	3.0932297593632045e-11
IGHG4	1.5434530988280375e-14	6.249499036079684	1	0.938	5.12071434598178e-10
IGHG3	7.456128471867206e-15	6.205282108001247	1	0.969	2.4737197431113826e-10
MZB1	4.729350608858339e-30	6.097342077162141	1	0.969	1.569056651500931e-25
JCHAIN	1.328562954018016e-40	5.930070059707604	1	1	4.4077733125455716e-36
IGHA1	1.8480813116072697e-17	5.593081358434915	1	1	6.131379367519438e-13
IGHA2	4.5996661012129804e-21	5.471226962346984	1	0.906	1.5260312223994306e-16
IGLV4-69	2.8650034608639542e-09	5.397823407980035	0.5	0.344	9.505221982108341e-5
TXNDC5	2.1903330941839965e-38	5.331757125322895	1	1	7.266868106574245e-34
DERL3	1.3820374384798132e-8	4.975081294833581	1	0.844	4.585185609644476e-4
IGHV3-30	5.785204415377217e-7	4.876140785118997	0.75	0.406	0.019193572688896994
AMPD1	2.2277216169253865e-20	4.806877190274202	1	0.719	7.390912008473354e-16
IGHV3-74	1.4943400953961897e-11	4.794523731577643	0.75	0.531	4.957772134495939e-7
IGLC7	7.871249930249818e-10	4.722527498469796	1	0.5	2.611444589358982e-5
IGLV2-11	4.0736496656795276e-9	4.71418156315636	0.5	0.438	1.351514749582497e-4
AC092546.1	1.6375080745749033e-17	4.693468828018169	1	0.812	5.432760539017157e-13
SDC1	1.6845245205920083e-32	4.654063819645514	1	0.781	5.588747001968106e-28
SSR4	8.907401599896053e-38	4.554105564087523	1	0.969	2.9552086287975135e-33
CREB3L2	1.3423411430000851e-52	4.538437741162743	1	1	4.4534852101313826e-48
PIM2	2.785310849561617e-19	4.516586284691677	1	0.844	9.240825805590577e-15
MEI1	1.5262729812933931e-27	4.4912866671150375	1	1	5.0637158700370906e-23
IGHV4-59	9.286297750943647e-11	4.445720837265968	1	0.531	3.0809150048305736e-6
IGHV3-15	2.2828458332439963e-25	4.43327030572665	1	0.625	7.573797620953606e-21
IGKV2-30	4.389731544757783e-14	4.398938798524518	0.75	0.438	1.4563812346042895e-9
IGKV3-15	1.0154225354777973e-9	4.348053642373623	0.75	0.344	3.3688673459546885e-5
SLAMF7	6.510648043359111e-17	4.3033171829408605	1	0.875	2.1600377013452526e-12
TNFRSF17	6.388207670705584e-16	4.289519753182308	1	0.375	2.1194156589099917e-11
IGKV4-1	3.223800680283376e-11	4.222892318276629	0.75	0.531	1.0695603516976157e-6
TENT5C	2.2685733804906707e-11	4.220637745905238	1	0.938	7.526445904453898e-7
SPAG4	1.1495438171170775e-28	4.211405468100427	1	0.656	3.813841522049328e-24
IGHV3-33	1.0803778294478322e-22	4.203542584894144	0.75	0.531	3.584369524759073e-18
IGHV3-7	1.040177602849186e-18	4.201123794096215	1	0.688	3.4509972329727445e-14
IRF4	1.0753714890178515e-17	4.179411456265056	1	0.938	3.567759989114526e-13
JSRP1	3.232439602688056e-22	4.144844780836227	1	0.906	1.0724264869838163e-17
ZNF215	1.941018888485916e-13	4.140468265325087	1	0.812	6.439718366329724e-9
XBP1	5.61419194432982e-23	4.137067173321004	1	0.938	1.8626204613703046e-18
POU2AF1	6.347145590212652e-12	4.131982849263777	1	0.969	2.1057924924648516e-7
IGHV3-23	2.455172116832181e-25	4.101874174192617	1	0.688	8.145524532014128e-21
ENAM	1.7894124696270192e-12	4.079816876482329	1	0.875	5.936733750481562e-8
PDK1	5.414429738323799e-58	4.074860083710691	1	1	1.7963453542836869e-53
IGLC6	2.9308196444341956e-9	4.058090177981679	1	0.188	9.723580334339331e-5
IGKV2-28	2.9110622418192026e-7	4.039436599186382	0.75	0.219	0.00965803119968357
IGKV3-11	5.378736555991691e-13	3.9953517841488635	1	0.5	1.7845034271813633e-8
SLC17A9	2.053557403263918e-22	3.980907060694719	1	0.844	6.813087396808701e-18
AP000676.5	1.3151919708075927e-10	3.975820272758197	1	0.906	4.3634124015483505e-6
AC078883.1	2.1448252725376928e-29	3.9736993257991933	1	0.938	7.115886806698303e-25
AC010719.1	3.116481607884017e-8	3.949731693025635	1	0.375	0.0010339551030476802
TBCEL	8.355158043644565e-33	3.926789179692552	1	1	2.7719907841399573e-28
IGHV1-69D	2.93130472701378e-7	3.921011773726447	0.5	0.469	0.009725189692813618
TAS1R3	6.518623485071315e-8	3.91233545226003	1	0.312	0.00216268371364211
TMC3-AS1	8.124458740028695e-14	3.902370071637657	1	1	2.69545167617932e-9
AL353753.1	6.29992746152399e-8	3.878875872951702	1	0.5	0.0020901269339098144
TMEM125	1.903198303176764e-17	3.835426326006983	1	0.344	6.31424101044955e-13
BMF	7.733283973069337e-10	3.800280719937632	1	0.875	2.565671623745214e-5
AC012236.1	6.206084215358875e-13	3.79700706094294	1	0.75	2.058992560129614e-8
IGHV3-49	3.883188049306517e-12	3.7622970610757767	1	0.438	1.288325299118423e-7
LINC02362	1.0762908851034482e-29	3.744521874250753	1	0.75	3.57081026950771e-25
AC060809.1	5.6729649816477424e-11	3.7375318138170375	1	0.969	1.8821195919612714e-6
FKBP11	3.6859171654923925e-37	3.736832497573675	1	0.938	1.222876737995411e-32
IFNG-AS1	1.410291423245631e-11	3.7339695118103124	1	1	4.67892385490203e-7
SEC11C	1.1356649220414346e-24	3.7314653863640173	1	0.938	3.767795511856868e-20
DUSP5	3.8590546731801107e-7	3.731142824524535	1	0.906	0.012803185689209653
IGHV1-3	1.5510066008280448e-7	3.720785325473573	0.75	0.438	0.005145774599567204
ITM2C	2.203787413873439e-9	3.709609985217815	1	0.875	7.311505503007908e-5
IGHV3-48	6.7931659517212445e-9	3.7053268767297336	1	0.5	2.2537686678025573e-4
NUGGC	1.8448601525333497e-14	3.6770552141231203	1	0.969	6.120692528059895e-10
H1FX-AS1	2.4933530258633825e-13	3.676519020772801	1	0.906	8.272197333906944e-9
AFF2	2.895025513972763e-13	3.6694448150191086	1	0.938	9.604826147707436e-9
LINC01484	1.4626842659280028e-9	3.633425084358327	1	0.75	4.8527475890693346e-5
IGLV2-8	8.702648989587212e-10	3.632738104444075	0.75	0.406	2.8872778552753493e-5
IGHE	1.2806302516185613e-8	3.6277410190636443	1	0.469	4.248746985794901e-4
CD38	1.5533780316411009e-9	3.609762652316915	1	0.938	5.1536422955756806e-5
IGLV6-57	2.3858539599580486e-11	3.6035352815718635	1	0.312	7.915547682952818e-7
AC087280.2	1.0135399582643773e-10	3.5503428337235414	1	0.906	3.3626215195337244e-6
GMPPB	1.3713641474921484e-17	3.5391606479221727	1	0.875	4.549774832134701e-13
PRDM1	3.5958506396922526e-12	3.4823533714743617	1	0.969	1.1929953667306988e-7
TNFRSF13B	5.269888821024494e-7	3.4727106865902684	1	0.938	0.017483910141512963
IL26	1.6867785236767515e-7	3.472537278083792	0.75	0.625	0.005596225108002359
IGLV1-51	2.3497312735496372e-8	3.459342511218649	1	0.438	7.795703446255632e-4
ZC3H12A	9.618304833002121e-18	3.458070136559843	1	0.906	3.1910649944451135e-13
IGLV3-1	3.893147935328721e-8	3.4488776182320464	0.75	0.281	0.0012916296905040097
IGHV3-13	6.084447156621858e-7	3.4374673362247172	0.75	0.219	0.020186370331524338
DGKI	3.567510248471306e-8	3.4359484784758028	1	0.969	0.0011835928751353253
IGLV2-14	2.2725061268187266e-7	3.432341416818825	0.75	0.406	0.007539493576946489
AP000646.1	6.671013687778022e-12	3.414618078497819	1	0.688	2.2132422111941143e-7
IGKV1-17	1.1226942713311675e-9	3.401799216908361	1	0.375	3.724762783995414e-5
IGHV1-46	5.491764898212309e-7	3.3850991357559637	1	0.344	0.018220028402798977
IGHV2-5	5.716897482780577e-9	3.372615553012315	1	0.5	1.896695077862112e-4
IGLV3-19	2.5653526040918573e-10	3.3684266447832094	1	0.375	8.511070334595555e-6
H1FX	5.152505611178891e-13	3.367482667466187	1	1	1.7094467866208206e-8
ANKRD37	3.385573359475603e-12	3.316328052347838	1	0.75	1.1232316734732209e-7
DNAJB9	3.0910844664792536e-17	3.3121617576155526	1	0.875	1.0255290934438219e-12
CHPF	1.8612658923905822e-7	3.2761844259136232	1	0.719	0.006175121851184235
AC022173.1	3.421073512319575e-7	3.272796873805299	0.75	0.344	0.011350095591822654
RAB30	5.205063147595359e-10	3.2430614884651767	1	0.969	1.7268838004777124e-5
MANF	6.667868570895927e-25	3.2300019418399915	1	0.938	2.2121987557661417e-20
SLCO5A1	9.615677913200779e-11	3.2259802023730604	1	0.969	3.1901934612626224e-6
SDF2L1	7.315668543755039e-13	3.2135653184547293	1	0.875	2.4271193527616093e-8
DPEP1	7.092780100390743e-9	3.2009885379063614	1	0.875	2.353171653906637e-4
EML6	8.311489449935109e-12	3.1933794339550987	1	0.969	2.757502854804971e-7
GLCCI1	1.1532434333399144e-12	3.1613931323470763	1	1	3.826115738791834e-8
IGLV3-21	1.1449351543446356e-7	3.1531612459633105	1	0.469	0.0037985513615691976
LRRK1	1.363157387353597e-9	3.115216066439131	1	1	4.5225472640230286e-5
HSH2D	2.8898064581087288e-9	3.115054710784022	1	1	9.58751088606733e-5
CDK2AP2	1.9667382350360478e-15	3.1131768590794167	1	0.812	6.525047442379095e-11
