gene,Adipo,Bcell,CLC,Endo,Eryth,LEC,mCAF,Myeloid,Plasma,PSC,Tcell,ZF,ZG,ZR
ADIPOQ,3.465711436511223,-0.22170407780474805,-0.07242690437534373,-0.30725689083047836,-0.2450763968525539,-0.323304719676389,-0.27065994773562013,-0.25839078017119776,-0.22039619829923043,-0.32824799854699366,-0.22676618255271272,-0.32931351724865465,-0.32976801885749507,-0.33239980355980564
FABP4,3.404292054200552,-0.1867025656159783,-0.1208135089716372,-0.08658080656855402,-0.2537481275529209,0.17498664151185067,-0.06155026121013019,-0.30263750013144913,-0.2987538630583774,-0.44257409584789237,-0.27314576551205155,-0.5203177910322074,-0.5136460109757287,-0.5188083992354747
MCAM,3.3015014368684605,-0.4585761535539906,-0.10669429929780468,0.40493778384933926,-0.5755113364173822,-0.5585631368383093,0.2836390021115569,-0.49099904528379773,-0.4295891885530542,-0.059003230758367234,-0.38695091264424225,-0.35847875886845215,-0.03444184617705852,-0.5312703144368988
AIFM2,3.0944013940612787,-0.05784424535022831,-4.936624036073706e-4,-0.7777403061776644,-1.0882548395818028,-0.9229108986970679,-0.18769463954604879,-0.4729353251957996,0.016817198256398557,-0.002733262288520169,-0.1644084810275906,0.47044385036498476,-0.3197236780106818,0.41307689559634847
CYB5A,2.545736093779863,-0.6709813238311894,-0.4995023082901229,-0.2040399217793977,0.35158433466292877,-0.32026694320047444,0.27700421337601905,-0.487896163629686,-1.050290947782585,0.8061367484365545,-0.7963175925184173,-0.6329782591608556,-0.7118845263431659,1.3936965962805288
CD79B,-0.2696554699599228,3.4499479358434946,-0.09843126651008714,-0.12560442965015922,-0.2374427676145214,-0.380598492548259,-0.3036260599167489,-0.29911247046577577,-0.04272201540106309,-0.35901527504213693,-0.15732510941719965,-0.39136422803722,-0.3914454840946177,-0.39360486718578364
MS4A1,-0.20303661055722805,3.4354784076800997,0.08244635722895914,-0.35844269785644856,-0.1186590576205807,-0.40309676210084194,-0.2973685056319804,-0.28041963117865526,-0.14599471895365476,-0.40094289670476824,-0.10452634841462254,-0.40204850837513945,-0.40193603057904853,-0.4014529969360908
CD79A,-0.19682140813662802,3.3864170618493166,-0.006912449257159681,-0.38939128896868136,-0.25033790437912673,-0.43758686248420464,-0.313862291802097,-0.30806994725473935,0.3552554764899558,-0.4332272665361111,-0.09669750416492706,-0.4355244862162666,-0.43633669079788295,-0.43690443834144804
CD19,-0.333641957046107,3.29724427416092,-0.03809290007292857,-0.44214119831047755,0.36308596986495995,-0.4486168076154808,-0.39568429123787435,-0.3459128081224387,0.4913868187166853,-0.45472733233645063,-0.23771312551860238,-0.482479547867895,-0.48724783337993616,-0.48545926123437405
TH,-0.5499383360558608,-0.17552791316774144,3.3004915118221363,0.27096116983555146,-0.5499383360558608,-0.5499383360558608,-0.24008894619011575,-0.2600520657286713,-0.5499383360558608,0.40497460292918047,-0.5499383360558608,-0.2709472400782869,-0.3503509987794906,0.07023155963674196
CHGA,-0.5625176607113619,0.15954895392260635,3.2056753127954614,-0.09973387360542271,-0.935588248845029,-0.935588248845029,-0.1809691452283497,0.2003224084733314,-0.4369341205709702,-0.04085854220580388,-0.34741203640650425,-0.21660168825573106,-0.1961505674747953,0.38680745695759755
FAP,-0.54277455142477,-0.013970767232854833,3.1757798695728523,0.7539434950290058,-0.34026956990807566,-0.505969131882755,0.3191843811185356,-0.06997572142150313,-0.35615493462052683,-0.4242894689711501,-0.060899344541422484,-0.6277790570227343,-0.5695991116562792,-0.7372260870383209
S100A8,-0.1416390451709001,0.5240786193830291,2.7508628788047096,-0.7055959367732921,0.7527234042188193,-0.8688661435590421,-0.7208454931964778,0.7682644493937452,0.4043366111457208,-0.725360204150915,0.08268403460531597,-0.6896870046480336,-0.7956038440632883,-0.6353523259893904
IL5RA,-0.36014539342765356,0.2603979105411637,2.713536762383696,-0.328107768581951,-0.6802267490055218,-0.6802267490055218,-0.3185387205727562,-0.11142409228387029,1.7558715119303059,-0.5349555295589518,-0.05886863593132209,-0.5077699822138717,-0.596800132649653,-0.5527424316240912
CCR3,-0.41593403582836924,0.15104686779329426,2.565183818021875,-0.39455513199170184,-0.4538245502685694,-0.5491443311260893,-0.4032320889639008,1.9826866257525222,-0.35358183956352784,-0.436168838395547,0.14780072159613664,-0.5860522352268625,-0.6333396790580054,-0.6208853027412546
PLVAP,-0.40552943609751346,-0.30321018026363,0.19745215431561702,3.436033963920777,-0.4046771336018889,-0.27732252721045797,-0.23912872506747423,-0.24119194090893686,-0.4196158055256184,-0.2335578514445529,-0.32100781195337713,-0.24605619772665116,-0.24802163865134152,-0.2941668697849512
