gene,Adipo,Bcell,CLC,Endo,Eryth,LEC,mCAF,Myeloid,Plasma,PSC,Tcell,ZF,ZG,ZR
MCAM,3.3015014368684605,-0.4585761535539906,-0.10669429929780468,0.40493778384933926,-0.5755113364173822,-0.5585631368383093,0.2836390021115569,-0.49099904528379773,-0.4295891885530542,-0.059003230758367234,-0.38695091264424225,-0.35847875886845215,-0.03444184617705852,-0.5312703144368988
CSPG4,3.2475004725216072,-0.4222011696664885,-0.006779969506708852,-0.25034155522929485,-0.5619022738715701,-0.2894561619842083,0.2792552813864154,-0.27162680037183956,-0.4227144505487853,0.6954790900775126,-0.49384142067565384,-0.49652321054378923,-0.47324338994871323,-0.5336044416384835
HAS2,2.275404800796089,-0.20893420470469504,0.7570167465951945,-0.4035221163210221,-0.8042687991817318,-0.4142381487758585,2.1162057073755682,-0.5551913302715609,-0.5580425498605595,-0.17061296829444514,-0.4814764618601243,-0.4884767573030386,-0.35712225272516956,-0.7067416654686465
FAP,-0.54277455142477,-0.013970767232854833,3.1757798695728523,0.7539434950290058,-0.34026956990807566,-0.505969131882755,0.3191843811185356,-0.06997572142150313,-0.35615493462052683,-0.4242894689711501,-0.060899344541422484,-0.6277790570227343,-0.5695991116562792,-0.7372260870383209
MMP9,-0.395561247792153,0.1553664806445948,3.0819978500410548,-0.47958826874238325,0.7666021039523265,-0.24751489830643475,-0.5284216944646698,0.6405001243997333,-0.2849553848127347,-0.7341430804720073,-0.18322754840484945,-0.6280593065282255,-0.4636220011897395,-0.6993731283245127
IL6,-0.8112778777782989,0.623306820699126,2.649213198014548,1.55565904139176,-0.8112778777782989,-0.23996345429431393,0.196876651279512,0.014182709431129908,-0.5244451268611574,-0.5746213484781953,-0.2817860635449304,-0.5985470837565425,-0.5826302795965332,-0.6146893087278053
LOX,-0.4010319845920918,-0.4282397144959458,-0.3012173656745167,-0.2433531563889585,-0.2952212461590956,3.230418155385538,0.7731919632144322,-0.43720091720518833,-0.5201296798065146,0.38356432479279984,-0.45540694746656457,-0.41572412606564857,-0.4292124451108941,-0.46043686042735193
DES,-0.534034777075225,-0.7492059031398642,0.36775942469377765,-0.4975844226358593,-0.5895044230742863,2.201644089060267,1.8456190820898202,-0.560455682507141,-0.852372357152951,1.150231974422436,-0.49047011088868614,-0.4788063752555964,-0.3527432816799138,-0.46007723685677765
POSTN,-0.37990775104023067,-0.26979852760461864,0.11521298493771041,0.5112732573362737,-0.37721837344423376,-0.31458355390233006,3.3504259516467507,-0.36844545949426033,-0.4480808178206273,-0.18982355414270533,-0.36788645685889776,-0.39971397259484864,-0.39284887540097324,-0.4686048516170098
COL1A1,-0.17514366165044115,0.14773530725594294,0.29607021490901875,-0.5738264170983011,-0.2428041989320841,-0.658873016405725,3.132032288391929,-0.3129691270875697,-0.3440659972510188,0.8334811235029379,-0.12613290503120494,-0.6541143687219657,-0.6562724172456981,-0.6651168246358207
CXCL12,-0.015422367412354183,0.04870616822435623,0.16074617705560468,-0.5158511653011119,-0.45097731045066974,-0.7556925244040673,3.113148145597394,0.24196336520855835,-0.11484211061793174,0.6948582058489171,-0.18059838724598543,-0.735189346816897,-0.7578299276202616,-0.7330189220655517
THY1,-0.430716320414789,-0.340363583770123,-0.1506890182209869,1.7285726662820624,-0.31483005804694686,-0.6422127740574377,2.8128090000306654,-0.43358790005480685,-0.3949422757008587,0.05945494419344175,-0.35104378553732335,-0.5334220639407805,-0.513530211495776,-0.495498619266341
COL3A1,0.12906856668090866,-0.20195422691680792,-0.16109910861601115,-0.4253585721132962,-0.5047228417166847,-0.581211437571771,2.7367779243042056,-0.41989936836143804,-0.41039326539196186,1.8145263813072705,-0.32081382699840605,-0.554299783689074,-0.5443466216327673,-0.5562738192841663
FBLN1,-0.5263366993349146,-0.5289972521628376,-0.10160254523354628,-0.32965545921244993,-0.632628024757332,-0.18970929782840393,2.4807699356144015,-0.4159929172094378,-0.5702243383072969,2.1676413709714484,-0.5648371626977771,-0.2325630397215725,-0.21005679599453225,-0.34580777412574937
VIM,1.3759209140432693,-0.6855601093597259,-0.6649584541028406,1.2227885432380434,-1.2062342547603038,0.7974389887253089,2.105474020214215,-0.47749174621685675,-0.08723767419146193,0.2622778852362326,-0.4166560921456882,-0.8249104285773244,-0.5665117092855092,-0.8343398828173575
NOTCH3,0.8114455238115011,-0.06759140444871464,1.2944609368053328,-0.6019825292777389,-0.8177178634592015,-0.7878101495410907,2.0971874013956495,-0.3050425877688178,-0.47859728446312794,1.5415981399828265,-0.3860381645215904,-0.7479515070031545,-0.7828485437237965,-0.7691119677880774
FBLN2,1.4416640159813532,0.45201667690730857,1.5966128348273263,0.10383827393946969,-0.6500533827668673,-0.5601797146127011,2.0781530756281024,-0.512715897203701,-0.7874576099876,-0.43628010981280985,-0.32439054563534714,-0.7705622330434706,-0.8005754910704853,-0.8300698931505774
TGFBI,-0.34438224152459834,-0.1953879388499336,0.16392871216536772,-0.5164128241635668,-0.5687504485767515,-0.31935186700713136,0.6985417638172691,3.2762030674674842,-0.4000580370965517,-0.1021442762717303,-0.3250356359992598,-0.4203135950413813,-0.5025590095285296,-0.44427766939068675
PDGFRA,-0.3869185758706816,-0.376027428328709,-0.32692002649894003,-0.27282122368996514,-0.40782821788617973,-0.27878034307030963,0.5775692254674941,-0.317880931083272,-0.38895038127831155,3.3671475306221166,-0.36634974777814217,-0.27756695700476985,-0.28570977829263294,-0.25896314530769693
ABCC9,-0.15634504635589128,-0.5822202542370043,0.2779654581026257,-0.35033187184999176,-0.6896696277985678,-0.5748613440288458,0.9384105659598351,-0.5464972784748822,-0.6241083156855031,3.091133705215212,-0.5951843367952849,0.2247579385901428,-0.2973842419229701,-0.11566535071887357
PDGFRB,-0.06688836102574797,-0.37007555715497586,-0.22094735761701986,-0.4310861005022652,-0.5308876930929937,-0.3286230982271585,1.4206010912655518,-0.41323500196467877,-0.4385015138983056,3.0286428890552517,-0.42972318138472304,-0.4082509991372043,-0.40112679297754317,-0.40989832333818815
ACTA2,-0.8290902044093383,-0.3963187647353146,-0.3650154779233899,-0.47225650213612885,-0.9533034169101929,-0.23204804682554583,0.652852826951173,-0.59579037044599,-0.852910950410269,2.681355626658701,-0.47855046893580105,1.328126972523937,0.33968067027372073,0.17326810632443984
RGS5,-0.8023770583288864,-0.18986967275152933,0.6905656810369527,-0.6184523863291332,-0.6735417429613704,-0.2756281900517856,-0.5828079056555292,-0.7246635227728947,-0.7508701504715005,2.620572836685645,-0.7941539121391943,1.0347194099440757,0.10599826157893856,0.9605083522162137
MMP2,-0.65748877725963,-0.49087670130510713,0.673095421228951,-0.3055879248455935,-0.5848334403029758,-0.1691478572509589,1.841191289997796,-0.27614739711514685,-0.4773224521479028,2.5643581037865713,-0.5705321569645991,-0.5742582642376727,-0.41024732280074455,-0.5622025207829879
DCN,-0.7993482552463621,-0.7949542128732539,-0.5485538099248257,-0.20433819659727384,-0.8067422552384645,0.019454039183588488,1.6784673516024664,-0.41151321588615786,-0.8031929977532661,2.3990955024180645,-0.7348540838878702,0.1700000598810932,0.8814242652648188,-0.044944190942556736
KCNJ8,-0.8105504263824977,-0.7736224422785908,-0.24339907788402593,-0.3329268958522037,-0.9660192881876637,0.2645466155189513,-0.24528162225842087,-0.5083075226524424,-0.8709072374683858,2.2926304015186996,-0.811435474528502,1.592093905046127,0.5543504711013996,0.8588285943075556
