gene,1,2,3,4,5,6,7,8,9,10,11
TRBC2,2.93,0.18,-0.4,0.02,-0.47,-0.55,-0.48,-0.43,-0.45,-0.13,-0.24
CD3D,2.92,-0.25,-0.4,-0.13,-0.37,-0.6,-0.6,-0.51,-0.24,0.2,-0.01
TRBC1,2.83,-0.38,-0.46,0.28,-0.33,-0.46,-0.41,-0.31,-0.33,0.39,-0.83
CD8A,2.8,-0.34,-0.55,0.62,-0.55,-0.68,-0.32,-0.13,-0.67,-0.12,-0.06
CD3G,2.68,-0.33,-0.43,0.09,-0.51,-0.61,-0.46,-0.52,-0.43,-0.47,1
CD3E,2.26,-0.38,-0.49,-0.07,-0.58,-0.56,-0.45,-0.53,-0.65,-0.26,1.69
CD79B,-0.24,3,-0.31,-0.16,-0.31,-0.35,-0.34,-0.31,-0.18,-0.33,-0.47
MS4A1,-0.31,2.99,-0.38,-0.06,-0.39,-0.4,-0.35,-0.34,-0.31,-0.36,-0.09
CD79A,-0.28,2.96,-0.37,-0.05,-0.37,-0.38,-0.36,-0.42,0.17,-0.45,-0.45
CD19,-0.48,2.81,-0.48,-0.25,-0.59,-0.59,-0.55,-0.6,0.13,0.19,0.41
NT5E,-0.07,2.38,-0.53,0.78,-0.07,-0.8,0.82,-0.54,-0.88,-1.04,-0.04
STRIP1,0.8,2.29,-0.24,-0.83,1.05,-0.57,-0.34,-0.56,-0.77,0.11,-0.95
LYVE1,-0.44,-0.21,2.94,-0,-0.32,-0.42,-0.2,0.16,-0.38,-0.52,-0.6
C1QC,-0.39,-0.15,2.62,-0.1,-0.45,-0.55,-0.53,0.71,-0.75,-0.93,0.52
CD4,0.42,-0.67,2.38,0.05,-0.3,-0.76,-0.34,1.09,-0.95,-0.92,0
CD68,-0.45,0.07,2.37,0.04,-0.05,-0.88,-0.56,1.31,-0.78,-0.86,-0.2
CSF1R,-0.47,-0.39,2.32,-0.07,-0.29,-0.6,-0.39,1.62,-0.6,-0.65,-0.47
C1QA,-0.46,-0.31,2.32,0.12,-0.35,-0.39,-0.4,1.52,-0.36,-0.77,-0.92
ICAM1,-0.76,-0.65,2.23,0.24,-0.61,-1.06,0.29,0.76,0.01,-1.16,0.71
CCR3,-0.32,-0.28,2.07,1.5,-0.61,-0.8,-0.21,0.72,-0.8,-1.01,-0.25
SULT2A1,-0.13,-0.05,0.22,2.8,-0.53,-0.41,0.24,-0.53,-0.29,-0.24,-1.08
CHGB,-0.32,0.16,-0.2,2.78,-0.36,-0.36,0.58,-0.18,-0.7,-0.7,-0.7
CYP17A1,-0.04,-0.15,0.51,2.74,-0.01,0.09,-0.21,-0.73,-0.73,-0.73,-0.73
MFAP5,-0.31,0.23,-0.09,2.73,-0.26,-0.6,0.4,0.15,-0.58,-0.65,-1
CYP11B1,-0.18,-0.29,0.55,2.7,-0.43,-0.14,-0.56,-0.72,0.51,-0.72,-0.72
NCAM1,0.06,-0.25,-0.23,2.59,-0.47,-0.72,0.18,0.89,-0.37,-0.64,-1.03
CYP11A1,-0.38,-0.06,-0.01,2.54,0.43,0,0.21,0.31,-1.01,-1.01,-1.01
HSD3B2,-0.52,-0.07,-0.46,2.52,0.74,0.23,-0.39,0.48,-0.85,-0.85,-0.85
EMILIN3,-0.45,-0.19,-0.22,2.51,1.08,-0.2,-0.08,0.11,-0.85,-0.85,-0.85
VSNL1,-0.52,-0.06,-0.46,2.22,-0.52,-0.75,0.49,-0.35,-0.64,-0.89,1.48
KLF5,-0.47,-0.43,-0.23,2.21,-0.01,-0.7,-0.23,-0.44,0.14,-1.31,1.47
RGS5,-0.12,1.08,-0.53,2.15,0.18,-0.2,-0.1,-0.98,-0,0.2,-1.68
FAP,-0.32,-0.25,-0.1,2.08,0.07,-0.67,1.81,-0.59,-0.62,-0.52,-0.9
PDPN,-0.22,-0.04,-0.13,2.06,-0.36,-0.91,0.35,-0.27,-0.94,-1.1,1.56
S100A9,-0.58,-0.54,-0.32,1.96,-0.63,-0.42,-0.35,0.82,-0.52,1.63,-1.06
