gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
IGHA1	3.1082175267474774e-64	7.070238592599355	0.316	0.006	1.0312133288490106e-59
IGHM	2.5793348565419638e-42	6.625731667404937	0.221	0.004	8.557459253549273e-38
IGLC2	2.1727124353300252e-39	6.242476031586663	0.224	0.011	7.208408046694425e-35
IGHG1	9.532157446998681e-46	6.208099847814379	0.258	0.015	3.1624838761907525e-41
IGHG4	4.329611564323612e-37	5.98107759939292	0.204	0.006	1.4364352286956448e-32
IGKC	2.8879022916934357e-134	5.8120304605058815	0.595	0.037	9.581193433151311e-130
IGHG3	4.439908752459677e-47	5.724446608695415	0.272	0.019	1.473028526803547e-42
FCRL1	2.2475749293189525e-40	5.20695965287981	0.252	0.026	7.456779343001488e-36
IL7R	6.156186228636288e-36	5.177279215592926	0.227	0.022	2.042437905074661e-31
JAG1	5.6133560961603105e-49	4.776008365149638	0.297	0.032	1.8623431520231061e-44
CD53	1.9038638349256765e-26	3.267333381802704	0.239	0.06	6.316449045132917e-22
FP236383.1	9.933506084436023e-47	2.9742634123946146	0.57	0.371	3.2956393136333394e-42
PTPRC	4.161254346274664e-36	2.9568589943507817	0.327	0.086	1.3805793544635454e-31
SLC38A1	7.717299420437112e-25	2.924564701893654	0.25	0.071	2.560368428718421e-20
TMC6	3.347875789201177e-23	2.904880185111089	0.221	0.052	1.1107247505832745e-18
HMOX1	1.7934504025556433e-19	2.8341079792153336	0.212	0.073	5.950130400558858e-15
P2RX5-TAX1BP3	8.656814152620382e-20	2.76861060944134	0.201	0.047	2.872071231414864e-15
CCND3	7.848913949839178e-203	2.7477645469910295	0.859	0.474	2.604034181138144e-198
RHOH	5.257473985874057e-31	2.7441886154181967	0.31	0.088	1.7442721442934358e-26
IKZF1	2.8816054422734174e-44	2.7325224317961347	0.404	0.131	9.560302375830517e-40
BLK	4.181630667820101e-21	2.6807406359546597	0.237	0.069	1.387339606662675e-16
TMC8	2.967623021687831e-24	2.6642028170571264	0.241	0.06	9.845682899053717e-20
FP671120.1	2.4045154443053317e-22	2.616530891636839	0.241	0.095	7.977460889571799e-18
EPDR1	1.0142476682182612e-11	2.543266211637306	0.22	0.153	3.364969488847725e-7
CD247	1.7922294990631013e-39	2.512380328181287	0.388	0.162	5.946079809041651e-35
IKZF3	1.606116962536294e-34	2.510682357614631	0.349	0.11	5.328614246606662e-30
RASGRP2	5.008727629160867e-17	2.5009323051658514	0.211	0.082	1.661745565526701e-12
SRGN	5.632992773006872e-45	2.4249516968887606	0.449	0.185	1.86885801230049e-40
THEMIS	5.823633826265749e-18	2.4010959758097905	0.226	0.086	1.9321069945401876e-13
PDE3B	1.028673083793769e-28	2.350208875335654	0.349	0.134	3.4128286901025876e-24
PPARG	5.132409573699354e-33	2.3497988856838177	0.357	0.147	1.7027795242662346e-28
AKNA	4.922524861871992e-30	2.342742812931445	0.341	0.142	1.6331460734232706e-25
SMAP2	1.539849503419593e-36	2.337456838659146	0.388	0.162	5.108758697495184e-32
TNFAIP8	7.562356266157495e-43	2.2586049283367338	0.434	0.164	2.508962938423072e-38
STK17B	5.806119467257686e-30	2.2242394652411903	0.358	0.175	1.9262962556520824e-25
ARHGAP15	7.151514812657613e-73	2.216045475421602	0.615	0.306	2.3726580693954163e-68
ATP2A3	2.4210897266142003e-31	2.1999480669359963	0.382	0.188	8.032449385987932e-27
EMB	3.1886207641316167e-16	2.19951610875958	0.224	0.095	1.0578887109159464e-11
BACH2	2.1160166456724527e-46	2.1620653173992332	0.487	0.241	7.020308425347496e-42
AC119396.1	6.086748899239648e-35	2.156553184283121	0.398	0.211	2.019400682300738e-30
PIK3IP1	3.5150008440846636e-14	2.155111132361701	0.214	0.103	1.1661718300419689e-9
BIN2	8.098548237237488e-18	2.1446312846935665	0.246	0.116	2.6868553486682813e-13
TC2N	4.293100754883215e-15	2.134936481261359	0.21	0.084	1.4243220374476042e-10
ZFP36L2	5.433584171312928e-16	2.103987801741165	0.231	0.099	1.8027002205164902e-11
FLI1	3.284053851479958e-28	2.1026380992038405	0.344	0.159	1.0895505463055056e-23
RCSD1	3.024371993886003e-35	2.0664185480398407	0.414	0.188	1.0033958964115592e-30
CELF2	1.003557346394706e-80	2.039310103494595	0.684	0.377	3.329502208133716e-76
GRAP2	1.0360725922225791e-13	2.029003250616243	0.218	0.097	3.4373780392168506e-9
C22orf34	6.98570723554044e-26	2.02823264362815	0.332	0.183	2.3176480895352518e-21
HS3ST2	4.892236497530157e-22	2.0230601609000756	0.303	0.149	1.6230973027855802e-17
RASA3	6.5152812206446875e-18	2.0169994686740207	0.259	0.136	2.161574850573288e-13
CEMIP2	5.930153517498879e-31	2.015504109137606	0.384	0.205	1.9674470325006033e-26
ARHGAP30	2.727487021405037e-13	2.0153678943371602	0.203	0.082	9.048983690915491e-9
PARP15	1.2897483851930828e-12	2.0050101287465	0.207	0.095	4.278998217555091e-8
FAM129C	9.216821551360827e-17	2.004871434246104	0.269	0.138	3.0578648860949817e-12
ITPKB	4.854704894624017e-16	1.9913350975666908	0.255	0.116	1.6106454428894102e-11
LCP2	1.0195766011464107e-13	1.9724661019559429	0.222	0.101	3.3826492896234467e-9
ETS1	1.5826955797606047e-22	1.967891821406798	0.322	0.159	5.250909124971758e-18
FGD3	3.4156740889491016e-23	1.956825367777232	0.287	0.172	1.1332181924906435e-18
CDC42SE2	3.9794402069268504e-55	1.93454538624292	0.536	0.321	1.320258877452121e-50
TXK	8.881069584660403e-16	1.9310451540795333	0.255	0.131	2.946472456102782e-11
RIPOR2	7.827191035207706e-62	1.928858246844893	0.578	0.304	2.5968271697508605e-57
LGMN	2.128651471604258e-15	1.9197769869201529	0.254	0.138	7.062226987341447e-11
CNR2	4.170707346493978e-12	1.9149559527835782	0.228	0.119	1.383715576346307e-7
APBB1IP	3.847723169476668e-40	1.903255819392012	0.468	0.254	1.276559115937274e-35
CCL5	5.380092153072828e-14	1.8650248078421163	0.219	0.095	1.7849531736249722e-9
PRKCB	8.81825741177811e-50	1.83067259196919	0.573	0.328	2.925633261505624e-45
AC008878.3	2.7618865454787836e-64	1.8218739257064047	0.615	0.39	9.16311099193496e-60
EBF1	3.3630245895780065e-37	1.8211410183083725	0.467	0.272	1.1157506680842952e-32
FYN	3.841831605134522e-30	1.811015056604241	0.393	0.226	1.2746044716354804e-25
LCK	1.443071058535149e-13	1.7810973825749499	0.249	0.123	4.787676850902064e-9
ITK	1.2207574417026004e-13	1.7705582220053426	0.248	0.123	4.0501069643367176e-9
RALGPS2	8.563332373484319e-23	1.750208874124227	0.353	0.222	2.8410567815508927e-18
SYTL3	1.4373732696210993e-24	1.7267439929296915	0.382	0.224	4.768773296621921e-20
KIAA1551	2.9448530108971904e-24	1.717741122394737	0.372	0.207	9.770138834253608e-20
ARHGEF1	4.036472637385039e-13	1.7165221688985859	0.241	0.14	1.3391805269052344e-8
PIP4K2A	1.3271311831099676e-27	1.7091994666840713	0.39	0.231	4.40302312620394e-23
GHR	1.2189062790332415e-29	1.691971355264849	0.437	0.295	4.0439653619485853e-25
PIK3R5	3.545025563720639e-19	1.6919237804083003	0.31	0.2	1.1761331312755963e-14
FKBP5	2.8279472479447337e-115	1.6821049407803308	0.859	0.625	9.382280584506244e-111
SEL1L3	2.7499528326097384e-15	1.6711209539325935	0.291	0.177	9.123518512749329e-11
TMEM131L	5.709671192282967e-28	1.6697117337402378	0.413	0.252	1.89429761146372e-23
SLA	3.949392859897611e-12	1.665863209165146	0.23	0.149	1.3102900691282305e-7
REL	5.437774379473086e-15	1.6637496879563738	0.225	0.17	1.8040904058777858e-10
SMCHD1	1.4360935180055718e-33	1.6564320961951273	0.459	0.306	4.764527464687086e-29
INPP5D	6.1300746887156e-47	1.6549312466593542	0.545	0.332	2.0337748794751746e-42
BCL11B	3.912174758938084e-13	1.652465083025605	0.26	0.138	1.2979422197728882e-8
RUNX2	2.3146938703388813e-17	1.6408843353363258	0.316	0.205	7.679459853623306e-13
STK10	1.912762681370124e-38	1.6385057947106783	0.478	0.312	6.3459727479816606e-34
SKAP1	9.460122154750519e-54	1.6331052481902804	0.586	0.394	3.1385847272815796e-49
OXNAD1	3.665462813417753e-13	1.6297895717487352	0.238	0.149	1.2160905976076079e-8
PIK3AP1	3.657590212867261e-10	1.6136396961121442	0.203	0.119	1.2134787049229711e-5
STK4	2.0567377923862107e-15	1.6113529928512407	0.283	0.183	6.823638973799731e-11
SIDT1	2.3261403332062821e-10	1.5982188186126416	0.211	0.116	7.717435783478482e-6
