gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP21A2	9.698280397316751e-212	-8.52536082621426	0.002	0.515	3.217598487417779e-207	-0.513
CYP11B1	0	-8.45827135513182	0.005	0.838	0	-0.833
NOV	1.4938191663389058e-151	-8.419819109883793	0.002	0.388	4.9560438481625877e-147	-0.386
HSD3B2	6.102248014973431e-225	-8.06923155783924	0.006	0.567	2.0245428239277354e-220	-0.5609999999999999
CYP17A1	0	-7.791542212559533	0.015	0.894	0	-0.879
IGHA1	1.861571032489315e-64	7.086670354586524	0.318	0.006	6.1761342144898e-60	0.312
RARRES2	1.6503240872407324e-217	-6.811223826026875	0.007	0.56	5.475280224238578e-213	-0.553
STAR	7.968720337947582e-209	-6.6336543431691695	0.011	0.56	2.6437823465208695e-204	-0.549
IGHM	1.138055449236233e-41	6.575439386768245	0.219	0.004	3.77572656393105e-37	0.215
MT2A	1.30250695223685e-222	-6.343554565108956	0.021	0.625	4.321327315436197e-218	-0.604
IGLC2	9.749184239815111e-39	6.22234096543629	0.222	0.011	3.234486855243459e-34	0.211
IGHG1	4.5365691469547535e-46	6.215992455931174	0.26	0.015	1.5050975458851787e-41	0.245
TBX3	6.395965537039115e-124	-6.09199018346027	0.01	0.375	2.1219894862234672e-119	-0.365
DLK1	8.19247216452629e-92	-6.0527128328248185	0.007	0.282	2.718016490024887e-87	-0.27499999999999997
IGHG4	1.3961253186308496e-37	5.988068957069421	0.207	0.006	4.63192496962157e-33	0.20099999999999998
IGKC	1.045341444685251e-134	5.824840021739569	0.599	0.037	3.4681293110322573e-130	0.5619999999999999
GSTA1	1.858803310160279e-133	-5.814241336044416	0.008	0.39	6.166951742118758e-129	-0.382
IGHG3	4.7351768337056835e-47	5.7278039840838755	0.273	0.019	1.5709896181185345e-42	0.254
MT1E	2.5128161592091947e-105	-5.629276064095818	0.005	0.308	8.336770171408346e-101	-0.303
PEG3	3.936308820537773e-74	-5.591010476466367	0.006	0.235	1.3059491773898168e-69	-0.22899999999999998
FCRL1	4.947692014650753e-41	5.223810849461925	0.257	0.026	1.6414957797006804e-36	0.231
IL7R	2.595733210525366e-36	5.19078039595014	0.23	0.022	8.611864072560008e-32	0.20800000000000002
DHCR24	2.298829386692888e-209	-5.069092458837261	0.029	0.627	7.626826256230995e-205	-0.598
AKR1B1	4.798024095629643e-178	-5.056227981622305	0.035	0.582	1.5918404542070466e-173	-0.5469999999999999
GML	3.3758045539044595e-255	-5.038423223116343	0.045	0.735	1.1199906768488826e-250	-0.69
PEG10	4.4701228782282416e-73	-4.978276076949132	0.006	0.233	1.4830526673097838e-68	-0.227
AL117190.2	2.4826532905496125e-110	-4.861779849794606	0.018	0.377	8.236698822056449e-106	-0.359
JAG1	2.541291849477121e-50	4.804683500415846	0.303	0.032	8.431243969010245e-46	0.271
TM7SF2	7.126293510637419e-77	-4.670761652437653	0.01	0.261	2.3642903980241763e-72	-0.251
UQCRQ	1.1633837182928248e-68	-4.574881100476382	0.01	0.239	3.859758162180105e-64	-0.22899999999999998
NDUFB4	1.0651440381769828e-63	-4.558313696480055	0.009	0.224	3.5338283754597758e-59	-0.215
SPON2	3.153113535577449e-37	-4.497955017197743	0.107	0.252	1.0461084776985303e-32	-0.14500000000000002
APOC1	1.9297601810267955e-139	-4.478273194494873	0.044	0.519	6.402365352592599e-135	-0.47500000000000003
PEBP1	4.8562369980986754e-200	-4.4700542657236175	0.051	0.67	1.6111537488591976e-195	-0.619
CYP11A1	1.6609638890411496e-152	-4.4620475925592515	0.036	0.532	5.510579894671822e-148	-0.49600000000000005
CLU	1.5603688850440216e-135	-4.445012065798392	0.02	0.448	5.176835849910551e-131	-0.428
MEG3	3.59719392472633e-231	-4.3717181409336945	0.1	0.782	1.1934410284064545e-226	-0.682
SEMA3B	2.0773063683355463e-94	-4.364300478352709	0.024	0.36	6.891879338226842e-90	-0.33599999999999997
RGN	1.3075758962111076e-98	-4.219171354348566	0.027	0.381	4.3381445508595917e-94	-0.354
ALAS1	1.2681318111148966e-108	-4.18368785595572	0.029	0.412	4.2072809097358926e-104	-0.38299999999999995
GJA1	6.593945988331853e-59	-4.138660286082939	0.011	0.22	2.187673460548859e-54	-0.209
HSPE1	5.563011053330355e-93	-4.129138849538824	0.022	0.351	1.8456401771634117e-88	-0.32899999999999996
GSTA4	5.695311539415874e-124	-4.128796590374028	0.03	0.453	1.8895335094320044e-119	-0.42300000000000004
IFITM10	1.5222614875927e-57	-4.062589890808704	0.015	0.228	5.050406937386301e-53	-0.21300000000000002
BEX3	9.300384486782527e-63	-4.053741828862357	0.009	0.218	3.0855885611798387e-58	-0.209
FDXR	1.5338556571219156e-84	-3.994256302148761	0.024	0.334	5.0888729136333796e-80	-0.31
MGARP	6.223955822738702e-53	-3.900418198572035	0.016	0.22	2.064921823310019e-48	-0.20400000000000001
SCARB1	1.6939375968383965e-248	-3.8925096131573618	0.177	0.856	5.619976765030748e-244	-0.679
FDX1	5.83585744013273e-149	-3.782534917325951	0.066	0.603	1.936162422912836e-144	-0.5369999999999999
AL117190.1	2.95802098431259e-99	-3.754870790460714	0.059	0.455	9.81382621965388e-95	-0.396
MEG8	1.9455459906758116e-119	-3.6523449849373923	0.057	0.509	6.45473793326514e-115	-0.452
STARD10	4.73173536639353e-56	-3.6514540918122127	0.02	0.241	1.5698478425083816e-51	-0.221
NR5A1	6.301862784955686e-58	-3.552898097879357	0.017	0.237	2.090769016164748e-53	-0.21999999999999997
AP000350.4	2.3935724372861545e-55	-3.5364599270756862	0.021	0.244	7.941155275184275e-51	-0.223
UBB	1.546372206335484e-66	-3.5333014764297066	0.019	0.269	5.1303990689592344e-62	-0.25
HDHD3	5.140396371840129e-77	-3.5066294829668214	0.042	0.362	1.7054293042853996e-72	-0.32
