gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	3.37572717969114e-76	-5.697612227515637	0.75	1	1.1199650064061296e-71	-0.25
CYP17A1	4.3895490420244014e-89	-5.0003425426614685	1	1	1.4563206856724358e-84	0
MT2A	2.8548320197862287e-16	-4.031636029222994	1	1	9.471476192044771e-12	0
GML	1.026704158831621e-63	-3.860266807017698	1	1	3.406296387755669e-59	0
MEG3	3.0619301295283253e-28	-3.8414978394929205	1	1	1.0158565590736125e-23	0
SCARB1	1.861819786032367e-29	-3.792284270038364	1	1	6.176959504119584e-25	0
HSD3B2	7.744251160154557e-59	-3.6259440844740425	0.75	1	2.5693102074044775e-54	-0.25
STAR	4.227985406728788e-53	-3.60850622825014	1	1	1.40271871839041e-48	0
CYP21A2	5.806133695720549e-41	-3.53614719451898	0.75	1	1.9263009762292065e-36	-0.25
DHCR24	5.439253334893981e-61	-3.4258943643539492	1	1	1.8045810789177762e-56	0
RARRES2	3.513963123894725e-51	-3.3781109450769935	1	1	1.165827545614553e-46	0
AKR1B1	5.972777009608443e-49	-3.3415277255717495	1	1	1.981588228477793e-44	0
CYP11A1	3.9290430335123584e-30	-3.3356138281468497	1	1	1.3035386072283952e-25	0
FDX1	1.0739759668413704e-32	-3.300389476610408	1	1	3.563130065189615e-28	0
PEBP1	5.3213735240686396e-48	-3.2926301403692175	1	1	1.7654720940802527e-43	0
APOE	1.06903643840755e-8	-3.196551316837299	0.75	1	3.5467421917047287e-4	-0.25
AL117190.1	1.3262880779972342e-20	-3.1213717222925736	1	1	4.4002259563714237e-16	0
RGN	1.0430044544309642e-8	-3.0666363502719864	0.75	1	3.4603758784656103e-4	-0.25
GSTA4	9.572776688831227e-31	-3.027878698497031	1	1	3.175960122053536e-26	0
TBX3	1.959972772112515e-32	-3.0158190620988616	0.75	1	6.502601666037691e-28	-0.25
NOV	9.025808771236704e-28	-3.0154991079710634	0.5	1	2.994492576033201e-23	-0.5
MEG8	5.915640782935984e-26	-2.9807413362260187	1	1	1.9626321425546713e-21	0
SEMA3B	9.362073731375462e-26	-2.9714941852063053	1	1	3.106055201858437e-21	0
VWA5B2	8.312602543164067e-9	-2.854575270856184	0.75	1	2.7578721457455425e-4	-0.25
GSTA1	3.12196719691885e-35	-2.8414517207910266	0.75	1	1.0357750569217669e-30	-0.25
AL117190.2	3.4597720778005634e-27	-2.8187033563412762	0.75	1	1.147848582251893e-22	-0.25
RALYL	1.471012711588515e-11	-2.7935986916829534	1	1	4.880378873237216e-7	0
ALAS1	2.4867077123938966e-41	-2.7794342736403927	1	1	8.25015017740923e-37	0
ABCC3	9.758639897835947e-16	-2.7518891097792197	1	1	3.237623958905032e-11	0
APOC1	1.5795309901408201e-19	-2.734968601620305	1	1	5.240409965990199e-15	0
SORBS2	2.336861444189997e-13	-2.7320885861638677	1	1	7.753005213389154e-9	0
MT-CO3	8.340984650014478e-24	-2.7113429094309685	1	1	2.7672884773353034e-19	0
MEIS1	2.5689994925710676e-16	-2.7002863408509525	1	1	8.523169616503031e-12	0
MT-CO1	3.3626223174947503e-16	-2.65431362919189	1	1	1.1156172062752334e-11	0
SLC16A9	4.046179703397206e-20	-2.638297511852657	1	1	1.342401040196091e-15	0
CLU	1.9486528258745013e-28	-2.5796906253307514	0.75	1	6.465045480403833e-24	-0.25
PBX1	6.523516112188367e-15	-2.564516556877309	1	1	2.1643069405407346e-10	0
GRAMD1B	1.2251247227255073e-15	-2.5591575364862904	1	1	4.0645962925864156e-11	0
AOX1	1.008298314476484e-21	-2.5520465149875835	1	1	3.345231317938631e-17	0
DLK1	2.372941987064241e-10	-2.5311317425373128	0.5	1	7.872709630483033e-6	-0.5
IGHG1	6.633640940826715e-7	2.512437163787448	1	1	0.022008430549380793	0
CCND3	5.452133761347862e-22	2.5088590331794043	1	1	1.8088544180023803e-17	0
MT-ATP6	3.4103084382466046e-20	-2.4970696133495043	1	1	1.131438030557076e-15	0
FAM198B	3.191289297604656e-19	-2.490887289117896	1	1	1.0587740502662967e-14	0
HDHD3	7.558362561142194e-19	-2.464502726246689	1	1	2.5076379469101458e-14	0
FCRL1	7.474713202636437e-15	2.454519166467469	1	0.75	2.4798855992386907e-10	0.25
MT-ND4	1.819086461556696e-14	-2.4221479910486154	1	1	6.035183153506651e-10	0
FDXR	2.5374644265419641e-26	-2.42089784331018	1	1	8.418545727938275e-22	0
LINC01807	2.751086080328885e-17	-2.410041403189453	1	1	9.127278288707142e-13	0
PAPSS2	1.696971184723423e-21	-2.3835583779813025	1	1	5.630041299556901e-17	0
FBXL7	2.1857443311227773e-15	-2.371173509253601	1	1	7.251643967366038e-11	0
SOAT1	2.488200382152754e-18	-2.3672819305005337	1	1	8.255102407868191e-14	0
IFITM10	1.2653177110917681e-19	-2.366733113267735	1	1	4.197944570089159e-15	0
IGHM	1.8385728449420752e-11	2.33739492332708	1	0.5	6.099833127664323e-7	0.5
PDGFD	1.1395088514336116e-13	-2.33659940657727	1	1	3.7805485164012934e-9	0
WHRN	8.48251432651323e-22	-2.33120588958645	1	1	2.814243778107294e-17	0
RPL41	1.4780917179824418e-11	-2.3302935539805327	1	1	4.903864892750347e-7	0
NEAT1	4.417664147316137e-9	-2.311345868433308	1	1	1.4656484341550748e-4	0
C2CD2	6.171780097725042e-13	-2.309186530117308	1	1	2.047611483022237e-8	0
MT-CYB	1.4372784826187822e-14	-2.292692515326961	1	1	4.768458821784334e-10	0
FADS2	6.761975930420899e-29	-2.2908418163260458	1	1	2.2434207544357416e-24	0
MT1E	7.365277993457493e-10	-2.288794627569215	0.75	1	2.4435782798893925e-5	-0.25
MT-ND3	7.574287809161038e-15	-2.2763590231477564	1	1	2.512921466445357e-10	0
MT-ND1	1.2891019718107594e-15	-2.2546713281904265	1	1	4.2768536118765564e-11	0
TNXB	2.3060676640474346e-13	-2.252890976038497	1	1	7.650840689010173e-9	0
NR5A1	6.021609548736094e-18	-2.2487687390727054	0.75	1	1.9977893999841738e-13	-0.25
HSPE1	8.535727634598773e-19	-2.2308734443957183	1	1	2.831898357330835e-14	0
TBC1D4	2.147833925304296e-17	-2.228879207646709	1	1	7.125868613982063e-13	0
KCNQ1OT1	3.7511919918840936e-13	-2.2229896567863525	1	1	1.2445329671473857e-8	0
ST3GAL5	7.1023213782731246e-12	-2.217188196855109	1	1	2.3563371636696745e-7	0
SEMA6A	9.61674225533137e-17	-2.215626547123076	1	1	3.1905465780512888e-12	0
MT-CO2	9.978151706504286e-13	-2.2100618053880288	1	1	3.310451391666927e-8	0
MYL9	1.483969590785745e-31	-2.2099142226078454	1	1	4.923365911349866e-27	0
KCNK3	3.062092367206218e-19	-2.208705574438712	1	1	1.015910384668007e-14	0
CD247	2.5064887556213414e-16	2.2064219649430696	1	1	8.315777744524924e-12	0
MCOLN3	4.46638448135328e-15	-2.15671965957027	1	1	1.4818123793785775e-10	0
MAP3K5	8.729636621316469e-12	-2.147400225880422	1	1	2.896231541854165e-7	0
LRMDA	4.1279491565403233e-10	-2.1405440492409333	1	1	1.3695296916653831e-5	0
RHOH	3.142047228463319e-16	2.140447294616819	1	1	1.0424370089872754e-11	0
RIMS2	1.7401751615525062e-9	-2.124984100806741	1	1	5.77337913348275e-5	0
TMC8	6.129677806336295e-12	2.118582346745314	1	1	2.0336432058081927e-7	0
IGLC2	3.4146211187454306e-13	2.117827397286265	1	0.75	1.1328688485661716e-8	0.25
PEG3	4.380299227008266e-22	-2.1031287863580745	0.5	1	1.4532518745445325e-17	-0.5
BORCS7-ASMT	2.1450530277250723e-16	-2.10207614785079	1	1	7.1166424300834724e-12	0
LONRF2	4.0644517899519773e-13	-2.101808886917258	1	1	1.3484631703523675e-8	0
RPS8	1.0547406493826414e-14	-2.0966595126481042	1	1	3.499313052456789e-10	0
SLIT2	8.947666194248919e-10	-2.091822299463225	1	1	2.9685672132659637e-5	0
CPEB4	1.3740751300774707e-9	-2.0826922970311554	1	1	4.558769059058025e-5	0
IL7R	4.3579328233683576e-11	2.081787323775866	1	1	1.44583137280892e-6	0
IKZF1	2.811213879745833e-20	2.066967702842879	1	1	9.32676428883275e-16	0
KCNQ1	3.3046652916531245e-15	-2.0641764114408927	1	1	1.096388803811757e-10	0
MGP	4.0781335760383635e-13	-2.059626242341606	1	1	1.3530023765222479e-8	0
TNFAIP8	3.8499178678984833e-14	2.05364308022782	1	1	1.2772872510326798e-9	0
MSI2	1.3897775428769504e-14	-2.028656716137515	1	1	4.6108649540028584e-10	0
IKZF3	2.617594582470207e-14	2.0285987361441244	1	1	8.684393546261406e-10	0
PDZRN3	6.120275785347791e-10	-1.9990859578984137	1	1	2.0305238973048367e-5	0
COBLL1	9.552236582606603e-13	-1.9960740199668427	1	1	3.169145531011393e-8	0
WDR63	6.703375017987347e-9	-1.9946164678503988	1	1	2.223978729717662e-4	0
PEG10	1.3885747833032795e-9	-1.9893618700037412	0.5	1	4.60687455856529e-5	-0.5
LDLR	2.852045346195574e-12	-1.9736610517186342	1	1	9.462230845073056e-8	0
HMGCS1	3.927420618018531e-12	-1.9520080807947662	1	1	1.3030003384400082e-7	0
PGM5	3.071297734541127e-13	-1.9369873035870993	1	1	1.0189644493887099e-8	0
CELF2	4.3007751138258896e-16	1.9287436208005593	1	1	1.4268681595140153e-11	0
PTPRC	6.055793647469968e-15	1.9191141782699102	1	1	2.0091306584211113e-10	0
SULT2A1	1.3932042068764033e-19	-1.9108620355350567	1	1	4.622233597153843e-15	0
ABLIM1	2.032725327192525e-10	-1.908106317033871	1	1	6.74397281802664e-6	0
SNTB1	1.3943125016754112e-9	-1.900657077122109	1	1	4.625910586808512e-5	0
PPARG	1.0681578491410526e-10	1.8998356419681106	1	1	3.5438272960952702e-6	0
TM7SF2	7.135529726891773e-24	-1.8964357336428146	0.75	1	2.367354697490883e-19	-0.25
FADS1	5.0967419210715445e-26	-1.8911922158720706	1	1	1.6909460671539064e-21	0
UNC5C	9.425128189887078e-8	-1.887006661527812	1	1	0.003126974779558836	0
DCN	1.1043772454427935e-21	-1.8861433968317476	1	1	3.663992387205556e-17	0
NRCAM	5.715092890361529e-11	-1.8837103676356777	1	1	1.8960963682352444e-6	0
CYB5B	1.766171368279901e-16	-1.87672369822304	1	1	5.859626748542227e-12	0
AKNA	2.959065803538492e-16	1.8755779182435237	1	1	9.817292616399656e-12	0
MEIS2	4.6523890243545736e-11	-1.8624179499821707	1	1	1.5435231066101169e-6	0
RIPOR2	1.0165431721113162e-8	1.8601888644539042	1	1	3.372585282113714e-4	0
TMC6	8.664266551614357e-14	1.8467061050304023	1	1	2.8745437138290952e-9	0
KCTD3	7.412829168223009e-15	-1.8455183846038605	1	1	2.459354333141348e-10	0
RORA-AS1	4.73240776036962e-8	-1.8397870366262612	1	1	0.0015700709226578288	0
SNHG25	2.820554297400592e-9	-1.832039242445147	1	1	9.357752992485943e-5	0
RPL7A	1.0368173963542858e-17	-1.8307474133566422	1	1	3.439849075884614e-13	0
SCD5	2.4399024999180165e-13	-1.8302129010810038	1	1	8.094864523978003e-9	0
ABCA1	2.6251609981916846e-7	-1.822955294264422	1	1	0.008709496643700552	0
GATA6	5.10733525687959e-17	-1.8191173380913679	1	1	1.6944606181749414e-12	0
BACH2	1.3299471163012887e-7	1.8183506956199202	1	1	0.0044123655477527855	0
C7	2.533311347332869e-15	-1.8165957801923702	1	1	8.40476705704626e-11	0
UBB	1.2640418206591833e-17	-1.8103872999515485	0.75	1	4.1937115484009727e-13	-0.25
IGFBP5	8.336247378880824e-21	-1.8056430075057812	1	1	2.765716792891291e-16	0
TPD52L1	2.894033409424502e-12	-1.8046124743725898	1	1	9.60153464244767e-8	0
MT-ND2	7.98864648937604e-8	-1.7985945830337402	1	1	0.002650393245780289	0
ARHGAP45	3.0138309067066275e-10	1.7976780445270062	1	0.75	9.998986799180579e-6	0.25
UQCRQ	3.711616696323657e-15	-1.7961796639904921	0.75	1	1.2314030713392998e-10	-0.25
RCSD1	5.5164757694378254e-12	1.778779898400085	1	1	1.8302011660263875e-7	0
CDH2	2.013019473176293e-14	-1.767809100657514	1	1	6.678594706156988e-10	0
PDE10A	1.0152508674748217e-15	-1.7662160169919279	1	1	3.368297803021216e-11	0
TPT1	6.02454263367193e-13	-1.7568407414272953	1	1	1.9987625095733364e-8	0
STARD10	4.2613352918557753e-16	-1.7545674670281883	1	1	1.4137832097789906e-11	0
BABAM2	2.1601797888260928e-7	-1.7347104806458082	1	1	0.007166828485388328	0
PRKCB	1.4043922575899775e-9	1.7297854251493088	1	1	4.6593521930062686e-5	0
PDE3B	9.536796341309066e-8	1.7233954321775222	1	1	0.0031640229221561087	0
RPS18	6.602407789654888e-9	-1.7188281874583096	1	1	2.1904808323738024e-4	0
CD53	8.893283930218489e-14	1.7079882285305505	1	1	2.950524809528588e-9	0
STK17B	1.1056118362039354e-9	1.7072526160343835	1	1	3.6680883889737967e-5	0
AL024508.1	8.4471791042208e-12	-1.7052164321872838	1	1	2.8025206114073346e-7	0
DDR2	5.625809963403768e-12	-1.702193831450625	1	1	1.866474971558468e-7	0
ARHGAP15	1.1197200597650521e-11	1.697943858029852	1	1	3.7148952422825136e-7	0
EEF1A1	1.4693160595874711e-8	-1.6950307668960618	1	1	4.874749890893353e-4	0
CEMIP2	2.3722509774521867e-9	1.689987071026199	1	1	7.87041706789312e-5	0
CTNNAL1	1.2713604657192545e-12	-1.6872791248199575	1	1	4.2179926171167704e-8	0
LINC00290	1.8187652481422338e-8	-1.6867180824189698	1	1	6.034117463761489e-4	0
HSPB1	2.1805428988974336e-11	-1.6853915035039029	1	1	7.234387175672016e-7	0
MEIS1-AS2	1.0230836211931027e-6	-1.6828297386229374	0.75	1	0.03394284530032357	-0.25
CDC42SE2	9.462527838449025e-13	1.6759766700036172	1	1	3.139382860962233e-8	0
AC012404.1	6.081281765788597e-9	-1.671456596249747	0.75	1	2.0175868514356828e-4	-0.25
DLG5	1.989162573190361e-12	-1.6704475035834694	1	1	6.59944466907366e-8	0
AC098864.1	2.7632884953939744e-9	-1.6665231813861017	1	1	9.16776224116859e-5	0
NDUFB4	8.048233812877203e-17	-1.6660150781030632	0.75	1	2.6701625320982693e-12	-0.25
TSHZ2	6.103835493084522e-10	-1.664499035127283	1	1	2.025069501540652e-5	0
