gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
EPDR1	8.005253965007187e-170	3.629984073907245	0.242	0.069	2.6559031079704343e-165	0.173
SGCZ	2.3169062417950805e-146	2.44252219072802	0.285	0.103	7.686799838403539e-142	0.182
CTNNA2	3.3360217561461447e-161	2.315235029540327	0.331	0.132	1.1067919380366065e-156	0.199
SLC26A3	1.4245974268758e-103	2.3125115417612188	0.33	0.129	4.726386883145842e-99	0.201
CDH18	3.5936946722976153e-112	2.2965147480838217	0.241	0.096	1.1922800814281798e-107	0.145
EPHA6	3.7270757515712495e-99	2.2925180152562152	0.216	0.086	1.2365319220987934e-94	0.13
CNTNAP5	1.0613560327277235e-113	2.2830077446568886	0.248	0.096	3.5212609097807686e-109	0.152
DPP10	1.66020881995743e-148	2.2692167581830747	0.324	0.13	5.508074801972766e-144	0.194
AL589740.1	1.7576314782563022e-110	2.2630926970267184	0.247	0.099	5.8312939554109335e-106	0.148
PCDH15	6.107343180765777e-162	2.2472585953331343	0.362	0.139	2.0262332470826618e-157	0.22299999999999998
AGBL1	3.837775492156373e-110	2.231157816830564	0.257	0.098	1.2732587750327199e-105	0.159
GRID2	1.9251115821249235e-130	2.2239421300672797	0.294	0.111	6.386942696015859e-126	0.183
AC007402.1	4.327803612274184e-116	2.2178704941399485	0.264	0.106	1.435835404444206e-111	0.15800000000000003
CTNND2	6.141552126654608e-107	2.2105459990456566	0.246	0.103	2.0375827490601993e-102	0.14300000000000002
MGAT4C	1.6613026839435184e-91	2.202566128376235	0.206	0.087	5.511703914519411e-87	0.119
CSMD1	2.5160216709763363e-207	2.1991463256956942	0.45	0.185	8.347405097798191e-203	0.265
CALN1	2.87178249819442e-183	2.192496796472089	0.406	0.169	9.527712794259626e-179	0.23700000000000002
CTNNA3	8.336646153310204e-174	2.192201275203398	0.398	0.159	2.765849094283726e-169	0.23900000000000002
LSAMP	2.244116770251732e-132	2.1905650535177723	0.288	0.124	7.445306208664172e-128	0.16399999999999998
ERC2	6.37314784563983e-111	2.180703213772042	0.262	0.109	2.1144192607479262e-106	0.15300000000000002
ERBB4	4.737918034730307e-100	2.174206285161477	0.236	0.097	1.571899066382474e-95	0.13899999999999998
CNTN4	2.411698397940948e-109	2.1626383211805003	0.258	0.111	8.001291774848683e-105	0.14700000000000002
GRM7	2.15830429227229e-90	2.1544903340056853	0.212	0.092	7.160606150471777e-86	0.12
