gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
LAMA2	2.0918525847719536e-12	-5.488483965859211	1	1	6.94013932049791e-8	0
CYP11B1	3.826540450244153e-29	-4.7611940130384145	0.25	1	1.2695313251775026e-24	-0.75
CYP17A1	8.073000998693058e-43	-4.565660197706922	0.75	1	2.678379541336396e-38	-0.25
PCDH15	1.9244292461039551e-10	-4.088403646640794	1	1	6.384678909799092e-6	0
GML	1.5242067787536959e-34	-4.066982022577765	0.5	1	5.056860829871137e-30	-0.5
SCARB1	1.283609144153607e-15	-3.899445856631214	1	1	4.258630057558422e-11	0
RIMS2	8.952757616421499e-20	-3.8349193019605803	1	1	2.9702563944001605e-15	0
MEG3	1.13147243104132e-29	-3.717694826675231	1	1	3.7538860844657873e-25	0
RALYL	4.895340718245938e-29	-3.698880217442658	1	1	1.6241271900924549e-24	0
LINC01807	2.536301855737499e-32	-3.5871937485905248	1	1	8.4146886667803e-28	0
IGF1	9.26074891773025e-8	-3.4347675634158157	1	1	0.003072438668435365	0
ABCC3	3.166663122529546e-9	-3.3833843045387106	1	1	1.0506038241616276e-4	0
AL109930.1	2.587522911719348e-23	-3.363312387824978	1	1	8.58462476421128e-19	0
ZFPM2	1.5010539243370963e-25	-3.3614087483664132	1	1	4.9800466047731844e-21	0
CALN1	9.219614369435832e-12	-3.2559217126317894	1	1	3.058791459347726e-7	0
FOXP2	2.961073253810094e-16	-3.1803804091761005	1	1	9.823952734165749e-12	0
RAI2	2.8300379828108837e-10	-3.176803454715735	1	1	9.389217015571669e-6	0
PGM5	5.9588981637856705e-24	-3.136846830442797	1	1	1.976983643799172e-19	0
AOX1	4.138801463486427e-8	-3.1148204405718904	1	1	0.0013731301615408917	0
PSD3	2.1645390487177445e-25	-3.0952501346873693	1	1	7.181291201930861e-21	0
PDE10A	3.977880154716188e-20	-3.0876656380590535	1	1	1.3197412989301896e-15	0
TSHZ2	5.756997096133213e-22	-3.0457737167457295	1	1	1.909998926584116e-17	0
MEIS2	5.092517630581347e-14	-3.0285405057111934	1	1	1.6895445742979734e-9	0
PDK4	1.492494082933282e-8	-3.020745427699244	1	1	4.95164761894775e-4	0
SCD5	7.13980349058695e-19	-3.0125143837797204	1	1	2.3687726040720322e-14	0
CYP11A1	2.6713687869827005e-22	-2.9635257762046034	1	1	8.862800224572505e-18	0
HSD3B2	9.156328469213144e-18	-2.959009975099494	0.25	1	3.037795096230845e-13	-0.75
FDX1	2.621754976951319e-11	-2.8976728811551995	1	1	8.698196487031391e-7	0
NRCAM	1.4496722377202634e-8	-2.828829923275078	1	1	4.809577583084518e-4	0
ATRNL1	1.8652214197343565e-12	-2.8284233289916454	0.75	1	6.188245104252674e-8	-0.25
WHRN	2.1585048645995618e-16	-2.8258903150644086	1	1	7.161271589281966e-12	0
AC024257.1	4.3095497166112855e-14	-2.7957717021280453	1	1	1.4297793094801261e-9	0
PRKG1	9.805012836091659e-8	-2.791881807224294	1	1	0.00325300910863013	0
LSAMP	3.477896386366826e-8	-2.784126101275674	1	1	0.0011538616841049217	0
CYP21A2	5.494651420853403e-18	-2.7802308708672863	0.5	1	1.8229605018965335e-13	-0.5
TNXB	3.9941574717084584e-10	-2.7706642008826017	1	1	1.3251416243887152e-5	0
ST3GAL5	1.501838916895488e-9	-2.7559743727162527	1	1	4.982650974584161e-5	0
ZBTB7C	3.612097225053711e-9	-2.7513514629112414	1	1	1.1983854963560697e-4	0
ABLIM1	1.0885056849993811e-10	-2.748076376784826	1	1	3.6113353111224466e-6	0
MAP3K15	1.258183157777471e-16	-2.7440652736286486	1	1	4.174274262558316e-12	0
MCF2L2	1.6269658323903525e-16	-2.732643804527256	1	1	5.3977845421214725e-12	0
GATA6	2.670614821600475e-19	-2.7268085017483976	1	1	8.860298793623896e-15	0
DHCR24	2.6050545797065073e-16	-2.7122737787961775	1	1	8.64278957909228e-12	0
ARHGEF26	1.76425628024503e-9	-2.6918098938394164	1	1	5.853273060968936e-5	0
ANGPT1	2.385164585474983e-13	2.6798029970618287	1	1	7.913260545230351e-9	0
AC098864.1	2.6517527682497933e-8	-2.674137457235724	1	1	8.797720159222339e-4	0
FRMD5	2.0404771676551396e-8	-2.671962237978107	1	1	6.769691099129456e-4	0
GRAMD1B	1.5000244233840943e-11	-2.6596950714920684	1	1	4.97663102946141e-7	0
SLC16A9	1.3276896802128525e-14	-2.605672153303699	1	1	4.4048760520421805e-10	0
MEG8	3.494624937036369e-14	-2.6030826832855793	0.75	1	1.159411715360556e-9	-0.25
FGF12	5.608662301722083e-7	-2.601659808334039	0.75	1	0.018607858918423353	-0.25
PRLR	2.157612466346554e-15	-2.5967302146068993	1	1	7.158310879597962e-11	0
SEMA6A	1.483664526146165e-7	-2.595782865101471	0.75	1	0.004922353798395131	-0.25
SEMA3B	2.2395987382083737e-13	-2.559043758901649	1	1	7.4303167337539216e-9	0
LINC00290	2.7879128987527533e-9	-2.5578182388743107	0.5	1	9.249458624192009e-5	-0.5
GPHN	5.518252577035587e-10	-2.5374200519836387	1	1	1.8307906574830966e-5	0
CDH20	1.9347109209776e-9	-2.531276450578474	0.75	1	6.418790422527383e-5	-0.25
AKR1B1	2.268133066898644e-10	-2.5255640000331425	0.75	1	7.524985076049631e-6	-0.25
STAR	2.998472684717203e-16	-2.5250451024505884	0.75	1	9.948032826086265e-12	-0.25
MUM1L1	8.935918905606234e-13	-2.511192741707151	0.5	1	2.9646698153129803e-8	-0.5
CDH2	6.785851172891898e-10	-2.50986909880728	0.75	1	2.251341843630345e-5	-0.25
SRPX	1.7679728310332776e-7	-2.4980757543721506	1	1	0.0058656034615191055	0
MEIS1	4.256962615648561e-7	-2.466578746693394	1	1	0.014123324869937231	0
TMEM45A	6.560413729580625e-15	-2.4662466333263384	1	1	2.1765484630629638e-10	0
TBX3	1.5236762471901782e-13	-2.462732554661488	0.25	1	5.0551006853028545e-9	-0.75
PROX1	7.32217912692147e-13	-2.439945118440728	0.5	1	2.4292793689387362e-8	-0.5
FHL2	2.0784258017633613e-12	-2.428568513712868	1	1	6.895593282510304e-8	0
ADGRV1	4.932860167397458e-8	-2.423934225233121	1	1	0.0016365750177374547	0
C7	3.234548582286856e-10	-2.423370493077667	1	1	1.0731261831453103e-5	0
ALAS1	8.012226274072677e-8	-2.4173508430622976	1	1	0.002658216310949092	0
SOAT1	6.481826385343447e-7	-2.4131603761739404	1	1	0.021504755398653954	0
AC024145.1	1.1653900788026932e-11	-2.411987878624924	1	1	3.866414664443695e-7	0
KCNK2	6.677302100015512e-12	-2.390171339133679	0.75	1	2.2153285177221465e-7	-0.25
LEMD1	9.616068432622237e-10	-2.384074003367573	0.75	1	3.19032302389108e-5	-0.25
KIAA1217	9.085156327263338e-7	-2.377370515406357	1	1	0.030141823146961576	0
AL117190.2	2.216317569791594e-12	-2.367337900783598	0.75	1	7.353076801297571e-8	-0.25
IL1RAPL2	2.772905684114368e-8	-2.3241493719953503	1	1	9.199669188186239e-4	0
NCAM1	8.274365993994462e-8	-2.323842233696268	0.75	1	0.0027451864058275427	-0.25
DACH1	3.334416029976603e-10	-2.3209431775464173	1	1	1.1062592062653375e-5	0
CECR2	3.337397285360346e-7	-2.3192711808102437	1	1	0.01107248297364002	0
FDXR	1.184518829519244e-10	-2.313252265719875	1	1	3.929878120695996e-6	0
MAMSTR	9.29938701577884e-12	-2.3069971661417688	1	1	3.0852576302249455e-7	0
NGF-AS1	1.4490113065069543e-8	-2.277799514696971	1	1	4.807384811598122e-4	0
PEG10	9.286146852390469e-11	-2.2666637825874547	0.5	1	3.0808649412175856e-6	-0.5
P3H2	9.033769628156033e-10	-2.254522833365829	1	1	2.997133749533327e-5	0
SHISA6	4.275084904942724e-8	-2.251021266606341	1	1	0.0014183449189128477	0
REPS2	3.810198562162592e-7	-2.224871979314047	1	1	0.012641095769686833	0
NOVA1	1.5035057860872715e-9	-2.2123591731746726	0.75	1	4.9881811465017406e-5	-0.25
MEIS1-AS2	6.171694207819855e-7	-2.209265910414924	0.5	1	0.020475829873283932	-0.5
CYYR1	6.817427878278067e-9	-2.189831117001305	1	1	2.2618180471763145e-4	0
APOC1	1.3818359814453237e-7	-2.1893154343019874	0.75	1	0.0045845172356411504	-0.25
GSTA4	5.41784596675443e-9	-2.1840787195028817	1	1	1.7974787563901172e-4	0
DCN	9.861869025084183e-10	-2.174102898924821	1	1	3.2718722864521795e-5	0
NXPH1	2.7903444780618194e-7	-2.1693833280614285	0.75	1	0.009257525874865698	-0.25
NAV3	3.2368130188754626e-8	2.1608179695385807	1	1	0.0010738774552723122	0
LINC02388	5.859376272128209e-9	-2.1580483965415698	1	1	1.943965265803976e-4	0
RGN	1.307388372953383e-7	-2.152506054932741	1	1	0.004337522404947438	0
FADS2	1.3261824581018034e-6	-2.146441321669321	1	1	0.04399875541244353	0
PEG3	2.1263009325134028e-7	-2.146098964465971	0.5	1	0.0070544286037997166	-0.5
KCNQ1	4.345920857837052e-8	-2.1212581439888174	1	1	0.0014418461630045986	0
RASSF4	6.631326847609312e-7	-2.109159541297094	1	1	0.022000753082313414	0
AC100800.1	3.106722893611602e-9	-2.105882740444168	0.5	1	1.0307174544135212e-4	-0.5
DNM3	4.5123885619176343e-7	-2.098518739102362	1	1	0.014970751531874136	0
PLEKHA5	4.866091026326425e-8	-2.097986169207383	1	1	0.0016144230198043182	0
KCNN2	1.1117471830515747e-7	-2.09458179397855	1	1	0.0036884436292102096	0
ST6GALNAC5	5.286628073025182e-7	-2.0908724224317474	0.75	1	0.017539445957875648	-0.25
ABCB1	6.254142575881058e-7	-2.0880719302302477	1	1	0.020749368824000587	0
MCOLN3	1.859986817540239e-9	-2.070718691009496	0.25	1	6.170878264553252e-5	-0.75
ARNTL2	1.663519987849044e-7	-2.0595901997375905	0.75	1	0.005519060263686773	-0.25
KLHL4	8.131007298409467e-8	-2.040181903627804	0.75	1	0.002697624291393309	-0.25
