gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	1.5127317059876806e-42	-5.403774454044351	0.25	1	5.018789980955328e-38	-0.75
CYP17A1	6.459725239640739e-26	-4.753094388840227	0.5	1	2.143143042755608e-21	-0.5
STAR	4.850388688067199e-25	-3.8465374172044444	0.75	0.75	1.6092134550400546e-20	0
GML	4.560813438440055e-22	-3.8145702151924783	0.75	0.75	1.513141074471257e-17	0
ABCC3	7.395247044799371e-13	-3.7307645598665573	1	1	2.4535211120530875e-8	0
HSD3B2	5.942614337541458e-8	-3.712028131253355	0.25	0.75	0.0019715811587661296	-0.5
DHCR24	4.7849698093173715e-32	-3.5810139293273555	1	0.75	1.5875094336372244e-27	0.25
RARRES2	3.799722561369193e-11	-3.5028077565761047	0.75	0.75	1.2606339541854572e-6	0
SCARB1	3.456103310921275e-21	-3.3083469702487456	1	0.75	1.1466313954643513e-16	0.25
MEG3	7.53844117094061e-21	-3.3008799914217306	1	0.75	2.5010286272829663e-16	0.25
PDE10A	6.29164006451285e-17	-3.1647668144473493	1	1	2.0873774242034284e-12	0
MAP3K15	3.853761070904655e-9	-3.070063998154231	1	1	1.2785623104940373e-4	0
AC098864.1	4.453287335804345e-12	-3.061988632850869	1	0.75	1.4774671393998076e-7	0.25
C7	3.10897230683497e-23	-3.043083151265667	1	0.75	1.0314637422386381e-18	0.25
LINC01807	1.0455736959209849e-7	-3.0382035652362274	0.75	0.75	0.003468899850957052	0
FDX1	1.763022676654148e-23	-2.993796291935151	1	0.75	5.849180334335466e-19	0.25
AKR1B1	5.0908813736032497e-11	-2.9917751528242693	1	0.75	1.6890017133203502e-6	0.25
GRAMD1B	3.255448132681255e-9	-2.9670086027461906	1	1	1.08006002697966e-4	0
OST4	4.640961973826421e-8	-2.962521921267759	1	1	0.0015397319540563915	0
MGST1	4.774421114182296e-8	-2.9526262555613902	1	0.75	0.0015840096930522603	0.25
PEBP1	2.4905785521048765e-14	-2.9525454884124094	1	1	8.262992462318349e-10	0
DLK1	3.591858720852205e-13	-2.9104529051165438	0.5	0.75	1.191670967817136e-8	-0.25
CYP11A1	2.4949078718477782e-20	-2.8134913995730635	0.75	0.75	8.277355846429374e-16	0
FAM198B	3.275546738296019e-14	-2.80287653466736	0.75	1	1.0867281413644702e-9	-0.25
GSTA1	3.1274223355046423e-10	-2.7719997618944383	0.25	0.75	1.0375849082503752e-5	-0.5
TBX3	1.2192674525002999e-12	-2.596870305796954	0.25	0.75	4.045163627160245e-8	-0.5
SLC16A9	4.2159192091255315e-18	-2.588863106707472	1	0.75	1.3987155160115777e-13	0.25
PRKG1	2.464192392484884e-15	-2.583643823152222	1	1	8.1754511005471e-11	0
HDHD3	4.452707255919034e-7	-2.557490695689399	1	1	0.01477274686296258	0
AOX1	2.261312635428329e-9	-2.5455121695628895	1	0.75	7.502356930560567e-5	0.25
MEG8	3.235775129845596e-11	-2.544964867146673	1	1	1.0735331148288734e-6	0
RALYL	5.834597147032996e-8	-2.539231369596936	1	0.5	0.001935744295471137	0.5
ALAS1	9.937094189398907e-11	-2.515754939334575	1	0.75	3.296829739216875e-6	0.25
CLU	2.8830508540455493e-11	-2.495533848374997	0.75	0.75	9.565097818466919e-7	0
SEMA3B	1.8161276243788438e-21	-2.4875153796657434	0.75	0.75	6.02536661940169e-17	0
FADS2	1.5916615934471242e-9	-2.4785665058111834	1	0.75	5.2806556685795235e-5	0.25
FRMD5	9.786921166257556e-9	-2.4384095973810105	1	1	3.247006835329269e-4	0
GABARAP	9.443303952353136e-8	-2.4261870345029006	1	1	0.0031330049522722	0
FBXL7	2.1714131369634832e-15	-2.401853080630413	1	0.75	7.204097364503749e-11	0.25
IFITM10	1.2211983014940775e-10	-2.3929205869837853	1	1	4.051569604866901e-6	0
RPS15A	1.236523377383264e-7	-2.384567727630048	1	0.75	0.004102413609144455	0.25
IL1R1	1.0488114552523535e-6	-2.3805822345161722	0.75	1	0.03479641765090733	-0.25
LRMDA	5.136585356391759e-7	-2.334718026093855	1	1	0.01704164923690094	0
TM7SF2	2.7267148511544647e-7	-2.3311848940100153	1	0.5	0.009046421861675168	0.5
SCD5	5.4222526225720685e-8	-2.3219745929550513	1	1	0.0017989407525907351	0
BMP1	5.8024832288758274e-8	-2.2850959097048222	1	1	0.0019250898608441332	0
FADS1	1.3747016786257247e-8	-2.270595068843639	0.75	0.75	4.5608477591765667e-4	0
SORBS2	1.4850793934729078e-14	-2.2098888406131443	1	0.75	4.927047903725066e-10	0.25
KIRREL1	7.593919263364877e-7	-2.188910663401825	1	1	0.02519434594006565	0
GJA1	1.1038398824340042e-7	-2.161303015303143	0.75	0.75	0.003662209577951296	0
LINC00290	7.05877075700779e-8	-2.135940044563709	1	0.75	0.0023418883740524746	0.25
TENM3	2.960650314481813e-9	-2.133170603991066	1	1	9.822549548356312e-5	0
VSTM4	1.3784414957550181e-6	-2.075888732528851	1	0.75	0.045732553504664236	0.25
PSD3	1.0024854596102815e-6	-2.054700349999618	1	1	0.03325946009349031	0
MC2R	7.751554477448333e-7	-2.0051438684971665	0.5	0.5	0.025717332289830336	0
ZFHX4	5.350977301221977e-7	-1.9924207251185515	1	0.75	0.017752937392264155	0.25
EPHX1	1.4091489013816148e-6	-1.991013999585019	1	0.75	0.04675133310113783	0.25
HSPB1	5.87449214879595e-10	-1.9422364500900042	1	0.75	1.9489802602060322e-5	0.25
SULT2A1	1.1681107233352691e-6	-1.8968968805514401	0.75	0.75	0.03875440946809423	0
TMEM97	3.236674751261348e-9	-1.8487630692958543	0.5	0.5	1.0738315822259774e-4	0
AL590079.1	3.6604189643407204e-10	-1.8383157660626575	1	0.5	1.2144171997993208e-5	0.5
KIAA1958	6.60518601890037e-7	-1.8373443416026682	1	1	0.021914025654905758	0
TPD52L1	1.345569585873255e-9	-1.8363250154217021	1	0.75	4.464196215051698e-5	0.25
