gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CNTNAP2	4.5620888386228e-16	5.831229763211778	1	0.333	1.50662983895518e-11	0.667
PPARG	1.3489716540581699e-12	5.459804918802561	1	0.333	4.454978887527106e-8	0.667
CYP11B1	1.7828763417340853e-36	-5.36187385221757	0.333	1	5.887949118576817e-32	-0.667
CYP17A1	3.810263809299914e-43	-4.9807139649414145	0.667	1	1.2583396230212967e-38	-0.33299999999999996
C7	9.545464307081218e-12	-4.858691904758146	1	1	3.152389587413572e-7	0
LEPR	1.1804917200602415e-18	4.792415170291015	1	0.667	3.898573905498948e-14	0.33299999999999996
TNXB	1.3305313516376787e-15	-4.559033112109222	1	1	4.3940797887834336e-11	0
EBF3	4.613206019880703e-15	4.517184828652449	1	1	1.5235112880656022e-10	0
NOV	1.551294281463909e-33	-4.492957256697081	0.667	1	5.123149364534559e-29	-0.33299999999999996
EYA1	1.901986830517556e-9	4.47464974023011	1	0.333	6.281311507784228e-5	0.667
AC007563.2	8.976447011956754e-10	-4.362302116408029	1	1	2.964471625698718e-5	0
HHIP	4.7662270260766e-20	-4.359337363402199	1	1	1.5740464753617973e-15	0
NR2F1	2.88081157440862e-25	-4.1110726248176395	1	1	9.513880224484467e-21	0
CLU	1.0534516109661803e-17	-4.103768535766692	1	1	3.47902394521581e-13	0
GML	1.8328112060724953e-28	-3.960323546416931	0.667	1	6.0528590080544155e-24	-0.33299999999999996
MT-CO1	3.9415519221419673e-13	-3.921489668425952	1	1	1.3016975222873847e-8	0
SCARB1	2.5189896574542894e-16	-3.9195508684515667	1	1	8.31896334374279e-12	0
PEBP1	4.352221937926835e-22	-3.9177559517716394	1	1	1.4373212950003375e-17	0
HSD3B2	4.73733535766917e-31	-3.8744012329197366	0.667	1	1.5645050018702435e-26	-0.33299999999999996
MT-ATP6	7.089720815757147e-11	-3.8091034238301464	1	1	2.341380299403798e-6	0
MT-ND4	2.902355113748183e-7	-3.76281703422518	1	1	0.009585027763153373	0
DCDC1	6.957289658447329e-8	3.726666631004111	1	0	0.0022976449097022304	1
MT2A	1.1843441309514575e-13	-3.7152789236209376	1	1	3.911296492467188e-9	0
EEF1A1	3.138917799175929e-14	-3.6743902114835185	1	1	1.0366276031778505e-9	0
MT-CO3	1.3663967620135781e-14	-3.5934905633237584	1	1	4.5125253065498417e-10	0
RPS8	1.8762878574961106e-14	-3.57513180178179	1	1	6.196440649380906e-10	0
RGS6	5.940843531345606e-7	3.553491731561039	1	0.333	0.019619635762268862	0.667
RALYL	1.4002992719003516e-13	-3.5332072902777485	1	1	4.624488345450911e-9	0
CPE	4.835637859016073e-32	-3.50748556669327	1	1	1.596969402940058e-27	0
PDZRN4	2.937665330771561e-7	3.4984071669447387	1	1	0.00970163975487308	0
NCKAP5	2.836493211711433e-15	3.479253303137672	1	0.667	9.367518831677006e-11	0.33299999999999996
PDE4D	1.0487056575298112e-10	3.472565402315818	1	0.667	3.4633504339922015e-6	0.33299999999999996
MT-CO2	4.398806234397324e-8	-3.4604028463568497	1	1	0.0014527057589097162	0
RIMS2	8.126192500157679e-16	-3.444611794909221	1	1	2.6836750731770734e-11	0
DHCR24	5.09241812248997e-12	-3.442872354110329	1	1	1.6817710849523126e-7	0
NRXN3	7.345794237902098e-8	3.4195866699325537	1	1	0.002425948547067168	0
LPL	5.783390295317627e-9	3.4119838419367046	1	0	1.909964645028646e-4	1
STAR	6.289164502535589e-25	-3.4106376778254646	0.333	1	2.0769965769623782e-20	-0.667
PEG10	8.58938357678619e-9	-3.4001366828126445	1	1	2.8366439262336393e-4	0
CYP21A2	1.0793331509245686e-25	-3.3951711489297693	0.667	1	3.5644977309283876e-21	-0.33299999999999996
MT-ND1	2.8877643739849074e-7	-3.3536020255082457	1	1	0.009536841845085157	0
EEF2	1.9677957460164691e-10	-3.341544062295886	1	1	6.49864545121939e-6	0
MT-CYB	1.7938845316833542e-9	-3.3372653395481553	1	1	5.924303665884277e-5	0
NPR3	1.472269043526303e-7	3.2752174101569067	1	0.667	0.004862168516245616	0.33299999999999996
EDIL3	5.515180424735634e-13	3.2502290177045925	1	0.667	1.821388335268943e-8	0.33299999999999996
RARRES2	6.7938914273074545e-18	-3.2484974366888455	1	1	2.2436826438682868e-13	0
RPL17-C18orf32	3.47275096680581e-11	-3.222608319317147	1	1	1.1468760067876186e-6	0
RUNX1	1.649112842753018e-16	3.2217317926873816	1	1	5.446195163191842e-12	0
RPS18	1.9196377597646012e-14	-3.214258550168407	1	1	6.339603701622596e-10	0
TRABD2B	1.5929371592338134e-12	3.203426851507111	1	1	5.2606749683696684e-8	0
ANGPT1	4.624981308134038e-15	3.203081082267607	1	1	1.527400077011266e-10	0
OGN	6.85895208538932e-17	-3.1952972006953875	1	1	2.265168926199823e-12	0
AC099066.2	1.9725998242429336e-8	3.1900998917350587	1	0	6.514510919562288e-4	1
VCAM1	2.0023207898234302e-11	3.1864118575125637	1	0.667	6.612664408391878e-7	0.33299999999999996
RPL7A	8.395934634981776e-19	-3.177293712744102	1	1	2.7727574132027314e-14	0
SEMA3B	5.05018644161375e-34	-3.1707954317451192	1	1	1.667824072342941e-29	0
RPL13A	1.6029559134070244e-13	-3.1497544679130844	1	1	5.293761904026698e-9	0
RPL18	8.715339623814788e-19	-3.144879919781491	1	1	2.878240910764834e-14	0
AKR1B1	2.569097363117806e-10	-3.1121636434990534	1	1	8.484444041696554e-6	0
TPT1	1.6076784061742321e-27	-3.1100624094827682	1	1	5.309357936390401e-23	0
RPL15	4.619848278948941e-12	-3.102512145011004	1	1	1.5257048941228876e-7	0
HNMT	8.623471698467893e-8	3.097696493678776	1	0	0.0028479015284190216	1
RPL41	6.80737307606821e-16	-3.0968225203608704	1	1	2.2481349583715263e-11	0
DYNC1I1	8.927629337679241e-10	3.095534837998298	1	0.667	2.9483495887685693e-5	0.33299999999999996
PRKCH	6.020572184443253e-12	3.0847819232952896	1	1	1.9882939639123842e-7	0
ITGBL1	3.147201307927153e-7	3.0812746596990044	1	1	0.010393632319429424	0
DKK3	1.4108940222658834e-32	-3.069617349361754	1	1	4.65947750853308e-28	0
ABCC3	1.8698094372011113e-15	-3.0691968044594593	1	1	6.17504566635667e-11	0
DACH1	1.6748222970443784e-7	-3.0680563867839705	1	1	0.00553110063598906	0
CHSY3	1.3293283306122413e-11	3.0678540395517784	1	0.667	4.390106811846927e-7	0.33299999999999996
LINC02388	5.980002313564187e-8	-3.0529671818855855	1	1	0.0019748957640545726	0
RPL37A	9.16855373329989e-14	-3.0176641416609553	1	1	3.0279148704222887e-09	0
DLK1	6.953116828461697e-8	-3.0174082182312523	0.333	1	0.0022962668325994754	-0.667
RPL23	9.21430009403625e-20	-3.0145100243617815	1	1	3.0430226060554717e-15	0
VEGFC	8.475242422168099e-7	2.993624527326327	1	0.333	0.027989488099210147	0.667
RPL34	3.290906852638854e-23	-2.983942076214306	1	1	1.0868219880839815e-18	0
RPS11	3.61180584133006e-12	-2.982405895590748	1	1	1.1927988790992523e-7	0
RPL35A	2.340972566923317e-13	-2.9768023016178864	1	1	7.731061902264254e-9	0
PCDH15	3.6250483199494456e-9	-2.974193386896326	1	1	1.1971722076633043e-4	0
CST3	3.934060513679048e-7	-2.9680841980324955	1	1	0.012992234846425055	0
COL11A1	1.255164161081813e-6	2.9547337474574085	1	1	0.04145179641972687	0
RPS6	9.566317553840579e-11	-2.9280403916672593	1	1	3.159276372155851e-6	0
MT-ND3	1.1636272304297587e-9	-2.92182710686809	1	1	3.842878928494278e-5	0
RPS25	5.941135099214407e-12	-2.910713332251805	1	1	1.962059866515558e-7	0
RPL37	3.35735248510494e-8	-2.9081469846279075	1	1	0.0011087656582059065	0
FBLN1	3.9271937885273993e-10	-2.905665171658913	1	1	1.2969557486611737e-5	0
A2M	7.31991374166947e-7	-2.899842141939116	1	1	0.024174015131863427	0
EYA4	1.838149928657906e-7	2.896863747931766	1	0.333	0.006070490139392735	0.667
RPL11	3.855975950051839e-15	-2.8895925336459665	1	1	1.27343605750462e-10	0
RPS27A	4.7297163359296286e-9	-2.8688872384664537	1	1	1.5619888199407597e-4	0
GSTA1	6.908944507594725e-20	-2.8560764014427704	0.667	1	2.281678923633158e-15	-0.33299999999999996
AC093110.1	4.243701065475096e-11	-2.8435906025309574	1	1	1.4014822768731505e-6	0
RSPO3	1.9926505955101127e-13	-2.8184852078981653	1	1	6.580728591672147e-9	0
RPS15	1.0937261729671393e-14	-2.8121631659907598	1	1	3.612030686223978e-10	0
CYP11A1	3.218728494884769e-15	-2.8109055703637753	1	1	1.062985085435695e-10	0
GMDS	4.3874742874245215e-12	2.8010398974630255	1	1	1.448963383421948e-7	0
RPL5	3.748837089203633e-12	-2.779894386990085	1	1	1.2380534487094997e-7	0
RPL26	2.0823865006280878e-7	-2.7779499969912447	1	1	0.00687708141832426	0
RPL12	1.1823321680260923e-16	-2.7750188174819894	1	1	3.90465198490617e-12	0
TMEM132C	2.380784175908473e-8	2.774677336680806	1	0.667	7.862539740937733e-4	0.33299999999999996
RPL32	1.0307391379918998e-11	-2.774538329112476	1	1	3.404016003218249e-7	0
TIMP1	1.3996059601387994e-10	-2.765698586462153	1	1	4.6221986833583855e-6	0
PEAK1	1.4060275322111965e-20	2.7649212609531117	1	1	4.643405925127477e-16	0
RPS21	1.9191132776916837e-13	-2.762222780506481	1	1	6.337871599576785e-9	0
RPLP1	4.752706458297384e-25	-2.756764919084665	1	1	1.5695813078527112e-20	0
RPL8	8.616251358853174e-9	-2.750375687171613	1	1	2.845517011261261e-4	0
RPL36	1.5291208147701617e-9	-2.7466078735250923	1	1	5.049921490778459e-5	0
ST3GAL5	4.99842092205285e-19	-2.7370532808523413	1	1	1.6507285095079537e-14	0
LMO7	1.0188331853871796e-9	2.7315724163075976	1	0.667	3.3646965947411606e-5	0.33299999999999996
RPL19	3.0266189151326377e-13	-2.7309883182959878	1	1	9.995408967225537e-9	0
LSAMP	6.021603307729557e-9	-2.7188839050545264	1	1	1.9886344923776862e-4	0
RPS23	1.390958569564559e-13	-2.717868054075009	1	1	4.593640675986956e-9	0
RPS14	3.380185950241394e-11	-2.7157028680841844	1	1	1.1163064100672203e-6	0
FADS2	7.439286880603602e-22	-2.707020492797902	1	1	2.4568244923193396e-17	0
TMEM108	1.781741980942532e-11	2.6967905371827032	1	1	5.884202892062711e-7	0
ABCB1	1.7685477748543214e-8	-2.6919635676870777	1	1	5.840629026456396e-4	0
RGN	4.399027128701988e-10	-2.6877401816868334	1	1	1.4527787092538315e-5	0
RPS12	2.6690091005673607e-8	-2.6852551429725566	1	1	8.814402554623709e-4	0
RPL28	1.0574056752497932e-7	-2.6827688015928906	1	1	0.003492082242512442	0
GRAMD1B	5.29337031511604e-20	-2.6809098127309876	1	1	1.7481355465670722e-15	0
MEIS1-AS2	1.0436028522993659e-14	-2.678390452897179	0.667	1	3.4464984197186556e-10	-0.33299999999999996
SLIT2	1.5770792257281232e-12	-2.672647366963467	1	1	5.2083041429671274e-8	0
CD34	3.320710527173699e-13	-2.6653107907878613	0.667	1	1.0966646515991141e-8	-0.33299999999999996
MYO6	1.636559686460447e-16	2.660076379709976	1	1	5.404738364535626e-12	0
RPL6	1.7377953259007808e-12	-2.6458159806483605	1	1	5.739069063787328e-8	0
EDNRB	1.5718977135405594e-7	-2.628731956125603	1	1	0.005191192198967697	0
RPS27	3.0057024944944804e-8	-2.6191956283616267	1	1	9.926332488068021e-4	0
ANK3	3.966531617875325e-9	2.6181666397657475	1	1	1.309947066803326e-4	0
RPS13	7.454270095175691e-10	-2.613800581548271	1	1	2.4617726989317722e-5	0
ABLIM1	2.130720784895882e-18	-2.611240128287016	1	1	7.03670539211865e-14	0
RPL9	1.0326952616296423e-14	-2.6041967929561567	1	1	3.4104761015318933e-10	0
RPS24	1.204898782085846e-12	-2.601222270065364	1	1	3.979178227838506e-8	0
RPL13	4.855079994369548e-12	-2.5968341722868034	1	1	1.6033901681405432e-7	0
NAV2	1.6757376155502484e-8	2.5897929798007095	1	1	5.534123475354696e-4	0
ADAMTSL2	1.226101120183838e-12	-2.589410917258876	1	1	4.049198949407125e-8	0
NXPH1	1.6147109576727285e-12	-2.5878700948994235	0.667	1	5.3325829377141855e-8	-0.33299999999999996
RPS4X	4.200547792177941e-10	-2.5748861545173423	1	1	1.387230908366765e-5	0
WDR63	2.2659839016770612e-11	-2.574701604718081	1	1	7.483411835288495e-7	0
RPS15A	1.7058837899140036e-7	-2.5727758795378537	1	1	0.005633681216190997	0
NCAM1	3.7349643911019125e-9	-2.5704566959480326	1	1	1.2334719901614067e-4	0
RPL4	2.011723873863879e-8	-2.5698893549653734	1	1	6.64371809343546e-4	0
RPS20	7.195377482070925e-7	-2.557633575267328	1	1	0.02376273413453923	0
ZFPM2	1.1591616444714673e-6	-2.5555530236875876	1	1	0.038281313308670205	0
MRPS6	7.972171520231695e-7	2.5528478817132503	1	1	0.02632809644556517	0
RACK1	7.785594550728137e-11	-2.551954655192896	1	1	2.571192600377967e-6	0
RPL29	8.719904450665722e-17	-2.5445417911394355	1	1	2.8797484448323544e-12	0
APBB2	6.437530094468215e-12	2.541072691226611	1	1	2.125994313698128e-7	0
FAM198B	8.914203361504022e-9	-2.5281561988050236	1	1	2.943915660136703e-4	0
EYA2	2.0268415063366856e-8	2.525034343323978	1	0.667	6.693644074676904e-4	0.33299999999999996
EMILIN1	1.1231893665106362e-6	-2.5221739133636154	1	1	0.03709332882901376	0
ALAS1	5.05100541496779e-13	-2.5194660692516373	1	1	1.668094538293113e-8	0
KAZN	2.370876518451804e-9	2.508239658042885	1	1	7.829819702187082e-5	0
PTMA	1.6784217592932404e-9	-2.504824662023821	1	1	5.542987860065926e-5	0
HSPD1	8.98851606491849e-12	-2.4981037661883643	1	1	2.9684574304393314e-7	0
HSPA1A	6.147030141033446e-8	-2.491893556383249	1	1	0.0020300567040762957	0
PTX3	1.506290449218412e-6	2.490097162573991	1	0	0.049745242085438054	1
ATRNL1	1.5459013672928935e-11	-2.4724465514704135	1	1	5.10533926548478e-7	0
PGM5	5.7454219507345975e-18	-2.466162971570752	1	1	1.8974255992301008e-13	0
TNS3	2.7169612573516393e-8	2.4526954645191066	1	1	8.972764552403788e-4	0
MT1E	1.5207582964985206e-13	-2.4511401433848583	1	1	5.0223042741863645e-9	0
NACA	7.171335027689676e-11	-2.4448350129216543	1	1	2.3683333928945153e-6	0
RPL10	8.002494184170373e-15	-2.444410019458134	1	1	2.642823704322266e-10	0
RPL38	6.217544089649694e-8	-2.4397041451961905	1	1	0.0020533439356068112	0
ANO3	3.778795779226718e-7	2.4328538237171946	1	0.667	0.012479473060896237	0.33299999999999996
FDX1	1.0803726005552113e-12	-2.431183497889124	1	1	3.5679305133335856e-8	0
MFGE8	1.4518379757207503e-10	-2.429339527952053	1	1	4.794694914817778e-6	0
RPL24	1.6812336492337268e-15	-2.4256407215207707	1	1	5.5522741265943826e-11	0
RPLP2	1.8000607329065318e-9	-2.412783539092794	1	1	5.944700570423821e-5	0
PDE7B	2.8757683413234824e-8	2.412426039610387	1	0.667	9.497224947220801e-4	0.33299999999999996
RPL7	2.306136999887503e-14	-2.4116180418622735	1	1	7.616017442128479e-10	0
GUCY1A2	4.371345811472279e-13	-2.4065061274802755	1	1	1.4436369542387201e-8	0
PDGFRA	5.236358998255054e-7	-2.4030228525320787	1	1	0.017293075591737317	0
RPS17	8.030399987613313e-11	-2.398887053719884	1	1	2.6520395959092966e-6	0
RPL3	1.4840108932037514e-10	-2.3933537959610405	1	1	4.9009459748053895e-6	0
AL109930.1	9.656565354678662e-7	-2.389047963046849	1	1	0.03189080708382628	0
LMCD1-AS1	5.64023389137157e-7	2.3888508420559202	1	0.667	0.01862687242625461	0.33299999999999996
HSP90B1	4.955225884042371e-13	-2.3749200170085834	1	1	1.636463348204993e-8	0
TENM3	5.236242739196047e-10	-2.362449429504986	1	1	1.7292691646194947e-5	0
PTCH1	5.26726830693963e-9	-2.359587378303153	1	1	1.7395153583668128e-4	0
MCOLN3	3.460437333667106e-14	-2.3555456913308292	0.667	1	1.1428094294435619e-9	-0.33299999999999996
MAML2	7.311391741455758e-20	2.3410868554795865	1	1	2.414587122615764e-15	0
RPS26	2.3591621856185363e-7	-2.3395348395245126	1	1	0.007791133118005216	0
RPL31	1.3381249761154438e-7	-2.3340800521257905	1	1	0.004419157733621253	0
COLEC11	4.0290646269569037e-7	-2.327107583482903	1	1	0.013305985930525175	0
IGFBP7	6.594618410232583e-14	-2.3172222116990833	1	1	2.1778727299793106e-9	0
MATN2	2.7089070680169344e-16	-2.311715801296991	1	1	8.946165592125926e-12	0
GAPDH	1.230452130559242e-11	-2.310911694219847	1	1	4.063568161171897e-7	0
MEG3	2.141562198554353e-7	-2.3099000849055327	1	1	0.007072509160725751	0
HSPB1	1.38656989445586e-7	-2.3080212517790364	1	1	0.004579147076440478	0
SOAT1	9.632848889889333e-22	-2.3075664837304966	1	1	3.181248345885952e-17	0
NIN	4.947436723893903e-7	2.3063677362436197	1	0.667	0.016338909780659615	0.33299999999999996
RPL14	4.652216858962362e-13	-2.300449116312264	1	1	1.53639461767232e-8	0
EEF1G	1.950810393331047e-9	-2.2960000512129004	1	1	6.442551323975783e-5	0
STK39	8.935490263369302e-7	2.294435636390004	1	0.667	0.02950945659477712	0.33299999999999996
BSG	1.1085438026536453e-6	-2.2926306342732063	1	1	0.036609659082636636	0
DLC1	4.696964801281179e-9	2.2916776674948087	1	1	1.5511726256231092e-4	0
RPS2	1.4357625736234193e-9	-2.2881156210865594	1	1	4.741605899391342e-5	0
MAP4K4	5.993926381992999e-8	2.2863602891356205	1	0.667	0.0019794941876531877	0.33299999999999996
RPL30	1.7338229317272933e-9	-2.2849998333410877	1	1	5.725950232029386e-5	0
WDR86	1.8694202383119217e-7	2.279012580444734	1	0.667	0.006173760337025122	0.33299999999999996
CBLN4	1.1688872302041847e-6	-2.275993668894399	0.333	1	0.0386025007774932	-0.667
HIP1	1.3669584323651163e-6	2.2716998760979905	1	1	0.045143802228857964	0
UQCR10	1.3403681029081634e-7	-2.264308644975806	1	1	0.00442656565985421	0
MSI2	2.0138426422735536e-10	-2.2568881739187403	1	1	6.6507153261084105e-6	0
RPL18A	9.234322510525061e-17	-2.25542757058612	1	1	3.0496350091009015e-12	0
PRPS2	3.7495648753200205e-20	-2.254629798890008	1	1	1.2382938000744367e-15	0
UNC5C	1.1031876582923733e-7	2.249882900806795	1	1	0.0036432772415105627	0
BGN	2.973015398207537e-7	-2.248002917599861	1	1	0.009818383352580392	0
FDXR	5.404161093723877e-19	-2.247482383751028	1	1	1.7847242012023104e-14	0
GHR	3.2436366151290407e-9	2.2460900288891357	1	1	1.0712109921463657e-4	0
