gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
IGFBP5	7.622083140440944e-89	-5.512548365185804	1	1	2.528778523504092e-84	0
CYP11B1	7.76127817026984e-34	-5.167104734443996	0.25	1	2.574959258550425e-29	-0.75
CYP17A1	6.532127379712435e-36	-4.942451758349854	0.75	1	2.1671639007671946e-31	-0.25
AC007563.2	1.1512706960548442e-52	-4.745432205716207	1	1	3.819570788301157e-48	0
GML	2.2289114550589373e-61	-3.984537757855022	0.75	1	7.394859534449037e-57	-0.25
MEG3	7.519704295850615e-57	-3.8333664011359208	1	1	2.4948122942343583e-52	0
IGKC	7.452031977036815e-8	3.784521672058535	1	1	0.0024723606490215043	0
FABP4	4.241590980179756e-14	3.7278969995390336	1	0.75	1.4072326394942375e-9	0.25
ADAMTS18	2.087667276996138e-11	3.4156282014331643	1	1	6.926253724890087e-7	0
STAR	4.2654475215479566e-16	-3.4108954020747677	1	1	1.4151475242239656e-11	0
HSD3B2	1.7683390974657536e-22	-3.3628087802061737	0.25	1	5.86681862366213e-18	-0.75
GRAMD1B	1.7000488135011788e-27	-3.267955522065046	1	1	5.640251948552861e-23	0
ANO2	2.352463453612665e-15	3.219806374037524	1	1	7.80476800005074e-11	0
RARRES2	4.335287126588439e-25	-3.1911185198930796	0.75	1	1.4383182099882463e-20	-0.25
APOC1	8.85672536923406e-9	-3.149754056540441	0.75	1	2.938395775750784e-4	-0.25
AKR1B1	1.8970289066721438e-13	-3.1407679608804924	0.75	1	6.2937728036661715e-9	-0.25
DHCR24	1.1344723924624984e-22	-3.1028744800081203	1	1	3.763839056472831e-18	0
CD36	4.655350809838991e-14	3.098340828005817	1	1	1.544505738180282e-9	0
PEBP1	9.915914529325109e-21	-3.0936639026507007	1	1	3.2898029633941913e-16	0
CYP21A2	3.0909619197181383e-21	-3.048167634994462	0	1	1.0254884361048868e-16	-1
CYP11A1	1.0343505791005196e-31	-3.0154286509756867	0.75	1	3.4316649162817935e-27	-0.25
SCARB1	4.0814435786389026e-22	-3.0114810877514797	1	1	1.3541005360850288e-17	0
APOE	2.430561758147303e-7	-3.0046541280008427	1	1	0.008063874745005306	0
RALYL	9.00838676805453e-8	-2.989852089270878	1	1	0.0029887124780374513	0
IGHA1	3.1155673660329207e-9	2.94608027806954	1	0.75	1.0336517850287421e-4	0.25
FCN3	1.1196335158700016e-12	-2.9434530284419362	1	1	3.7146081156019045e-8	0
MCTP1	2.612155859636285e-18	2.9258859974275504	1	1	8.666349495515302e-14	0
CD96	1.6322713740699364e-31	2.917972573306143	1	1	5.415386737751828e-27	0
VWF	1.9682505013369098e-12	2.897478868801494	1	1	6.530064688285466e-8	0
ADAMTS9	5.596233202456332e-11	2.8523810917365315	1	1	1.8566622895789371e-6	0
SLCO2A1	2.0742606393172237e-10	-2.848149916053149	1	1	6.881774523062753e-6	0
NOV	1.1010133595938595e-20	-2.8386608006728338	0.75	1	3.652832023124548e-16	-0.25
AL117190.1	1.3452660984007978e-31	-2.7840632606810263	1	1	4.463189334664327e-27	0
SLIT2	7.001282102587412e-7	-2.7710993275015445	1	1	0.023228153631754254	0
MT-CO3	1.1330944203387123e-10	-2.753427323354531	1	1	3.7592673583577458e-6	0
FGF13	1.292282858469152e-17	2.752936331298182	1	1	4.2874068395431054e-13	0
PDGFD	2.2082267794390326e-31	-2.7496940833230163	1	1	7.326233986144878e-27	0
GSTA1	1.053481702684182e-18	-2.7189440515110945	0.25	1	3.49513624499531e-14	-0.75
CCSER1	4.686748536073438e-15	2.683255557211391	1	1	1.5549225618130846e-10	0
FCN2	6.369582798955324e-8	-2.6800025028049146	0	1	0.002113236485209408	-1
MEIS2	9.830785280202448e-20	-2.6648055006254685	1	1	3.261559632412766e-15	0
CASC15	5.090588346419754e-20	2.649068051399296	1	1	1.6889044956916818e-15	0
DDIT4	8.217978651696461e-15	-2.6270856960935367	1	1	2.7264787772733347e-10	0
