gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	6.033678115379524e-17	-5.284538853791623	0	1	2.0017933883394648e-12	-1
LSAMP	2.783279988801978e-23	-5.103656727832826	0.5	1	9.234088018848323e-19	-0.5
ADAMTSL2	1.478601933762149e-13	-4.990392537090124	0.25	1	4.905557635642682e-9	-0.75
CYP17A1	1.0538270800517023e-14	-4.901520407210139	0	1	3.4962821034875325e-10	-1
DCLK1	9.102615941454134e-37	4.789383806772139	1	1	3.019974890896238e-32	0
PLCXD3	1.922954895244288e-18	-4.661884488552598	0.25	1	6.379787455951975e-14	-0.75
DCN	1.8487324674819917e-11	-4.579851040358956	0.25	1	6.133539707365004e-7	-0.75
LINC02388	8.095887932584142e-13	-4.21883941117327	0.5	1	2.6859727393934406e-8	-0.5
GML	7.608442087181641e-13	-4.198858600003255	0.25	1	2.524252831264253e-8	-0.75
RALYL	4.784996510922515e-10	-4.061913564740154	0.5	1	1.5875182924287628e-5	-0.5
COL4A4	3.08377340057399e-14	-4.033933621057765	0.5	1	1.0231035011084326e-9	-0.5
EBF3	1.0128326133136191e-12	3.941700314885268	1	1	3.360274761190594e-8	0
SCARB1	1.2812421619776853e-17	-3.921566207572595	0.75	1	4.250777120793367e-13	-0.25
NRXN3	4.25389657995147e-24	3.9211336548929703	1	1	1.411315268330499e-19	0
RXFP1	1.897071173835757e-15	-3.6988932004357515	0.5	1	6.29391303343489e-11	-0.5
C7	1.701710955530337e-11	-3.697712229507851	1	1	5.645766437162998e-7	0
LEPR	5.200613661902609e-38	3.6957036804550065	1	1	1.7254075946094285e-33	0
AC092691.1	9.125641825188214e-13	-3.6772995695994184	0.5	1	3.0276141883426937e-8	-0.5
GRAMD1B	2.5628823480011596e-13	-3.6491338130047914	0.75	1	8.502874765963447e-9	-0.25
MEG3	1.0650135843157106e-31	-3.641749192965686	0.75	1	3.533395568684233e-27	-0.25
RIMS2	4.547657201288678e-8	-3.6367085131358783	0.5	1	0.0015087762296715447	-0.5
