gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	9.353503133133508e-13	-5.002293032146671	0	1	3.088994409717341e-8	-1
LSAMP	1.6226445200078694e-19	-4.523106729981335	0.667	1	5.358783527325989e-15	-0.33299999999999996
PLCXD3	4.582897515781457e-9	-4.277020264715015	0.333	1	1.5135019045868262e-4	-0.667
CYP17A1	7.476445952929867e-11	-4.2605759329380755	0	1	2.469096275955089e-6	-1
DCLK1	1.7929722337389125e-17	4.144390165475498	1	1	5.921290801922758e-13	0
CNTNAP2	1.3867412917274568e-6	4.029606461646199	1	1	0.04579713115929926	0
SCARB1	1.3735227199828653e-13	-3.987628596544729	0.667	1	4.5360587827434124e-9	-0.33299999999999996
NRXN3	6.432970091424433e-19	3.9716940962312406	1	1	2.1244883726929188e-14	0
RALYL	3.8540869695384886e-11	-3.93213889685808	0.667	1	1.2728122216900859e-6	-0.33299999999999996
GML	7.203194604002179e-10	-3.9217081379403673	0	1	2.3788550179717197e-5	-1
ADAMTSL2	1.0003158099990052e-8	-3.890145935418363	0.333	1	3.3035429625217144e-4	-0.667
RIMS2	1.0127003803378187e-7	-3.802408799533029	0.333	1	0.003344443006065646	-0.667
KCNAB1	1.4520982370163126e-27	3.7041386767226356	1	1	4.7955544277463725e-23	0
CD36	4.0245262105355353e-44	3.620630151108913	1	1	1.3290997810293605e-39	0
GRAMD1B	2.5125822434837107e-10	-3.471417809168707	1	1	8.297802859104955e-6	0
RXFP1	1.6788971924406758e-7	-3.45772412040265	0.333	1	0.005544557978035332	-0.667
COL4A4	7.50653308351761e-8	-3.4479693839308494	0.667	1	0.0024790325508316905	-0.33299999999999996
ADAMTSL3	6.096616861200629e-13	-3.4432113147455947	0.667	1	2.0134077184115077e-8	-0.33299999999999996
DCN	1.090388305550352e-12	-3.435811102960621	0.667	1	3.601007379080038e-8	-0.33299999999999996
EBF3	7.524741127028334e-17	3.354138388432705	1	1	2.4850457572011074e-12	0
ARHGAP6	1.7261139631461423e-31	3.2353369371895186	1	1	5.700491363290135e-27	0
DACH1	3.575753346319192e-9	-3.2296861563337207	0.667	1	1.1808925426219131e-4	-0.33299999999999996
ABCC3	2.053255661166235e-11	-3.1817103403474585	1	1	6.780876821001491e-7	0
PDE4D	6.5069397223102465e-12	3.181229011620971	1	1	2.148916843292959e-7	0
C7	1.3979010410120574e-8	-3.16450336575726	1	1	4.616568187942319e-4	0
AC024901.1	2.7875989766909344e-15	3.1263289430811607	1	1	9.20604562052181e-11	0
MEIS1	5.441500301058059e-19	-3.114820246385281	1	1	1.797055474424424e-14	0
AC092691.1	1.1146267824255244e-10	-3.1071144707380682	0.667	1	3.6810549489602942e-6	-0.33299999999999996
FLVCR2	6.824333579702005e-10	-3.0704366491803685	0.667	1	2.253736164696587e-5	-0.33299999999999996
THSD7B	6.220174750457208e-65	3.015475978026623	1	1	2.054212711338493e-60	0
LEPR	1.2401353938610244e-50	2.9701442196469157	1	1	4.095547138226033e-46	0
SLIT2	3.9306952524346344e-15	-2.9656162914900537	1	1	1.298112107116538e-10	0
MCAM	7.549993227480234e-26	2.9540457960351496	1	1	2.4933852633753473e-21	0
CYP11A1	3.3087454686296275e-7	-2.9365603103068736	0	1	0.010927131910149344	-1
COL4A3	3.8108352141279037e-7	-2.925503846363396	0.333	1	0.012585283294657402	-0.667
ZBTB7C	2.3814965206361438e-14	-2.911080681903286	0.667	1	7.864892259400865e-10	-0.33299999999999996
PPARG	7.906400031136656e-42	2.9074000496453993	1	1	2.6110886102828807e-37	0
MEG3	2.158273304595343e-16	-2.901646137792056	1	1	7.12769758842612e-12	0
