gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
PPARG	9.67301758430082e-8	5.296723898803723	0.667	0.75	0.003209217043943483	-0.08299999999999996
LSAMP	6.201394735941445e-7	-5.0526945789309625	0.333	1	0.020574367315432933	-0.667
ZFPM2	2.7060211540933883e-7	-4.908942997770774	0.333	1	0.008977766382935634	-0.667
PRKG1	1.3573400647973624e-9	-4.458572422036167	0.333	1	4.5032471329782094e-5	-0.667
IGKC	3.7371758318370705e-9	4.214995452520796	0.667	0.75	1.2398828257285848e-4	-0.08299999999999996
VCAN	1.0048240041290285e-6	4.002012030182308	1	1	0.03333704598498878	0
AC113383.1	4.742132005385748e-10	3.963819995648534	0.667	1	1.5732971354268295e-5	-0.33299999999999996
SCARA5	4.888575367564655e-7	3.9555773387583617	0.667	1	0.016218826496969256	-0.33299999999999996
MPPED2	6.587827884710034e-7	3.833717127310059	0.667	1	0.021856436573102482	-0.33299999999999996
PTER	7.655197137375561e-8	3.7823897160855795	0.667	1	0.00253976475426709	-0.33299999999999996
FGF13	5.198061506218441e-7	3.620529602606722	0.667	1	0.01724560865918092	-0.33299999999999996
ARRDC2	1.3518486963200685e-6	3.618108127309892	0.667	1	0.04485028419781091	-0.33299999999999996
KIAA1217	6.36390877373749e-10	-3.5902174501136925	0.667	1	2.111354013862887e-5	-0.33299999999999996
MX2	8.032130590036896e-11	3.506382696255165	0.667	1	2.6648199658565407e-6	-0.33299999999999996
GABRE	3.0897699718863076e-7	3.491927415746238	0.667	1	0.010250929835727203	-0.33299999999999996
TNFAIP8	3.5746133766500785e-11	3.409161783843558	0.667	1	1.1859494799711965e-6	-0.33299999999999996
MCTP1	1.0228137311361147e-6	3.1528286308076887	0.667	1	0.03393389115790288	-0.33299999999999996
SLC38A6	6.253309627089132e-7	3.027496669255089	0.667	1	0.020746605349793612	-0.33299999999999996
SCAMP5	8.115191267003507e-7	2.9980465840724033	0.667	1	0.026923770066537536	-0.33299999999999996
POLB	4.3286640840093625e-7	2.9814587045338317	0.667	1	0.014361208831517862	-0.33299999999999996
USP53	1.4266714005780818e-6	-2.827356299800445	0.667	1	0.04733267705697902	-0.33299999999999996
CXCL9	4.475144980382337e-12	2.54597630362029	0.333	0.5	1.484718850141448e-7	-0.16699999999999998
KCNB2	9.688110937840811e-11	2.408999821639273	0.333	0.75	3.214224565847446e-6	-0.417
TEX41	6.832567269673071e-10	2.311393035762503	0.333	1	2.266840843059435e-5	-0.667
OSR2	1.9693352596528688e-7	2.306773080816445	0.333	0.75	0.006533663590950323	-0.417
DCDC1	1.1015911515607559e-10	2.28111235692677	0.333	1	3.6547489635331198e-6	-0.667
HS3ST2	5.821886951469499e-10	2.015610193334341	0.333	1	1.9315274338890357e-5	-0.667
AL390036.1	1.4500461673758852e-11	2.0078322703395513	0.333	0.75	4.810818169502974e-7	-0.417
MSH4	1.3781323236230115e-9	1.9414207836465591	0.333	0.75	4.572229610084065e-5	-0.417
SCN9A	1.4734295793837498e-9	1.8863352771623663	0.333	1	4.888397315521467e-5	-0.667
CP	1.2612787177804188e-6	1.80691905258076	0.333	1	0.041845444019800955	-0.667
CORO1A	1.6626218159233434e-9	1.7904736277586764	0.333	0.75	5.516080398688876e-5	-0.417
KCTD12	9.519588246164649e-7	1.7270668243269898	0.333	1	0.03158313792430046	-0.667
C3AR1	4.655148748216389e-7	1.6797819260498106	0.333	0.75	0.015444387001957513	-0.417
SLC39A8	3.015415470404824e-7	1.6703139385472947	0.333	0.75	0.010004243906162084	-0.417
LINC01645	1.978012131064039e-7	1.6046779714182244	0.333	0.25	0.006562450847231162	0.08300000000000002
CEACAM21	1.2046233047084263e-7	1.545462651581258	0.333	0.75	0.0039965787380311455	-0.417
LINC00871	1.0866566222281698e-6	1.5381437267237617	0.333	1	0.03605200675566399	-0.667
ARID3A	2.057942233296043e-7	1.4540902465521306	0.333	1	0.006827634947406282	-0.667
