gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP11B1	4.422320748649543e-77	-5.473103386792422	0.5	1	1.4671933547794588e-72	-0.5
CYP17A1	7.232479780953798e-89	-5.03684315561684	1	1	2.3995198169270417e-84	0
MEG3	2.2808697811391907e-95	-4.247962520026469	1	1	7.567241672885493e-91	0
GML	1.824805613079003e-108	-4.131075959366941	0.75	1	6.054157582512208e-104	-0.25
RALYL	1.179912306277984e-26	-3.8955314778985692	1	1	3.9145950585384674e-22	0
SORBS2	3.911267715792279e-35	-3.7409067771422597	1	1	1.2976412900684045e-30	0
STAR	8.462337637427533e-50	-3.699990918615632	0.75	1	2.807549757969333e-45	-0.25
IGKC	4.475354519162328e-11	3.677950864283145	1	1	1.4847883688224856e-6	0
HSD3B2	1.4425752375861184e-54	-3.547720093110832	0.5	1	4.786031865739465e-50	-0.5
DHCR24	1.344952485200312e-61	-3.5034070865790663	1	1	4.462148860149075e-57	0
FBXL7	3.8678598307499726e-21	-3.502404872775852	1	1	1.2832398560479183e-16	0
SLIT2	2.659879093045225e-22	-3.4676319299329736	1	1	8.824680866996143e-18	0
CYP11A1	1.1933803106168735e-55	-3.350712490285403	0.75	1	3.959277856533601e-51	-0.25
RIMS2	3.099094129275745e-9	-3.228370929983871	1	1	1.028186459269814e-4	0
RARRES2	2.2710624291626167e-45	-3.2204017685331268	1	1	7.534703821232814e-41	0
CYP21A2	2.4197408887000763e-39	-3.195418769780808	0.25	1	8.027974346440243e-35	-0.75
AL117190.1	4.200637190227751e-58	-3.182336427022464	0.75	1	1.3936454006018608e-53	-0.25
PDGFD	4.939801525017007e-34	-3.1651328003082773	1	1	1.6388779519548924e-29	0
KCNQ3	2.141710460881078e-44	-3.1381781439054084	1	1	7.105552796065152e-40	0
PCDH15	1.1797605602373432e-15	-2.992029189421176	1	1	3.914091610699433e-11	0
PDE10A	5.5298886364862543e-39	-2.984241179788498	1	1	1.8346511529270446e-34	0
SEMA3B	2.2214902571092516e-49	-2.950243942358699	0.75	1	7.370238226011364e-45	-0.25
MEG8	5.741129387080773e-43	-2.949294962012127	1	1	1.904734496751788e-38	0
GSTA4	7.382265007620056e-38	-2.9367591556371364	0.75	1	2.4492140615781058e-33	-0.25
PBX1	3.7309940584885314e-32	-2.9321821080308488	1	1	1.23783189878474e-27	0
SCARB1	9.423836947821906e-27	-2.930502557925768	1	1	3.126546384178874e-22	0
NOV	5.5251486666628354e-18	-2.920854751000166	0.75	1	1.833078573138729e-13	-0.25
VCAM1	7.404148818882227e-26	2.913630794785107	1	1	2.4564744536405564e-21	0
LINC01807	5.282236221604912e-34	-2.8942786923077928	1	1	1.7524875112418618e-29	0
FDX1	1.3496190911159996e-30	-2.8724005068496536	1	1	4.4776312585955516e-26	0
AOX1	2.579216089251469e-77	-2.869173800586326	1	1	8.557065219309599e-73	0
MEIS1	4.196211602502553e-37	-2.823078832033105	1	1	1.392177123362272e-32	0
IGHA1	2.3745539453206055e-10	2.804397475434511	1	1	7.878057624390173e-6	0
TBX3	1.3723581303085257e-54	-2.8011652796827002	0.75	1	4.553072568924596e-50	-0.25
GSTA1	1.43024083131269e-44	-2.789428795371884	0.5	1	4.745110006046111e-40	-0.5
PRKG1	4.1555786908155585e-22	-2.7472572991481363	1	1	1.3786963422518779e-17	0
