gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	pct_diff
CYP17A1	2.5234346096583363e-61	-6.4236383159207335	1	1	8.371999004463462e-57	0
CYP11B1	1.817700655005571e-69	-6.295684941025274	0.75	1	6.030585463111983e-65	-0.25
MT-CO3	1.0443406522969525e-30	-5.284385505806607	1	1	3.464808982125599e-26	0
PEBP1	1.0477644434572912e-50	-5.269274988245686	1	1	3.4761680940582552e-46	0
APOE	3.417354638344003e-32	-5.225808805242211	0.75	1	1.13377574836339e-27	-0.25
STAR	2.3191188535934574e-49	-5.2076382007870015	1	1	7.694140620567013e-45	0
RARRES2	2.3945818402886352e-57	-5.207288403214787	1	1	7.944504171525605e-53	0
DHCR24	6.877572423127047e-65	-5.1924137483946025	1	1	2.2817722028208603e-60	0
HSD3B2	1.869538835180405e-64	-5.175744880700238	0.75	1	6.20256899347803e-60	-0.25
NOV	5.01254557668764e-46	-5.081252526347677	0.5	1	1.6630122459776583e-41	-0.5
MT-ATP6	9.416216658774109e-33	-5.05545398014902	1	1	3.1240182008814862e-28	0
AKR1B1	7.328800265378612e-47	-5.012013865711912	1	1	2.431476064044662e-42	0
MT-CO1	9.162664513921704e-32	-4.9463382662929485	1	1	3.039897205783804e-27	0
MT-ND4	3.3308261262761314e-25	-4.921915930609699	1	1	1.105068183914632e-20	0
MT-ND3	2.8767877416587476e-30	-4.842733232072506	1	1	9.544318690501227e-26	0
CYP21A2	1.3687746536585738e-50	-4.836351685344733	0.75	1	4.5411836684430505e-46	-0.25
MT-CYB	5.997403661729978e-29	-4.764005952717728	1	1	1.9897586128521545e-24	0
MT-CO2	5.03846426478598e-23	-4.666366166762541	1	1	1.6716112891280445e-18	0
MT-ND1	2.1078077980391363e-29	-4.60696303147567	1	1	6.993073931554442e-25	0
GSTA1	2.9294513124090594e-54	-4.583993841423782	0.75	1	9.719040619179537e-50	-0.25
CLU	2.908399442325447e-72	-4.506131150385919	0.75	1	9.649196829803137e-68	-0.25
DLK1	9.415536922092251e-20	-4.311705323509106	0.5	1	3.123792684642546e-15	-0.5
FDX1	6.849255343466965e-42	-4.311223936566111	1	1	2.272377445302035e-37	0
CYP11A1	4.6295664124541584e-54	-4.25210054007996	1	1	1.5359512486599162e-49	0
